Date,NAV,52_Week_High,Drop_Percentage
2025-09-03,110.8224,112.0385,-1.09
2025-09-02,110.4249,112.0385,-1.44
2025-09-01,110.5011,112.0385,-1.37
2025-08-29,110.4164,112.0385,-1.45
2025-08-28,110.733,112.0385,-1.17
2025-08-26,110.3209,112.0385,-1.53
2025-08-25,110.4825,112.0385,-1.39
2025-08-22,110.7135,112.0385,-1.18
2025-08-21,110.7351,112.0385,-1.16
2025-08-20,110.847,112.0385,-1.06
2025-08-19,110.894,112.0385,-1.02
2025-08-13,110.8575,112.0385,-1.05
2025-08-12,110.8757,112.0385,-1.04
2022-07-12,85.2815,86.2873,-1.17
2022-07-11,85.063,86.2873,-1.42
2022-07-08,85.0514,86.2873,-1.43
2022-07-07,85.0515,86.2873,-1.43
2022-07-06,85.1181,86.2873,-1.36
2022-07-05,84.9531,86.2873,-1.55
2022-07-04,84.9736,86.2873,-1.52
2022-07-01,84.8656,86.2873,-1.65
2022-06-30,84.8912,86.2873,-1.62
2022-06-29,84.4993,86.2873,-2.07
2022-06-28,84.454,86.2873,-2.12
2022-06-27,84.5848,86.2873,-1.97
2022-06-24,84.6775,86.2873,-1.87
2022-06-23,84.7114,86.2873,-1.83
2022-06-22,84.6801,86.2873,-1.86
2022-06-21,84.5446,86.2873,-2.02
2022-06-20,84.5462,86.2873,-2.02
2022-06-17,84.4674,86.2873,-2.11
2022-06-16,84.8117,86.2873,-1.71
2022-06-15,84.7739,86.2873,-1.75
2022-06-14,84.7626,86.2873,-1.77
2022-06-13,84.7246,86.2873,-1.81
2022-06-10,84.8261,86.2873,-1.69
2022-06-09,84.917,86.2873,-1.59
2022-06-08,84.8759,86.2873,-1.64
2022-06-07,84.7304,86.2873,-1.8
2022-06-06,84.9136,86.2873,-1.59
2022-06-03,84.9758,86.2873,-1.52
2022-06-02,85.0426,86.2873,-1.44
2022-06-01,85.0846,86.2873,-1.39
2022-05-31,85.0965,86.2873,-1.38
2022-05-30,85.0941,86.2873,-1.38
2022-05-27,85.1356,86.2873,-1.33
2022-05-26,85.2276,86.2873,-1.23
2022-05-25,85.1736,86.2873,-1.29
2022-05-24,85.1623,86.2873,-1.3
2022-05-23,85.1006,86.2873,-1.38
2022-05-20,85.0764,86.2873,-1.4
2022-05-19,85.253,86.2873,-1.2
2022-05-18,85.1837,86.2873,-1.28
2022-05-17,85.1674,86.2873,-1.3
2022-05-13,85.1489,86.2873,-1.32
2022-05-12,85.2989,86.2873,-1.15
2022-05-11,85.3016,86.2873,-1.14
2022-05-10,85.1421,86.2873,-1.33
2022-05-09,84.9444,86.2873,-1.56
2022-05-06,84.9944,86.2873,-1.5
2022-05-05,85.0938,86.2873,-1.38
2022-05-04,85.1805,86.2873,-1.28
2022-05-02,85.4062,86.2873,-1.02
2022-04-29,85.3551,86.2873,-1.08
2022-04-28,85.3173,86.2873,-1.12
2022-04-27,85.4222,86.2873,-1.0
2022-04-22,85.2533,86.2873,-1.2
2022-04-21,85.2247,86.2873,-1.23
2022-04-20,85.2472,86.2873,-1.21
2022-04-19,85.2257,86.2873,-1.23
2022-04-18,85.213,86.2873,-1.25
2022-04-13,85.0606,86.2873,-1.42
2022-04-12,85.1135,86.2873,-1.36
2022-04-11,85.1599,86.2873,-1.31
2022-04-08,85.1912,86.2873,-1.27
2022-04-07,85.3357,86.2873,-1.1
2022-04-06,85.3251,86.2873,-1.12
2022-04-05,85.3359,86.2873,-1.1
2022-04-04,85.339,86.2873,-1.1
2022-03-30,85.3923,86.2873,-1.04
2022-03-29,85.2828,86.2873,-1.16
2022-03-28,85.2434,86.2873,-1.21
2022-03-25,85.251,86.2873,-1.2
2022-03-24,85.1719,86.2873,-1.29
2022-03-23,85.1586,86.2873,-1.31
2022-03-22,85.0804,86.2873,-1.4
2022-03-21,85.1041,86.2873,-1.37
2022-03-17,85.1148,86.2873,-1.36
2022-03-16,85.0154,86.2873,-1.47
2022-03-15,84.9466,86.2873,-1.55
2022-03-14,84.8492,86.2873,-1.67
2022-03-11,84.8144,86.2873,-1.71
2022-03-10,84.9284,86.2873,-1.57
2022-03-09,84.735,86.2873,-1.8
2022-03-08,84.6229,86.2873,-1.93
2022-03-07,84.6675,86.2873,-1.88
2022-03-04,84.987,86.2873,-1.51
2022-03-03,84.9667,86.2873,-1.53
2022-03-02,85.1152,86.2873,-1.36
2022-02-28,85.3452,86.2873,-1.09
2022-02-25,85.2637,86.2873,-1.19
2022-02-24,85.2227,86.2873,-1.23
2022-02-23,85.3445,86.2873,-1.09
2022-02-22,85.222,86.2873,-1.23
2022-02-21,85.3673,86.2873,-1.07
2022-02-17,85.2654,86.2873,-1.18
2022-02-16,85.2939,86.2873,-1.15
2022-02-15,85.3599,86.2873,-1.07
2022-02-11,85.1267,86.2873,-1.35
2022-02-10,84.9546,86.2873,-1.54
2022-02-09,84.6416,86.2873,-1.91
2022-02-08,84.4168,86.2873,-2.17
2022-02-04,83.6841,86.2873,-3.02
2022-02-03,83.6046,86.2873,-3.11
2022-02-02,83.6995,86.2873,-3.0
2022-02-01,83.9265,86.2873,-2.74
2022-01-31,84.6702,86.2873,-1.87
2022-01-28,84.2807,86.2873,-2.33
2022-01-27,84.2466,86.2873,-2.37
2022-01-25,84.567,86.2873,-1.99
2022-01-24,84.5822,86.2873,-1.98
2022-01-21,84.6119,86.2873,-1.94
