symbol,ex_date,action_type,ratio,issue_price,premium,remarks
ABB,20-Dec-2019,DEMERGER,1:1,,, Demerger
ADANIENT,17-Nov-2025,RIGHTS,3:25,1800.0,1799.0,Rights 3:25 @ Premium Rs 1799/-
ADANIPOWER,22-Sep-2025,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
APOLLOHOSP,02-Sep-2010,SPLIT,1:2,,,Face Value Split From Rs.10/- To Rs.5/-
AUBANK,09-Jun-2022,BONUS,1:1,,,Bonus 1:1
AXISBANK,28-Jul-2014,SPLIT,1:5,,,Face Value Split From Rs 10/- To Rs 2/- Per Share
BAJAJ-AUTO,08-Sep-2010,BONUS,1:1,,,Bonus 1:1
BAJAJFINSV,06-Sep-2012,RIGHTS,1:10,646.0,645.0,Rights 1:10 @ Premium Rs.645/- Per Share
BAJAJFINSV,13-Sep-2022,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
BAJAJFINSV,13-Sep-2022,BONUS,1:1,,,Bonus 1:1
BAJFINANCE,08-Sep-2016,BONUS,1:1,,, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BAJFINANCE,16-Jun-2025,BONUS,4:1,,,Bonus 4:1
BAJFINANCE,16-Jun-2025,SPLIT,1:2,,,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
BAJFINANCE,23-Jan-2013,RIGHTS,3:19,1091.0,1090.0,Rights 3:19 @ Premium Rs 1090 Per Share
BANKBARODA,22-Jan-2015,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
BEL,15-Sep-2022,BONUS,2:1,,,Bonus 2:1
BERGEPAINT,08-Jan-2015,SPLIT,1:2,,,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
BERGEPAINT,15-Jul-2016,BONUS,2:5,,, Bonus 2:5
BERGEPAINT,22-Sep-2023,BONUS,1:5,,,Bonus 1:5
BHARTIARTL,23-Apr-2019,RIGHTS,19:67,220.0,215.0, Rights 19:67 @ Premium Rs 215 Per Share
BHARTIARTL,27-Sep-2021,RIGHTS,1:14,535.0,530.0, Rights 1:14 @ Premium Rs 530/-
BHEL,28-Sep-2017,BONUS,1:2,,, Bonus 1:2  
BPCL,13-Jul-2017,BONUS,1:2,,, Bonus 1:2
BPCL,21-Jun-2024,BONUS,1:1,,,Bonus 1:1
BRITANNIA,29-Nov-2018,SPLIT,1:2,,, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
CANBK,15-May-2024,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CHOLAFIN,14-Jun-2019,SPLIT,1:5,,, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DIVISLAB,23-Sep-2015,BONUS,1:1,,, Bonus 1:1
DRREDDY,28-Oct-2024,SPLIT,1:5,,,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
EICHERMOT,24-Aug-2020,SPLIT,1:10,,, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
