date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-06,1321.95,1340.0,1275.0,1287.0,1285.0,1322.25,1293.36,31293.0,404.73,2997.0,16769,53.59
2020-01-07,1298.0,1315.0,1289.0,1306.75,1299.95,1287.0,1302.89,27246.0,354.99,2127.0,10635,39.03
2020-01-08,1300.0,1318.0,1285.05,1310.7,1307.4,1306.75,1300.71,16798.0,218.49,2054.0,7900,47.03
2020-01-09,1319.0,1339.0,1285.0,1322.1,1337.4,1310.7,1313.47,49113.0,645.08,2834.0,18860,38.4
2020-01-10,1337.4,1405.8,1331.5,1372.4,1378.0,1322.1,1378.65,147240.0,2029.92,10878.0,36074,24.5
2020-01-13,1379.4,1411.0,1370.1,1376.85,1379.0,1372.4,1385.82,37463.0,519.17,3647.0,20961,55.95
2020-01-14,1372.0,1411.0,1362.0,1369.2,1369.0,1376.85,1387.62,96552.0,1339.77,5496.0,66834,69.22
2020-01-15,1373.8,1373.8,1315.0,1327.05,1328.55,1369.2,1332.88,89843.0,1197.5,12396.0,56439,62.82
2020-01-16,1332.0,1345.0,1295.1,1306.35,1300.05,1327.05,1317.07,68577.0,903.2,9011.0,42670,62.22
2020-01-17,1307.15,1314.75,1292.05,1302.75,1309.0,1306.35,1304.24,35098.0,457.76,4454.0,16783,47.82
2020-01-20,1303.0,1316.0,1280.0,1290.6,1287.85,1302.75,1300.32,38416.0,499.53,3317.0,15986,41.61
2020-01-21,1290.0,1319.45,1286.0,1310.15,1311.0,1290.6,1309.98,37591.0,492.43,2047.0,24250,64.51
2020-01-22,1315.0,1315.35,1295.0,1303.3,1304.55,1310.15,1304.81,14625.0,190.83,1351.0,8076,55.22
2020-01-23,1309.0,1320.0,1302.0,1316.4,1319.0,1303.3,1312.24,13495.0,177.09,1082.0,8123,60.19
2020-01-24,1318.0,1364.85,1301.45,1329.05,1321.0,1316.4,1333.31,198401.0,2645.31,5750.0,101758,51.29
2020-01-27,1312.0,1360.0,1312.0,1339.6,1345.0,1329.05,1343.68,45579.0,612.44,3895.0,17902,39.28
2020-01-28,1340.85,1352.0,1324.0,1329.75,1336.0,1339.6,1338.42,18818.0,251.86,2073.0,5033,26.75
2020-01-29,1331.0,1355.15,1331.0,1342.25,1341.7,1329.75,1343.88,17111.0,229.95,1338.0,7252,42.38
2020-01-30,1323.0,1346.85,1323.0,1331.75,1332.0,1342.25,1330.92,22645.0,301.39,2198.0,12356,54.56
2020-01-31,1349.0,1349.0,1295.0,1310.7,1304.95,1331.75,1323.19,16129.0,213.42,2299.0,7881,48.86
2020-02-01,1313.0,1328.55,1266.0,1281.25,1270.0,1310.7,1301.81,20836.0,271.25,1960.0,10670,51.21
2020-02-03,1282.0,1315.0,1282.0,1292.3,1298.0,1281.25,1295.48,20304.0,263.03,3495.0,8773,43.21
2020-02-04,1301.0,1324.0,1293.8,1311.3,1310.05,1292.3,1308.75,21892.0,286.51,1867.0,8094,36.97
2020-02-05,1318.0,1348.0,1313.95,1338.5,1335.0,1311.3,1335.42,38870.0,519.08,3713.0,15193,39.09
2020-02-06,1339.7,1360.95,1324.3,1339.45,1334.95,1338.5,1341.17,25507.0,342.09,2070.0,8232,32.27
2020-02-07,1333.0,1340.0,1316.0,1328.95,1332.0,1339.45,1326.21,35789.0,474.64,1913.0,18121,50.63
2020-02-10,1332.0,1379.0,1317.0,1341.95,1340.0,1328.95,1360.73,186488.0,2537.6,8704.0,27684,14.84
2020-02-11,1349.0,1365.0,1322.0,1334.2,1328.0,1341.95,1344.06,45537.0,612.04,3611.0,14536,31.92
2020-02-12,1339.8,1344.0,1255.2,1274.45,1267.0,1334.2,1292.92,290668.0,3758.11,16576.0,60864,20.94
2020-02-13,1273.0,1278.15,1226.15,1268.65,1270.0,1274.45,1244.8,208984.0,2601.43,12735.0,79926,38.25
2020-02-14,1268.85,1280.0,1229.35,1233.1,1230.0,1268.65,1244.36,56198.0,699.31,4186.0,28006,49.83
2020-02-17,1254.0,1254.0,1213.0,1223.5,1221.05,1233.1,1223.44,85129.0,1041.51,5258.0,57155,67.14
2020-02-18,1220.5,1227.0,1200.7,1205.1,1203.0,1223.5,1208.18,41542.0,501.9,3432.0,19469,46.87
2020-02-19,1210.0,1229.0,1202.0,1209.75,1213.0,1205.1,1218.09,40075.0,488.15,2924.0,14269,35.61
2020-02-20,1213.9,1246.9,1213.35,1230.9,1228.65,1209.75,1232.06,48608.0,598.88,4641.0,20858,42.91
2020-02-24,1225.0,1225.0,1190.0,1191.95,1192.0,1230.9,1201.45,44916.0,539.64,4395.0,30551,68.02
2020-02-25,1192.0,1217.9,1192.0,1200.2,1202.0,1191.95,1203.69,24401.0,293.71,1956.0,12680,51.97
2020-02-26,1195.0,1212.35,1190.0,1201.4,1200.0,1200.2,1202.29,25367.0,304.99,2002.0,9992,39.39
2020-02-27,1198.0,1203.0,1189.0,1198.6,1198.0,1201.4,1197.17,40112.0,480.21,2688.0,29530,73.62
2020-02-28,1188.0,1195.0,1175.0,1185.0,1185.1,1198.6,1186.63,39171.0,464.82,2436.0,28335,72.34
2020-03-02,1185.0,1198.9,1182.05,1190.2,1190.0,1185.0,1190.99,99510.0,1185.16,2500.0,85037,85.46
2020-03-03,1199.0,1204.85,1154.0,1161.0,1162.0,1190.2,1166.04,45482.0,530.34,3437.0,26170,57.54
