date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,202.62,204.03,200.34,201.51,207.55,208.35,208.21,1602012.4086499533,3233.77,10641,238996,15.39
2020-01-02,201.65,206.69,201.17,204.76,210.9,207.85,210.76,3086109.635528141,6305.94,19649,497418,16.63
2020-01-03,203.83,205.87,199.52,201.94,208.35,211.2,208.83,2591500.6420934824,5246.74,14792,497223,19.79
2020-01-06,201.41,201.41,191.72,193.46,199.35,208.3,200.83,4490197.372831968,8742.54,25330,715111,16.43
2020-01-07,194.43,199.42,194.43,197.82,202.95,199.55,203.44,3059480.03321351,6034.38,17757,421095,14.2
2020-01-08,194.87,197.34,188.61,195.35,200.5,204.05,199.39,5944036.266677669,11490.29,35823,422064,7.32
2020-01-09,195.74,202.53,195.74,201.65,208.0,201.5,205.9,3606103.2403802015,7198.31,20369,626207,17.91
2020-01-10,201.65,206.5,199.62,202.72,210.5,208.0,208.64,2856291.742523092,5777.5,16595,459379,16.59
2020-01-13,204.22,209.65,203.2,207.08,212.6,209.1,213.6,3638289.401073766,7534.32,20596,381541,10.82
2020-01-14,206.94,208.92,205.39,207.81,213.05,213.6,213.78,1831056.6950494333,3795.06,10469,237545,13.38
2020-01-15,207.95,211.35,206.02,209.99,218.0,214.35,215.4,2044465.8762126283,4269.38,11161,370145,18.67
2020-01-16,211.06,215.71,210.38,213.29,219.5,216.6,220.12,4415105.958318076,9421.8,27655,404320,9.45
2020-01-17,209.41,222.25,207.18,221.43,227.75,220.0,222.44,11151017.292686323,24047.53,48991,3122170,28.88
2020-01-20,222.55,225.16,217.31,219.64,225.95,228.4,227.45,4689466.056720836,10340.66,31281,359424,7.91
2020-01-21,217.5,220.07,213.77,217.41,223.65,226.55,224.05,2902083.0647199284,6303.69,19279,212413,7.55
2020-01-22,217.94,221.04,214.4,219.01,225.4,224.25,225.51,3031883.938379655,6628.59,19573,292711,9.96
2020-01-23,219.1,224.14,218.86,222.59,228.7,225.9,229.03,2733504.9020871907,6069.62,15737,278521,10.51
2020-01-24,218.62,225.31,212.32,222.74,229.0,229.6,226.83,7379995.564655461,16229.49,41155,591387,8.27
2020-01-27,222.5,229.23,219.15,223.51,230.7,229.75,233.17,5460605.372955744,12343.87,36646,506488,9.57
2020-01-28,225.16,227.34,222.11,222.88,229.3,230.55,231.75,2229751.878574707,5009.71,16321,195605,9.05
2020-01-29,224.63,231.08,223.95,225.21,231.75,229.9,234.67,3855847.176593758,8772.51,23294,368559,9.86
2020-01-30,225.21,225.65,221.24,224.44,229.6,232.3,230.56,2261121.1106927902,5054.17,12795,318284,14.52
2020-01-31,223.95,227.39,220.22,222.45,228.55,231.5,231.44,2805930.9839760284,6296.0,18857,219478,8.07
2020-02-03,214.93,217.79,209.02,214.16,221.4,222.8,220.83,2806246.6154711004,6007.92,16315,176647,6.49
2020-02-04,215.86,220.22,215.27,218.57,224.6,220.9,225.19,2091923.031300123,4567.12,11967,290240,14.31
2020-02-05,219.83,232.0,215.76,229.04,236.9,225.45,231.26,9268755.060676545,20781.27,58565,658994,7.33
2020-02-06,230.16,236.17,226.96,229.28,234.7,236.25,239.0,9131317.142606642,21157.8,55491,1135069,12.82
2020-02-07,229.19,234.76,228.07,232.19,238.45,236.5,239.54,5211471.038747376,12102.45,38871,924581,18.3
2020-02-10,232.19,237.67,230.3,237.04,243.7,239.5,242.4,5764102.590550653,13545.99,41378,1335516,23.9
2020-02-11,237.72,241.01,236.22,237.81,244.5,244.5,246.34,3644977.4880477777,8705.12,23934,493457,13.96
2020-02-12,238.4,243.73,237.52,242.08,248.75,245.3,249.3,4631646.699020614,11194.44,31166,919008,20.47
2020-02-13,242.18,245.04,240.67,243.78,251.0,249.7,250.81,2643824.298467743,6428.52,18466,495465,19.33
2020-02-14,244.79,250.71,243.87,248.33,255.95,251.45,256.0,5124705.384817712,12718.77,38927,1050348,21.14
2020-02-17,249.06,249.55,243.97,244.79,252.6,256.15,254.82,2487427.861184031,6145.1,18128,248964,10.32
2020-02-18,243.97,243.97,237.77,241.84,248.9,252.5,248.3,2506945.440104798,6034.79,16739,275343,11.33
2020-02-19,242.37,247.7,242.27,246.25,252.85,249.45,253.23,2167881.916687726,5322.31,13713,219673,10.45
2020-02-20,245.47,253.04,244.94,250.76,257.7,254.0,257.39,3206004.218734689,8000.11,18560,501788,16.14
2020-02-24,247.02,248.04,236.65,239.71,244.95,258.65,250.29,3413373.0795216016,8282.64,18619,572209,17.29
2020-02-25,242.18,244.07,235.0,238.93,246.25,247.25,247.2,3414144.623176222,8182.37,18849,328416,9.92
2020-02-26,236.55,238.78,233.65,235.39,241.4,246.45,244.05,2988586.723879173,7070.99,17903,374678,12.93
2020-02-27,234.08,234.08,224.97,227.0,232.5,242.8,236.73,3680361.2227110267,8446.82,20571,375879,10.53
2020-02-28,214.26,219.88,210.38,211.98,217.5,234.15,221.29,3470070.1919060117,7444.74,18914,489311,14.54
2020-03-02,216.2,219.78,209.55,211.93,218.0,218.65,222.15,3262158.7750197267,7025.62,19406,528799,16.72
2020-03-03,214.26,221.67,212.56,218.86,224.95,218.6,223.7,3086349.9693136043,6693.58,17147,700989,23.43
2020-03-04,219.2,220.07,207.03,214.35,222.7,225.75,219.77,5380987.844061538,11464.74,23482,669230,12.83
2020-03-05,216.92,219.93,212.66,214.98,221.0,221.1,223.25,3258513.540694286,7052.73,22545,372056,11.78
2020-03-06,208.54,210.14,201.17,208.2,212.0,221.75,212.6,4512938.312609272,9301.58,28384,325851,7.45
2020-03-09,200.68,202.14,191.23,193.61,198.85,214.75,203.37,2850986.8641598374,5621.14,17488,393278,14.23
2020-03-11,191.38,198.74,186.38,189.78,192.55,199.7,199.33,3881639.2208234267,7501.24,21387,336741,8.95
2020-03-12,174.6,178.29,155.55,157.2,161.25,195.75,171.55,4986554.717195212,8293.22,31733,590824,12.22
2020-03-13,141.5,156.43,125.79,144.21,150.3,162.15,150.25,7698598.740568446,11214.39,53874,1133133,15.18
2020-03-16,136.7,137.96,124.72,130.59,135.8,148.75,137.39,6790047.293150486,9044.39,40424,1282227,19.48
2020-03-17,131.56,138.2,126.52,129.33,134.5,134.7,135.07,6589129.279978545,8628.1,36452,1600392,25.05
2020-03-18,131.75,132.82,123.22,126.23,132.5,133.4,131.38,4389637.797387272,5590.99,35656,1042913,24.51
2020-03-19,117.31,128.89,114.59,124.97,130.0,130.2,125.84,5690732.708603021,6942.75,29278,1027051,18.62
2020-03-20,133.79,137.28,124.77,133.5,138.75,128.9,135.52,4637927.35318236,6093.6,27480,679040,15.1
2020-03-23,119.3,130.88,114.59,117.21,120.15,137.7,126.54,1501975.791270623,1842.63,14699,367618,25.25
2020-03-24,121.19,128.89,112.85,126.37,131.8,120.9,125.63,5287263.85658365,6439.65,19507,3210068,62.62
2020-03-25,122.16,130.78,121.19,128.26,134.0,130.35,129.7,2858546.547909457,3594.45,19080,973175,35.12
2020-03-26,130.88,147.36,128.02,135.97,140.0,132.3,142.42,8231437.309499373,11365.5,34716,3850624,48.25
2020-03-27,141.54,146.39,122.4,124.09,129.0,140.25,137.72,4516177.145597921,6029.92,32564,1063364,24.29
2020-03-30,120.22,125.84,117.31,124.77,128.5,128.0,127.22,2473067.659633723,3050.29,22668,424282,17.7
2020-03-31,127.68,134.23,125.5,133.4,136.0,128.7,134.29,2269480.1879348313,2954.66,16220,391919,17.81
2020-04-01,134.71,134.71,127.78,129.86,133.3,137.6,134.86,2060483.6588498016,2693.89,15540,310886,15.56
2020-04-03,129.91,130.49,124.09,125.11,129.05,133.95,129.68,1817405.1171498268,2284.94,14137,313670,17.8
2020-04-07,127.0,137.18,127.0,133.93,137.0,129.05,136.09,2541065.617312284,3352.56,17669,408903,16.6
2020-04-08,132.67,142.66,130.78,133.89,137.5,138.15,141.01,3339185.2375230147,4564.92,23696,255480,7.89
2020-04-09,135.73,141.79,135.73,138.1,142.45,138.1,142.9,2433795.2624331475,3371.85,16405,335061,14.2
2020-04-13,137.67,144.45,132.38,141.54,149.0,142.45,142.33,2273949.5711640716,3137.76,16097,245556,20.62
2020-04-15,143.53,146.34,138.83,140.82,145.0,146.0,147.1,3520960.0973712844,5021.25,29711,732664,21.46
2020-04-16,137.67,140.43,136.26,138.93,143.2,145.25,142.35,2770228.523391285,3823.22,20157,618268,23.02
2020-04-17,142.47,144.02,137.23,139.51,143.95,143.3,144.54,2459071.5689257695,3445.95,26603,624508,26.2
2020-04-20,141.54,150.71,138.25,142.22,146.9,143.9,150.36,7050411.300845294,10277.3,47481,1295499,18.95
2020-04-21,138.64,138.64,130.06,131.8,135.55,146.7,136.89,3688739.8979870756,4895.57,29177,779896,21.81
2020-04-22,131.85,134.56,128.07,133.4,137.75,135.95,134.92,6201398.680742868,8111.87,27169,354720,5.9
2020-04-23,136.21,138.15,133.3,136.21,139.6,137.6,140.85,3477387.4789192197,4748.49,24817,478111,14.18
2020-04-24,132.96,136.26,130.01,130.54,134.4,140.5,137.45,1880552.0456737338,2506.0,13960,534746,29.33
2020-04-27,132.24,134.13,130.01,130.49,134.3,134.65,135.9,3091262.886996704,4072.81,20929,536169,17.89
2020-04-28,131.8,137.57,130.93,135.05,138.9,134.6,139.89,5901286.76565393,8003.3,42803,1090566,19.06
2020-04-29,135.73,136.41,131.51,135.24,140.0,139.3,137.55,4924640.401862845,6567.3,34981,920217,19.27
2020-04-30,137.13,142.95,136.02,137.09,141.4,139.5,143.48,5054561.95815304,7031.2,42301,905350,18.48
2020-05-04,132.72,133.3,126.03,127.54,131.5,141.4,132.5,6202629.23098346,7967.88,37151,1670026,27.77
2020-05-05,130.88,132.19,127.78,128.65,133.15,131.55,134.29,3210452.9724544473,4179.88,24886,824778,26.5
2020-05-06,129.57,131.27,123.42,129.18,131.15,132.7,131.52,6899013.393709031,8796.68,51885,472745,7.07
2020-05-07,127.1,131.51,126.03,130.78,135.25,133.25,134.29,2499758.119001325,3254.48,21123,739436,30.51
2020-05-08,132.72,135.1,132.04,132.96,137.0,134.9,137.55,2508006.8283676384,3344.48,19115,589247,24.23
2020-05-11,133.64,138.93,133.3,135.78,139.3,137.15,141.12,2992023.600158847,4093.56,22483,925429,31.9
2020-05-12,134.27,136.41,129.14,135.63,139.75,140.05,137.46,2993291.283516506,3988.99,20537,656293,22.62
2020-05-13,140.58,140.58,136.46,136.84,141.1,139.9,142.15,3213087.3608152783,4428.18,21894,1345423,43.19
2020-05-14,135.29,138.01,133.21,136.6,140.5,141.15,140.26,1637415.74134721,2226.64,10379,476693,30.03
2020-05-15,137.09,139.31,135.73,136.75,141.05,140.9,141.89,2213234.8618080732,3044.56,16299,631049,29.41
2020-05-18,140.38,141.93,130.25,131.75,135.9,141.05,141.11,5097073.188342264,6972.96,34898,611539,12.38
2020-05-19,133.6,141.45,130.35,135.44,139.3,135.9,140.55,5739538.002135154,7820.59,37989,901880,16.21
