date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,368.0,379.25,366.0,377.65,377.45,366.0,375.71,11377167.0,42744.59,89107.0,1155555,10.16
2020-01-02,377.95,384.7,376.5,383.15,382.5,377.65,381.66,5919760.0,22593.37,54749.0,1072204,18.11
2020-01-03,382.7,384.35,379.2,382.5,382.0,383.15,382.01,3684824.0,14076.36,41829.0,1082913,29.39
2020-01-06,388.0,388.0,374.75,380.2,380.0,382.5,381.73,12482680.0,47650.71,97444.0,2245696,17.99
2020-01-07,384.05,389.75,382.4,384.8,384.05,380.2,385.49,8091465.0,31191.78,58470.0,3028819,37.43
2020-01-08,379.0,387.6,378.25,385.65,385.4,384.8,383.67,4620991.0,17729.22,37166.0,1442143,31.21
2020-01-09,389.15,394.0,386.05,391.8,391.8,385.65,391.3,4186783.0,16382.84,45704.0,1082332,25.85
2020-01-10,391.8,394.3,390.0,392.05,391.3,391.8,392.41,2405154.0,9438.08,26327.0,788775,32.8
2020-01-13,391.9,393.9,389.3,390.35,390.05,392.05,391.24,1516112.0,5931.68,19174.0,497886,32.84
2020-01-14,391.0,392.6,386.0,389.2,389.25,390.35,389.54,1963128.0,7647.22,33582.0,661362,33.69
2020-01-15,389.3,391.4,386.0,390.8,390.55,389.2,388.83,1536571.0,5974.71,24601.0,447618,29.13
2020-01-16,392.0,394.6,389.8,390.95,391.0,390.8,392.07,1340762.0,5256.74,16681.0,294794,21.99
2020-01-17,390.9,392.4,386.0,387.6,386.0,390.95,389.03,1644832.0,6398.91,25587.0,612360,37.23
2020-01-20,387.65,389.2,378.8,380.05,379.85,387.6,382.18,1760945.0,6729.89,27756.0,470153,26.7
2020-01-21,378.8,382.0,375.3,379.95,379.7,380.05,378.66,2005178.0,7592.76,28978.0,843545,42.07
2020-01-22,379.95,385.0,379.0,383.6,384.0,379.95,382.9,1817459.0,6958.98,24026.0,566400,31.16
2020-01-23,384.45,386.75,380.75,385.85,385.0,383.6,384.4,1202104.0,4620.87,22112.0,360665,30.0
2020-01-24,383.0,387.4,380.3,384.75,384.75,385.85,384.18,1572385.0,6040.84,23068.0,345643,21.98
2020-01-27,383.7,386.25,379.8,381.25,380.7,384.75,382.77,1076027.0,4118.76,21136.0,259566,24.12
2020-01-28,380.7,381.5,370.2,372.95,373.75,381.25,375.37,2220618.0,8335.46,42216.0,841792,37.91
2020-01-29,377.5,387.75,373.75,383.35,382.5,372.95,383.81,3588224.0,13772.05,46533.0,454883,12.68
2020-01-30,381.0,383.7,376.85,378.0,378.0,383.35,379.78,1526892.0,5798.86,21621.0,385344,25.24
2020-01-31,380.05,381.55,368.25,369.4,369.55,378.0,371.94,2912256.0,10831.86,41584.0,1073862,36.87
2020-02-03,364.0,370.0,355.5,367.35,369.0,362.3,364.92,2857926.0,10429.29,28177.0,773965,27.08
2020-02-04,370.1,376.0,366.35,372.5,368.35,367.35,372.34,3061868.0,11400.64,37727.0,767128,25.05
2020-02-05,372.0,372.5,361.1,366.6,368.0,372.5,365.67,3441871.0,12586.01,36629.0,769088,22.35
2020-02-06,370.0,373.2,367.65,370.2,370.1,366.6,370.77,4172547.0,15470.64,27386.0,2556457,61.27
2020-02-07,370.2,373.7,367.2,369.55,369.55,370.2,369.9,2197903.0,8130.02,21700.0,1058348,48.15
2020-02-10,370.05,373.45,366.15,368.25,369.0,369.55,368.86,1537598.0,5671.64,19031.0,509301,33.12
2020-02-11,370.5,378.4,369.05,374.2,374.05,368.25,374.67,2836917.0,10629.21,38209.0,1268390,44.71
2020-02-12,376.95,378.9,371.6,374.1,374.7,374.2,375.02,1873710.0,7026.71,26698.0,493372,26.33
2020-02-13,374.0,374.7,367.0,369.1,369.6,374.1,369.0,1602247.0,5912.34,24356.0,519533,32.43
2020-02-14,370.3,372.0,366.0,366.85,366.1,369.1,368.82,1012713.0,3735.09,18539.0,224958,22.21
2020-02-17,366.85,366.85,359.4,362.8,362.45,366.85,361.85,1979626.0,7163.34,26024.0,700597,35.39
2020-02-18,362.5,368.45,358.35,366.6,368.0,362.8,362.66,1693616.0,6142.03,19816.0,475921,28.1
2020-02-19,371.0,374.45,367.35,371.3,371.3,366.6,370.42,2057811.0,7622.53,21684.0,609775,29.63
2020-02-20,371.0,374.5,370.0,370.85,370.5,371.3,372.28,1799254.0,6698.22,20182.0,808140,44.92
2020-02-24,367.65,371.4,361.5,362.25,362.3,370.85,367.03,2070656.0,7599.88,24653.0,745818,36.02
2020-02-25,362.3,364.7,355.6,358.4,358.75,362.25,358.01,2530137.0,9058.19,48185.0,1108130,43.8
2020-02-26,356.9,362.5,352.9,358.4,357.6,358.4,357.72,4164401.0,14897.01,40532.0,2054053,49.32
2020-02-27,358.7,360.75,351.5,353.7,354.0,358.4,353.93,1977795.0,6999.98,37054.0,749911,37.92
2020-02-28,347.0,348.65,339.2,342.2,344.85,353.7,343.99,4299292.0,14788.98,39508.0,2037570,47.39
2020-03-02,346.1,351.05,338.3,340.65,340.5,342.2,346.05,2510491.0,8687.6,38730.0,1206740,48.07
2020-03-03,344.0,349.05,342.0,347.3,347.9,340.65,346.13,3671071.0,12706.66,63872.0,2201941,59.98
2020-03-04,347.8,349.8,339.9,345.95,347.0,347.3,345.31,3490806.0,12054.11,64937.0,1823815,52.25
2020-03-05,347.3,351.9,346.5,349.15,349.2,345.95,349.41,2709900.0,9468.76,34540.0,1088360,40.16
2020-03-06,339.8,343.2,331.25,341.4,341.2,349.15,337.52,3966036.0,13386.11,37831.0,1813690,45.73
2020-03-09,334.7,334.7,316.85,321.9,322.2,341.4,326.34,3230319.0,10541.77,34510.0,1024534,31.72
2020-03-11,322.8,326.35,316.2,320.2,320.9,321.9,321.61,5634636.0,18121.73,46713.0,3343698,59.34
2020-03-12,288.2,301.9,284.0,287.65,289.4,320.2,289.85,9895077.0,28680.55,111634.0,6082465,61.47
2020-03-13,260.0,300.7,232.0,292.75,295.0,287.65,278.89,21079070.0,58787.11,154916.0,13302073,63.11
2020-03-16,273.0,276.85,252.0,261.4,261.4,292.75,259.47,7727956.0,20052.11,80189.0,1720741,22.27
2020-03-17,265.0,283.35,265.0,267.15,265.95,261.4,273.83,9691227.0,26537.57,73505.0,4179471,43.13
2020-03-18,270.0,273.0,256.0,260.4,259.3,267.15,262.5,5581367.0,14651.14,47683.0,2323024,41.62
2020-03-19,248.0,264.15,241.0,258.35,257.0,260.4,255.92,8727962.0,22336.96,64991.0,3098794,35.5
2020-03-20,257.6,264.5,247.2,256.4,255.2,258.35,255.43,7028925.0,17953.81,68662.0,2620901,37.29
2020-03-23,235.0,235.8,203.0,207.8,215.0,256.4,211.6,5716818.0,12096.58,56925.0,2160081,37.78
