date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,12.36,12.86,12.31,12.78,63.7,61.8,63.25,82076985.0,10382.71,35031,2861554,17.43
2020-01-02,12.8,12.97,12.68,12.89,64.25,63.9,64.19,54982090.0,7058.18,26941,2394735,21.78
2020-01-03,12.88,12.99,12.54,12.65,63.2,64.45,63.88,40571160.0,5183.3,18570,1734020,21.37
2020-01-06,12.6,12.65,11.9,12.02,60.1,63.25,60.73,48504350.0,5891.09,19296,1964761,20.25
2020-01-07,12.07,12.35,11.93,12.2,60.6,60.1,60.89,43520100.0,5299.84,18340,1543625,17.73
2020-01-08,12.08,12.11,11.6,11.97,59.55,61.0,59.63,55747095.0,6648.68,21635,2476373,22.21
2020-01-09,12.07,12.32,12.02,12.23,60.9,59.85,60.87,46344725.0,5641.69,17962,1958821,21.13
2020-01-10,12.25,12.5,12.19,12.24,61.15,61.15,61.67,34556170.0,4261.94,16153,1483697,21.47
2020-01-13,12.26,12.54,12.15,12.46,62.25,61.2,61.86,57020085.0,7054.1,15823,2370788,20.79
2020-01-14,12.48,12.65,12.42,12.49,62.25,62.3,62.72,29165135.0,3658.42,14382,1241081,21.28
2020-01-15,12.44,12.81,12.34,12.66,63.15,62.45,63.22,48802285.0,6170.29,18975,1509151,15.46
2020-01-16,12.62,13.05,12.56,12.99,64.6,63.3,64.24,43808140.0,5628.87,17843,1748706,19.96
2020-01-17,12.9,13.19,12.84,12.92,64.4,64.95,64.97,44216440.0,5745.3,24948,1526857,17.27
2020-01-20,12.92,13.04,12.59,12.67,63.0,64.6,63.86,30977390.0,3956.37,12128,1540281,24.86
2020-01-21,12.58,12.71,12.48,12.55,62.65,63.35,62.98,23255365.0,2929.06,11527,693800,14.92
2020-01-22,12.58,12.68,12.45,12.5,62.55,62.75,62.76,16772155.0,2105.14,9138,470637,14.03
2020-01-23,12.52,12.74,12.46,12.67,63.15,62.5,63.16,22365335.0,2825.22,11974,829996,18.56
2020-01-24,12.64,12.89,12.51,12.71,63.6,63.35,63.66,27149200.0,3456.85,15573,947497,17.45
2020-01-27,12.67,13.05,12.54,12.94,64.3,63.55,64.18,41992715.0,5389.8,19422,2441086,29.07
2020-01-28,12.93,13.08,12.71,12.76,63.9,64.7,64.53,37221935.0,4803.92,20371,947960,12.73
2020-01-29,12.82,13.02,12.77,12.81,63.9,63.8,64.44,29536160.0,3806.62,12018,825352,13.97
2020-01-30,12.83,12.83,12.44,12.54,62.45,64.05,63.05,22544975.0,2843.11,9981,747023,16.57
2020-01-31,12.56,12.64,12.1,12.21,61.0,62.7,61.62,28770165.0,3545.63,11499,1675949,29.13
2020-02-03,12.0,12.01,11.66,11.8,59.0,59.85,59.02,31701770.0,3742.02,12971,1316687,20.77
2020-02-04,11.81,12.14,11.81,12.09,60.45,59.0,60.22,28217050.0,3398.42,10899,1135433,20.12
2020-02-05,12.12,12.53,12.1,12.4,61.9,60.45,61.48,24729760.0,3040.53,16839,1151805,23.29
2020-02-06,12.46,12.47,12.1,12.16,60.6,62.0,61.27,52458570.0,6428.39,32478,2075994,19.79
2020-02-07,12.14,12.36,12.04,12.17,60.75,60.8,61.02,24388880.0,2976.24,10460,611734,12.54
2020-02-10,12.2,12.2,11.84,11.98,59.7,60.85,59.9,31091860.0,3724.8,17927,1615007,25.97
2020-02-11,11.96,12.2,11.9,12.03,60.1,59.9,60.12,28622225.0,3441.78,17046,1500235,26.21
2020-02-12,12.03,12.22,11.96,12.09,60.45,60.15,60.36,23941465.0,2890.34,17631,760136,15.87
2020-02-13,12.12,12.23,11.92,12.02,60.05,60.45,60.55,31484825.0,3812.99,11298,997870,15.85
2020-02-14,12.05,12.1,11.78,11.92,59.35,60.1,59.59,37136420.0,4426.08,10606,1872831,25.22
2020-02-17,11.86,11.89,11.31,11.51,56.8,59.6,58.32,24396270.0,2845.7,11523,984290,20.17
2020-02-18,11.22,11.4,11.05,11.35,56.55,57.55,56.36,45082655.0,5081.9,16258,1025093,11.37
2020-02-19,11.45,11.82,11.29,11.69,58.3,56.75,57.72,35733185.0,4124.81,11967,1410877,19.74
2020-02-20,11.65,11.78,11.44,11.53,57.45,58.45,58.05,22593445.0,2623.04,9164,574743,12.72
2020-02-24,11.4,11.55,11.16,11.21,55.9,57.65,56.83,14286430.0,1623.75,8385,552113,19.32
2020-02-25,11.22,11.42,11.14,11.21,56.0,56.05,56.33,21684540.0,2443.16,8916,706047,16.28
2020-02-26,11.11,11.23,10.76,10.89,54.3,56.05,54.95,45535150.0,5004.47,12907,1942086,21.33
2020-02-27,10.9,10.94,10.48,10.56,52.95,54.45,53.06,30662265.0,3253.59,10466,1141854,18.62
2020-02-28,10.2,10.34,9.3,9.46,47.6,52.8,48.58,64084645.0,6226.8,23633,2914482,22.74
2020-03-02,9.84,10.01,9.29,9.41,46.75,47.3,48.68,47488965.0,4623.18,21981,1483814,15.62
2020-03-03,9.61,9.93,9.55,9.78,48.6,47.05,48.62,38872170.0,3780.24,13967,1130562,14.54
2020-03-04,9.7,9.78,9.2,9.53,47.3,48.9,47.46,47554875.0,4514.03,14337,802606,8.44
2020-03-05,9.5,9.66,9.27,9.35,46.5,47.65,47.23,46284330.0,4372.47,20637,1628127,17.59
2020-03-06,8.6,8.92,8.43,8.82,44.0,46.75,44.03,26815665.0,2361.55,11002,616110,11.49
2020-03-09,8.66,8.7,7.97,8.15,40.3,44.1,41.8,34655670.0,2897.04,13224,968099,13.97
2020-03-11,8.1,8.55,8.01,8.24,40.8,40.75,41.74,42149750.0,3518.49,15647,604052,7.17
2020-03-12,7.59,7.96,5.94,6.06,29.85,41.2,33.05,125016970.0,8264.65,50808,4817051,19.27
2020-03-13,5.46,6.34,4.6,6.19,31.25,30.3,29.13,103854820.0,6050.41,45668,5495678,26.46
