date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,332.95,336.0,330.0,333.9,335.0,331.4,333.42,147701,492.47,3178,49581,33.57
2020-01-02,335.0,366.4,332.6,356.65,352.7,333.9,353.64,1195881,4229.07,16312,323618,27.06
2020-01-03,354.65,356.1,343.0,346.55,346.0,356.65,350.99,355922,1249.23,8697,137971,38.76
2020-01-06,345.7,345.7,321.7,324.05,323.0,346.55,331.41,380525,1261.09,8542,151470,39.81
2020-01-07,328.0,344.0,327.65,332.05,332.0,324.05,333.38,397234,1324.29,11340,78564,19.78
2020-01-08,325.05,335.0,322.0,332.2,331.25,332.05,330.63,249746,825.73,6876,64631,25.88
2020-01-09,336.6,344.0,331.65,333.85,332.15,332.2,337.25,269745,909.72,5557,99839,37.01
2020-01-10,335.25,335.95,326.0,329.75,328.95,333.85,332.06,167427,555.96,6919,74490,44.49
2020-01-13,331.95,339.0,328.5,334.15,334.0,329.75,334.76,196364,657.35,7935,89929,45.8
2020-01-14,335.4,337.5,331.4,333.05,332.65,334.15,334.32,68981,230.62,4128,28353,41.1
2020-01-15,333.0,336.45,330.1,334.05,334.1,333.05,333.7,84451,281.81,3293,26690,31.6
2020-01-16,332.55,343.0,332.55,339.9,339.9,334.05,339.93,257554,875.51,7005,128499,49.89
2020-01-17,335.25,347.0,335.25,340.75,339.25,339.9,342.54,181247,620.84,4838,75649,41.74
2020-01-20,342.7,345.4,337.15,339.05,339.0,340.75,341.49,93144,318.08,2530,37288,40.03
2020-01-21,338.0,345.4,330.0,332.7,333.8,339.05,337.46,108524,366.22,2739,39769,36.65
2020-01-22,335.65,339.0,329.55,332.6,332.0,332.7,334.05,96354,321.87,4031,30393,31.54
2020-01-23,332.6,337.5,330.0,332.9,332.5,332.6,334.48,95177,318.35,3201,30274,31.81
2020-01-24,331.0,334.9,326.5,333.3,334.05,332.9,332.0,122135,405.49,5653,44524,36.45
2020-01-27,331.0,334.55,328.4,330.05,328.4,333.3,331.59,92228,305.82,4041,29990,32.52
2020-01-28,330.0,332.45,321.0,324.65,324.5,330.05,327.12,110037,359.96,4897,54845,49.84
2020-01-29,327.8,329.05,321.0,323.9,323.55,324.65,324.9,93414,303.5,4192,38405,41.11
2020-01-30,326.45,326.45,316.6,320.8,321.6,323.9,320.81,65326,209.57,2696,38758,59.33
2020-01-31,323.7,335.0,319.45,332.1,334.0,320.8,323.78,451856,1463.02,3705,361329,79.97
2020-02-01,334.0,347.95,323.65,332.2,331.9,332.1,338.81,240341,814.31,4495,100220,41.7
2020-02-03,334.65,338.85,321.55,332.05,331.0,332.2,332.11,118451,393.38,4517,47613,40.2
2020-02-04,333.0,338.0,327.9,333.9,333.8,332.05,332.98,150439,500.93,4447,56466,37.53
2020-02-05,335.6,340.0,334.05,338.75,339.5,333.9,337.78,138145,466.63,5288,71833,52.0
2020-02-06,340.9,343.75,335.65,338.65,340.0,338.75,338.96,99932,338.73,5291,48523,48.56
2020-02-07,340.0,346.9,325.2,329.75,332.3,338.65,337.23,526919,1776.95,20595,330539,62.73
2020-02-10,332.15,336.0,327.95,331.95,332.0,329.75,332.09,88192,292.87,2932,35138,39.84
2020-02-11,332.5,340.0,331.0,337.35,338.0,331.95,335.97,168229,565.2,6123,53410,31.75
2020-02-12,337.45,342.0,333.15,335.6,334.3,337.35,337.98,126766,428.44,6843,60632,47.83
