date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,197.2,197.75,195.8,197.0,196.95,196.25,196.95,1459556,2874.55,9803,573653,39.3
2020-01-02,197.35,206.4,197.2,205.35,205.2,197.0,204.5,8633553,17655.24,52407,3116407,36.1
2020-01-03,204.95,205.8,202.25,203.4,203.7,205.35,203.78,2007973,4091.78,14470,823023,40.99
2020-01-06,202.85,202.85,196.35,196.9,196.9,203.4,198.48,2119702,4207.11,15192,749538,35.36
2020-01-07,198.1,202.55,196.7,199.0,199.1,196.9,199.1,3557312,7082.67,24608,1432101,40.26
2020-01-08,196.0,204.6,195.65,201.65,201.7,199.0,201.88,4943334,9979.37,33909,861913,17.44
2020-01-09,203.9,209.3,203.85,207.95,207.9,201.65,206.87,5537880,11456.22,58179,2980169,53.81
2020-01-10,208.55,214.0,206.8,211.75,212.1,207.95,211.46,5362463,11339.57,44689,2102309,39.2
2020-01-13,212.6,214.8,210.65,211.5,211.4,211.75,212.12,2628821,5576.27,20328,749813,28.52
2020-01-14,212.2,212.45,208.8,209.3,209.3,211.5,210.67,3725008,7847.58,26631,2149770,57.71
2020-01-15,209.0,212.9,206.65,212.05,212.7,209.3,209.96,3359831,7054.21,20657,1646501,49.01
2020-01-16,213.5,214.4,209.1,209.75,209.2,212.05,210.86,3126006,6591.36,23505,1207679,38.63
2020-01-17,209.65,212.4,208.6,210.4,210.45,209.75,210.78,1968147,4148.54,11442,948920,48.21
2020-01-20,211.4,211.75,206.65,207.05,207.35,210.4,208.4,1743715,3633.96,9487,711408,40.8
2020-01-21,206.0,209.9,205.7,207.6,207.85,207.05,208.04,3142796,6538.28,19722,1122977,35.73
2020-01-22,208.9,212.2,208.3,210.35,210.0,207.6,210.92,3780055,7973.03,29406,1918464,50.75
2020-01-23,210.0,214.95,209.45,213.65,213.65,210.35,212.48,4656562,9894.09,29130,2209011,47.44
2020-01-24,214.1,216.9,212.6,215.95,215.5,213.65,215.13,3540793,7617.27,32606,1413754,39.93
2020-01-27,214.6,218.9,214.3,215.55,215.0,215.95,216.29,2903622,6280.19,32711,1002748,34.53
2020-01-28,215.8,220.25,214.05,216.15,216.15,215.55,218.02,5093967,11105.89,70614,2056554,40.37
2020-01-29,216.75,218.25,213.25,214.05,214.4,216.15,216.38,3410299,7379.34,18535,1878931,55.1
2020-01-30,214.15,214.2,208.7,209.9,209.75,214.05,211.12,2971434,6273.36,21919,1708380,57.49
2020-01-31,210.55,211.75,203.5,204.5,205.0,209.9,206.75,2906515,6009.31,21962,1483624,51.04
2020-02-03,196.05,202.45,196.05,200.75,201.15,195.35,199.94,4031740,8061.21,30424,1565010,38.82
2020-02-04,202.8,210.0,202.45,206.8,207.85,200.75,205.96,3761981,7748.1,28428,1899878,50.5
2020-02-05,206.9,208.75,205.2,206.4,207.5,206.8,207.05,4000586,8283.24,19840,2257911,56.44
2020-02-06,207.25,209.25,204.55,207.5,206.95,206.4,207.08,3569538,7391.72,19303,1949825,54.62
2020-02-07,207.6,212.0,207.15,209.8,210.35,207.5,210.11,1957283,4112.53,20083,354169,18.09
2020-02-10,209.8,210.8,206.15,207.1,207.8,209.8,207.62,1734578,3601.29,16148,468924,27.03
2020-02-11,208.1,213.45,208.0,212.0,211.25,207.1,211.63,4444457,9406.0,30814,2575937,57.96
2020-02-12,212.0,214.0,210.25,211.4,211.2,212.0,212.16,3036372,6442.1,18975,1747618,57.56
2020-02-13,210.6,211.45,207.9,208.55,208.8,211.4,209.38,1177002,2464.4,10065,506340,43.02
2020-02-14,208.4,212.25,205.0,205.65,205.25,208.55,208.22,3183445,6628.51,28279,1694147,53.22
2020-02-17,205.35,206.35,202.3,203.8,203.85,205.65,204.53,1397181,2857.69,13465,513861,36.78
2020-02-18,203.25,203.6,197.75,200.85,201.0,203.8,200.46,4007197,8032.81,16801,2642705,65.95
2020-02-19,202.25,206.4,201.7,205.8,205.1,200.85,204.03,1630613,3326.99,14219,804600,49.34
2020-02-20,204.95,210.25,200.1,205.4,206.2,205.8,207.18,3826080,7927.05,28420,994158,25.98
