date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,1790.2,1802.55,1783.2,1793.2,1784.25,1784.95,1794.29,397285,7128.46,15386,79648,20.05
2020-01-02,1791.0,1799.9,1783.4,1790.65,1789.8,1793.2,1791.83,411266,7369.17,22042,130259,31.67
2020-01-03,1779.8,1779.8,1747.05,1751.4,1750.0,1790.65,1758.01,1318628,23181.57,66172,466498,35.38
2020-01-06,1737.95,1738.0,1694.0,1707.15,1710.0,1751.4,1708.88,1871804,31986.89,70558,729821,38.99
2020-01-07,1711.0,1740.5,1711.0,1724.4,1730.65,1707.15,1729.25,1033650,17874.4,70683,318738,30.84
2020-01-08,1696.0,1736.0,1695.0,1728.8,1732.6,1724.4,1716.72,1006057,17271.18,45401,286023,28.43
2020-01-09,1763.0,1775.0,1741.0,1772.55,1767.35,1728.8,1758.07,1781733,31324.11,72574,1003861,56.34
2020-01-10,1772.0,1797.3,1760.0,1792.55,1793.3,1772.55,1783.77,1256612,22415.07,44862,623304,49.6
2020-01-13,1799.0,1807.95,1794.35,1804.9,1804.0,1792.55,1801.41,823821,14840.39,38516,329761,40.03
2020-01-14,1805.0,1821.65,1804.8,1819.15,1819.0,1804.9,1816.62,775629,14090.23,37999,339481,43.77
2020-01-15,1817.5,1845.0,1810.1,1842.25,1839.8,1819.15,1829.41,1252925,22921.14,49053,413218,32.98
2020-01-16,1835.95,1848.0,1828.75,1835.15,1838.9,1842.25,1836.46,1031569,18944.37,55042,581521,56.37
2020-01-17,1835.6,1838.9,1815.0,1830.05,1836.0,1835.15,1826.78,862204,15750.59,44885,411022,47.67
2020-01-20,1838.0,1862.25,1833.6,1848.75,1847.5,1830.05,1851.25,1091453,20205.49,60609,346819,31.78
2020-01-21,1839.95,1842.55,1793.85,1810.75,1809.0,1848.75,1810.96,2101561,38058.39,79182,657762,31.3
2020-01-22,1815.0,1818.7,1766.85,1779.25,1773.2,1810.75,1791.56,3415306,61187.37,118628,816114,23.9
2020-01-23,1779.0,1789.0,1757.1,1776.1,1778.1,1779.25,1769.08,1885275,33352.1,84213,900798,47.78
2020-01-24,1783.65,1799.9,1780.25,1786.8,1791.4,1776.1,1791.35,1195596,21417.29,48875,453815,37.96
2020-01-27,1787.0,1805.75,1780.0,1788.35,1790.0,1786.8,1793.25,969054,17377.52,46103,254554,26.27
2020-01-28,1794.0,1794.0,1773.0,1779.1,1780.0,1788.35,1780.07,873291,15545.23,55125,400185,45.82
2020-01-29,1787.0,1803.85,1781.0,1796.95,1798.0,1779.1,1794.76,873805,15682.67,55308,280153,32.06
2020-01-30,1800.0,1808.9,1786.0,1805.0,1795.55,1796.95,1796.25,1005975,18069.86,56855,447227,44.46
2020-01-31,1810.0,1824.0,1788.7,1795.65,1797.0,1805.0,1808.22,1169614,21149.17,61384,471814,40.34
2020-02-03,1768.8,1872.9,1765.0,1867.65,1866.65,1755.35,1832.22,2854532,52301.27,118212,967520,33.89
2020-02-04,1870.0,1896.75,1855.05,1891.3,1896.75,1867.65,1877.61,1830049,34361.13,90719,709331,38.76
2020-02-05,1889.0,1890.0,1866.15,1873.5,1869.0,1891.3,1876.22,1344016,25216.7,86175,582262,43.32
2020-02-06,1878.0,1882.4,1845.0,1856.8,1861.0,1873.5,1863.89,995386,18552.89,59310,451430,45.35
2020-02-07,1856.8,1876.5,1850.6,1858.7,1858.5,1856.8,1862.78,632858,11788.74,46788,230652,36.45
2020-02-10,1867.0,1872.75,1837.2,1869.5,1869.5,1858.7,1859.89,747711,13906.58,35773,295484,39.52
2020-02-11,1880.0,1894.5,1872.75,1878.1,1875.0,1869.5,1883.38,1093021,20585.75,60453,533842,48.84
2020-02-12,1880.0,1916.7,1878.2,1893.7,1893.1,1878.1,1901.45,1616826,30743.17,63869,574837,35.55
2020-02-13,1889.0,1901.95,1868.05,1874.05,1873.95,1893.7,1878.51,638878,12001.41,26852,261292,40.9
2020-02-14,1876.5,1899.65,1870.0,1877.05,1877.9,1874.05,1884.69,771464,14539.72,32866,289076,37.47
2020-02-17,1879.9,1893.5,1870.6,1881.4,1880.25,1877.05,1884.02,676579,12746.89,26042,222129,32.83
2020-02-18,1879.9,1879.9,1861.0,1863.65,1869.25,1881.4,1866.14,683421,12753.61,21209,410863,60.12
2020-02-19,1870.1,1892.75,1851.35,1884.9,1889.0,1863.65,1869.5,723351,13523.03,33694,311716,43.09
2020-02-20,1883.0,1886.0,1839.05,1842.25,1845.25,1884.9,1856.96,1401879,26032.31,78276,695622,49.62
2020-02-24,1845.25,1853.0,1814.0,1818.95,1820.2,1842.25,1833.36,1310832,24032.33,70546,490437,37.41
2020-02-25,1838.4,1843.55,1820.2,1826.1,1828.9,1818.95,1831.68,897257,16434.88,50468,416455,46.41
2020-02-26,1826.0,1845.0,1820.0,1826.65,1825.0,1826.1,1832.53,1909619,34994.31,77766,1005773,52.67
2020-02-27,1829.85,1852.0,1810.45,1843.8,1843.1,1826.65,1830.02,1643273,30072.18,87976,787083,47.9
2020-02-28,1820.0,1842.1,1783.15,1797.95,1810.0,1843.8,1805.79,2964119,53525.86,104123,1546134,52.16
2020-03-02,1815.1,1837.45,1769.25,1786.8,1785.1,1797.95,1813.71,1219296,22114.45,61230,471228,38.65
2020-03-03,1780.05,1818.0,1767.0,1800.55,1804.05,1786.8,1798.61,1392463,25045.03,64533,587106,42.16
2020-03-04,1804.05,1857.45,1804.05,1847.95,1840.0,1800.55,1841.76,3050469,56182.23,177363,1563412,51.25
2020-03-05,1854.0,1882.0,1852.1,1874.45,1877.0,1847.95,1871.41,2062439,38596.66,74924,967895,46.93
2020-03-06,1840.0,1884.4,1835.0,1877.45,1882.0,1874.45,1868.09,1393659,26034.85,69406,532675,38.22
2020-03-09,1888.0,1915.9,1848.0,1867.15,1864.0,1877.45,1872.91,3420762,64067.88,129045,1641471,47.99
2020-03-11,1874.95,1905.0,1851.5,1882.85,1882.9,1867.15,1878.83,3194206,60013.64,176355,1797375,56.27
2020-03-12,1864.95,1874.8,1815.0,1843.35,1852.95,1882.85,1842.17,6254349,115215.63,258794,4388982,70.17
2020-03-13,1785.0,1843.75,1669.85,1797.7,1797.75,1843.35,1776.34,3878660,68898.32,181105,1798799,46.38
2020-03-16,1777.0,1777.0,1678.15,1683.4,1683.45,1797.7,1724.63,2867373,49451.49,136830,1434515,50.03
2020-03-17,1699.0,1779.8,1670.0,1731.6,1720.0,1683.4,1740.41,2643191,46002.3,121360,1082987,40.97
2020-03-18,1732.0,1758.55,1608.0,1618.2,1620.0,1731.6,1654.66,3677445,60849.35,163026,1898757,51.63
2020-03-19,1540.0,1653.95,1431.2,1601.2,1603.0,1618.2,1535.64,4906647,75348.54,215886,1919539,39.12
2020-03-20,1610.0,1757.4,1570.55,1742.95,1737.3,1601.2,1680.17,3128644,52566.66,139102,1165377,37.25
2020-03-23,1578.6,1650.0,1490.75,1498.45,1499.95,1742.95,1552.46,2155326,33460.54,148588,1138879,52.84
2020-03-24,1556.55,1598.0,1453.25,1524.85,1536.0,1498.45,1536.0,3911847,60085.84,206985,1918868,49.05
2020-03-25,1446.55,1605.35,1446.0,1593.15,1580.05,1524.85,1542.05,2196424,33869.91,126127,761284,34.66
2020-03-26,1605.0,1650.0,1574.0,1616.95,1617.05,1593.15,1611.37,2622119,42251.93,116060,1180260,45.01
2020-03-27,1664.8,1665.25,1550.2,1604.15,1618.0,1616.95,1604.38,2102479,33731.73,109022,748554,35.6
2020-03-30,1591.15,1619.5,1559.05,1594.95,1596.0,1604.15,1596.64,1844011,29442.29,95707,865335,46.93
2020-03-31,1625.0,1690.0,1601.8,1666.5,1656.0,1594.95,1662.5,2789179,46370.08,133986,1479149,53.03
2020-04-01,1650.05,1655.0,1584.25,1603.2,1604.8,1666.5,1611.63,1559456,25132.58,106082,717404,46.0
2020-04-03,1615.1,1616.0,1517.25,1520.9,1522.0,1603.2,1536.04,2925847,44942.04,134230,1456622,49.78
2020-04-07,1540.0,1635.0,1538.0,1623.8,1625.2,1520.9,1597.81,2733614,43677.87,123428,1246876,45.61
2020-04-08,1623.8,1687.8,1600.0,1608.95,1608.0,1623.8,1642.03,2382216,39116.59,101146,741288,31.12
2020-04-09,1640.0,1678.9,1618.95,1651.35,1644.05,1608.95,1653.37,1489546,24627.72,69005,405363,27.21
