date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,402.0,404.92,396.0,398.85,792.0,803.1,798.55,179442.0,716.47,7416,43292,48.25
2020-01-02,396.75,400.52,396.52,397.95,796.0,797.7,797.51,127214.0,507.27,3923,31773,49.95
2020-01-03,398.4,401.25,396.0,398.98,794.0,795.9,796.66,181796.0,724.15,6087,45380,49.92
2020-01-06,396.5,400.08,393.12,395.75,792.55,797.95,791.1,226956.0,897.73,8550,69956,61.65
2020-01-07,396.0,404.02,394.0,400.35,799.75,791.5,796.24,5693404.0,22666.61,31900,2569187,90.25
2020-01-08,397.0,422.98,395.25,417.95,837.8,800.7,822.79,4936804.0,20309.83,53227,1618619,65.57
2020-01-09,421.88,425.5,413.18,418.18,828.0,835.9,841.87,2030328.0,8546.34,27396,733167,72.22
2020-01-10,416.95,420.75,410.5,412.32,822.15,836.35,834.48,605170.0,2525.0,12193,211179,69.79
2020-01-13,415.0,421.5,412.6,419.25,839.5,824.65,838.64,465756.0,1953.02,7359,169367,72.73
2020-01-14,420.5,425.0,418.5,423.8,848.3,838.5,842.11,661510.0,2785.31,10448,214760,64.93
2020-01-15,425.02,432.48,422.02,428.72,853.0,847.6,856.29,1044188.0,4470.65,15762,327734,62.77
2020-01-16,429.7,442.35,429.7,438.72,878.35,857.45,870.88,1185078.0,5160.32,13300,392585,66.25
2020-01-17,441.5,444.25,432.78,438.88,875.25,877.45,879.96,707678.0,3113.63,16456,209114,59.1
2020-01-20,442.0,446.0,437.5,442.95,888.95,877.75,883.83,896644.0,3962.39,9027,358109,79.88
2020-01-21,442.0,446.0,437.75,444.18,889.95,885.9,886.91,511040.0,2266.24,7539,151551,59.31
2020-01-22,446.08,449.7,441.12,443.52,885.0,888.35,887.93,511670.0,2271.64,12494,153865,60.14
2020-01-23,455.5,504.0,455.5,487.28,976.0,887.05,971.23,9957038.0,48352.71,129369,1948181,39.13
2020-01-24,490.0,548.95,486.0,535.35,1094.0,974.55,1036.06,8376792.0,43394.49,135331,1201116,28.68
2020-01-27,540.0,552.5,499.5,511.02,1010.0,1070.7,1059.93,5438232.0,28820.7,118500,1121697,41.25
2020-01-28,504.9,525.0,502.5,521.9,1050.0,1022.05,1032.83,1658978.0,8567.25,47175,264015,31.83
2020-01-29,530.0,534.5,516.5,523.33,1041.0,1043.8,1048.71,568136.0,2979.06,16915,76368,26.88
2020-01-30,523.98,538.42,512.0,523.83,1049.0,1046.65,1049.72,1204270.0,6320.76,27951,280833,46.64
2020-01-31,527.5,536.95,520.0,532.17,1071.0,1047.65,1061.63,843678.0,4478.39,17165,160124,37.96
2020-02-03,519.0,530.0,495.5,521.98,1041.2,1030.9,1041.62,821850.0,4280.26,24723,227608,55.39
2020-02-04,525.9,530.7,522.0,525.9,1050.0,1043.95,1050.72,521236.0,2738.38,18530,149101,57.21
2020-02-05,530.0,571.38,525.42,547.83,1094.0,1051.8,1108.0,2543364.0,14090.29,61161,377173,29.66
2020-02-06,552.5,557.15,540.0,546.78,1082.45,1095.65,1094.18,979448.0,5358.46,30492,237490,48.49
2020-02-07,543.45,573.8,540.28,564.05,1130.0,1093.55,1127.21,1316716.0,7421.09,49139,290891,44.18
2020-02-10,565.0,569.0,550.5,562.88,1126.0,1128.1,1124.94,853378.0,4800.0,26774,247186,57.93
2020-02-11,566.5,589.0,558.5,581.45,1150.0,1125.75,1152.08,1712572.0,9865.09,45042,472403,55.17
2020-02-12,580.0,587.5,566.0,575.78,1157.3,1162.9,1155.75,854024.0,4935.21,42063,190262,44.56
2020-02-13,567.52,579.0,550.5,574.12,1147.65,1151.55,1145.44,1096040.0,6277.21,35256,323745,59.08
2020-02-14,580.0,582.58,566.67,573.02,1142.4,1148.25,1146.28,511546.0,2931.86,19173,162071,63.37
