date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,942.0,943.25,935.2,937.85,9371.35,9393.35,9386.28,636680.0,5976.05,7532,9700,15.24
2020-01-02,937.85,953.1,937.85,950.56,9525.0,9378.45,9474.82,1578910.0,14959.89,13307,65379,41.41
2020-01-03,946.5,950.46,932.4,934.58,9352.0,9505.6,9395.24,1824790.0,17144.33,21847,43650,23.92
2020-01-06,933.9,933.9,902.2,904.27,9029.0,9345.85,9118.93,2442890.0,22276.54,29396,66207,27.1
2020-01-07,912.5,926.5,906.5,909.56,9080.0,9042.7,9141.52,2426760.0,22184.27,23159,26715,11.01
2020-01-08,897.1,916.68,896.16,914.55,9144.0,9095.65,9092.38,2697180.0,24523.79,24581,26407,9.79
2020-01-09,949.99,949.99,920.9,939.53,9375.1,9145.5,9339.6,2141970.0,20005.15,26850,42599,19.89
2020-01-10,937.52,943.49,933.83,937.22,9362.0,9395.25,9386.14,1393930.0,13083.62,16472,24298,17.43
2020-01-13,939.98,946.8,936.5,945.53,9462.0,9372.25,9429.84,1507130.0,14212.0,19247,56707,37.63
2020-01-14,944.6,957.98,940.53,955.49,9574.0,9455.25,9505.83,1628990.0,15484.9,18883,55995,34.37
2020-01-15,953.99,961.9,950.16,958.92,9586.0,9554.85,9574.05,1372300.0,13138.48,16401,29095,21.2
2020-01-16,959.0,964.0,956.5,962.22,9635.0,9589.15,9606.07,1357820.0,13043.31,16182,45561,33.55
2020-01-17,961.4,974.03,960.1,971.5,9725.0,9622.15,9678.16,2841290.0,27498.45,24884,169199,59.55
2020-01-20,972.5,976.44,955.0,957.28,9594.0,9715.0,9662.79,1841980.0,17798.66,19202,71885,39.03
2020-01-21,958.4,962.5,950.82,953.43,9572.45,9572.75,9571.81,1745070.0,16703.48,22520,54486,31.22
2020-01-22,959.0,960.0,949.5,954.75,9545.0,9534.3,9554.71,1395250.0,13331.21,12824,61731,44.24
2020-01-23,954.75,959.6,948.42,953.42,9509.4,9547.5,9543.09,1812800.0,17299.72,15995,54561,30.1
2020-01-24,951.92,965.0,948.01,963.38,9628.9,9534.2,9586.4,1239780.0,11885.03,14622,32224,25.99
2020-01-27,959.0,964.89,953.5,955.76,9550.45,9633.75,9597.49,1131280.0,10857.45,18052,29555,26.13
2020-01-28,955.76,971.0,953.0,963.13,9646.0,9557.6,9632.53,1904690.0,18346.98,27397,57685,30.29
2020-01-29,964.9,992.9,964.9,989.42,9924.0,9631.3,9807.54,5019130.0,49225.31,64178,144258,28.74
2020-01-30,992.4,995.0,960.34,963.96,9621.65,9894.25,9734.08,4128250.0,40184.7,48856,84320,20.43
2020-01-31,970.8,970.8,941.0,944.14,9465.0,9639.65,9529.8,3295410.0,31404.61,38729,89602,27.19
2020-02-03,895.5,923.5,888.5,908.62,9105.0,8947.4,9077.24,5025510.0,45617.76,56745,143938,28.64
2020-02-04,918.0,962.49,916.13,953.49,9535.0,9086.15,9424.64,4636970.0,43701.78,53019,90796,19.58
2020-02-05,954.0,968.4,945.77,959.14,9580.0,9534.9,9592.44,3245400.0,31131.32,41358,63124,19.45
2020-02-06,960.0,970.9,956.0,961.97,9610.0,9591.4,9630.15,2713430.0,26130.74,32993,53879,19.86
2020-02-07,961.0,967.36,956.1,962.33,9605.0,9619.7,9625.84,1426260.0,13728.96,24400,29861,20.94
2020-02-10,960.5,965.8,953.1,962.7,9644.0,9623.3,9607.79,1435280.0,13789.86,20391,18017,12.55
2020-02-11,964.35,981.0,964.35,973.16,9716.1,9627.0,9755.9,1955790.0,19080.48,20192,38005,19.43
2020-02-12,973.8,984.1,968.53,977.18,9775.0,9731.6,9774.01,1885280.0,18426.74,22377,39191,20.79
2020-02-13,975.8,979.5,968.9,971.72,9713.2,9771.85,9732.92,1366300.0,13298.08,17452,32376,23.7
2020-02-14,973.5,979.5,965.3,969.05,9673.0,9717.2,9745.75,1392370.0,13569.69,18186,40480,29.07
2020-02-17,969.98,978.53,951.46,952.89,9530.0,9690.5,9578.9,1754010.0,16801.48,23128,44837,25.56
2020-02-18,952.7,956.5,941.6,952.95,9550.0,9528.85,9499.65,2663840.0,25305.54,27598,109337,41.04
2020-02-19,958.0,978.0,958.0,975.86,9761.0,9529.5,9709.25,2211320.0,21470.26,30144,43359,19.61
2020-02-20,975.8,982.76,969.38,970.97,9715.0,9758.65,9760.96,1670200.0,16302.76,22679,40840,24.45
2020-02-24,968.0,968.0,944.83,946.69,9475.0,9709.7,9522.12,1993290.0,18980.34,25476,44975,22.56
2020-02-25,950.0,955.0,935.11,952.5,9520.0,9466.9,9475.2,2220180.0,21036.66,32241,50343,22.68
2020-02-26,945.5,949.49,936.0,938.7,9377.0,9525.0,9430.54,1755170.0,16552.2,24442,47448,27.03
2020-02-27,938.5,949.47,926.68,940.8,9450.0,9387.0,9351.31,2075830.0,19411.73,38429,51164,24.65
2020-02-28,927.05,928.66,882.5,905.08,9100.0,9408.0,9068.63,5378520.0,48775.81,59749,131801,24.51
2020-03-02,930.0,930.0,880.8,891.45,8919.0,9050.75,9126.35,3090310.0,28203.25,40005,72889,23.59
2020-03-03,900.0,911.66,868.0,896.36,8993.0,8914.5,8890.7,5507290.0,48963.66,77414,128136,23.27
2020-03-04,900.0,906.66,859.32,879.97,8777.2,8963.65,8849.42,4402510.0,38959.67,59129,107006,24.31
2020-03-05,887.0,897.0,876.1,887.99,8870.0,8799.7,8890.73,3198530.0,28437.25,41053,67254,21.03
2020-03-06,857.0,862.5,840.0,860.32,8600.0,8879.9,8531.18,4086990.0,34866.83,65219,108991,26.67
2020-03-09,843.9,845.0,816.0,820.71,8180.0,8603.2,8287.05,3705080.0,30704.18,55462,99201,26.77
2020-03-11,818.0,839.71,812.8,825.4,8265.0,8207.1,8266.58,3723530.0,30780.86,52083,89509,24.04
2020-03-12,790.0,798.2,740.0,743.8,7405.1,8254.0,7605.9,6192010.0,47095.79,84233,194560,31.42
2020-03-13,680.0,788.39,652.43,774.2,7728.0,7438.05,7439.52,5956730.0,44315.19,89840,168589,28.3
2020-03-16,745.0,756.65,720.0,749.56,7501.0,7742.0,7373.42,5622460.0,41456.77,60737,245165,43.6
2020-03-17,750.1,752.2,695.68,701.75,7017.55,7495.6,7225.96,4476120.0,32344.26,63673,140665,31.43
2020-03-18,715.0,720.0,625.74,631.02,6314.95,7017.5,6592.5,6454980.0,42554.45,87028,209415,32.44
2020-03-19,586.5,620.58,544.26,578.55,5842.0,6310.2,5804.79,8166380.0,47404.09,114537,261586,32.03
2020-03-20,572.52,639.2,570.0,623.31,6240.0,5785.5,6004.17,6574700.0,39475.63,97177,173668,26.41
2020-03-23,564.0,589.04,444.9,462.1,4520.0,6233.05,4971.12,6880280.0,34202.71,120916,275402,40.03
2020-03-24,490.0,508.0,416.02,449.78,4600.0,4621.05,4551.6,15587860.0,70949.71,209363,352137,22.59
2020-03-25,445.0,492.0,440.01,483.03,4902.0,4497.75,4698.82,7972730.0,37462.41,135939,177677,22.29
2020-03-26,497.5,555.48,482.52,514.72,5135.0,4830.3,5175.19,10191240.0,52741.62,150906,210209,20.63
2020-03-27,547.7,566.0,467.5,489.06,5025.0,5147.25,5126.7,12918190.0,66227.73,200043,219344,16.98
2020-03-30,470.0,477.96,455.5,466.12,4640.0,4890.6,4677.54,7509120.0,35124.18,115533,173896,23.16
2020-03-31,481.0,487.96,443.0,459.12,4600.0,4661.15,4562.22,11561790.0,52747.37,201921,290947,25.16
2020-04-01,456.0,466.77,446.0,450.19,4491.0,4591.2,4561.23,7577720.0,34563.71,122754,182882,24.13
2020-04-03,456.0,464.6,443.0,451.08,4520.05,4501.9,4537.22,7223160.0,32773.06,138917,201065,27.84
2020-04-07,462.0,481.88,432.9,472.49,4771.95,4510.75,4495.38,11307380.0,50830.93,201918,251431,22.24
2020-04-08,457.5,495.0,453.78,460.85,4604.0,4724.9,4725.27,11130570.0,52594.93,158158,232316,20.87
2020-04-09,470.5,484.8,466.2,482.02,4824.0,4608.5,4769.64,8642220.0,41220.31,89906,211498,24.47
2020-04-13,484.4,484.4,446.94,449.14,4490.0,4820.25,4584.49,8917090.0,40880.31,110561,234439,28.69
2020-04-15,455.1,466.42,448.0,459.91,4606.0,4491.4,4580.93,9830710.0,45033.81,100747,256334,26.07
2020-04-16,457.0,476.0,450.88,469.96,4760.0,4599.1,4659.91,7473540.0,34826.0,72162,148453,19.86
2020-04-17,487.6,513.6,485.51,499.97,5011.2,4699.6,4976.61,13522230.0,67294.84,154029,191143,14.14
2020-04-20,508.58,509.0,472.04,488.22,4869.4,4999.7,4979.51,9031570.0,44972.81,84654,180501,19.99
2020-04-21,474.9,474.9,457.5,459.51,4595.0,4882.25,4645.76,6709440.0,31170.46,70720,175166,26.11
2020-04-22,458.5,481.56,448.5,477.58,4747.0,4595.05,4639.06,7921580.0,36748.67,91090,110991,14.01
2020-04-23,480.0,485.8,470.51,472.96,4716.95,4775.75,4783.66,6918380.0,33095.19,72982,111724,16.15
2020-04-24,467.5,467.5,436.5,438.98,4410.0,4729.6,4479.98,10220430.0,45787.34,130334,331038,32.39
2020-04-27,443.02,467.0,428.8,461.75,4661.6,4389.8,4516.1,11338880.0,51207.51,121200,208511,18.39
2020-04-28,469.1,491.0,458.12,486.18,4865.05,4617.5,4725.51,15204280.0,71847.98,146633,301074,19.8
2020-04-29,486.51,507.0,482.24,499.86,4975.0,4861.8,4991.02,15235280.0,76039.52,152300,212598,13.95
2020-04-30,510.8,517.5,505.08,510.44,5090.0,4998.65,5124.6,10644090.0,54546.72,144356,284294,26.71
2020-05-04,492.2,493.99,472.0,476.24,4799.95,5104.35,4785.83,8107090.0,38799.18,80041,294334,36.31
2020-05-05,489.0,492.0,461.0,462.92,4630.0,4762.35,4730.6,8158890.0,38596.43,86255,121923,14.94
2020-05-06,464.7,478.98,454.2,469.29,4700.0,4629.2,4686.62,12628300.0,59183.99,124056,238271,18.87
2020-05-07,467.8,479.6,464.0,467.34,4684.7,4692.9,4719.34,6454310.0,30460.06,62555,124942,19.36
2020-05-08,476.8,477.84,457.74,460.1,4609.0,4673.4,4690.77,4885870.0,22918.48,52366,83089,17.01
2020-05-11,468.73,471.77,454.01,455.8,4565.0,4601.0,4619.73,5852300.0,27036.04,63198,123420,21.09
2020-05-12,452.8,471.58,445.55,466.82,4709.0,4558.0,4595.52,10188930.0,46823.39,101764,239001,23.46
2020-05-13,494.8,505.0,477.81,481.64,4809.95,4668.2,4839.84,6987550.0,33818.6,62287,133752,19.14
2020-05-14,477.0,493.79,472.0,479.02,4785.0,4816.4,4844.37,7928680.0,38409.46,68794,148777,18.76
2020-05-15,479.2,483.36,470.1,472.33,4710.0,4790.25,4745.19,3951240.0,18749.38,36714,49217,12.46
2020-05-18,472.46,473.9,445.1,446.54,4465.5,4723.25,4527.04,6469420.0,29287.35,67302,140779,21.76
