date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,33.43,33.65,33.13,33.38,100.3,100.05,100.13,15438309.438309439,5153.01,12979,1941887,37.74
2020-01-02,33.55,34.6,33.3,34.38,103.5,100.15,101.73,26262776.262776263,8905.34,28420,3281472,37.48
2020-01-03,34.4,34.63,33.45,33.65,100.9,103.15,102.05,21950244.950244952,7466.52,18943,2259266,30.88
2020-01-06,33.17,33.63,31.88,32.32,96.95,100.95,97.05,36402765.4027654,11776.39,60683,5883738,48.49
2020-01-07,32.78,33.0,31.77,32.12,96.55,96.95,96.57,33298293.2982933,10718.7,46804,5404923,48.7
2020-01-08,31.68,32.38,31.48,31.82,95.4,96.35,95.5,20424329.424329426,6501.48,31312,2813105,41.32
2020-01-09,32.33,32.42,31.93,32.33,96.9,95.45,96.52,41681078.68107868,13410.29,75748,8622016,62.06
2020-01-10,32.33,32.87,32.33,32.4,97.15,97.0,97.84,23088704.08870409,7529.85,35920,3506525,45.56
2020-01-13,32.73,33.08,32.52,32.67,98.15,97.2,98.27,28538692.538692538,9348.33,26368,4441280,46.69
2020-01-14,32.95,33.4,32.65,33.28,100.0,98.0,99.0,21417723.417723417,7068.07,22043,2972849,41.64
2020-01-15,33.4,34.88,33.17,34.62,104.2,99.85,101.9,39241413.24141324,13328.71,35200,3636179,27.8
2020-01-16,35.33,35.75,34.78,35.25,105.6,103.85,105.77,54250500.250500254,19126.66,76087,4866677,26.91
2020-01-17,35.2,36.32,34.9,36.2,108.5,105.75,107.62,33279885.27988528,11938.14,47965,3543302,31.94
2020-01-20,36.33,36.33,34.55,35.0,105.0,108.6,105.55,28115995.115995117,9892.25,34617,2264469,24.16
2020-01-21,34.67,35.33,34.62,35.02,104.95,105.0,104.88,17126642.126642127,5987.2,29516,1547674,27.11
2020-01-22,35.02,35.02,33.33,33.65,100.7,105.05,101.64,46807426.80742681,15857.81,48713,6301545,40.39
2020-01-23,33.7,34.85,33.38,33.72,101.55,100.95,102.0,64975402.97540297,22090.95,45691,11784754,54.41
2020-01-24,33.78,34.55,33.77,33.95,101.9,101.15,102.68,20621780.621780623,7058.02,26589,2005432,29.17
2020-01-27,33.9,34.5,33.67,33.88,101.45,101.85,102.2,24177387.177387178,8236.07,25133,3366447,41.77
2020-01-28,33.87,34.02,33.13,33.4,100.4,101.65,100.3,32134082.134082135,10743.45,36530,4892760,45.68
2020-01-29,33.63,33.72,33.23,33.52,100.55,100.2,100.29,28345582.345582347,9475.79,21837,4399545,46.56
2020-01-30,33.75,34.48,33.43,33.58,100.65,100.55,101.94,33639210.63921064,11430.54,34617,2758119,24.6
2020-01-31,32.08,33.0,29.97,30.22,90.1,100.75,92.38,169748164.74816474,52268.83,177997,19934369,35.23
2020-02-03,28.33,29.15,26.92,27.83,83.55,84.95,84.27,76345294.34529434,21446.2,82615,7039343,27.66
2020-02-04,28.18,29.03,28.15,28.28,84.7,83.5,85.58,44426888.42688843,12672.97,47516,5635840,38.06
2020-02-05,28.33,29.38,28.18,28.97,87.2,84.85,86.53,45829755.82975583,13219.1,46664,4084467,26.74
2020-02-06,29.28,29.33,28.55,29.0,87.05,86.9,86.78,31688911.68891169,9166.28,33846,3398585,32.17
2020-02-07,29.03,29.33,28.73,29.18,87.75,87.0,87.2,30367899.36789937,8827.07,34667,3725991,36.81
2020-02-10,29.28,29.28,28.62,28.83,86.6,87.55,86.68,37802392.8023928,10922.8,33555,7273678,57.72
2020-02-11,28.63,29.07,28.43,28.57,85.55,86.5,86.25,40352299.352299355,11601.36,44305,6996475,52.02
2020-02-12,28.47,28.55,27.83,28.0,83.8,85.7,84.26,23629265.62926563,6636.68,25478,3184901,40.44
2020-02-13,28.0,28.5,27.72,28.4,85.3,84.0,84.35,25245058.245058246,7098.16,27661,3340078,39.69
2020-02-14,28.42,28.58,27.55,27.68,83.0,85.2,84.07,28646797.646797646,8027.39,27332,4465665,46.77
2020-02-17,27.7,27.85,26.83,27.0,80.75,83.05,81.42,36810165.81016581,9990.13,45077,6686165,54.49
2020-02-18,26.92,27.97,26.52,27.6,83.85,81.0,81.41,45656538.65653866,12390.36,43625,6934369,45.56
2020-02-19,27.75,28.3,27.32,28.23,84.8,82.8,83.46,29176028.176028177,8116.79,37382,3534532,36.34
2020-02-20,28.22,29.03,27.95,28.85,86.4,84.7,85.91,38155373.155373156,10926.89,47875,5248167,41.26
2020-02-24,28.57,28.57,27.08,27.32,82.0,86.55,83.22,25592314.592314593,7099.11,34093,3219309,37.74
2020-02-25,27.4,27.93,27.4,27.5,82.5,81.95,82.96,17040848.040848043,4712.09,21055,854965,15.05
2020-02-26,27.37,27.57,26.43,26.77,80.15,82.5,81.04,19537663.537663538,5277.69,24420,1738645,26.7
2020-02-27,26.83,26.92,25.72,25.82,77.5,80.3,78.1,42868860.86886087,11159.5,40196,6577513,46.03
2020-02-28,25.52,25.52,24.28,24.65,74.15,77.45,74.13,52332202.33220233,12930.59,70481,7760088,44.49
2020-03-02,25.33,25.63,24.0,24.32,72.7,73.95,74.9,27625095.625095624,6896.77,37656,2352069,25.54
2020-03-03,24.47,25.05,24.08,24.83,74.6,72.95,73.51,57863388.863388866,14178.21,48078,9835474,50.99
2020-03-04,24.9,25.07,23.52,24.95,74.5,74.5,73.04,61044064.044064045,14862.48,66676,9026530,44.36
2020-03-05,25.5,25.5,24.22,24.37,73.0,74.85,73.91,46784929.78492979,11526.04,34842,5621916,36.05
2020-03-06,23.63,24.05,23.05,23.83,71.45,73.1,71.32,29644727.644727647,7048.01,39131,3385611,34.26
2020-03-09,23.3,23.5,22.55,23.23,69.25,71.5,69.55,51248247.24824725,11881.76,56551,8561715,50.12
2020-03-11,23.17,23.38,22.53,22.95,69.0,69.7,68.77,36373179.373179376,8337.42,48376,4955222,40.87
2020-03-12,22.05,22.25,20.8,21.88,66.0,68.85,65.06,71924915.92491592,15599.3,115230,11803683,49.23
2020-03-13,20.0,23.52,20.0,23.3,70.2,65.65,67.52,65882471.88247188,14827.96,69667,9896820,45.07
2020-03-16,22.83,23.32,21.67,21.97,66.05,69.9,67.33,41016347.01634702,9204.91,37704,6543630,47.86
2020-03-17,22.0,23.8,21.95,23.23,70.65,65.9,69.69,37735834.73583474,8765.9,43302,4529727,36.01
2020-03-18,23.3,26.72,22.38,24.93,72.15,69.7,73.0,98470034.47003448,23960.78,73477,15918466,48.5
2020-03-19,23.02,24.17,20.97,21.52,64.15,74.8,68.5,60527568.52756853,13820.21,70696,7304750,36.21
2020-03-20,21.67,24.0,21.5,23.77,70.8,64.55,69.45,55460764.46076446,12839.32,66747,5842323,31.6
2020-03-23,21.68,22.55,19.05,19.82,60.4,71.3,61.97,24523095.523095522,5065.88,29098,3732434,45.66
2020-03-24,20.67,21.17,18.67,19.48,58.8,59.45,59.22,27423132.423132423,5413.5,49130,3436880,37.6
2020-03-25,19.27,21.12,18.87,20.9,63.25,58.45,60.3,18227244.227244228,3663.9,40366,2165971,35.65
2020-03-26,21.08,22.82,20.37,22.45,68.45,62.7,65.77,37021771.02177102,8116.56,52126,5060964,41.01
2020-03-27,24.67,25.58,22.92,24.38,72.6,67.35,72.36,47228915.22891523,11392.36,67381,4368124,27.75
2020-03-30,24.22,25.3,23.57,24.2,72.4,73.15,72.93,46532173.53217354,11312.22,85295,5341764,34.44
2020-03-31,24.98,25.27,24.2,24.82,73.95,72.6,74.3,21484572.484572485,5320.7,45750,2631496,36.74
2020-04-01,24.6,25.42,22.47,23.02,70.0,74.45,70.93,28985353.985353988,6853.05,42426,3022730,31.29
2020-04-03,23.92,23.97,22.83,23.32,69.95,69.05,69.93,27959058.95905896,6517.55,37203,2893631,31.05
2020-04-07,24.27,24.33,22.83,23.0,68.9,69.95,70.26,37885732.88573289,8872.29,41536,5907875,46.78
2020-04-08,23.0,23.77,21.7,22.13,66.5,69.0,68.19,50099705.0997051,11387.05,69587,5469927,32.75
2020-04-09,22.47,23.82,22.35,23.38,70.15,66.4,69.43,29167751.167751167,6750.4,46350,3974925,40.88
2020-04-13,24.33,24.5,23.37,23.5,70.6,70.15,71.32,29985443.985443987,7128.1,45989,3179775,35.26
2020-04-15,24.0,24.42,22.97,23.2,69.8,70.5,71.33,34458964.45896446,8193.31,50693,4032174,35.1
2020-04-16,23.5,24.07,23.4,23.67,70.85,69.6,71.2,70596604.5966046,16754.47,41636,15812322,67.19
2020-04-17,24.17,24.37,23.55,23.77,71.9,71.0,71.29,59156483.15648316,14058.19,31662,14401430,73.03
2020-04-20,24.1,25.77,23.82,25.12,75.45,71.3,75.31,104549051.54905155,26246.73,118153,11237914,32.25
2020-04-21,24.98,25.68,24.1,25.3,75.8,75.35,75.23,62020091.02009102,15553.35,81809,4610729,22.3
2020-04-22,25.32,25.9,24.97,25.53,76.7,75.9,76.37,31721599.721599724,8074.95,45809,1994095,18.86
2020-04-23,25.57,26.37,25.23,25.33,75.95,76.6,77.27,39150225.150225155,10083.67,53788,3129865,23.98
2020-04-24,25.03,25.9,24.45,24.85,74.0,76.0,76.11,72878625.87862588,18490.32,74560,9193819,37.85
2020-04-27,25.07,25.28,24.38,24.55,73.7,74.55,74.67,21746133.74613375,5412.71,32058,1745715,24.08
2020-04-28,24.75,24.83,24.23,24.42,73.3,73.65,73.49,14137238.137238137,3462.93,18651,993208,21.08
2020-04-29,24.65,24.7,24.05,24.38,72.95,73.25,73.02,29329709.32970933,7139.14,44031,4083607,41.77
2020-04-30,24.7,24.82,23.78,24.03,72.05,73.15,72.9,51330318.33031833,12473.35,56343,7129346,41.67
2020-05-04,23.52,23.57,22.33,22.48,67.6,72.1,68.38,36061719.06171906,8219.77,62049,5548459,46.16
2020-05-05,22.87,22.87,21.72,21.8,65.35,67.45,66.7,25049152.04915205,5569.65,42484,3243938,38.85
2020-05-06,21.77,21.95,20.92,21.22,63.85,65.4,64.18,31888819.88881989,6821.68,42237,3846612,36.19
2020-05-07,21.13,21.45,20.85,20.88,62.75,63.65,63.3,26105672.105672106,5507.86,42743,3453837,39.69
2020-05-08,21.17,21.25,19.83,19.9,59.75,62.65,60.99,39652971.652971655,8060.96,56540,6776750,51.27
2020-05-11,20.17,20.67,19.78,20.05,60.0,59.7,60.6,43532038.53203853,8793.45,66649,5539474,38.18
2020-05-12,19.9,20.4,19.25,20.18,61.15,60.15,59.24,40166494.16649417,7931.28,61394,5043978,37.67
2020-05-13,21.47,22.2,20.75,21.9,65.9,60.55,64.64,84071949.07194908,18114.67,88491,7345955,26.21
2020-05-14,21.48,21.83,21.08,21.22,63.5,65.7,64.11,33958233.95823396,7256.78,51031,3576787,31.6
2020-05-15,21.02,22.93,20.75,22.58,67.5,63.65,67.43,100684507.68450768,22630.78,126247,6673641,19.88
2020-05-18,23.67,23.93,21.33,21.5,64.9,67.75,67.25,128709308.70930871,28852.45,154535,11989986,27.95
