date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,429.62,434.71,429.42,431.21,516.65,515.55,518.01,727887.8911551564,3142.11,12361,104906,17.29
2020-01-02,431.62,432.37,424.33,426.37,512.8,517.45,512.59,825236.7300946921,3525.06,16663,289115,42.04
2020-01-03,424.21,427.87,421.37,424.83,510.5,511.65,510.0,1066768.0267072108,4533.77,13599,326996,36.78
2020-01-06,419.17,420.75,406.12,408.5,489.35,509.8,493.05,1740161.4960645984,7149.88,26795,357351,24.64
2020-01-07,409.96,418.75,408.87,412.0,493.5,490.2,496.81,1110828.4443313777,4598.92,13578,212427,22.95
2020-01-08,401.87,414.04,401.87,412.58,496.5,494.4,491.99,1214528.8858115543,4979.42,29039,229068,22.63
2020-01-09,418.75,425.0,416.71,423.75,507.6,495.1,505.35,1265134.1060536425,5327.81,14825,289757,27.48
2020-01-10,423.75,428.75,421.75,426.96,512.45,508.5,510.8,1104517.6418070567,4701.56,14934,259871,28.23
2020-01-13,428.5,428.54,422.54,424.08,508.45,512.35,509.88,886987.5547950219,3768.8,14881,294587,39.85
2020-01-14,425.71,445.0,424.33,441.42,534.0,508.9,521.79,2358490.5433962173,10255.32,28913,548834,27.92
2020-01-15,441.67,454.96,441.67,453.21,544.8,529.7,539.1,3572676.2290704916,16050.3,43144,469422,15.77
2020-01-16,458.33,458.33,449.5,456.21,546.75,543.85,545.41,1320104.9280419713,5999.93,18942,196039,17.82
2020-01-17,456.67,471.67,455.04,469.37,563.0,547.45,558.15,2598050.239220096,12084.12,37308,419896,19.39
2020-01-20,469.33,474.04,466.33,472.62,566.0,563.25,565.27,1614619.8458479384,7605.74,23001,308599,22.94
2020-01-21,470.5,470.83,455.83,457.87,547.9,567.15,551.64,2740875.4963501985,12599.77,44879,658560,28.83
2020-01-22,458.42,459.67,447.92,449.87,539.0,549.45,544.44,1961422.384568954,8899.0,27882,497076,30.41
2020-01-23,450.46,462.92,448.75,460.46,554.3,539.85,545.91,965480.7861923145,4392.24,14175,182395,22.67
2020-01-24,461.92,472.92,461.92,466.46,562.0,552.55,562.82,2127857.6511430605,9980.04,25748,211155,11.91
2020-01-27,468.33,474.58,464.46,467.21,560.0,559.75,563.22,1125821.2503285,5284.06,15691,151559,16.15
2020-01-28,469.54,473.08,463.37,467.29,558.6,560.65,562.95,959489.1837956735,4501.17,16340,166750,20.85
2020-01-29,468.21,479.04,467.29,477.46,574.45,560.75,569.03,1352410.1409640564,6413.03,16811,356691,31.65
2020-01-30,480.0,483.25,469.71,474.96,568.0,572.95,571.86,2135574.8542299415,10177.02,32511,341283,19.18
2020-01-31,473.33,478.75,464.58,466.79,560.1,569.95,566.66,1452553.7810215123,6859.22,19370,351604,29.05
2020-02-03,457.08,477.92,457.08,475.25,570.7,548.5,563.44,2163326.065330426,10157.46,37616,495223,27.47
2020-02-04,480.08,494.96,470.96,490.42,593.0,570.3,579.89,2358719.7434878973,11398.37,35511,482808,24.56
2020-02-05,494.08,497.5,485.12,490.54,586.0,588.5,590.85,3480300.192120077,17136.01,40169,357931,12.34
2020-02-06,489.96,489.96,474.17,478.83,574.9,588.65,575.64,2140289.6561158625,10266.94,33466,368518,20.66
2020-02-07,480.83,484.87,472.62,475.71,570.5,574.6,573.21,1353930.5415722167,6467.33,16498,230697,20.45
2020-02-10,478.08,486.42,470.08,485.17,583.1,570.85,575.02,1311846.52473861,6286.2,29412,228460,20.9
2020-02-11,488.33,491.67,483.33,485.67,582.55,582.2,585.7,1354748.9418995767,6612.32,19752,230939,20.46
2020-02-12,485.5,493.42,481.25,485.21,582.0,582.8,585.99,1599414.6397658559,7810.4,25712,327480,24.57
2020-02-13,484.83,487.08,480.0,484.75,581.0,582.25,579.99,935252.7741011096,4520.32,26569,222170,28.51
2020-02-14,481.67,489.79,480.54,483.0,578.55,581.7,582.5,821558.7286234915,3988.0,16558,175548,25.64
2020-02-17,482.08,489.71,480.83,483.46,579.05,579.6,582.24,984625.5938502376,4777.42,13835,213986,26.08
2020-02-18,482.12,483.71,475.17,482.92,580.0,580.15,575.97,1122661.6490646596,5388.46,14047,217776,23.28
2020-02-19,486.5,486.58,476.67,482.62,579.2,579.5,577.17,1105150.042060017,5315.52,35235,339011,36.81
2020-02-20,482.0,485.25,475.92,477.17,572.0,579.15,576.85,913169.1652676661,4389.66,21509,257745,33.87
2020-02-24,475.0,479.67,470.46,473.58,568.15,572.6,570.4,1221263.2885053153,5805.05,23072,343451,33.75
2020-02-25,472.54,480.87,472.5,474.25,570.0,568.3,570.96,871347.9485391794,4145.87,19012,232197,31.98
2020-02-26,475.0,477.79,470.87,472.5,566.0,569.1,569.63,950600.7802403121,4512.42,16965,289965,36.6
2020-02-27,472.5,483.33,471.0,481.08,577.0,567.0,572.89,1633498.2533993013,7798.5,22736,404691,29.73
2020-02-28,474.17,489.92,458.79,472.12,570.0,577.3,562.36,3346204.9384819753,15681.46,44028,1138396,40.82
2020-03-02,479.17,480.83,458.83,464.12,552.0,566.55,566.57,1543695.0174780071,7288.44,27219,303566,23.6
2020-03-03,464.08,469.17,449.29,451.37,544.5,556.95,547.42,1875846.7503387001,8557.35,34057,435662,27.87
2020-03-04,452.92,460.17,442.67,450.67,541.55,541.65,542.12,2376074.15042966,10734.3,45025,596897,30.15
2020-03-05,455.83,458.33,447.92,449.83,537.7,540.8,543.76,1736092.2944369179,7866.81,23884,606961,41.95
2020-03-06,435.0,447.67,435.0,446.04,534.4,539.8,532.59,1258774.1035096415,5586.77,20082,380022,36.23
2020-03-09,448.33,458.0,429.5,439.29,522.45,535.25,530.41,2495586.998234799,11030.66,38805,525261,25.26
2020-03-11,439.29,441.42,415.21,418.67,499.0,527.15,511.84,3032241.612896645,12933.5,83977,1142150,45.2
2020-03-12,401.87,410.17,383.33,393.71,473.95,502.4,472.71,2372236.5488946196,9344.87,37823,734351,37.15
2020-03-13,367.5,409.71,333.33,381.83,459.0,472.45,455.99,2456250.982500393,9333.48,56924,671828,32.82
2020-03-16,381.83,381.83,355.29,357.71,429.0,458.2,438.11,1686971.4747885899,6159.01,31496,454233,32.31
2020-03-17,357.08,387.96,351.92,373.58,449.05,429.25,448.69,2522270.2089080834,9430.88,36280,410233,19.52
2020-03-18,379.17,384.96,357.96,363.33,437.0,448.3,438.96,2212154.084861634,8092.05,31155,536853,29.12
2020-03-19,337.5,370.0,324.46,336.71,414.7,436.0,413.73,3292057.316822927,11350.28,60270,630922,23.0
2020-03-20,344.92,380.0,333.33,375.54,450.4,404.05,434.4,2669025.467610187,9661.82,41761,330723,14.87
2020-03-23,338.33,375.0,338.33,344.54,410.0,450.65,421.02,1875823.95032958,6581.27,31238,661055,42.29
2020-03-24,341.12,369.58,329.17,354.08,424.2,413.45,423.36,1692610.277044111,5971.51,33509,372201,26.39
