date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,447.65,452.01,441.46,444.95,453.7,455.8,454.52,5154996.429193609,22998.87,67334,1123980,22.21
2020-01-02,445.73,450.93,445.14,446.81,455.3,453.3,455.54,4933053.238125414,22057.87,78890,1761330,36.38
2020-01-03,447.3,450.74,443.18,446.71,457.15,455.2,454.8,5154587.900416781,23010.88,97228,1968386,38.9
2020-01-06,445.54,449.02,436.46,441.36,448.5,455.1,449.9,7538915.677011648,33292.61,73742,3006323,40.63
2020-01-07,443.67,446.91,434.93,436.9,445.05,449.65,448.34,4353883.72313363,19160.57,52718,1127213,26.38
2020-01-08,434.44,452.26,432.23,450.39,458.9,445.1,450.78,14118818.710006714,62472.54,126722,4104144,29.61
2020-01-09,459.77,466.2,446.91,451.62,460.15,458.85,462.98,18180867.20165938,82622.09,143721,5986680,33.55
2020-01-10,456.23,457.36,445.83,448.58,457.75,460.1,461.25,37724966.40589423,170797.84,198967,23805707,64.29
2020-01-13,450.54,461.63,445.88,460.26,468.6,457.0,463.13,15206224.511522856,69126.94,97122,8672802,58.11
2020-01-14,460.26,463.94,458.0,460.7,470.0,468.9,469.94,8238486.059592226,38002.18,85434,5037091,62.29
2020-01-15,460.85,463.3,456.43,459.23,468.0,469.35,468.32,10875259.150891785,49992.67,95177,7602908,71.22
2020-01-16,460.55,468.16,459.38,465.17,473.9,467.85,473.28,16290593.344750406,75678.77,153554,9334502,58.38
2020-01-17,466.34,494.52,466.34,490.83,499.8,473.9,496.57,61915666.82389761,301786.03,428688,30190743,49.68
2020-01-20,489.8,503.25,485.14,499.33,506.95,500.05,505.19,45298836.2533123,224630.01,317356,26193858,58.91
2020-01-21,500.6,505.51,495.1,502.32,508.35,508.7,510.76,65202963.412733264,326896.19,254262,38317050,59.87
2020-01-22,505.26,514.1,497.36,505.02,514.55,511.75,513.0,20285793.895703927,102148.52,156430,8161925,40.99
2020-01-23,505.51,516.31,502.91,514.0,525.45,514.5,519.92,15772863.093958562,80494.54,167208,7502053,48.46
2020-01-24,510.91,517.63,504.67,514.59,524.35,523.65,521.24,23824626.0331652,121895.43,195223,10591177,45.29
2020-01-27,511.55,514.44,502.47,504.92,512.5,524.25,517.99,11856786.722509122,60285.64,148578,6633224,56.99
2020-01-28,504.87,504.92,477.14,482.2,491.9,514.4,496.36,31674769.323869593,154322.8,268519,17426323,56.05
2020-01-29,484.01,492.16,479.25,481.22,490.7,491.25,493.63,20037283.090066843,97087.06,175835,8993730,45.73
2020-01-30,482.93,483.82,471.25,480.77,487.05,490.25,487.27,15337903.218412118,73360.28,87295,7084187,47.05
2020-01-31,484.11,490.2,478.03,487.3,496.65,489.8,493.87,18356252.37501923,88984.82,123516,10675617,59.25
2020-02-03,486.91,503.89,486.91,500.65,513.05,497.2,505.2,15212799.68540228,75439.05,297220,8045854,53.88
