date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,43.5,44.1,43.25,43.5,43.5,43.45,43.59,12283581,5355.01,20548,3138229,25.55
2020-01-02,43.75,45.85,43.5,45.4,45.35,43.5,44.76,24677041,11045.04,43357,6970568,28.25
2020-01-03,45.4,45.65,44.3,44.6,44.6,45.4,44.88,10859861,4873.83,22406,2487436,22.9
2020-01-06,44.25,44.4,42.4,42.65,42.6,44.6,42.99,12626606,5428.01,28119,3680072,29.15
2020-01-07,43.1,44.0,42.7,43.4,43.4,42.65,43.37,13321218,5777.39,28629,2942216,22.09
2020-01-08,42.5,43.35,42.5,43.2,43.15,43.4,43.0,11199141,4815.42,21268,2325694,20.77
2020-01-09,44.0,45.1,43.6,44.9,44.85,43.2,44.61,16119627,7191.06,30979,3693363,22.91
2020-01-10,45.1,45.5,44.4,44.75,44.6,44.9,44.94,10521165,4728.33,21128,1879534,17.86
2020-01-13,45.0,46.55,44.75,46.05,46.05,44.75,45.94,17317084,7956.03,33999,3639489,21.02
2020-01-14,46.4,46.65,45.4,45.95,46.05,46.05,46.04,11899391,5478.19,25897,2339784,19.66
2020-01-15,45.85,47.0,45.45,46.85,46.9,45.95,46.4,10739845,4983.35,21709,2482989,23.12
2020-01-16,47.45,47.75,46.4,46.55,46.6,46.85,47.0,14205313,6676.2,25761,3070665,21.62
2020-01-17,46.6,47.1,46.05,46.2,46.1,46.55,46.46,8424298,3914.27,18991,1860803,22.09
2020-01-20,46.3,46.55,44.7,44.95,45.0,46.2,45.4,12234865,5554.81,22131,2019813,16.51
2020-01-21,45.0,45.45,43.2,43.4,43.55,44.95,43.95,24323645,10690.27,34213,11117024,45.7
2020-01-22,43.65,43.8,43.05,43.45,43.4,43.4,43.43,16583634,7201.69,28042,5496281,33.14
2020-01-23,43.45,44.0,43.3,43.45,43.45,43.45,43.55,14871754,6476.05,25170,5560173,37.39
2020-01-24,43.5,45.2,43.4,45.0,45.0,43.45,44.44,27348156,12154.1,40990,10593122,38.73
2020-01-27,44.7,44.95,43.8,43.95,43.95,45.0,44.41,13164355,5845.67,22484,2883871,21.91
2020-01-28,43.95,44.45,43.05,43.3,43.45,43.95,43.71,11310748,4943.45,24187,2450093,21.66
2020-01-29,43.7,45.1,43.6,44.55,44.6,43.3,44.51,15586751,6938.36,26190,3213776,20.62
2020-01-30,44.65,44.65,43.2,44.05,44.15,44.55,43.8,14992301,6566.33,20703,4568889,30.47
2020-01-31,44.45,44.6,42.05,42.75,42.75,44.05,43.13,14087306,6075.44,27817,3784620,26.87
2020-02-03,39.9,40.55,38.8,39.45,39.45,40.05,39.59,20417630,8082.58,33741,3952563,19.36
2020-02-04,39.8,40.2,39.35,39.95,40.0,39.45,39.77,13225776,5259.97,31290,3491665,26.4
2020-02-05,40.0,40.5,39.25,39.6,39.75,39.95,39.86,23954561,9547.39,33444,8777972,36.64
2020-02-06,39.95,40.2,39.45,39.55,39.55,39.6,39.73,16156110,6418.84,28592,5224842,32.34
2020-02-07,39.75,40.3,39.2,39.8,39.7,39.55,39.71,16682125,6625.28,25894,5407081,32.41
2020-02-10,39.75,39.8,37.9,38.25,38.15,39.8,38.57,21400298,8253.27,42530,5883294,27.49
2020-02-11,38.6,39.1,38.25,38.55,38.6,38.25,38.68,20338186,7866.47,37788,6800806,33.44
2020-02-12,37.8,38.2,35.8,36.35,36.5,38.55,36.53,51223154,18714.31,87763,10208841,19.93
2020-02-13,36.85,37.35,36.25,37.05,37.2,36.35,36.89,20159277,7435.79,38011,3643103,18.07
2020-02-14,37.2,37.4,36.0,36.2,36.15,37.05,36.75,20464164,7519.71,40661,5103887,24.94
2020-02-17,36.2,36.4,34.75,34.85,34.85,36.2,35.33,21604096,7632.76,30907,3811158,17.64
2020-02-18,34.3,34.9,33.4,34.7,34.8,34.85,34.11,34528421,11778.22,44921,6438917,18.65
2020-02-19,34.7,35.6,34.2,35.4,35.35,34.7,34.94,18802594,6569.77,29747,3872926,20.6
2020-02-20,35.4,35.9,34.9,35.1,35.1,35.4,35.35,15578115,5507.03,23653,2573037,16.52
2020-02-24,34.3,34.75,33.7,33.9,33.75,35.1,34.23,13344620,4568.45,24626,2856973,21.41
2020-02-25,33.75,34.5,33.65,33.9,33.85,33.9,34.07,13587843,4630.0,20880,2228772,16.4
2020-02-26,33.6,33.95,33.1,33.25,33.25,33.9,33.39,13462112,4495.11,21880,2789055,20.72
2020-02-27,33.25,33.35,32.05,32.6,32.6,33.25,32.61,18665991,6086.35,30058,4474851,23.97
2020-02-28,31.7,31.7,30.3,30.6,30.4,32.6,30.87,21837210,6741.6,35499,6155449,28.19
2020-03-02,31.1,31.7,29.05,29.55,29.65,30.6,30.64,23026620,7055.79,31562,5758559,25.01
2020-03-03,30.0,31.35,29.85,31.0,31.1,29.55,30.47,20595361,6274.76,35403,3160556,15.35
2020-03-04,31.1,31.2,29.85,30.65,30.6,31.0,30.47,18105957,5517.17,24329,2363414,13.05
2020-03-05,30.9,31.4,29.95,30.7,30.6,30.65,30.67,20609801,6321.93,25866,2118380,10.28
2020-03-06,29.7,29.7,28.95,29.55,29.4,30.7,29.34,16052493,4710.08,24973,3451747,21.5
2020-03-09,28.8,28.85,27.05,27.2,27.1,29.55,27.92,21890476,6112.04,32993,4657317,21.28
2020-03-11,27.45,28.7,27.2,27.55,27.2,27.2,27.91,30448290,8497.06,37160,5441165,17.87
2020-03-12,26.0,26.6,24.0,24.15,24.15,27.55,24.75,35583365,8807.93,47217,8656382,24.33
2020-03-13,22.2,26.4,18.4,25.95,26.2,24.15,23.84,39258484,9357.45,63441,7553118,19.24
2020-03-16,24.35,25.75,23.3,23.7,23.8,25.95,24.5,26302824,6443.7,44771,5594320,21.27
2020-03-17,24.05,25.35,23.0,23.2,23.5,23.7,24.3,23765875,5774.74,38475,4420646,18.6
2020-03-18,23.55,24.4,22.4,23.35,23.35,23.2,23.01,27069851,6228.99,35012,4757431,17.57
2020-03-19,22.45,23.6,21.8,22.5,22.3,23.35,22.67,27938212,6334.19,37072,5214175,18.66
2020-03-20,22.95,23.95,22.05,23.45,23.2,22.5,23.1,41569863,9601.6,53924,12640888,30.41
2020-03-23,21.5,21.75,20.05,20.15,20.25,23.45,20.78,15468456,3213.59,35956,8217059,53.12
2020-03-24,21.0,21.25,19.5,20.0,20.05,20.15,20.29,20665598,4192.38,33735,4986181,24.13
2020-03-25,20.0,20.2,19.15,19.85,19.9,20.0,19.69,14159337,2788.14,24665,3943435,27.85
2020-03-26,20.05,21.1,19.45,20.6,20.65,19.85,20.5,18656994,3825.05,30079,4188498,22.45
2020-03-27,21.4,21.9,20.15,20.35,20.25,20.6,21.01,22366596,4699.23,42162,4914897,21.97
2020-03-30,20.25,20.6,19.65,20.2,20.1,20.35,20.25,13042664,2640.76,26006,3331581,25.54
