date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,246.0,246.95,244.25,245.82,491.2,491.55,491.53,4766592.0,11714.58,27812,305674,12.83
2020-01-02,245.6,245.85,243.22,243.78,486.85,491.65,488.33,6424966.0,15687.41,37044,932646,29.03
2020-01-03,241.95,243.38,236.42,241.75,482.5,487.55,481.4,22655540.0,54532.23,115581,3142382,27.74
2020-01-06,237.5,240.0,232.58,234.58,467.9,483.5,471.45,15332634.0,36143.13,87316,1545870,20.16
2020-01-07,233.95,237.38,229.92,230.5,462.05,469.15,466.44,23454588.0,54701.0,102152,1740580,14.84
2020-01-08,225.0,232.2,224.28,229.95,461.85,461.0,454.3,24743076.0,56204.31,125543,3052989,24.68
2020-01-09,236.08,237.2,232.72,235.28,469.45,459.9,469.71,12999312.0,30529.63,72429,1472897,22.66
2020-01-10,236.9,237.35,233.2,235.12,468.95,470.55,470.47,8708498.0,20485.59,52559,1091719,25.07
2020-01-13,235.5,238.12,234.5,235.38,470.6,470.25,472.45,7338838.0,17336.08,63579,1288011,35.1
2020-01-14,236.95,239.38,236.05,236.68,473.2,470.75,475.1,7216716.0,17143.16,58729,859355,23.82
2020-01-15,236.25,236.48,231.6,233.98,468.0,473.35,467.29,9956518.0,23263.04,73439,1914146,38.45
2020-01-16,234.0,234.75,230.08,230.9,461.1,467.95,464.12,6370550.0,14783.35,36396,1062020,33.34
2020-01-17,231.0,232.62,226.0,226.95,453.8,461.8,457.56,11132598.0,25469.25,72875,1801885,32.37
2020-01-20,227.48,233.35,225.8,228.58,457.45,453.9,460.31,11681302.0,26884.93,66156,873187,14.95
2020-01-21,228.8,233.25,227.52,231.92,463.5,457.15,461.24,8398840.0,19369.24,53623,893373,21.27
2020-01-22,232.6,233.22,227.05,227.72,456.9,463.85,459.47,7460864.0,17140.11,57996,992051,26.59
2020-01-23,229.75,235.9,228.5,234.5,467.95,455.45,465.62,11131352.0,25915.08,63045,957728,17.21
2020-01-24,234.62,236.6,232.35,233.05,466.0,469.0,469.4,7871260.0,18473.85,46520,842885,21.42
2020-01-27,233.25,235.9,231.5,233.88,465.0,466.1,468.52,8828966.0,20682.56,40353,1303577,29.53
2020-01-28,234.55,241.12,233.8,240.48,479.4,467.75,477.96,15217662.0,36366.82,99810,2270707,29.84
2020-01-29,241.98,243.45,238.32,239.52,478.65,480.95,482.26,14264654.0,34396.42,78973,2178212,30.54
2020-01-30,240.02,242.25,232.58,234.82,468.3,479.05,474.57,10891876.0,25844.84,61298,1745339,32.05
2020-01-31,235.0,236.3,228.02,228.48,456.5,469.65,460.69,13892950.0,32001.8,85472,2777452,39.98
2020-02-03,223.12,231.75,221.22,230.15,462.0,443.5,457.07,18802900.0,42971.23,139973,4287119,45.6
2020-02-04,232.5,240.55,231.0,239.25,480.3,460.3,471.58,15683820.0,36981.06,108529,3206670,40.89
2020-02-05,240.0,253.98,239.0,250.85,501.55,478.5,497.22,30234094.0,75165.49,198766,4574074,30.26
2020-02-06,251.65,255.0,246.1,247.52,494.8,501.7,500.87,22467954.0,56267.28,110973,5042880,44.89
2020-02-07,247.4,247.8,243.0,245.7,490.0,495.05,490.13,9022030.0,22109.95,58655,1235169,27.38
2020-02-10,246.0,247.78,241.68,242.72,484.2,491.4,488.65,8848392.0,21618.92,51575,1254621,28.36
2020-02-11,245.4,246.98,240.02,240.5,481.2,485.45,487.58,7943310.0,19365.13,55023,1045893,26.33
2020-02-12,241.5,242.85,236.95,237.38,475.5,481.0,478.09,7549204.0,18045.94,40963,1603316,42.48
2020-02-13,238.85,239.25,234.0,234.5,469.0,474.75,472.59,8083000.0,19099.7,49208,1401294,34.67
2020-02-14,235.5,242.25,234.95,238.22,477.05,469.0,479.02,23043576.0,55191.64,123779,2991231,25.96
2020-02-17,239.22,239.22,230.0,230.82,461.75,476.45,465.84,9025984.0,21023.36,49885,900744,19.96
2020-02-18,230.88,236.25,228.0,235.38,472.3,461.65,465.74,11940592.0,27806.19,58625,897210,15.03
2020-02-19,236.75,240.5,234.75,237.78,475.15,470.75,474.97,10786834.0,25617.32,80298,1061689,19.68
2020-02-20,237.42,240.0,235.28,235.88,471.0,475.55,474.78,8752120.0,20776.72,56196,1458274,33.32
2020-02-24,235.5,237.85,231.5,232.32,465.0,471.75,470.3,12382886.0,29118.37,65359,2646034,42.74
2020-02-25,234.9,235.28,227.45,228.38,457.6,464.65,462.21,11044046.0,25523.27,58236,1234799,22.36
2020-02-26,228.8,229.78,221.6,224.4,447.25,456.75,451.55,14491090.0,32717.15,71413,2576965,35.57
2020-02-27,223.42,224.82,219.25,222.02,445.1,448.8,444.37,12178324.0,27058.48,77816,2318971,38.08
2020-02-28,219.45,219.45,210.25,213.18,422.7,444.05,430.0,12199026.0,26227.9,67659,1975201,32.38
2020-03-02,216.0,220.92,203.25,206.18,410.95,426.35,426.08,15624380.0,33286.3,79514,2071689,26.52
2020-03-03,207.55,213.58,206.75,212.5,424.4,412.35,420.22,11415592.0,23985.41,78776,1723240,30.19
2020-03-04,211.05,214.35,202.7,209.35,413.8,425.0,421.2,15457514.0,32553.29,79179,3292904,42.61
2020-03-05,209.32,214.58,208.52,209.2,419.0,418.7,421.75,11450828.0,24147.16,88699,2090563,36.51
2020-03-06,200.1,204.92,199.0,201.55,400.8,418.4,402.63,15762914.0,31733.33,115190,3625826,46.0
2020-03-09,206.95,227.2,202.9,211.92,425.05,403.1,433.87,79590794.0,172660.39,350328,7841228,19.7
