date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,44.42,44.67,43.96,44.33,221.9,221.35,221.54,21079405.0,9339.68,24499,193125,4.58
2020-01-02,44.48,45.96,44.19,45.77,229.25,221.65,225.8,35167265.0,15881.71,35737,1188607,16.9
2020-01-03,45.56,45.7,44.13,44.33,221.5,228.85,223.46,33234705.0,14853.07,35653,969064,14.58
2020-01-06,44.11,44.15,41.12,41.49,207.85,221.65,210.29,68253435.0,28705.82,71832,1762413,12.91
2020-01-07,42.68,42.86,40.94,41.61,208.0,207.45,209.05,71112745.0,29732.26,79067,1084549,7.63
2020-01-08,40.5,41.88,40.09,41.56,207.6,208.05,204.16,75706970.0,30913.21,75985,534203,3.53
2020-01-09,42.72,43.15,42.15,42.69,213.0,207.8,213.45,43343815.0,18503.56,44068,780084,9.0
2020-01-10,42.82,43.72,42.44,42.83,214.05,213.45,215.32,46604810.0,20069.82,49817,385700,4.14
2020-01-13,43.0,43.36,42.72,43.23,216.55,214.15,215.45,29443200.0,12687.06,32350,292563,4.97
2020-01-14,43.24,43.61,42.82,43.11,215.2,216.15,216.27,29424470.0,12727.0,29612,864043,14.68
2020-01-15,42.61,43.88,41.81,43.63,218.25,215.55,214.1,58347755.0,24984.78,61034,468940,4.02
2020-01-16,43.74,44.56,43.1,43.82,219.5,218.15,219.46,41565620.0,18243.74,46282,730935,8.79
2020-01-17,43.22,44.74,43.16,44.32,221.9,219.1,221.09,41848320.0,18504.66,42193,514429,6.15
2020-01-20,44.45,44.73,43.33,43.77,218.55,221.6,219.1,28176560.0,12347.02,34536,284703,5.05
2020-01-21,43.46,44.26,43.2,43.83,217.9,218.85,219.19,30337915.0,13299.24,35740,439055,7.24
2020-01-22,44.07,44.3,43.32,43.78,218.45,219.15,218.88,22607940.0,9896.63,29725,183903,4.07
2020-01-23,43.81,45.35,43.42,44.14,220.7,218.9,221.82,69551335.0,30855.91,78535,753003,5.41
2020-01-24,44.38,44.84,43.5,43.76,218.3,220.7,220.47,36472495.0,16081.89,46576,579928,7.95
2020-01-27,43.18,43.43,41.79,42.07,210.1,218.8,213.68,32472815.0,13877.29,42327,1277008,19.66
2020-01-28,42.2,42.39,40.53,40.72,204.2,210.35,206.92,53997130.0,22346.0,55347,3177425,29.42
2020-01-29,41.17,41.58,40.71,40.82,203.9,203.6,205.66,29002775.0,11929.2,33655,858214,14.8
2020-01-30,40.7,40.94,40.03,40.45,201.55,204.1,202.22,35498265.0,14356.85,40022,992133,13.97
2020-01-31,40.8,41.07,40.08,40.53,202.35,202.25,202.67,35071730.0,14216.04,37824,577718,8.24
2020-02-03,38.4,38.79,37.2,37.39,187.3,192.05,189.79,50795375.0,19280.7,48265,2105244,20.72
2020-02-04,38.0,38.53,36.96,37.14,184.95,186.95,188.54,53521590.0,20182.31,50469,2816184,26.31
2020-02-05,37.2,37.6,36.58,36.8,184.4,185.7,185.16,50771180.0,18801.22,50977,2403437,23.67
2020-02-06,37.03,38.88,36.82,37.91,189.0,184.0,189.42,83861555.0,31769.56,76699,2855145,17.02
2020-02-07,37.99,38.63,37.38,38.0,189.1,189.55,190.39,56097535.0,21361.03,60923,1147318,10.23
2020-02-10,37.99,38.36,37.19,37.43,187.3,190.0,188.18,33119950.0,12465.19,39885,766276,11.57
2020-02-11,37.78,38.29,37.33,37.52,187.65,187.15,189.22,32454405.0,12282.21,36751,476243,7.34
2020-02-12,37.79,37.95,36.57,36.94,184.95,187.6,185.49,39663985.0,14714.43,41694,752801,9.49
2020-02-13,37.1,37.51,36.52,36.6,182.95,184.7,184.51,41693935.0,15386.16,39038,666440,7.99
2020-02-14,36.66,37.1,35.91,36.06,180.0,183.0,182.01,43026875.0,15662.54,42975,795289,9.24
2020-02-17,36.16,36.26,34.84,34.96,174.55,180.3,176.48,34295790.0,12105.21,37887,552858,8.06
2020-02-18,35.0,35.0,33.51,34.56,172.7,174.8,170.76,45685570.0,15602.93,51018,842440,9.22
2020-02-19,34.88,35.27,34.3,34.73,173.2,172.8,173.49,33534570.0,11635.72,33370,670265,9.99
2020-02-20,34.68,35.48,34.23,34.53,172.8,173.65,174.33,36447470.0,12707.64,35918,557798,7.65
2020-02-24,34.2,34.34,32.89,33.11,164.9,172.65,168.49,29552570.0,9958.82,35310,793715,13.43
2020-02-25,33.31,33.33,32.47,32.58,162.8,165.55,163.95,36720300.0,12040.23,38646,553614,7.54
2020-02-26,32.3,32.62,31.82,31.98,159.6,162.9,160.92,34750630.0,11184.32,36045,561327,8.08
2020-02-27,31.88,32.09,30.85,31.11,154.95,159.9,156.16,42492595.0,13271.68,37077,801558,9.43
2020-02-28,30.0,30.14,28.03,28.74,142.3,155.55,146.99,47397655.0,13933.89,41822,1295488,13.67
2020-03-02,29.26,29.58,27.24,27.63,138.15,143.7,143.53,50563580.0,14514.81,48301,740844,7.33
2020-03-03,27.95,28.7,27.56,28.35,142.2,138.15,140.11,64330055.0,18026.85,51449,692016,5.38
2020-03-04,28.4,28.44,27.04,27.78,138.4,141.75,138.64,53014175.0,14699.42,45543,576709,5.44
2020-03-05,27.95,28.67,26.79,27.82,138.6,138.9,139.04,70901150.0,19716.62,58268,900184,6.35
2020-03-06,26.0,26.54,25.48,26.1,130.0,139.1,130.86,41370245.0,10827.49,38425,597108,7.22
2020-03-09,25.0,25.57,24.0,24.33,121.0,130.5,124.31,47126460.0,11716.84,42899,708484,7.52
2020-03-11,24.33,24.76,23.06,23.33,115.6,121.65,120.23,50207555.0,12072.87,50628,755632,7.53
2020-03-12,21.6,21.94,19.41,19.7,98.3,116.65,102.36,75913830.0,15541.41,68321,1641970,10.81
2020-03-13,17.84,21.88,16.4,21.48,107.3,98.5,98.51,92231965.0,18170.72,95175,1398802,7.58
2020-03-16,19.94,20.56,19.5,19.93,99.5,107.4,99.91,59898865.0,11969.34,64649,1444778,12.06
2020-03-17,20.12,20.98,19.6,19.84,99.25,99.65,101.45,60661065.0,12308.47,54850,1752394,14.44
2020-03-18,20.3,20.36,18.5,19.17,95.5,99.2,96.43,61231670.0,11809.26,54353,1272479,10.39
2020-03-19,18.13,20.99,17.94,19.81,98.35,95.85,99.34,84947280.0,16876.85,86050,2202709,12.97
2020-03-20,19.96,20.59,19.09,19.25,95.9,99.05,98.39,102007625.0,20073.14,86229,4474177,21.93
2020-03-23,18.3,18.3,15.0,15.22,77.1,96.25,82.02,32745650.0,5371.5,53401,2256825,34.46
2020-03-24,15.85,16.6,14.73,16.08,81.1,76.1,78.6,57425340.0,9027.44,57781,2866590,24.96
2020-03-25,15.5,17.34,15.4,16.73,83.7,80.4,82.04,39127415.0,6420.41,39681,1328647,16.98
2020-03-26,16.8,18.29,16.58,17.48,87.3,83.65,87.69,49627050.0,8703.29,59591,1278998,12.89
2020-03-27,18.09,19.1,17.54,18.01,90.45,87.4,90.91,61774240.0,11231.36,76487,1597639,12.93
2020-03-30,17.8,17.91,16.94,17.37,87.15,90.05,87.47,28881330.0,5052.37,36194,407677,7.06
2020-03-31,18.0,18.43,17.36,18.1,91.5,86.85,88.87,32821275.0,5833.81,32723,797814,12.15
2020-04-01,18.3,18.39,17.65,18.04,90.05,90.5,90.0,31373590.0,5647.01,31498,499421,7.96
2020-04-03,17.6,17.78,16.7,16.83,84.3,90.2,85.48,27553925.0,4710.89,33792,897948,16.29
2020-04-07,17.43,17.6,16.64,17.36,86.5,84.15,86.05,36938435.0,6357.17,35915,977037,13.23
2020-04-08,17.04,18.55,16.86,17.48,87.05,86.8,88.56,42173335.0,7469.86,39656,494872,5.87
2020-04-09,17.68,18.6,17.32,18.36,91.3,87.4,89.85,56099175.0,10081.5,47414,1257622,11.21
2020-04-13,18.19,18.26,17.33,17.66,88.0,91.8,88.39,34279490.0,6059.95,32635,910975,14.8
2020-04-15,17.79,18.4,17.17,17.29,86.9,88.3,89.51,55040455.0,9852.87,42670,1432946,13.02
2020-04-16,17.4,17.52,16.96,17.17,86.0,86.45,86.11,56464965.0,9723.92,39843,2049288,18.15
2020-04-17,17.8,18.03,16.7,17.37,86.95,85.85,86.27,83190580.0,14354.27,64886,2584722,15.53
2020-04-20,17.6,18.83,17.22,18.4,91.8,86.85,91.83,116925220.0,21475.31,95794,3002124,12.84
2020-04-21,17.96,17.96,16.78,16.84,84.2,92.0,85.93,66082320.0,11357.49,61219,3627194,27.44
2020-04-22,16.83,16.9,15.91,16.58,83.05,84.2,81.9,102446100.0,16781.57,74398,1946173,9.5
2020-04-23,16.78,17.14,16.55,16.73,83.6,82.9,84.19,44754850.0,7535.4,39676,1195052,13.35
2020-04-24,16.51,16.94,16.21,16.27,81.95,83.65,82.61,38313130.0,6330.32,43000,1851876,24.17
2020-04-27,16.5,16.69,16.1,16.29,81.45,81.35,81.98,34768795.0,5700.81,43354,1061289,15.26
2020-04-28,16.54,17.2,16.23,16.79,85.7,81.45,82.52,58543460.0,9661.77,40362,2289748,19.56
2020-04-29,17.0,17.64,16.86,17.48,87.1,83.95,86.77,80530970.0,13975.36,63701,2850575,17.7
2020-04-30,17.69,18.24,17.48,17.58,87.75,87.4,89.25,71391015.0,12742.74,57282,2302960,16.13
2020-05-04,17.1,17.12,16.03,16.28,81.55,87.9,81.48,60115295.0,9796.13,55787,3146932,26.17
2020-05-05,16.6,16.69,15.9,15.96,79.9,81.4,81.28,51514750.0,8374.34,43934,1609201,15.62
2020-05-06,16.1,16.34,15.41,16.23,81.4,79.8,79.55,50205615.0,7987.37,40570,1089562,10.85
2020-05-07,16.03,16.54,15.97,16.27,81.45,81.15,81.4,29105130.0,4738.1,24819,493437,8.48
2020-05-08,16.4,16.62,15.9,15.97,79.65,81.35,81.4,37989145.0,6184.68,31297,1202258,15.82
2020-05-11,16.02,16.18,15.7,15.77,78.85,79.85,79.54,35882275.0,5708.19,30513,1213571,16.91
2020-05-12,15.79,16.12,15.2,15.96,80.1,78.85,77.94,45927470.0,7158.78,39112,1239754,13.5
2020-05-13,16.6,18.05,16.31,17.81,90.0,79.8,86.21,111087235.0,19153.08,87774,4617682,20.78
2020-05-14,17.4,18.0,17.13,17.26,86.2,89.05,87.67,67809370.0,11889.14,57947,1537231,11.33
2020-05-15,17.39,17.51,16.63,16.79,84.0,86.3,84.84,50330305.0,8540.18,40501,1177084,11.69
2020-05-18,16.92,16.94,15.3,15.52,77.5,83.95,78.65,67060550.0,10548.12,56622,2661769,19.85
