date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,306.65,308.0,302.1,302.85,302.9,305.5,304.78,357891,1090.76,6842,97727,27.31
2020-01-02,304.25,309.9,301.5,309.2,308.75,302.85,307.23,1409338,4329.95,17640,385570,27.36
2020-01-03,310.5,310.5,299.35,303.05,304.95,309.2,304.31,1026261,3122.99,14580,337010,32.84
2020-01-06,291.5,300.7,287.05,291.5,290.9,303.05,292.12,2555741,7465.88,38138,955105,37.37
2020-01-07,295.4,297.55,291.25,294.75,294.85,291.5,294.8,1064029,3136.7,17723,412950,38.81
2020-01-08,292.0,296.45,290.1,294.6,294.1,294.75,294.28,1533409,4512.59,39001,775546,50.58
2020-01-09,297.95,309.7,296.75,306.4,305.7,294.6,304.17,1597360,4858.7,19502,756512,47.36
2020-01-10,306.0,316.0,306.0,314.1,313.85,306.4,312.02,1852886,5781.32,20070,552274,29.81
2020-01-13,316.05,320.7,312.8,319.95,320.2,314.1,317.25,1354842,4298.27,18606,549051,40.53
2020-01-14,320.0,325.5,316.85,320.5,320.25,319.95,321.4,1171343,3764.68,16229,423079,36.12
2020-01-15,319.9,333.45,317.0,331.65,332.95,320.5,327.02,1587871,5192.62,29581,641931,40.43
2020-01-16,330.5,334.9,326.0,327.1,329.5,331.65,330.53,2175032,7189.24,17785,1451702,66.74
2020-01-17,325.0,329.85,323.2,325.25,325.25,327.1,327.11,931898,3048.29,31471,508678,54.59
2020-01-20,327.25,327.25,318.25,319.2,319.6,325.25,322.29,683308,2202.24,21462,232087,33.97
2020-01-21,315.6,318.85,308.95,314.95,315.1,319.2,313.46,2824500,8853.62,33969,1954546,69.2
2020-01-22,315.75,319.45,312.0,317.5,317.8,314.95,315.43,2017725,6364.6,22864,1261850,62.54
2020-01-23,318.75,325.0,313.65,323.5,324.2,317.5,320.12,4802353,15373.34,32455,3662289,76.26
2020-01-24,329.0,329.0,320.4,323.8,325.45,323.5,324.49,3994678,12962.24,41824,1943803,48.66
2020-01-27,323.05,336.8,323.05,329.45,330.65,323.8,331.79,4961789,16462.55,55440,2326329,46.88
2020-01-28,331.9,336.0,324.0,325.8,325.0,329.45,327.37,4294074,14057.51,44322,2432855,56.66
2020-01-29,327.0,333.75,324.0,327.65,328.0,325.8,326.96,6085725,19897.81,26066,4714742,77.47
2020-01-30,329.4,330.5,325.0,326.85,326.0,327.65,328.04,1485564,4873.26,17242,798028,53.72
2020-01-31,327.65,334.3,324.25,327.55,325.0,326.85,329.48,1687153,5558.88,27402,663833,39.35
2020-02-03,318.0,330.5,315.3,324.95,325.45,318.55,324.97,1061299,3448.88,36297,357951,33.73
2020-02-04,326.0,334.5,325.7,332.25,332.5,324.95,331.68,1491701,4947.66,22805,515796,34.58
2020-02-05,333.1,347.6,333.1,342.65,342.5,332.25,342.85,7914829,27136.07,70051,4994690,63.11
2020-02-06,345.3,349.0,328.95,340.2,340.2,342.65,339.66,4835953,16425.98,53153,2191279,45.31
2020-02-07,339.95,342.45,332.75,339.95,338.5,340.2,337.45,1819012,6138.32,29673,1018333,55.98
2020-02-10,339.95,339.95,332.05,335.6,335.6,339.95,335.73,835496,2805.02,23864,312171,37.36
2020-02-11,336.5,341.75,332.25,333.3,333.0,335.6,336.18,977759,3286.99,19575,454458,46.48
2020-02-12,333.5,339.8,333.5,338.85,339.0,333.3,337.19,1568078,5287.34,25260,984022,62.75
