date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,231.4,232.15,227.1,227.55,227.4,230.9,228.81,3761160,8605.82,22409,668092,17.76
2020-01-02,227.5,234.4,226.5,233.75,233.85,227.55,231.08,4513308,10429.2,26456,818948,18.15
2020-01-03,232.65,233.7,227.05,228.6,228.55,233.75,229.97,4289982,9865.59,32321,821709,19.15
2020-01-06,227.0,227.55,220.15,220.95,221.2,228.6,222.68,7552620,16818.16,51288,2388804,31.63
2020-01-07,223.0,227.45,222.5,225.5,225.15,220.95,225.03,4646862,10456.83,34875,563879,12.13
2020-01-08,217.3,228.3,217.3,227.65,227.1,225.5,223.71,6320990,14140.51,36825,1121011,17.73
2020-01-09,230.0,240.5,229.35,238.25,238.15,227.65,235.45,9195030,21649.25,53440,2072622,22.54
2020-01-10,238.85,245.0,236.0,244.2,244.85,238.25,241.2,14793061,35680.49,59986,4796361,32.42
2020-01-13,244.35,253.75,244.35,252.8,252.1,244.2,249.5,14466469,36093.77,74297,4644443,32.1
2020-01-14,252.1,257.6,250.55,254.55,254.2,252.8,253.3,6843491,17334.47,41679,1095408,16.01
2020-01-15,252.5,258.0,252.5,255.9,255.6,254.55,255.46,7020963,17935.72,40304,911334,12.98
2020-01-16,255.7,259.65,254.65,258.15,257.25,255.9,256.91,5235129,13449.61,27704,767334,14.66
2020-01-17,257.0,262.0,256.9,261.25,260.05,258.15,260.04,5766591,14995.38,30688,700340,12.14
2020-01-20,261.95,264.0,257.35,258.95,259.0,261.25,260.4,6096170,15874.69,34896,643579,10.56
2020-01-21,258.0,258.85,255.0,257.1,256.1,258.95,256.76,5387621,13833.23,90857,1514967,28.12
2020-01-22,258.4,261.25,255.0,258.1,258.9,257.1,257.91,5476635,14124.96,39791,1154215,21.08
2020-01-23,258.1,262.0,257.1,260.7,260.45,258.1,260.1,5101631,13269.28,30954,351020,6.88
2020-01-24,262.0,265.9,261.1,262.85,262.2,260.7,263.92,7257409,19153.93,40109,724162,9.98
2020-01-27,261.5,264.0,255.8,257.1,255.8,262.85,260.74,5577299,14542.08,27415,1105776,19.83
2020-01-28,256.0,261.25,255.3,257.65,257.9,257.1,258.42,4763857,12310.57,29787,723630,15.19
2020-01-29,259.0,261.8,256.65,258.6,258.3,257.65,259.09,4977662,12896.73,29042,588319,11.82
2020-01-30,258.6,258.85,252.05,254.65,254.5,258.6,255.34,5549648,14170.29,43434,1677968,30.24
2020-01-31,257.8,262.8,254.3,260.45,260.35,254.65,258.34,10810838,27928.4,94404,3223748,29.82
2020-02-03,230.0,233.7,217.85,230.85,229.5,228.9,226.66,20842165,47240.3,141119,2514650,12.07
2020-02-04,231.4,247.75,230.8,245.25,244.5,230.85,240.69,15797056,38021.61,81185,3440670,21.78
2020-02-05,250.15,255.8,245.65,253.45,251.65,245.25,251.71,12352880,31093.83,99057,2434875,19.71
2020-02-06,247.0,254.7,243.4,246.3,245.9,253.45,248.67,17929026,44584.96,153594,1762855,9.83
2020-02-07,246.0,246.9,234.75,235.8,235.3,246.3,239.31,14050194,33623.17,81212,3758407,26.75
2020-02-10,235.3,236.6,231.15,233.8,233.45,235.8,233.84,8120421,18988.93,57683,2258466,27.81
2020-02-11,236.0,237.8,232.6,233.85,233.1,233.8,234.96,5475597,12865.57,43148,946007,17.28
2020-02-12,233.9,235.75,226.8,230.85,230.5,233.85,230.14,6806019,15663.49,53867,1069013,15.71
2020-02-13,230.55,232.6,227.45,231.35,231.25,230.85,229.94,6913597,15897.19,41751,1177126,17.03
2020-02-14,232.4,234.45,224.45,226.2,226.2,231.35,229.89,6757171,15534.0,51765,492947,7.3
2020-02-17,228.4,229.8,217.85,219.4,219.5,226.2,222.82,10788768,24039.89,59075,3916933,36.31
2020-02-18,217.2,219.35,216.55,217.95,218.95,219.4,217.97,6678150,14556.48,44822,2533875,37.94
2020-02-19,220.7,228.65,218.3,226.9,228.2,217.95,222.75,7405952,16497.03,55270,759370,10.25
2020-02-20,226.9,228.35,219.0,220.1,220.0,226.9,223.61,7654026,17115.32,46585,1448879,18.93
2020-02-24,215.0,219.0,211.25,212.5,212.4,220.1,214.75,7761069,16666.77,44058,1740318,22.42
2020-02-25,213.0,219.5,213.0,216.75,217.0,212.5,216.88,8778643,19039.47,81077,1015385,11.57
2020-02-26,214.85,217.7,210.6,212.45,211.8,216.75,214.59,6037598,12956.2,39204,1076660,17.83
2020-02-27,212.0,212.8,204.3,208.7,208.0,212.45,208.06,8839033,18390.4,54641,2568464,29.06
2020-02-28,203.5,204.9,193.15,201.7,202.9,208.7,199.88,15083273,30148.28,70246,4549838,30.16
2020-03-02,206.0,213.4,199.8,203.85,200.55,201.7,208.19,10400591,21652.59,82929,1709169,16.43
2020-03-03,205.0,212.05,203.4,206.8,208.15,203.85,207.59,11084288,23009.39,93385,2405398,21.7
2020-03-04,208.05,210.1,198.5,203.95,202.9,206.8,203.79,9357919,19070.96,74575,1589893,16.99
2020-03-05,205.8,207.35,200.4,202.6,202.45,203.95,203.79,8576035,17476.87,99588,979243,11.42
2020-03-06,195.0,196.1,187.85,194.45,194.5,202.6,191.94,10991688,21097.24,79967,2234882,20.33
2020-03-09,188.0,189.0,178.65,182.35,181.55,194.45,183.33,12053473,22097.17,68471,4431881,36.77
2020-03-11,182.35,184.8,177.0,178.45,177.15,182.35,181.29,9238369,16748.4,50473,2190549,23.71
2020-03-12,168.0,169.0,154.5,156.9,157.0,178.45,159.81,14049953,22453.3,75102,3998104,28.46
2020-03-13,145.05,171.95,142.0,166.75,166.65,156.9,160.68,11231755,18047.2,63953,3132284,27.89
2020-03-16,155.25,157.0,147.6,149.0,149.3,166.75,152.2,7065375,10753.42,47680,1590936,22.52
2020-03-17,150.0,155.0,143.9,144.6,145.3,149.0,148.7,8919578,13263.75,68631,2627634,29.46
2020-03-18,149.9,149.9,138.0,140.15,140.2,144.6,142.29,9347932,13301.29,97498,2578950,27.59
2020-03-19,132.65,140.35,125.5,128.45,130.0,140.15,133.45,10873570,14510.46,62603,2952981,27.16
2020-03-20,129.0,141.75,121.35,139.8,141.0,128.45,131.99,18143402,23947.57,131357,3422150,18.86
2020-03-23,125.85,134.2,123.8,126.15,127.9,139.8,128.15,6918861,8866.61,41945,2805865,40.55
2020-03-24,126.0,133.05,117.7,120.8,120.95,126.15,123.27,13129144,16183.65,113146,3038537,23.14
2020-03-25,120.0,127.4,114.55,123.8,124.6,120.8,120.4,14618656,17600.94,102166,3699458,25.31
2020-03-26,126.1,147.0,121.65,138.15,140.0,123.8,137.21,16809428,23063.51,144666,3591977,21.37
2020-03-27,142.0,158.85,136.8,138.75,139.0,138.15,144.13,14470204,20855.66,138177,3644872,25.19
2020-03-30,134.0,135.5,128.8,130.75,129.55,138.75,132.64,7737955,10263.95,57257,1328434,17.17
2020-03-31,137.0,138.9,130.35,137.45,136.8,130.75,134.9,8327716,11233.72,73222,2012581,24.17
2020-04-01,135.95,136.95,130.3,132.55,132.55,137.45,133.25,5567170,7418.15,45675,1172925,21.07
2020-04-03,133.55,136.0,130.35,132.1,132.4,132.55,132.9,6553107,8708.93,42209,1427938,21.79
2020-04-07,137.7,142.9,135.1,141.55,140.3,132.1,139.51,6419110,8955.03,48716,1134580,17.68
2020-04-08,137.0,146.8,136.85,138.0,137.6,141.55,141.72,7944486,11258.89,60975,1246509,15.69
2020-04-09,142.1,151.8,140.7,149.1,149.05,138.0,145.74,7216451,10516.9,47583,1332585,18.47
2020-04-13,148.4,148.9,134.6,139.75,139.0,149.1,139.11,12595353,17521.78,92891,2037554,17.91
2020-04-15,138.95,144.65,137.8,140.3,140.3,139.75,141.44,9821552,13891.55,62827,1951132,19.87
2020-04-16,138.0,143.35,132.7,134.0,134.45,140.3,137.5,13414652,18445.19,73388,3407300,25.4
2020-04-17,139.9,145.3,135.8,136.9,137.9,134.0,138.57,30164652,41798.57,134355,8777989,29.1
2020-04-20,138.2,139.45,131.3,134.4,134.2,136.9,134.74,18161265,24469.68,94559,5068264,27.91
2020-04-21,131.4,133.7,129.15,132.65,132.8,134.4,131.51,12612460,16586.38,62120,1452990,11.52
2020-04-22,132.95,135.2,129.8,133.55,133.0,132.65,132.63,11250707,14922.05,60899,1713685,15.23
2020-04-23,134.4,138.5,133.0,137.0,136.4,133.55,136.66,10333997,14122.13,75120,2496914,24.16
2020-04-24,135.0,135.0,127.6,128.2,128.5,137.0,130.12,12295346,15999.04,71241,2810969,22.86
2020-04-27,131.0,133.7,129.7,133.0,132.8,128.2,131.99,6956597,9181.72,42998,1231074,17.7
2020-04-28,135.0,138.65,133.9,138.0,137.65,133.0,137.08,10118659,13870.79,61507,1802259,17.81
2020-04-29,138.5,142.5,137.5,141.65,141.4,138.0,140.73,7030077,9893.73,48051,1807100,25.71
2020-04-30,143.65,152.25,142.25,146.85,146.75,141.65,148.28,12818946,19008.24,62286,2677089,20.88
2020-05-04,141.25,141.25,131.1,133.05,133.2,146.85,135.21,7768173,10503.13,49078,1490261,19.18
2020-05-05,135.65,136.25,126.1,126.8,127.1,133.05,130.84,9178838,12009.64,52952,1453522,15.84
2020-05-06,127.9,131.2,125.0,129.9,129.7,126.8,129.0,8703337,11227.63,54276,1636186,18.8
2020-05-07,131.0,133.35,128.6,129.15,129.2,129.9,130.82,5890404,7705.65,34160,723173,12.28
2020-05-08,132.9,132.9,129.35,130.15,129.8,129.15,130.96,5882098,7703.39,36796,675878,11.49
2020-05-11,133.0,135.4,131.1,133.35,132.8,130.15,133.38,6546304,8731.73,34269,956506,14.61
2020-05-12,131.75,137.85,130.15,136.95,136.45,133.35,133.57,7708941,10296.76,47058,1056285,13.7
2020-05-13,143.5,146.5,139.6,141.1,142.25,136.95,142.79,11157101,15931.36,80456,2271716,20.36
2020-05-14,139.85,140.0,135.0,137.05,137.0,141.1,136.85,8704139,11911.44,55169,1751102,20.12
2020-05-15,139.0,140.5,136.65,138.8,138.5,137.05,138.53,8090978,11208.09,50310,1312844,16.23
2020-05-18,138.5,138.8,129.7,132.45,132.2,138.8,132.78,7009940,9307.88,36961,1034616,14.76
2020-05-19,134.5,135.45,130.4,131.45,131.6,132.45,132.75,6068689,8056.23,32083,438232,7.22
2020-05-20,132.05,141.8,130.75,139.25,141.1,131.45,136.49,11788743,16090.63,61094,1466560,12.44
2020-05-21,139.0,141.0,136.6,138.6,139.5,139.25,138.98,5864536,8150.53,40036,566344,9.66
2020-05-22,137.5,140.0,133.85,135.15,135.0,138.6,136.54,6331378,8644.58,29525,1132789,17.89
2020-05-26,135.75,137.85,134.55,136.75,137.0,135.15,136.19,4595672,6259.05,25508,684872,14.9
2020-05-27,137.5,138.2,134.8,137.65,136.95,136.75,136.47,4864921,6638.92,30495,610452,12.55
2020-05-28,136.85,145.95,136.7,144.05,143.0,137.65,141.92,8686378,12327.43,45235,1116746,12.86
2020-05-29,140.0,152.85,140.0,150.65,149.6,144.05,147.25,15478799,22791.98,97074,3038152,19.63
2020-06-01,153.0,158.55,150.8,152.2,151.75,150.65,155.1,13138735,20378.27,115948,2379650,18.11
2020-06-02,153.0,158.85,150.4,157.2,156.6,152.2,153.84,10651414,16385.82,84021,1119963,10.51
2020-06-03,158.05,163.05,154.7,156.0,155.8,157.2,158.43,16147229,25582.69,134373,2878195,17.82
2020-06-04,153.05,158.3,152.65,156.35,155.85,156.0,155.74,11047021,17204.45,91555,1897745,17.18
2020-06-05,153.0,158.3,148.8,157.2,156.7,156.35,153.86,24856656,38243.74,147412,1613704,6.49
2020-06-08,162.0,163.55,152.1,152.95,153.45,157.2,157.77,13212637,20845.33,85587,2458431,18.61
2020-06-09,154.0,158.3,151.95,153.35,153.5,152.95,154.92,10649535,16498.05,60797,1916404,18.0
2020-06-10,154.0,158.55,153.35,156.8,156.5,153.35,155.91,7195413,11218.35,49877,853203,11.86
2020-06-11,156.75,161.0,149.6,150.75,151.15,156.8,154.89,13544700,20979.21,90420,3003546,22.18
2020-06-12,145.0,154.85,143.8,154.05,153.7,150.75,149.73,11237376,16825.39,50717,2188678,19.48
2020-06-15,153.35,154.4,145.2,145.9,146.3,154.05,148.97,11614920,17302.45,68268,2155267,18.56
2020-06-16,150.0,151.4,143.7,146.6,146.3,145.9,148.06,8630991,12778.65,46678,906830,10.51
2020-06-17,146.3,152.0,144.95,150.05,149.7,146.6,149.45,7838504,11714.33,54744,1066447,13.61
2020-06-18,149.45,150.2,146.0,147.7,148.2,150.05,147.48,6470562,9542.95,45743,1305576,20.18
2020-06-19,148.5,162.45,148.5,161.8,161.7,147.7,157.37,22606656,35576.75,116845,3708145,16.4
2020-06-22,164.5,164.5,158.3,159.95,160.4,161.8,160.81,12877819,20709.06,95327,1965290,15.26
2020-06-23,162.0,170.25,159.5,168.65,169.0,159.95,165.82,16147689,26775.6,86383,2597253,16.08
2020-06-24,168.65,171.25,158.85,160.05,159.9,168.65,165.94,13866743,23010.3,86033,2005751,14.46
2020-06-25,159.8,161.4,156.55,157.25,157.35,160.05,158.61,10615968,16837.83,62727,1949755,18.37
2020-06-26,159.15,159.15,152.35,154.4,154.5,157.25,154.95,10524946,16308.9,55834,1597545,15.18
2020-06-29,154.2,155.3,149.7,151.5,151.9,154.4,151.63,5370205,8142.99,34511,835875,15.57
2020-06-30,153.0,154.4,147.2,148.05,148.7,151.5,150.29,6991814,10507.87,38621,1741572,24.91
2020-07-01,148.45,152.5,147.9,150.25,150.0,148.05,150.06,7325712,10993.15,37973,762483,10.41
2020-07-02,151.2,154.1,150.0,152.85,153.0,150.25,152.16,5754433,8756.03,41425,886774,15.41
2020-07-03,154.0,154.75,149.5,151.25,151.35,152.85,151.72,6698888,10163.25,34590,1234947,18.44
2020-07-06,153.0,156.0,152.25,154.85,154.25,151.25,153.74,5813548,8937.47,33528,1037988,17.85
2020-07-07,154.05,155.25,150.0,153.05,152.2,154.85,152.73,7492628,11443.37,53550,724068,9.66
2020-07-08,152.5,154.5,145.6,146.4,146.5,153.05,149.76,12826654,19209.52,91652,2713984,21.16
2020-07-09,148.9,151.0,144.6,146.0,146.7,146.4,146.76,19957900,29289.3,161704,4062937,20.36
