date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,576.0,577.7,572.04,575.88,2885.0,2874.55,2875.64,773895.0,4450.88,7138,13871,8.96
2020-01-02,576.76,578.48,572.04,572.98,2869.0,2879.4,2870.42,1494155.0,8577.69,19727,132540,44.35
2020-01-03,572.98,579.4,570.41,576.78,2887.0,2864.9,2881.03,1723390.0,9930.29,23970,100853,29.26
2020-01-06,574.2,579.56,570.84,575.77,2885.0,2883.9,2873.7,1788685.0,10280.3,22787,184714,51.63
2020-01-07,578.0,582.0,574.21,576.84,2880.0,2878.85,2895.86,1788175.0,10356.6,21604,121253,33.9
2020-01-08,575.0,581.0,573.2,579.45,2900.0,2884.2,2893.97,1395115.0,8074.85,21788,105265,37.73
2020-01-09,582.32,587.32,580.2,584.1,2915.0,2897.25,2921.3,1877480.0,10969.36,29664,133368,35.52
2020-01-10,586.0,601.6,585.03,586.6,2936.6,2920.5,2961.69,5635735.0,33382.58,57640,273064,24.23
2020-01-13,586.58,593.3,583.14,590.94,2954.9,2933.0,2952.69,2209320.0,13046.89,24760,157399,35.62
2020-01-14,590.96,593.76,586.4,589.56,2950.0,2954.7,2946.17,1785850.0,10522.85,33063,195859,54.84
2020-01-15,589.23,589.3,580.0,583.73,2914.4,2947.8,2915.13,1924335.0,11219.38,33128,191280,49.7
2020-01-16,585.6,590.3,584.33,587.49,2942.0,2918.65,2938.96,1917310.0,11269.8,29472,201846,52.64
2020-01-17,588.88,609.8,588.0,606.87,3026.8,2937.45,3003.67,5585585.0,33554.53,61079,404258,36.19
2020-01-20,608.6,616.0,606.41,611.92,3062.2,3034.35,3058.92,4373565.0,26756.75,52713,354451,40.52
2020-01-21,611.11,615.96,607.17,612.09,3052.0,3059.6,3061.54,2853930.0,17474.85,26841,221598,38.82
2020-01-22,612.11,621.01,609.48,612.41,3055.55,3060.45,3082.31,2798990.0,17254.74,37334,147303,26.31
2020-01-23,611.06,615.74,604.8,607.63,3032.1,3062.05,3048.34,2130840.0,12991.04,34732,155106,36.4
2020-01-24,608.8,609.41,605.04,606.28,3029.45,3038.15,3036.05,1363645.0,8280.19,19235,74185,27.2
2020-01-27,605.8,641.8,599.5,637.75,3200.0,3031.4,3140.57,20699040.0,130013.46,193880,673805,16.28
2020-01-28,638.0,649.99,631.55,637.83,3183.0,3188.75,3213.02,11511345.0,73972.34,114855,472279,20.51
