date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,2251.52,2259.48,2200.1,2207.58,22090.0,22515.25,22214.67,1086480.0,24135.8,24089,12325,11.34
2020-01-02,2209.0,2234.18,2147.11,2160.08,21568.45,22075.8,21781.96,2285820.0,49789.65,49509,24910,10.9
2020-01-03,2165.0,2166.6,2111.0,2118.93,21210.0,21600.85,21241.25,1572970.0,33411.85,39542,36689,23.32
2020-01-06,2110.0,2110.0,2073.95,2086.04,20882.05,21189.25,20909.91,1258710.0,26319.51,32455,22638,17.99
2020-01-07,2095.0,2134.98,2071.38,2080.38,20800.0,20860.45,20900.8,1371520.0,28665.87,33833,27076,19.74
2020-01-08,2070.0,2070.0,1980.01,1989.22,19900.0,20803.8,20147.16,2892860.0,58282.9,63714,97132,33.58
2020-01-09,2023.8,2050.0,1986.0,2032.89,20328.1,19892.2,20169.93,2592870.0,52298.0,67037,53071,20.47
2020-01-10,2033.0,2074.0,2025.02,2043.28,20385.55,20328.9,20505.68,2169260.0,44482.15,46942,29600,13.65
2020-01-13,2060.0,2060.01,2006.32,2028.0,20295.0,20432.75,20249.03,1320920.0,26747.35,34819,20332,15.39
2020-01-14,2027.0,2057.93,2025.5,2048.97,20464.75,20280.0,20460.0,1162260.0,23779.84,29367,18005,15.49
2020-01-15,2044.0,2065.0,2030.0,2062.48,20620.0,20489.7,20503.26,1079560.0,22134.5,28993,22281,20.64
2020-01-16,2069.9,2160.0,2065.0,2153.62,21509.05,20624.8,21309.89,2921950.0,62266.44,67657,73997,25.32
2020-01-17,2150.91,2177.0,2110.36,2129.22,21292.25,21536.25,21443.15,1834850.0,39344.96,40136,25705,14.01
2020-01-20,2138.0,2154.99,2100.5,2136.51,21360.0,21292.2,21288.29,1005930.0,21414.53,28635,8569,8.52
2020-01-21,2135.8,2147.5,2097.03,2105.66,21005.0,21365.1,21173.14,1032360.0,21858.3,24458,13675,13.25
2020-01-22,2116.0,2128.0,2094.4,2110.0,21070.0,21056.55,21113.22,786810.0,16612.09,22313,8834,11.23
2020-01-23,2107.0,2119.6,2078.05,2091.58,20905.0,21100.0,20926.22,1059580.0,22173.0,23020,18127,17.11
2020-01-24,2098.0,2117.5,2080.0,2093.08,20900.0,20915.75,21026.49,770750.0,16206.17,18834,13926,18.07
2020-01-27,2085.0,2116.08,2077.5,2109.52,21091.0,20930.8,21047.34,971080.0,20438.65,20882,33628,34.63
2020-01-28,2122.7,2122.7,2087.5,2108.67,21086.65,21095.2,21078.18,972770.0,20504.22,31697,29390,30.21
2020-01-29,2123.6,2123.6,2010.0,2019.22,20136.0,21086.65,20455.68,2869250.0,58692.46,63311,117838,41.07
2020-01-30,2020.0,2058.0,2020.0,2034.03,20300.0,20192.25,20399.11,1385590.0,28264.8,33188,17997,12.99
2020-01-31,2045.0,2064.17,2021.1,2028.93,20240.0,20340.3,20375.7,1021230.0,20808.28,23667,17497,17.13
2020-02-03,1954.73,2037.56,1951.17,1988.35,20000.0,20059.25,19910.48,1486370.0,29594.34,41404,27504,18.5
2020-02-04,2000.0,2014.0,1945.0,1951.27,19523.0,19883.45,19685.51,1500920.0,29546.38,38791,41502,27.65
2020-02-05,1971.2,1980.0,1935.61,1948.7,19500.0,19512.65,19572.19,1283330.0,25117.57,29504,31674,24.68
2020-02-06,1962.5,2064.16,1926.1,2039.12,20530.0,19487.05,20053.3,3945750.0,79125.29,88628,83061,21.05
2020-02-07,2050.0,2051.7,1966.67,1973.63,19750.0,20391.2,19858.03,2224150.0,44167.25,60419,59472,26.74
2020-02-10,1985.5,1985.5,1879.0,1905.72,19070.0,19736.3,19117.42,2437470.0,46598.14,58239,64218,26.35
2020-02-11,1925.0,1936.9,1894.5,1900.93,18975.05,19057.25,19171.48,1295530.0,24837.23,29666,24594,18.98
