date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2025-04-09,216.0,216.0,209.86,211.39,211.15,215.19,211.64,25359931,53671.59,162551,13270151,52.33
2025-04-11,216.0,218.31,214.1,217.2,216.0,211.39,216.93,28917549,62730.38,179516,16343363,56.52
2025-04-15,224.25,224.25,220.1,222.23,222.9,217.2,221.95,45034496,99954.56,194207,32156178,71.4
2025-04-16,220.51,222.64,218.4,222.08,221.85,222.23,221.0,26155875,57803.3,130093,13480029,51.54
2025-04-17,220.6,236.14,220.38,231.6,232.0,222.08,230.19,70125937,161422.94,302980,29653537,42.29
2025-04-21,229.0,235.3,227.1,234.24,234.22,231.6,232.13,66028533,153269.77,318929,33247183,50.35
2025-04-22,236.0,243.45,235.0,237.47,236.57,234.24,238.74,59667380,142452.6,320284,28757840,48.2
2025-04-23,237.48,240.25,233.05,239.24,238.15,237.47,237.42,42294685,100416.7,280063,20203691,47.77
2025-04-24,237.0,241.37,235.0,236.38,236.8,239.24,237.78,46103369,109622.63,186390,21327573,46.26
2025-04-25,235.9,239.0,227.31,228.81,227.71,236.38,231.73,32437650,75166.18,165167,15701800,48.41
2025-04-28,226.0,231.99,225.06,227.21,226.7,228.81,227.58,29327020,66743.31,146990,13200305,45.01
2025-04-29,228.37,234.24,226.6,231.11,231.16,227.21,230.59,32761971,75547.1,177098,12235973,37.35
2025-04-30,232.0,234.75,226.1,232.52,231.43,231.11,231.06,45831746,105900.29,213328,21942884,47.88
2025-05-02,220.05,239.5,220.05,234.29,234.41,232.52,234.13,104910316,245624.71,697809,47955003,45.71
2025-05-05,234.5,240.97,232.93,239.9,240.1,234.29,238.94,37948115,90671.75,240824,17246110,45.45
2025-05-06,240.0,241.5,231.85,232.64,232.7,239.9,235.04,25327712,59530.29,213490,10481139,41.38
2025-05-07,228.6,237.67,228.6,236.9,236.48,232.64,234.26,31614852,74060.83,137963,15665951,49.55
2025-05-08,235.25,236.45,226.6,229.81,227.0,236.9,230.27,49888442,114876.19,222882,26059150,52.23
2025-05-09,222.0,229.0,222.0,227.14,228.15,229.81,226.2,24415321,55228.55,255926,11020064,45.14
