date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,80.93,81.2,79.83,80.8,120.95,121.05,120.69,7056744.971627514,5677.9,26255,951936,20.23
2020-01-02,81.0,82.63,80.43,82.37,123.4,121.2,122.6,10121870.43906478,8273.16,34471,2318282,34.36
2020-01-03,82.47,85.87,82.47,83.77,125.5,123.55,126.53,32438211.280894358,27361.98,86172,8294359,38.35
2020-01-06,83.33,84.17,81.9,82.9,124.35,125.65,124.0,11579761.710119145,9572.76,38654,3034674,39.31
2020-01-07,83.27,84.03,82.57,82.97,124.2,124.35,124.98,13947996.526001737,11621.58,43688,3979351,42.79
2020-01-08,82.07,83.0,81.83,82.6,124.2,124.45,123.63,5186140.906929546,4274.3,20471,833860,24.12
2020-01-09,82.93,83.6,82.13,82.47,123.45,123.9,123.93,6215264.892367554,5134.88,27825,1051579,25.38
2020-01-10,83.4,85.17,82.83,83.57,125.4,123.7,126.24,17004733.997633003,14311.57,68109,3491075,30.8
2020-01-13,83.93,86.27,83.27,85.93,129.0,125.35,127.26,16119533.440233279,13675.79,69790,5588992,52.01
2020-01-14,86.33,88.53,85.63,86.7,130.1,128.9,130.54,28891914.554042723,25143.13,86099,7945175,41.25
2020-01-15,86.9,88.03,85.83,87.77,131.9,130.05,130.25,19602393.69880315,17021.42,71515,5324365,40.74
2020-01-16,88.63,88.9,85.57,85.83,129.0,131.65,130.35,22273781.363109317,19356.25,66301,5446536,36.68
2020-01-17,84.6,84.93,81.83,84.23,126.0,128.75,126.11,25057437.971281014,21066.23,102742,6676413,39.97
2020-01-20,84.0,86.03,83.03,85.2,128.0,126.35,127.24,20108085.445957277,17056.53,71786,5620726,41.93
2020-01-21,85.57,86.37,84.2,84.5,127.2,127.8,128.0,15138517.430741284,12917.93,61759,3215305,31.86
2020-01-22,84.8,85.27,83.67,83.93,126.05,126.75,126.33,8672325.163837418,7303.73,53536,2540656,43.94
2020-01-23,83.8,87.13,83.47,86.43,129.45,125.9,128.6,20400702.29964885,17490.01,56848,3904954,28.71
2020-01-24,86.57,87.8,86.1,86.33,129.5,129.65,130.44,15677764.161117919,13633.66,54500,3980044,38.08
2020-01-27,86.0,86.33,84.07,84.5,126.65,129.5,127.46,8267964.366017817,7025.68,31089,1794573,32.56
2020-01-28,84.67,84.97,83.47,84.1,126.0,126.75,126.5,9915025.042487478,8361.89,33774,2706703,40.95
2020-01-29,85.13,85.9,83.73,84.17,126.2,126.15,126.93,16726572.636713682,14153.51,49865,4603231,41.28
2020-01-30,84.17,84.5,82.0,82.23,123.45,126.25,124.6,11245050.37747481,9340.92,39463,3318468,44.27
2020-01-31,82.7,82.93,79.6,80.3,120.4,123.35,120.99,23087155.95642202,18621.67,54824,8042384,52.25
2020-02-03,76.73,79.67,76.0,76.33,114.65,117.7,116.77,15581632.209183896,12130.24,51897,3892471,37.47
2020-02-04,76.8,79.5,76.8,79.27,118.85,114.5,117.61,17569468.715265643,13775.33,57219,5148549,43.96
2020-02-05,79.53,81.0,78.67,80.63,121.05,118.9,120.3,17716966.641516678,14209.23,67358,5580837,47.25
2020-02-06,80.97,82.93,80.93,82.47,124.0,120.95,122.94,12319873.34006333,10097.08,44815,3583169,43.63
2020-02-07,82.67,83.07,81.43,82.0,124.1,123.7,123.24,13819017.590491205,11354.11,41802,5052969,54.85
2020-02-10,82.73,82.9,79.5,81.2,121.9,123.0,121.37,29291086.854456574,23700.3,70207,5746439,29.43
2020-02-11,82.3,86.57,82.13,86.1,129.0,121.8,127.85,46583577.70821115,39705.42,139720,8006685,25.78
2020-02-12,86.47,87.33,85.0,86.9,130.3,129.15,129.33,22001930.49903475,18969.59,58880,5317195,36.25
2020-02-13,86.67,88.33,86.27,86.87,130.0,130.35,131.14,37031687.48415626,32374.63,71701,15772677,63.89
2020-02-14,86.67,87.67,81.3,81.7,123.15,130.3,125.69,43080903.95954802,36098.21,93353,12931601,45.03
2020-02-17,81.33,81.33,78.1,78.67,118.0,122.55,118.82,29110576.94471153,23058.97,75114,4730586,24.38
2020-02-18,78.67,79.83,77.83,79.63,119.75,118.0,118.63,22491134.254432872,17787.7,83031,5368021,35.8
2020-02-19,80.0,80.6,79.17,79.9,119.8,119.45,119.87,9190991.904504048,7344.69,34237,1756222,28.66
2020-02-20,79.27,80.67,79.0,79.53,119.4,119.85,119.83,10894100.052949972,8702.84,56231,2951340,40.64
2020-02-24,79.0,79.53,77.53,77.87,117.0,119.3,117.63,9320356.33982183,7308.89,47785,2961859,47.67
2020-02-25,78.93,79.07,75.63,76.0,114.5,116.8,115.01,17133300.433349784,13136.87,77124,4447075,38.93
2020-02-26,76.0,76.07,71.73,72.03,108.15,114.0,109.93,27109244.94537753,19867.48,91833,7234470,40.03
