date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,684.9,693.9,683.6,691.35,691.0,684.55,687.64,279887,1924.61,5933,96620,34.52
2020-01-02,691.0,693.9,679.2,683.7,682.8,691.35,684.27,501299,3430.24,15660,207532,41.4
2020-01-03,682.8,691.05,682.2,688.95,688.0,683.7,687.8,885454,6090.12,42342,505519,57.09
2020-01-06,688.0,703.5,678.35,697.4,698.1,688.95,693.22,1650497,11441.52,54098,556428,33.71
2020-01-07,700.9,716.0,700.9,708.6,708.15,697.4,708.75,1578096,11184.7,57999,500252,31.7
2020-01-08,704.25,713.95,701.35,712.15,711.0,708.6,709.22,634934,4503.1,37605,267917,42.2
2020-01-09,713.65,725.3,712.15,724.4,725.0,712.15,719.86,676098,4866.96,36776,342187,50.61
2020-01-10,724.9,742.0,721.45,738.25,740.65,724.4,734.43,1243343,9131.46,40585,787406,63.33
2020-01-13,742.25,750.0,734.3,742.8,742.1,738.25,742.76,1032614,7669.88,32219,502119,48.63
2020-01-14,742.8,755.0,737.1,751.75,753.4,742.8,746.84,1045858,7810.9,45150,621465,59.42
2020-01-15,751.75,764.75,749.0,762.45,763.9,751.75,755.56,980328,7406.99,31391,669463,68.29
2020-01-16,760.95,772.0,741.2,746.75,745.5,762.45,753.41,870590,6559.12,44020,393868,45.24
2020-01-17,746.0,751.0,740.9,743.7,743.75,746.75,744.83,534526,3981.3,26433,307338,57.5
2020-01-20,747.4,753.55,739.05,748.55,747.95,743.7,746.92,1334231,9965.65,16844,1091065,81.77
2020-01-21,749.9,749.9,729.8,731.55,730.2,748.55,735.08,611181,4492.65,24988,277834,45.46
2020-01-22,732.55,734.0,722.2,726.1,728.0,731.55,727.92,487900,3551.54,29126,254587,52.18
2020-01-23,729.4,743.0,724.0,741.05,739.4,726.1,732.94,757948,5555.33,33299,432126,57.01
2020-01-24,740.0,751.0,733.5,749.35,749.0,741.05,746.18,409201,3053.39,17439,159914,39.08
2020-01-27,748.0,752.55,735.0,737.75,736.2,749.35,745.51,270404,2015.89,13584,110232,40.77
2020-01-28,735.5,741.6,727.4,736.4,738.0,737.75,735.42,473685,3483.59,28431,224833,47.46
2020-01-29,741.7,754.0,719.25,740.85,722.65,736.4,740.19,1575262,11659.95,51434,601271,38.17
2020-01-30,724.0,730.8,677.6,683.5,680.5,740.85,694.53,2892436,20088.82,82151,942273,32.58
2020-01-31,684.85,686.55,671.65,672.65,672.25,683.5,676.94,1859249,12586.02,43726,1092200,58.74
2020-02-03,661.5,675.35,656.0,667.3,669.0,664.55,669.62,1822043,12200.7,28127,1295756,71.12
2020-02-04,670.6,676.6,651.0,654.55,656.0,667.3,659.56,2088083,13772.26,43685,1327241,63.56
2020-02-05,658.0,663.85,649.55,661.35,660.15,654.55,658.16,1410185,9281.32,23994,768603,54.5
2020-02-06,664.4,665.0,647.85,651.95,650.45,661.35,653.94,1348347,8817.4,25235,775905,57.54
2020-02-07,650.45,656.95,645.5,646.8,647.0,651.95,649.77,1690674,10985.44,29692,1127181,66.67
2020-02-10,650.45,650.45,629.05,630.85,630.0,646.8,635.05,1454583,9237.34,37373,737556,50.71
2020-02-11,633.0,636.2,614.5,615.7,616.35,630.85,622.76,2090350,13017.81,39499,1343917,64.29
2020-02-12,620.9,645.95,618.25,642.15,644.4,615.7,635.23,4910853,31195.02,66811,2663998,54.25
2020-02-13,642.95,648.9,633.1,636.35,635.2,642.15,638.39,1547406,9878.43,27213,697111,45.05
2020-02-14,637.0,639.45,622.4,626.1,626.0,636.35,628.16,1078421,6774.25,30946,528841,49.04
2020-02-17,626.1,630.95,618.05,625.75,625.75,626.1,626.93,1006447,6309.7,24811,605363,60.15
2020-02-18,626.0,626.7,613.0,620.75,623.05,625.75,618.9,993432,6148.32,24474,637220,64.14
2020-02-19,622.4,625.6,614.25,622.6,621.8,620.75,619.33,2216292,13726.23,34126,1451770,65.5
2020-02-20,622.6,637.9,622.6,631.05,631.0,622.6,632.34,1415897,8953.33,57081,662659,46.8
2020-02-24,629.0,634.0,613.0,614.85,615.55,631.05,623.31,902809,5627.28,28594,498867,55.26
2020-02-25,618.6,622.5,608.3,615.75,616.9,614.85,616.34,739783,4559.61,28755,364574,49.28
2020-02-26,610.2,612.75,599.0,601.25,602.0,615.75,605.08,1089270,6590.98,26228,650964,59.76
2020-02-27,602.0,605.2,588.95,594.7,597.0,601.25,594.64,929861,5529.34,33339,544183,58.52
2020-02-28,588.0,593.3,556.4,560.5,565.85,594.7,567.68,2178954,12369.47,61442,1316931,60.44
2020-03-02,574.0,611.3,573.8,587.15,594.75,560.5,594.3,2637496,15674.71,71091,1062253,40.28
2020-03-03,594.75,625.75,593.6,618.7,618.35,587.15,611.85,2325261,14227.2,61169,1111855,47.82
2020-03-04,623.8,636.65,615.0,631.75,631.75,618.7,628.94,2965643,18652.02,110868,1506970,50.81
2020-03-05,638.1,654.85,636.05,650.65,648.0,631.75,648.34,2911172,18874.41,75761,1608848,55.26
2020-03-06,628.9,645.5,622.85,638.9,640.05,650.65,637.37,2063109,13149.55,89104,1190914,57.72
2020-03-09,628.1,629.0,607.35,613.8,610.45,638.9,617.68,1682056,10389.77,50555,895842,53.26
2020-03-11,607.9,630.05,602.2,607.4,605.0,613.8,616.16,2307202,14216.11,120205,1409044,61.07
2020-03-12,595.0,595.0,543.45,560.2,565.0,607.4,567.09,3821536,21671.65,70058,2415526,63.21
2020-03-13,542.0,554.75,497.5,548.25,552.0,560.2,536.4,3890728,20869.91,107564,1947654,50.06
2020-03-16,540.0,549.1,501.55,509.05,511.95,548.25,527.84,2769613,14619.09,61061,1904363,68.76
2020-03-17,506.0,540.7,496.5,523.75,525.05,509.05,517.93,4342336,22490.16,129433,2545310,58.62
2020-03-18,542.8,542.8,512.4,521.6,521.6,523.75,522.7,1684030,8802.35,64642,766755,45.53
2020-03-19,510.0,511.95,476.25,483.05,486.0,521.6,496.2,2685846,13327.3,72902,1070963,39.87
2020-03-20,488.2,509.8,475.55,499.1,499.85,483.05,495.65,2260560,11204.52,79934,1043853,46.18
2020-03-23,475.85,486.65,425.1,434.05,447.3,499.1,450.37,1197761,5394.39,48277,640960,53.51
2020-03-24,450.0,499.0,434.0,444.45,448.0,434.05,460.44,1876953,8642.27,48878,817895,43.58
2020-03-25,450.0,478.0,438.3,470.5,470.55,444.45,455.87,2341322,10673.49,71838,1314165,56.13
2020-03-26,479.2,513.45,475.0,500.55,500.4,470.5,500.81,3577985,17918.89,72903,2115017,59.11
2020-03-27,505.0,517.3,480.6,499.45,498.0,500.55,503.03,2579284,12974.52,86432,1520208,58.94
2020-03-30,489.95,502.25,479.2,493.1,493.0,499.45,493.63,1778405,8778.74,82117,992507,55.81
2020-03-31,500.0,528.0,498.35,520.85,520.85,493.1,515.41,2269015,11694.63,54309,1425214,62.81
2020-04-01,535.0,565.3,525.3,548.75,550.0,520.85,551.7,2976902,16423.63,91065,1270819,42.69
2020-04-03,551.3,558.15,525.2,531.45,533.05,548.75,539.82,1709383,9227.53,59923,896840,52.47
2020-04-07,549.0,570.0,541.05,558.85,559.0,531.45,559.04,1967959,11001.65,97141,1034072,52.55
2020-04-08,566.25,628.95,561.55,600.0,597.9,558.85,597.14,2526948,15089.4,98052,847845,33.55
