date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,743.84,744.44,735.68,739.56,742.7,743.65,742.83,688037.629010883,5090.74,11402,47464,6.93
2020-01-02,739.06,765.46,738.07,763.32,765.3,742.5,759.06,2423327.376410586,18321.55,35565,415238,17.2
2020-01-03,766.9,766.9,748.52,753.65,756.45,766.35,759.61,1417069.5955985703,10721.52,24417,283619,20.09
2020-01-06,752.41,752.81,732.09,734.08,735.0,756.65,741.97,961347.9378338219,7104.66,18763,200062,20.89
2020-01-07,735.28,753.01,732.59,739.36,742.3,737.0,743.67,1108401.2690253402,8210.25,19977,150669,13.65
2020-01-08,732.49,746.93,730.69,739.71,742.7,742.3,743.64,1317705.1122444882,9760.18,20705,198427,15.12
2020-01-09,749.97,758.29,747.08,754.3,755.2,742.65,756.4,1477783.0207622184,11133.76,27280,541953,36.82
2020-01-10,753.8,763.46,748.03,753.26,755.4,757.3,758.37,1266475.2419581541,9566.53,22582,320599,25.41
2020-01-13,754.0,761.97,754.0,756.59,761.4,756.25,761.58,835989.5184932331,6341.52,13743,165586,19.89
2020-01-14,759.78,764.86,750.12,756.89,759.9,759.6,760.6,1190936.1069836551,9022.35,24735,287194,24.21
2020-01-15,755.0,765.95,744.54,763.37,767.9,759.9,756.72,1522088.4703425565,11472.34,22328,487311,32.14
2020-01-16,764.31,767.95,750.12,753.06,755.9,766.4,760.86,1041500.3413517529,7892.99,20850,245865,23.7
2020-01-17,712.17,768.94,708.18,765.21,767.9,756.05,757.21,4938470.342556524,37246.49,77808,875366,17.8
2020-01-20,764.56,774.42,759.43,769.74,772.4,768.25,771.14,1581540.9019718084,12147.53,27949,263802,16.75
2020-01-21,775.92,778.01,760.43,768.59,770.0,772.8,770.36,1667877.7960724467,12797.71,26036,419972,25.28
2020-01-22,767.8,795.84,764.06,789.76,792.0,771.65,787.36,3093984.177342275,24264.3,48288,570777,18.52
2020-01-23,781.89,808.73,779.9,805.7,809.6,792.9,802.94,2597470.985101,20773.44,42901,447300,17.29
2020-01-24,804.8,821.14,792.8,818.74,821.55,808.9,816.24,1933518.734187382,15719.67,33434,326181,16.94
2020-01-27,811.77,833.59,806.79,809.88,811.35,822.0,824.3,2820057.4274125537,23153.79,46281,619977,22.07
2020-01-28,814.26,820.59,794.09,805.7,810.0,813.1,813.6,1790691.1369021323,14511.3,39452,429487,24.08
2020-01-29,810.78,819.59,796.83,799.12,804.2,808.9,814.83,1840395.9680334122,14936.7,30512,654094,35.68
2020-01-30,805.8,805.8,784.13,788.12,791.0,802.3,794.77,1330495.7632223605,10532.46,25394,408912,30.86
2020-01-31,789.96,794.79,772.48,775.82,777.5,791.25,783.81,1304457.6523031204,10184.04,24847,359229,27.65
2020-02-03,755.99,779.9,747.28,777.31,777.0,759.4,768.16,1541063.6119031364,11790.94,45570,500173,32.59
2020-02-04,776.96,793.2,776.96,790.56,792.8,780.4,790.2,1075827.2760130116,8467.52,20505,126966,11.85
2020-02-05,790.56,798.92,784.93,796.73,798.45,793.7,795.11,1062606.9234167302,8415.39,29763,325804,30.78
2020-02-06,799.22,803.46,790.16,797.83,799.5,799.9,800.9,1222420.7863138027,9751.58,31723,339473,27.88
2020-02-07,797.83,800.42,782.44,784.53,786.5,801.0,793.05,1086832.8581181478,8584.99,17016,283669,26.2
2020-02-10,783.88,786.57,749.02,754.55,753.85,787.65,766.09,4260700.373478977,32511.36,65425,1020588,24.05
2020-02-11,756.99,765.95,751.11,756.29,758.8,757.55,760.05,3394754.226737882,25699.54,84051,1461027,43.21
2020-02-12,759.08,771.38,751.51,752.36,755.4,759.3,763.38,1852944.6608569936,14089.0,31588,540885,29.31
2020-02-13,752.36,761.92,742.35,749.27,754.5,755.35,755.03,1884478.5349985943,14171.98,27887,646259,34.43
2020-02-14,751.51,767.8,734.18,740.11,741.05,752.25,753.99,3412988.4341994296,25631.59,54660,511041,15.03
2020-02-17,740.06,747.03,730.6,734.48,737.3,743.05,740.78,1522460.9453435605,11233.36,26980,416833,27.49
2020-02-18,734.43,738.26,712.72,721.03,723.55,737.4,723.96,1757879.2016384883,12675.91,28809,480559,27.45
2020-02-19,727.11,756.74,723.42,754.15,755.8,723.9,746.77,2076089.3136821813,15442.28,40522,304053,14.7
