date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,649.75,653.35,645.65,649.5,649.5,647.15,649.11,492348,3195.9,18862,97747,19.85
2020-01-02,650.0,655.75,647.8,654.45,654.0,649.5,653.16,435382,2843.72,9504,101856,23.39
2020-01-03,654.0,665.65,651.15,660.5,661.55,654.45,661.67,1316546,8711.25,28173,203670,15.47
2020-01-06,660.0,660.0,642.5,647.15,643.1,660.5,649.24,569453,3697.14,13540,156784,27.53
2020-01-07,648.25,656.9,639.0,640.4,640.2,647.15,644.23,877010,5649.99,15362,430833,49.13
2020-01-08,636.5,638.0,624.5,629.45,629.6,640.4,629.16,1865051,11734.07,40561,551475,29.57
2020-01-09,635.2,641.6,632.35,639.2,639.75,629.45,636.34,1767768,11248.95,22236,1095061,61.95
2020-01-10,641.5,649.0,638.0,644.95,644.0,639.2,644.88,1078909,6957.69,27479,342559,31.75
2020-01-13,646.05,654.8,646.05,651.2,651.2,644.95,650.98,703391,4578.97,17104,264421,37.59
2020-01-14,652.95,654.3,643.2,650.75,649.55,651.2,650.13,897474,5834.73,20357,329793,36.75
2020-01-15,650.3,650.3,637.1,642.35,643.4,650.75,642.04,1638831,10521.89,26906,677531,41.34
2020-01-16,643.7,649.95,638.1,639.5,639.45,642.35,641.12,1228864,7878.48,29140,589303,47.96
2020-01-17,639.5,651.6,637.7,638.7,638.7,639.5,643.72,2587519,16656.49,44230,1523409,58.88
2020-01-20,640.1,643.45,622.35,625.3,623.0,638.7,628.04,3540418,22235.06,68388,1868970,52.79
2020-01-21,623.0,632.65,612.85,616.95,614.0,625.3,622.61,5330031,33185.31,91231,1231672,23.11
2020-01-22,604.5,618.6,588.3,600.5,599.7,616.95,603.32,13896645,83841.14,171058,3509524,25.25
2020-01-23,600.5,621.0,600.5,619.85,619.5,600.5,612.72,3365852,20623.21,56416,1304858,38.77
2020-01-24,620.0,627.9,614.05,622.9,624.8,619.85,623.35,1487093,9269.78,29822,398823,26.82
2020-01-27,622.0,626.6,616.8,622.15,622.95,622.9,620.82,1382244,8581.24,23394,671247,48.56
2020-01-28,622.15,625.0,609.0,616.2,616.9,622.15,615.45,1238644,7623.22,24272,291413,23.53
2020-01-29,618.0,621.05,611.45,616.0,615.4,616.2,615.47,1668628,10269.9,31179,819447,49.11
2020-01-30,616.0,617.05,603.8,606.9,607.8,616.0,612.12,912666,5586.62,19150,403830,44.25
