date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,638.05,640.0,635.3,639.3,1279.0,1272.1,1276.64,3673698.0,23450.01,46625,809152,44.05
2020-01-02,639.5,644.0,639.5,643.38,1286.0,1278.6,1284.56,6137166.0,39417.92,104570,1957617,63.8
2020-01-03,641.1,642.5,631.8,634.2,1268.5,1286.75,1270.48,10855550.0,68958.86,157066,3459267,63.73
2020-01-06,630.0,630.9,618.0,620.48,1240.25,1268.4,1247.24,10890186.0,67913.48,155007,3647637,66.99
2020-01-07,629.45,635.72,626.12,630.3,1261.0,1240.95,1261.48,14724494.0,92873.02,189026,3790730,51.49
2020-01-08,623.48,631.08,620.02,628.65,1256.0,1260.6,1253.71,11332110.0,71036.12,141795,3549321,62.64
2020-01-09,632.5,637.9,631.55,635.7,1271.8,1257.3,1271.27,9546316.0,60679.65,125829,2650051,55.52
2020-01-10,642.05,643.45,637.55,641.35,1281.0,1271.4,1282.11,9214580.0,59070.37,123583,2857227,62.02
2020-01-13,641.35,648.25,638.0,643.0,1287.0,1282.7,1289.33,7451568.0,48037.56,107121,2215612,59.47
2020-01-14,644.5,646.28,638.75,644.75,1288.0,1286.0,1284.81,7886290.0,50662.04,91722,2573348,65.26
2020-01-15,643.2,643.98,637.05,642.12,1285.05,1289.5,1280.62,11787448.0,75476.49,105548,3970136,67.36
2020-01-16,641.02,645.5,639.67,643.83,1287.5,1284.25,1285.32,7150400.0,45952.67,93131,2251808,62.98
2020-01-17,640.88,642.45,635.95,639.08,1277.4,1287.65,1277.38,16918814.0,108059.02,136379,6692529,79.11
2020-01-20,652.42,652.42,626.25,627.45,1257.35,1278.15,1265.0,22178450.0,140278.28,245672,5796841,52.27
2020-01-21,625.0,625.0,619.2,622.17,1244.9,1254.9,1244.14,14984804.0,93216.21,216589,4587266,61.23
2020-01-22,624.02,627.5,617.2,620.42,1241.85,1244.35,1243.37,18368310.0,114192.77,146555,6562205,71.45
2020-01-23,620.0,623.42,615.5,622.42,1245.35,1240.85,1240.93,11508920.0,71409.06,176401,3535947,61.45
2020-01-24,623.0,627.0,619.55,622.28,1245.8,1244.85,1247.28,11831756.0,73787.71,138884,3935384,66.52
2020-01-27,617.5,617.5,605.88,606.6,1213.5,1244.55,1220.97,18888552.0,115311.93,268331,6145074,65.07
2020-01-28,609.4,613.9,606.62,611.6,1223.1,1213.2,1221.37,13412158.0,81905.99,219199,3712912,55.37
2020-01-29,612.65,621.0,611.12,617.92,1235.8,1223.2,1235.01,13788350.0,85143.72,155174,4588335,66.55
2020-01-30,619.48,619.48,608.6,613.02,1227.9,1235.85,1224.75,12111984.0,74170.91,195593,3937675,65.02
2020-01-31,615.72,618.9,610.12,613.15,1224.25,1226.05,1230.24,11178268.0,68760.01,169641,3563738,63.76
2020-02-03,598.5,598.98,588.85,596.4,1194.0,1198.7,1188.67,13077010.0,77720.96,251382,4024345,61.55
2020-02-04,599.0,617.0,599.0,614.9,1229.0,1192.8,1222.0,20897704.0,127685.29,173447,6900844,66.04
2020-02-05,617.45,624.0,613.65,622.33,1246.0,1229.8,1237.42,18020682.0,111495.65,150882,6955471,77.19
2020-02-06,622.33,624.35,618.6,619.9,1239.95,1244.65,1242.01,11827550.0,73449.82,126190,3640808,61.56
2020-02-07,623.0,623.5,615.8,621.1,1240.0,1239.8,1238.21,6815448.0,42194.87,81299,2193596,64.37
2020-02-10,621.48,621.48,613.02,620.15,1240.95,1242.2,1235.68,9219834.0,56963.88,105140,3208623,69.6
2020-02-11,621.65,627.5,619.02,620.3,1239.9,1240.3,1246.8,11613520.0,72398.73,98063,3770138,64.93
2020-02-12,622.6,626.45,622.02,624.5,1249.0,1240.6,1249.42,6297930.0,39343.83,87413,2114375,67.15
2020-02-13,629.95,629.95,616.8,620.7,1239.5,1249.0,1241.95,9112140.0,56584.32,97099,2850913,62.57
2020-02-14,621.6,624.2,607.5,609.67,1219.45,1241.4,1227.78,14688858.0,90173.59,167779,4783189,65.13
