date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,39.4,40.85,39.25,40.45,40.5,39.25,40.05,1800482,721.09,4982,830394,46.12
2020-01-02,40.85,48.5,40.75,48.5,48.5,40.45,46.9,18450531,8653.7,49889,5262726,28.52
2020-01-03,50.0,51.0,46.2,46.75,46.65,48.5,47.92,9379034,4494.16,27029,2919922,31.13
2020-01-06,46.25,46.25,44.2,44.6,44.4,46.75,44.9,3537345,1588.23,12227,1209649,34.2
2020-01-07,45.25,46.75,45.2,45.8,46.0,44.6,45.87,2175054,997.76,6978,803851,36.96
2020-01-08,45.0,47.2,44.2,46.05,45.9,45.8,45.98,3349792,1540.14,11226,667691,19.93
2020-01-09,47.05,47.9,46.6,46.85,46.65,46.05,46.98,1683221,790.8,6033,633506,37.64
2020-01-10,47.2,47.9,46.0,46.35,46.25,46.85,46.97,1603171,752.97,5628,636306,39.69
2020-01-13,46.4,48.95,46.2,47.3,47.25,46.35,47.65,2428426,1157.14,7737,683078,28.13
2020-01-14,47.7,47.8,47.0,47.25,47.1,47.3,47.37,1090705,516.65,4192,501922,46.02
2020-01-15,47.2,47.55,46.4,47.0,46.8,47.25,47.05,1074088,505.37,3762,329488,30.68
2020-01-16,47.6,49.25,47.1,47.5,47.4,47.0,48.02,2508464,1204.61,7985,736926,29.38
2020-01-17,47.5,47.55,46.55,46.7,46.75,47.5,46.98,729797,342.88,2986,349205,47.85
2020-01-20,46.9,47.0,45.7,45.85,45.85,46.7,46.24,651813,301.41,2614,302975,46.48
2020-01-21,45.4,45.7,44.95,45.05,45.05,45.85,45.26,622211,281.61,2516,265796,42.72
2020-01-22,45.3,45.65,44.5,44.6,44.7,45.05,45.02,586745,264.15,2707,184993,31.53
2020-01-23,44.7,45.65,44.5,45.05,45.0,44.6,45.05,764710,344.47,2991,247734,32.4
2020-01-24,45.25,47.3,44.75,46.75,46.9,45.05,46.32,1329254,615.73,5414,571457,42.99
2020-01-27,46.4,46.5,44.8,44.95,44.9,46.75,45.65,783809,357.8,3999,407774,52.02
2020-01-28,44.9,45.35,43.3,43.9,44.5,44.95,44.32,710336,314.83,3830,296071,41.68
2020-01-29,45.0,45.1,43.9,44.25,44.5,43.9,44.61,528734,235.89,2218,223727,42.31
2020-01-30,44.35,44.4,42.9,43.4,43.35,44.25,43.47,538431,234.04,3070,267380,49.66
2020-01-31,43.65,43.9,42.3,42.45,42.6,43.4,42.85,524534,224.75,2297,212542,40.52
2020-02-03,40.6,41.2,39.75,40.2,40.2,41.35,40.37,834534,336.9,3890,380181,45.56
2020-02-04,40.7,42.5,40.45,42.05,42.1,40.2,41.84,973389,407.25,4432,357833,36.76
2020-02-05,42.4,43.55,42.05,43.25,43.25,42.05,42.89,706380,302.99,2997,262854,37.21
2020-02-06,43.55,44.3,42.4,42.6,42.8,43.25,43.19,747080,322.68,3177,329145,44.06
2020-02-07,42.7,43.15,41.8,42.15,42.0,42.6,42.28,580878,245.62,2409,219714,37.82
2020-02-10,42.1,42.25,41.1,41.6,41.6,42.15,41.64,444902,185.24,1861,210953,47.42
2020-02-11,41.6,43.4,41.1,41.55,41.5,41.6,42.24,998194,421.61,3654,239411,23.98
2020-02-12,41.75,43.15,41.65,41.95,41.7,41.55,42.24,1065979,450.31,3614,276420,25.93
2020-02-13,41.95,41.95,40.9,41.35,41.2,41.95,41.34,426106,176.15,3142,159471,37.43
2020-02-14,38.9,39.1,37.75,38.0,37.85,41.35,38.37,1896231,727.53,6928,901741,47.55
2020-02-17,38.2,38.25,35.55,35.9,35.65,38.0,36.8,876239,322.43,3803,470767,53.73
2020-02-18,35.6,35.6,34.55,35.1,35.2,35.9,34.96,822581,287.57,3001,350704,42.63
2020-02-19,35.65,36.45,35.1,36.1,36.05,35.1,35.83,677061,242.59,2822,252073,37.23
2020-02-20,36.1,37.35,35.7,36.55,36.6,36.1,36.63,571600,209.4,2338,264129,46.21
2020-02-24,36.5,36.5,34.6,34.9,35.05,36.55,35.08,598255,209.86,2868,287624,48.08
2020-02-25,34.5,35.5,34.4,35.0,35.5,34.9,34.82,382908,133.33,1904,141585,36.98
2020-02-26,34.8,35.0,33.8,34.25,34.15,35.0,34.26,551075,188.81,2553,249370,45.25
2020-02-27,34.05,34.05,33.05,33.5,33.05,34.25,33.48,434638,145.52,2111,237022,54.53
2020-02-28,32.45,32.75,31.1,31.35,31.5,33.5,31.85,719501,229.17,3311,364203,50.62
2020-03-02,31.95,32.45,29.5,29.95,30.05,31.35,31.22,546035,170.47,3273,304712,55.8
2020-03-03,30.65,30.95,29.75,30.7,30.95,29.95,30.54,664930,203.05,3810,215106,32.35
2020-03-04,30.9,30.95,28.7,29.55,29.5,30.7,29.75,878746,261.44,5029,408961,46.54
2020-03-05,30.0,30.75,29.75,30.5,30.35,29.55,30.33,517061,156.85,2971,211979,41.0
2020-03-06,28.25,29.5,28.25,29.1,29.2,30.5,28.96,702303,203.38,4559,275020,39.16
2020-03-09,28.0,28.5,26.75,27.7,27.6,29.1,27.85,885075,246.48,5315,475250,53.7
2020-03-11,27.7,28.35,26.75,28.0,28.0,27.7,27.69,614483,170.14,3189,261704,42.59
2020-03-12,27.3,27.3,23.3,24.4,24.5,28.0,24.74,1232642,304.94,6049,693798,56.29
2020-03-13,23.0,26.35,19.65,26.0,26.0,24.4,23.88,1415093,337.89,6226,556855,39.35
2020-03-16,24.1,24.8,23.5,23.65,23.6,26.0,24.08,822738,198.13,3598,423151,51.43
2020-03-17,24.65,24.65,23.0,23.05,23.2,23.65,23.75,660386,156.86,3850,301221,45.61
2020-03-18,23.3,23.85,21.3,22.55,22.7,23.05,22.52,849601,191.32,5245,400212,47.11
2020-03-19,21.0,22.25,20.3,21.3,21.15,22.55,21.32,953064,203.16,4644,437281,45.88
2020-03-20,21.45,23.75,21.3,22.75,22.55,21.3,22.67,995895,225.74,5764,394730,39.64
2020-03-23,21.0,21.6,18.3,20.0,20.0,22.75,20.11,804336,161.72,4160,497282,61.83
2020-03-24,21.5,21.5,18.25,18.65,19.0,20.0,19.29,788013,152.04,3875,549074,69.68
2020-03-25,18.35,20.25,18.35,20.05,20.05,18.65,19.55,571442,111.73,3060,326330,57.11
2020-03-26,20.0,21.3,19.85,20.3,20.3,20.05,20.61,833391,171.74,3026,388086,46.57
2020-03-27,20.85,22.2,20.55,20.85,20.8,20.3,21.26,960632,204.27,3139,375624,39.1
2020-03-30,20.4,20.8,19.4,20.15,20.05,20.85,20.2,405839,81.99,2133,193093,47.58
2020-03-31,21.1,21.7,20.8,21.3,21.5,20.15,21.3,761848,162.24,2723,392593,51.53
2020-04-01,21.9,22.5,21.3,21.6,21.7,21.3,21.85,502667,109.81,2413,222863,44.34
2020-04-03,21.5,22.5,20.7,21.6,21.45,21.6,21.48,534619,114.81,2726,238256,44.57
2020-04-07,22.2,23.5,22.05,23.3,23.45,21.6,22.89,769477,176.11,2921,375636,48.82
2020-04-08,23.15,26.0,23.0,23.9,24.0,23.3,24.26,828468,201.02,3338,391247,47.23
2020-04-09,24.15,24.95,24.1,24.75,24.8,23.9,24.65,633363,156.12,2536,331058,52.27
2020-04-13,25.0,25.85,23.8,25.15,25.1,24.75,24.97,583151,145.59,2876,244560,49.91
2020-04-15,25.4,27.25,25.2,25.7,25.75,25.15,26.15,1084057,283.53,3998,464058,42.81
2020-04-16,25.9,26.7,25.5,26.4,26.5,25.7,26.39,469044,123.76,2153,208665,44.49
2020-04-17,27.5,27.8,26.65,27.4,27.7,26.4,27.2,1063408,289.27,3897,362230,34.06
2020-04-20,27.8,28.3,26.75,27.1,26.9,27.4,27.69,938619,259.88,5081,463168,49.35
2020-04-21,26.6,26.65,24.8,25.4,25.4,27.1,25.49,669560,170.64,3617,346222,51.71
2020-04-22,25.25,26.1,24.7,25.5,25.55,25.4,25.33,462077,117.06,2178,171540,37.12
2020-04-23,25.6,26.6,25.6,26.15,26.1,25.5,26.27,494673,129.94,2126,187528,37.91
2020-04-24,26.7,26.9,25.5,25.7,25.85,26.15,26.42,725221,191.59,2891,235561,32.48
2020-04-27,26.0,26.15,25.1,25.2,25.15,25.7,25.57,372824,95.31,2093,232510,62.36
2020-04-28,25.45,25.45,24.6,25.05,25.1,25.2,24.94,272512,67.98,2084,148841,54.62
2020-04-29,25.3,26.3,25.1,25.5,25.5,25.05,25.61,684035,175.21,3468,268057,39.19
2020-04-30,26.0,26.5,25.8,26.05,26.1,25.5,26.11,954699,249.28,3196,513786,53.82
2020-05-04,25.3,25.45,23.15,24.4,24.5,26.05,24.38,528738,128.91,2536,305563,57.79
2020-05-05,25.0,25.15,23.55,24.05,24.1,24.4,24.35,562133,136.86,3294,185332,32.97
2020-05-06,24.45,24.45,23.65,23.85,23.9,24.05,24.0,605433,145.29,3902,236484,39.06
2020-05-07,23.85,24.85,23.65,24.2,24.15,23.85,24.31,418788,101.8,1848,134572,32.13
2020-05-08,24.6,24.75,23.7,23.8,23.85,24.2,24.19,290298,70.22,1552,140837,48.51
2020-05-11,24.0,24.5,23.7,23.8,23.85,23.8,24.05,359927,86.56,1787,139138,38.66
2020-05-12,23.8,24.2,23.45,23.8,23.8,23.8,23.73,372602,88.43,2027,94123,25.26
2020-05-13,25.2,26.4,24.1,25.95,25.95,23.8,25.43,1830215,465.49,4690,601731,32.88
2020-05-14,25.8,26.65,25.25,25.75,25.75,25.95,25.99,789051,205.04,3118,298430,37.82
2020-05-15,25.5,26.5,25.5,25.8,25.8,25.75,26.04,557279,145.09,2243,188461,33.82
2020-05-18,26.7,27.35,25.75,26.05,25.8,25.8,26.37,1199607,316.29,4369,541784,45.16
2020-05-19,26.25,26.75,24.9,25.2,25.1,26.05,25.68,436298,112.05,1664,215725,49.44
2020-05-20,25.3,25.65,24.85,25.1,25.05,25.2,25.29,320558,81.07,1129,152044,47.43
2020-05-21,25.3,26.1,25.15,25.4,25.45,25.1,25.6,352621,90.27,1416,163392,46.34
2020-05-22,25.3,25.35,24.3,24.5,24.85,25.4,24.79,308523,76.48,1452,182987,59.31
2020-05-26,24.65,25.0,24.2,24.75,24.7,24.5,24.68,226869,56.0,1288,118768,52.35
2020-05-27,25.2,25.9,24.8,25.4,25.55,24.75,25.33,703825,178.3,2971,218414,31.03
2020-05-28,25.6,26.35,25.6,25.9,25.95,25.4,25.96,622814,161.69,1878,247836,39.79
2020-05-29,25.8,26.8,25.55,25.95,25.85,25.9,26.22,658626,172.68,2243,235019,35.68
