date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,1930.0,1939.9,1918.0,1936.55,1938.25,1923.0,1932.33,543035.0,10493.23,26908,238901,43.99
2020-01-02,1940.0,1952.6,1930.0,1938.05,1941.0,1936.55,1939.45,663275.0,12863.86,65620,353768,53.34
2020-01-03,1937.9,1940.0,1918.75,1927.45,1932.0,1938.05,1926.53,1598825.0,30801.89,85043,1117706,69.91
2020-01-06,1927.35,1929.4,1911.25,1915.45,1918.5,1927.45,1917.28,683129.0,13097.52,50595,303870,44.48
2020-01-07,1919.25,1931.0,1918.0,1920.7,1922.0,1915.45,1923.6,808935.0,15560.7,49424,458047,56.62
2020-01-08,1910.0,1936.05,1906.45,1929.35,1932.0,1920.7,1919.71,1889685.0,36276.47,75078,1467833,77.68
2020-01-09,1941.55,1947.3,1931.0,1935.05,1937.7,1929.35,1938.35,1544334.0,29934.61,110313,1149427,74.43
2020-01-10,1940.9,1957.5,1931.65,1954.0,1955.5,1935.05,1946.83,1003336.0,19533.25,75262,617533,61.55
2020-01-13,1961.0,1997.85,1957.0,1994.85,1994.9,1954.0,1981.57,2040089.0,40425.88,98419,1223943,59.99
2020-01-14,1995.5,2014.95,1982.4,2008.8,2013.0,1994.85,2002.8,1610737.0,32259.84,94942,1003279,62.29
2020-01-15,2011.15,2027.0,1997.35,2021.65,2017.4,2008.8,2009.87,1559491.0,31343.82,62989,1213624,77.82
2020-01-16,2022.0,2054.7,2016.1,2049.25,2046.0,2021.65,2042.58,2468958.0,50430.42,117361,1775070,71.9
2020-01-17,2055.0,2063.9,2040.05,2060.3,2061.95,2049.25,2056.36,994719.0,20455.01,61520,670916,67.45
2020-01-20,2060.5,2075.9,2050.0,2062.85,2066.05,2060.3,2061.4,829399.0,17097.23,48931,452810,54.59
2020-01-21,2059.75,2075.0,2052.15,2055.4,2062.0,2062.85,2058.97,750000.0,15442.28,54424,439704,58.63
2020-01-22,2063.0,2063.5,2027.2,2051.7,2051.9,2055.4,2045.32,983169.0,20108.91,70960,544995,55.43
2020-01-23,2051.75,2060.85,2035.0,2056.9,2057.0,2051.7,2047.01,708017.0,14493.16,42076,425206,60.06
2020-01-24,2057.0,2079.0,2050.05,2073.7,2072.7,2056.9,2072.14,914993.0,18959.96,50498,545886,59.66
2020-01-27,2066.0,2068.75,2056.75,2061.35,2062.95,2073.7,2062.3,429312.0,8853.7,31957,253671,59.09
2020-01-28,2062.0,2065.0,2042.7,2060.6,2060.0,2061.35,2057.12,777052.0,15984.86,82900,517179,66.56
2020-01-29,2062.05,2085.8,2062.05,2074.2,2070.0,2060.6,2075.95,873433.0,18132.06,73343,425200,48.68
2020-01-30,2074.9,2078.0,2049.45,2058.1,2052.0,2074.2,2062.22,952768.0,19648.13,67960,706405,74.14
2020-01-31,2064.0,2068.25,2020.05,2034.25,2038.9,2058.1,2039.71,1930834.0,39383.48,79082,1147755,59.44
2020-02-03,2074.9,2195.55,2074.9,2178.95,2175.0,2074.9,2162.0,4012542.0,86751.23,180842,1556723,38.8
2020-02-04,2177.0,2204.2,2140.0,2155.6,2160.0,2178.95,2167.76,1932121.0,41883.73,94066,917894,47.51
2020-02-05,2167.4,2184.0,2153.9,2160.3,2159.3,2155.6,2164.44,1514368.0,32777.58,87356,885125,58.45
2020-02-06,2166.0,2196.25,2134.05,2156.4,2160.0,2160.3,2165.81,1302116.0,28201.3,60068,681209,52.32
2020-02-07,2165.0,2172.0,2141.6,2159.95,2161.0,2156.4,2154.08,908152.0,19562.34,44179,555973,61.22
2020-02-10,2160.1,2189.55,2151.7,2159.3,2161.85,2159.95,2163.34,1389847.0,30067.1,47651,702041,50.51
2020-02-11,2169.0,2179.65,2147.7,2152.65,2153.85,2159.3,2162.04,777506.0,16809.99,54049,451238,58.04
2020-02-12,2157.1,2272.0,2155.0,2260.35,2262.0,2152.65,2248.7,4753325.0,106887.83,216884,2053391,43.2
2020-02-13,2256.0,2288.95,2233.05,2283.4,2284.0,2260.35,2267.82,2950407.0,66909.77,97853,1779599,60.32
2020-02-14,2273.0,2297.6,2246.25,2255.05,2254.0,2283.4,2271.5,1728651.0,39266.29,73086,978129,56.58
2020-02-17,2248.0,2289.0,2243.2,2252.6,2254.05,2255.05,2262.44,1420851.0,32145.83,62176,745987,52.5
2020-02-18,2252.6,2262.95,2222.1,2234.4,2241.5,2252.6,2231.34,1194605.0,26655.74,36111,755352,63.23
2020-02-19,2250.2,2308.2,2241.25,2292.15,2296.0,2234.4,2280.67,1299800.0,29644.1,87008,539953,41.54
2020-02-20,2282.2,2289.95,2242.5,2248.25,2251.0,2292.15,2262.92,1555224.0,35193.47,94457,979287,62.97
2020-02-24,2236.8,2262.0,2210.1,2215.15,2217.0,2248.25,2232.31,1409245.0,31458.68,75116,787329,55.87
2020-02-25,2239.9,2279.7,2225.75,2233.6,2231.2,2215.15,2248.21,2237493.0,50303.65,94865,1051416,46.99
2020-02-26,2238.8,2255.7,2202.35,2236.2,2233.0,2233.6,2243.92,2896154.0,64987.38,106783,1965964,67.88
2020-02-27,2241.95,2259.7,2200.0,2254.95,2248.35,2236.2,2228.27,2446802.0,54521.4,128902,1417049,57.91
2020-02-28,2191.1,2229.4,2155.0,2174.75,2182.0,2254.95,2184.59,3837330.0,83829.74,167111,2519490,65.66
2020-03-02,2190.0,2241.95,2141.85,2159.45,2167.9,2174.75,2185.42,1707337.0,37312.51,83077,856781,50.18
2020-03-03,2171.9,2189.6,2141.7,2166.65,2178.65,2159.45,2170.25,1753148.0,38047.68,110315,1051465,59.98
2020-03-04,2179.0,2185.05,2152.0,2175.85,2180.9,2166.65,2167.29,1515878.0,32853.45,69750,899835,59.36
2020-03-05,2185.0,2258.65,2181.85,2218.0,2224.0,2175.85,2232.59,2272645.0,50738.83,142099,919236,40.45
2020-03-06,2185.0,2250.0,2159.25,2188.9,2172.1,2218.0,2194.32,2479414.0,54406.2,122964,1160909,46.82
2020-03-09,2140.0,2169.6,2112.0,2121.5,2135.0,2188.9,2135.15,2485208.0,53062.94,109512,1578931,63.53
2020-03-11,2066.0,2169.45,2066.0,2155.0,2155.05,2121.5,2128.68,2861649.0,60915.42,126457,1514078,52.91
2020-03-12,2102.4,2123.0,2031.65,2055.95,2074.0,2155.0,2077.96,3655792.0,75966.0,161111,2258833,61.79
2020-03-13,1970.0,2120.0,1888.1,2033.2,2045.0,2055.95,2028.73,3667035.0,74394.27,199161,1821253,49.67
2020-03-16,2000.0,2039.2,1933.9,1941.9,1938.0,2033.2,1970.41,2948704.0,58101.45,157351,1632400,55.36
2020-03-17,1955.55,2088.0,1951.95,2004.05,2001.95,1941.9,2029.92,3732415.0,75764.86,216826,1935531,51.86
2020-03-18,2034.05,2063.8,1909.35,1923.8,1930.0,2004.05,1989.17,3911480.0,77806.03,276097,2006314,51.29
2020-03-19,1894.3,1899.0,1757.3,1838.3,1855.0,1923.8,1828.49,5095023.0,93161.81,213980,2761909,54.21
2020-03-20,1850.0,2078.9,1850.0,2051.7,2075.0,1838.3,1999.99,4252263.0,85044.79,192288,2236926,52.61
2020-03-23,1950.0,1985.05,1850.0,1869.7,1868.85,2051.7,1897.92,3574682.0,67844.51,207403,2186742,61.17
2020-03-24,1975.0,2070.95,1930.0,2027.85,2011.0,1869.7,2015.3,5789906.0,116684.19,231906,3384878,58.46
2020-03-25,2010.05,2138.95,2001.65,2088.15,2078.0,2027.85,2084.26,3959038.0,82516.74,239780,2087424,52.73
2020-03-26,2089.0,2250.0,2060.0,2194.9,2179.0,2088.15,2137.27,3201566.0,68426.05,206208,1508629,47.12
2020-03-27,2239.0,2267.65,2120.5,2140.55,2147.0,2194.9,2186.05,2918796.0,63806.43,169463,1182143,40.5
2020-03-30,2123.0,2213.0,2102.85,2184.35,2189.85,2140.55,2173.44,2809611.0,61065.34,139369,1125255,40.05
2020-03-31,2234.8,2313.0,2185.0,2298.5,2298.5,2184.35,2260.32,2809285.0,63498.79,125401,1371695,48.83
2020-04-01,2293.2,2324.9,2158.05,2179.65,2179.0,2298.5,2219.18,2774689.0,61575.35,174853,1081170,38.97
2020-04-03,2234.0,2254.1,2127.95,2154.1,2153.0,2179.65,2183.12,4121462.0,89976.33,217202,1569735,38.09
2020-04-07,2220.0,2460.0,2220.0,2444.9,2449.0,2154.1,2361.65,8510183.0,200980.61,356119,4512676,53.03
2020-04-08,2432.0,2614.3,2417.4,2460.85,2455.0,2444.9,2520.36,9791892.0,246790.66,415294,4893077,49.97
2020-04-09,2499.95,2500.0,2345.0,2372.25,2378.65,2460.85,2386.62,4770083.0,113843.87,282099,1750685,36.7
2020-04-13,2381.0,2423.0,2315.0,2346.45,2350.5,2372.25,2352.69,3249562.0,76452.04,190144,1053896,37.43
2020-04-15,2425.95,2516.6,2381.5,2487.55,2473.0,2346.45,2477.16,29485532.0,730403.25,484212,18290423,62.03
2020-04-16,2466.0,2526.15,2421.1,2436.1,2443.0,2487.55,2462.6,5388258.0,132691.13,296531,2459817,45.65
2020-04-17,2498.8,2498.8,2354.05,2385.0,2387.0,2436.1,2395.27,4540967.0,108768.55,266225,2245797,49.46
2020-04-20,2420.0,2420.0,2321.0,2336.55,2344.0,2385.0,2346.54,2985278.0,70050.6,165896,1205304,40.37
2020-04-21,2283.0,2378.0,2282.0,2317.4,2310.05,2336.55,2336.57,3227339.0,75409.1,153513,1160277,35.95
2020-04-22,2317.95,2399.95,2275.65,2386.15,2390.0,2317.4,2344.36,2837835.0,66529.06,160575,868376,30.6
2020-04-23,2389.0,2413.0,2308.05,2317.5,2321.0,2386.15,2351.23,4095595.0,96296.83,192550,1145914,27.98
2020-04-24,2311.0,2338.0,2280.0,2283.1,2285.0,2317.5,2298.16,2169013.0,49847.28,100504,743815,34.29
2020-04-27,2305.0,2329.4,2283.25,2320.45,2321.35,2283.1,2310.29,2013737.0,46523.09,108209,694806,34.5
2020-04-28,2338.65,2338.65,2267.0,2289.95,2292.5,2320.45,2289.44,2164048.0,49544.58,126130,567932,26.24
2020-04-29,2290.0,2291.7,2221.0,2231.75,2234.0,2289.95,2250.39,3642216.0,81964.16,195321,1406774,38.62
2020-04-30,2272.0,2272.0,2160.0,2195.0,2205.0,2231.75,2196.22,8448104.0,185538.9,380311,3554069,42.07
2020-05-04,2130.0,2160.0,2066.0,2082.65,2087.05,2195.0,2107.14,8474699.0,178573.91,331282,3439030,40.58
2020-05-05,2101.2,2121.0,2033.1,2041.5,2039.0,2082.65,2066.52,4304146.0,88946.04,181077,1771117,41.15
2020-05-06,2049.95,2073.0,2000.0,2010.2,2001.8,2041.5,2035.27,5127756.0,104363.93,202349,1778932,34.69
2020-05-07,1950.1,2007.0,1902.0,1992.05,1998.0,2010.2,1919.71,185670048.0,3564334.17,946784,139943805,75.37
2020-05-08,2074.95,2098.0,2036.0,2089.45,2077.85,1992.05,2062.4,16100488.0,332056.66,484036,8328465,51.73
2020-05-11,2083.0,2116.55,2035.95,2048.0,2044.7,2089.45,2069.09,11158836.0,230886.25,288406,4455132,39.92
2020-05-12,2020.0,2027.85,1985.0,2011.55,2013.0,2048.0,2002.83,14881259.0,298045.78,466557,10289550,69.14
2020-05-13,2075.0,2075.0,1975.4,1995.75,2008.65,2011.55,2012.28,8432991.0,169695.68,361624,4593115,54.47
2020-05-14,1988.0,2026.55,1980.65,2006.05,2003.0,1995.75,2007.14,8510097.0,170809.78,268615,4849800,56.99
2020-05-15,2015.0,2037.65,2006.0,2032.1,2034.95,2006.05,2021.73,5491176.0,111016.84,243593,3216932,58.58
2020-05-18,2041.5,2047.85,1988.6,2005.25,2004.7,2032.1,2007.96,7675796.0,154126.86,265255,5220095,68.01
2020-05-19,2018.0,2024.8,1968.1,1975.55,1976.9,2005.25,1988.52,5963269.0,118580.94,233042,3390822,56.86
2020-05-20,1975.55,2010.0,1975.0,1990.85,1988.0,1975.55,1993.53,3927076.0,78287.36,154130,1979287,50.4
2020-05-21,1999.0,2003.4,1955.2,1970.9,1970.7,1990.85,1978.75,4261738.0,84329.2,211274,2402967,56.38
2020-05-22,1975.0,1995.05,1958.0,1987.9,1990.5,1970.9,1979.43,5340153.0,105704.33,201026,3290428,61.62
2020-05-26,2004.95,2020.0,1975.0,1977.8,1979.5,1987.9,1999.26,4629114.0,92548.04,296939,3007459,64.97
2020-05-27,1990.0,2005.1,1961.0,1998.1,1995.0,1977.8,1983.91,4261646.0,84547.25,211409,2554737,59.95
2020-05-28,2000.0,2015.0,1990.0,2009.95,2004.25,1998.1,2005.19,5500915.0,110303.63,166186,3443119,62.59
2020-05-29,2009.0,2068.0,2000.0,2057.35,2057.1,2009.95,2034.28,8779010.0,178589.32,238620,5469999,62.31
2020-06-01,2075.0,2143.0,2071.2,2108.55,2108.6,2057.35,2111.99,6592707.0,139237.49,213628,3278414,49.73
2020-06-02,2122.0,2125.0,2090.0,2107.4,2096.5,2108.55,2112.12,3268736.0,69039.62,153054,1810831,55.4
2020-06-03,2115.0,2149.0,2085.0,2120.5,2123.0,2107.4,2116.68,4895141.0,103614.51,199497,2156957,44.06
2020-06-04,2115.0,2132.4,2105.25,2120.6,2118.0,2120.5,2118.74,3264780.0,69172.12,149826,1867894,57.21
2020-06-05,2124.0,2128.0,2085.0,2087.6,2087.05,2120.6,2095.92,2981896.0,62498.08,127882,1557313,52.23
2020-06-08,2107.0,2124.5,2078.1,2111.7,2110.3,2087.6,2102.69,4298517.0,90384.59,226705,2264424,52.68
2020-06-09,2100.0,2144.8,2095.05,2106.5,2102.0,2111.7,2124.08,3128155.0,66444.67,152965,1395848,44.62
2020-06-10,2115.9,2130.0,2096.0,2119.6,2119.0,2106.5,2118.72,2421672.0,51308.45,128957,1069147,44.15
2020-06-11,2115.0,2138.2,2095.65,2106.9,2107.9,2119.6,2118.0,2566963.0,54368.25,121007,1337901,52.12
2020-06-12,2065.25,2119.0,2065.0,2107.25,2106.0,2106.9,2101.21,2338562.0,49138.16,113191,813966,34.81
2020-06-15,2114.85,2131.7,2056.8,2084.3,2079.5,2107.25,2092.56,2830788.0,59235.89,110390,1171089,41.37
2020-06-16,2109.8,2120.0,2057.0,2076.35,2076.0,2084.3,2089.49,2806804.0,58648.01,107765,1299150,46.29
2020-06-17,2076.0,2099.0,2062.3,2078.25,2079.0,2076.35,2082.87,2293343.0,47767.34,94264,1087992,47.44
2020-06-18,2070.25,2084.85,2054.05,2065.35,2067.0,2078.25,2067.71,2326992.0,48115.5,99757,1208187,51.92
2020-06-19,2079.0,2100.0,2057.0,2092.75,2093.5,2065.35,2080.59,4673557.0,97237.7,138770,2280212,48.79
2020-06-22,2110.0,2118.9,2087.0,2100.8,2100.05,2092.75,2101.72,2487252.0,52275.07,108728,1292663,51.97
