date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,210.8,211.5,209.6,210.1,209.95,209.65,210.35,88791,186.77,1917,36874,41.53
2020-01-02,211.4,214.95,210.55,214.15,214.5,210.1,213.76,549833,1175.35,11848,247861,45.08
2020-01-03,214.0,216.9,213.1,215.25,215.3,214.15,215.55,816967,1760.96,15442,559230,68.45
2020-01-06,216.4,216.4,210.0,211.85,211.6,215.25,211.85,322036,682.22,5142,175236,54.42
2020-01-07,212.6,215.6,210.2,213.05,213.35,211.85,213.37,259266,553.2,4442,136813,52.77
2020-01-08,211.0,212.2,209.5,211.0,210.9,213.05,210.94,362093,763.8,8117,224246,61.93
2020-01-09,215.3,215.3,211.35,213.25,214.05,211.0,212.78,380062,808.71,8456,229642,60.42
2020-01-10,215.0,224.45,213.0,219.1,219.1,213.25,219.7,2207069,4848.98,19259,1200002,54.37
2020-01-13,219.65,222.0,214.2,215.8,215.5,219.1,217.57,547822,1191.87,8145,269401,49.18
2020-01-14,216.0,218.7,213.25,214.05,214.5,215.8,217.0,2079225,4511.93,13134,1613590,77.61
2020-01-15,214.0,218.9,213.5,215.35,216.5,214.05,216.06,679989,1469.19,13879,352950,51.91
2020-01-16,217.0,218.5,215.15,215.75,215.8,215.35,216.38,417479,903.35,14839,247795,59.36
2020-01-17,217.0,219.6,216.35,216.95,216.6,215.75,217.33,1274504,2769.91,23236,856028,67.17
2020-01-20,218.75,224.0,214.55,216.35,216.4,216.95,218.76,1694116,3706.08,20441,572088,33.77
2020-01-21,214.0,216.8,211.65,212.4,212.4,216.35,213.16,549280,1170.82,10203,239238,43.55
2020-01-22,213.0,214.7,207.7,209.2,209.85,212.4,209.76,576149,1208.54,13481,337836,58.64
2020-01-23,210.25,210.7,207.5,208.65,208.35,209.2,208.97,472035,986.39,13440,258838,54.83
2020-01-24,209.9,209.9,207.5,207.85,207.95,208.65,208.22,558023,1161.93,12680,357244,64.02
2020-01-27,207.95,208.1,200.0,201.0,201.4,207.85,204.29,922817,1885.19,20025,663341,71.88
2020-01-28,201.15,203.4,197.25,198.75,199.05,201.0,199.45,612033,1220.71,14996,377009,61.6
2020-01-29,200.0,202.75,198.0,198.55,198.65,198.75,200.13,591901,1184.59,7664,384295,64.93
2020-01-30,199.75,199.75,193.5,194.7,194.3,198.55,196.85,689175,1356.65,14173,462431,67.1
2020-01-31,195.15,196.7,193.65,194.1,193.9,194.7,195.12,724986,1414.57,9852,518078,71.46
2020-02-03,191.6,192.75,188.15,189.4,189.15,191.8,190.23,327572,623.14,11303,189153,57.74
2020-02-04,191.7,194.9,190.0,192.95,192.7,189.4,192.8,475656,917.04,9177,324681,68.26
2020-02-05,193.2,194.95,189.5,190.75,191.6,192.95,192.33,682799,1313.22,21747,476095,69.73
2020-02-06,193.7,198.7,191.9,192.75,192.6,190.75,194.64,867168,1687.88,19860,391690,45.17
2020-02-07,193.75,195.6,192.7,195.05,195.05,192.75,194.35,337789,656.5,4170,172921,51.19
2020-02-10,196.2,196.75,191.65,193.75,193.4,195.05,193.62,296480,574.04,4882,168272,56.76
2020-02-11,194.4,195.9,192.5,194.8,194.0,193.75,194.35,207883,404.03,3731,105953,50.97
2020-02-12,195.0,195.15,191.6,192.25,191.6,194.8,193.17,155810,300.97,2927,83448,53.56
2020-02-13,192.5,193.7,190.25,190.75,191.0,192.25,191.02,149432,285.45,3830,73839,49.41
2020-02-14,191.0,192.0,190.2,190.65,190.5,190.75,190.97,138592,264.67,3027,77616,56.0
2020-02-17,190.65,190.65,188.3,189.15,189.75,190.65,189.25,135016,255.52,3093,67628,50.09
2020-02-18,190.0,190.0,184.1,185.55,185.0,189.15,186.42,324413,604.76,9483,219306,67.6
2020-02-19,185.7,189.6,184.5,184.8,185.0,185.55,186.24,279253,520.08,4091,167769,60.08
2020-02-20,185.0,187.7,181.5,182.35,182.0,184.8,185.09,390434,722.65,13930,249031,63.78
2020-02-24,181.5,183.2,179.5,180.15,181.0,182.35,181.34,705058,1278.54,7402,502897,71.33
2020-02-25,180.0,181.5,175.0,177.6,177.1,180.15,179.24,366180,656.34,6351,214393,58.55
2020-02-26,175.1,177.95,170.85,172.8,175.0,177.6,174.09,542335,944.17,13429,337508,62.23
2020-02-27,170.1,187.65,170.0,182.4,178.5,172.8,180.18,1352291,2436.54,20220,373805,27.64
2020-02-28,170.3,177.75,170.3,172.25,171.45,182.4,174.27,640027,1115.4,11831,288783,45.12
2020-03-02,173.3,177.15,164.0,167.7,166.95,172.25,172.19,290865,500.84,6367,145718,50.1
2020-03-03,170.0,174.0,167.8,172.9,172.95,167.7,170.83,321602,549.39,7707,137077,42.62
2020-03-04,172.35,172.9,167.2,169.45,168.65,172.9,169.53,302832,513.4,9946,160392,52.96
2020-03-05,172.0,174.35,169.0,169.35,169.1,169.45,170.71,228864,390.7,5784,120965,52.85
2020-03-06,167.0,170.5,161.9,163.8,164.25,169.35,165.75,558994,926.51,10348,322299,57.66
2020-03-09,161.45,161.45,154.4,159.3,159.0,163.8,158.14,882419,1395.44,19474,561129,63.59
