date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,539.9,542.5,535.7,536.75,538.0,538.9,538.0,7642793,41118.22,63603,3140787,41.09
2020-01-02,536.0,541.9,535.85,540.6,540.8,536.75,539.44,10264223,55369.66,98335,5046054,49.16
2020-01-03,538.0,540.8,536.25,538.85,539.5,540.6,538.46,9594690,51663.26,93857,4945623,51.55
2020-01-06,537.25,537.25,523.8,525.7,525.7,538.85,527.51,12534334,66120.06,125249,7567496,60.37
2020-01-07,531.3,535.6,521.65,522.9,524.15,525.7,526.71,16101835,84809.27,131048,8539094,53.03
2020-01-08,516.0,527.35,515.0,525.95,525.8,522.9,521.67,16094310,83959.81,139653,6287746,39.07
2020-01-09,530.7,547.4,530.3,546.3,545.6,525.95,541.74,18934019,102573.79,206294,7775476,41.07
2020-01-10,544.9,546.5,538.5,540.25,540.15,546.3,542.57,12335407,66928.6,156533,5411673,43.87
2020-01-13,539.4,546.05,538.0,538.6,539.0,540.25,541.12,7901800,42758.0,87689,3670666,46.45
2020-01-14,536.2,538.95,534.15,537.6,538.15,538.6,536.42,13939440,74774.22,138643,8155557,58.51
2020-01-15,535.1,536.95,530.65,535.6,535.5,537.6,533.21,12353176,65868.48,146646,7720548,62.5
2020-01-16,533.9,540.0,533.2,537.15,536.8,535.6,536.51,11249232,60352.99,127585,5200358,46.23
2020-01-17,534.5,538.0,530.6,532.05,530.65,537.15,534.57,18312609,97894.45,163715,11972622,65.38
2020-01-20,533.0,544.0,531.0,534.85,534.7,532.05,537.96,19159996,103072.98,185612,9049352,47.23
2020-01-21,532.95,540.25,530.2,531.05,531.15,534.85,535.15,13477994,72127.83,158365,6645657,49.31
2020-01-22,531.5,534.95,520.75,522.85,522.0,531.05,525.74,17527408,92149.04,181749,9114110,52.0
2020-01-23,521.4,530.25,517.05,527.7,527.75,522.85,525.09,17061293,89586.57,168104,8018360,47.0
2020-01-24,529.25,537.4,527.0,533.85,535.45,527.7,532.27,17851868,95020.67,164870,7653606,42.87
2020-01-27,538.5,545.0,531.5,537.25,535.9,533.85,540.45,38149166,206177.52,345778,9869942,25.87
2020-01-28,538.1,540.6,524.45,528.2,528.0,537.25,533.82,24009224,128166.26,180957,9108437,37.94
2020-01-29,531.55,534.8,525.3,526.6,526.9,528.2,530.21,16400827,86958.57,137153,7262058,44.28
2020-01-30,527.65,533.95,524.15,532.2,531.1,526.6,528.6,14319317,75691.88,184707,6818080,47.61
2020-01-31,530.0,532.75,522.4,525.65,525.8,532.2,527.45,16292578,85935.21,151745,7687366,47.18
2020-02-03,504.0,519.15,502.0,515.55,516.5,504.6,514.01,22531888,115816.18,287673,10586108,46.98
2020-02-04,520.0,534.65,516.65,530.8,530.65,515.55,528.79,17781475,94027.5,184345,7176818,40.36
2020-02-05,529.05,540.4,525.7,539.1,538.7,530.8,535.35,18782476,100552.34,180999,9072613,48.3
2020-02-06,540.35,547.0,536.25,541.6,541.1,539.1,541.87,15296851,82888.44,165277,5960399,38.96
2020-02-07,540.95,541.75,535.15,536.45,535.4,541.6,538.06,8297149,44643.97,78560,3238554,39.03
2020-02-10,538.65,542.25,530.5,533.95,535.0,536.45,536.25,12536053,67224.92,135579,6825042,54.44
2020-02-11,537.7,544.8,537.5,539.75,539.5,533.95,541.47,11243552,60880.38,129103,6067070,53.96
2020-02-12,545.8,550.7,542.7,549.3,549.4,539.75,546.72,14026335,76685.29,135449,6881225,49.06
2020-02-13,549.0,549.0,538.0,541.0,540.05,549.3,542.23,9227235,50033.16,122655,3935920,42.66
2020-02-14,541.25,548.65,536.55,545.8,545.8,541.0,544.41,14458649,78713.88,138071,6577273,45.49
2020-02-17,543.0,545.35,537.75,541.6,542.3,545.8,541.85,7793293,42228.11,86606,3650518,46.84
2020-02-18,541.0,544.4,536.0,541.2,540.9,541.6,540.01,15918303,85959.86,142303,9969245,62.63
2020-02-19,543.5,546.5,540.5,544.8,546.0,541.2,543.62,8704234,47318.22,98834,4515935,51.88
2020-02-20,545.5,549.35,541.8,547.0,546.5,544.8,546.38,13588526,74245.07,131824,7648543,56.29
2020-02-24,539.5,541.85,527.55,529.85,530.55,547.0,534.1,16940750,90480.48,260963,11217837,66.22
2020-02-25,532.45,538.8,525.3,530.95,530.9,529.85,532.51,14942960,79573.45,218372,7438894,49.78
2020-02-26,526.85,529.35,522.2,523.7,522.5,530.95,525.34,15743918,82708.45,163585,8924725,56.69
2020-02-27,522.8,523.3,512.65,515.35,514.4,523.7,515.71,26315054,135708.4,264515,16929415,64.33
2020-02-28,501.6,506.85,492.2,497.25,498.95,515.35,499.15,32737933,163411.96,288616,19423645,59.33
2020-03-02,508.25,520.55,498.45,506.1,505.9,497.25,513.82,28642076,147168.53,271339,15430335,53.87
2020-03-03,509.85,519.5,508.5,514.75,516.9,506.1,514.53,19661945,101167.58,187417,8401391,42.73
2020-03-04,517.5,517.5,497.05,508.35,508.95,514.75,505.96,21883404,110720.84,227396,11313959,51.7
2020-03-05,509.75,511.15,500.0,504.5,504.0,508.35,505.92,16671516,84344.87,201499,5173253,31.03
2020-03-06,485.0,496.8,477.3,486.35,485.75,504.5,486.92,31024353,151064.01,334872,15740609,50.74
2020-03-09,475.0,475.0,442.95,457.75,457.5,486.35,459.37,42027546,193061.85,401229,22816310,54.29
2020-03-11,450.0,471.75,449.6,465.65,465.55,457.75,465.27,31018901,144322.48,334058,15203042,49.01
2020-03-12,438.0,445.95,416.0,425.65,432.95,465.65,433.56,50757036,220062.54,397139,26344979,51.9
2020-03-13,401.0,464.75,395.2,447.2,449.95,425.65,433.74,67105024,291062.71,417226,33320897,49.65
2020-03-16,424.2,424.2,397.45,402.9,401.1,447.2,409.76,34834779,142739.99,405336,14659833,42.08
2020-03-17,407.0,408.45,364.0,367.25,366.95,402.9,388.74,47233442,183613.56,518412,20920438,44.29
2020-03-18,369.1,375.5,342.3,355.05,358.0,367.25,356.54,61204129,218219.16,941197,27858198,45.52
2020-03-19,336.1,369.6,323.0,338.55,335.4,355.05,340.96,57986210,197712.27,510635,23315477,40.21
2020-03-20,328.0,359.8,323.0,345.7,344.4,338.55,341.93,88640850,303087.52,742628,39930494,45.05
2020-03-23,311.15,313.7,280.0,284.0,282.4,345.7,291.38,56868412,165705.91,510598,31297623,55.04
2020-03-24,295.3,305.0,268.3,296.5,298.55,284.0,289.43,67896591,196514.91,586196,33557735,49.42
2020-03-25,284.0,334.15,281.6,316.9,315.15,296.5,306.77,66545735,204142.43,813004,28180857,42.35
2020-03-26,322.0,364.4,314.25,330.25,331.5,316.9,339.77,76174000,258815.09,820649,27134191,35.62
2020-03-27,355.8,359.55,326.0,339.85,338.5,330.25,342.6,72890796,249726.11,820234,23218167,31.85
2020-03-30,330.1,333.9,311.1,313.4,315.1,339.85,324.03,36560532,118466.16,525988,11680088,31.95
2020-03-31,324.7,334.85,316.0,323.75,320.4,313.4,325.29,46280029,150545.62,485411,15465328,33.42
