date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,1389.3,1398.4,1381.6,1385.45,1385.0,1386.8,1389.55,104012,1445.3,12396,51144,49.17
2020-01-02,1380.0,1389.95,1352.0,1360.7,1362.0,1385.45,1363.47,310211,4229.63,22409,213105,68.7
2020-01-03,1364.0,1397.8,1360.7,1388.0,1390.0,1360.7,1376.23,577617,7949.34,30019,433417,75.04
2020-01-06,1383.8,1392.0,1366.0,1385.6,1382.0,1388.0,1378.99,269777,3720.2,25211,174128,64.55
2020-01-07,1385.0,1400.45,1380.0,1389.8,1387.0,1385.6,1391.47,282751,3934.4,30096,193101,68.29
2020-01-08,1379.0,1396.0,1375.0,1391.55,1387.75,1389.8,1387.05,215586,2990.28,22310,124150,57.59
2020-01-09,1396.0,1400.5,1373.0,1380.55,1378.9,1391.55,1382.89,214666,2968.59,36417,144897,67.5
2020-01-10,1382.9,1396.1,1369.7,1374.8,1373.05,1380.55,1379.71,246516,3401.21,18363,146775,59.54
2020-01-13,1378.3,1382.0,1352.0,1353.75,1353.65,1374.8,1358.82,230062,3126.14,21640,163932,71.26
2020-01-14,1359.0,1378.0,1357.05,1369.45,1370.0,1353.75,1365.68,425319,5808.52,52928,339670,79.86
2020-01-15,1374.0,1375.05,1347.65,1359.5,1360.25,1369.45,1361.01,407094,5540.59,25711,248991,61.16
2020-01-16,1367.0,1424.75,1365.0,1414.6,1412.0,1359.5,1399.64,982078,13745.57,38569,613724,62.49
2020-01-17,1415.0,1435.15,1396.0,1412.5,1407.95,1414.6,1419.28,570066,8090.84,31666,353553,62.02
2020-01-20,1412.5,1427.5,1350.0,1354.75,1357.0,1412.5,1375.62,508235,6991.38,33626,284235,55.93
2020-01-21,1357.65,1369.0,1323.0,1329.95,1331.0,1354.75,1345.89,484563,6521.69,29795,330267,68.16
2020-01-22,1325.0,1342.9,1308.35,1313.6,1313.9,1329.95,1321.03,528752,6985.0,31947,408943,77.34
2020-01-23,1320.0,1350.75,1304.05,1332.8,1343.0,1313.6,1319.24,431309,5689.98,24530,269631,62.51
2020-01-24,1336.0,1356.0,1320.0,1350.35,1350.4,1332.8,1341.87,282051,3784.77,26486,158650,56.25
2020-01-27,1348.4,1362.95,1330.75,1338.8,1336.6,1350.35,1350.05,235959,3185.58,8808,168229,71.3
2020-01-28,1343.95,1357.5,1324.0,1337.35,1331.9,1338.8,1346.81,233417,3143.69,18278,147536,63.21
2020-01-29,1339.8,1348.45,1322.0,1323.85,1323.0,1337.35,1335.08,261939,3497.09,13972,181723,69.38
2020-01-30,1327.9,1340.9,1308.2,1327.95,1333.3,1323.85,1325.1,198507,2630.41,14381,117786,59.34
