date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,140.6,141.43,139.24,139.83,143.65,145.0,144.51,165803.83016902657,232.34,1834,64165,39.91
2020-01-02,140.21,146.42,139.2,143.12,145.5,144.2,148.24,1709736.3020409006,2457.61,14333,1229388,74.15
2020-01-03,141.09,142.83,139.73,141.47,145.9,147.6,145.78,423838.0067445626,599.15,4992,188237,45.8
2020-01-06,140.6,141.38,136.09,136.77,141.0,145.9,142.38,429176.9364835459,592.52,7342,302782,72.76
2020-01-07,138.57,139.49,136.29,136.63,140.9,141.05,141.83,1239755.7932079986,1704.96,14374,983665,81.83
2020-01-08,135.75,136.0,133.23,134.98,139.0,140.9,138.87,1229079.9962873966,1655.05,13325,769830,64.59
2020-01-09,136.14,137.94,134.59,135.46,139.75,139.2,140.02,1020506.9766002867,1385.55,9197,718515,72.61
2020-01-10,135.95,137.06,132.36,133.91,137.8,139.7,139.59,976134.1487310115,1321.27,14053,618752,65.37
2020-01-13,135.61,135.61,133.33,133.81,138.4,138.1,138.45,627376.3239040086,842.26,10843,346311,56.93
2020-01-14,134.25,136.38,132.55,135.75,140.15,138.0,138.13,2132906.040199243,2856.8,7916,1655120,80.03
2020-01-15,135.75,137.21,132.7,133.67,136.95,140.0,138.62,918939.4330029803,1235.23,9517,575889,64.63
2020-01-16,134.25,137.55,133.14,136.97,141.0,137.85,139.66,936756.8347994678,1268.55,8668,570256,62.78
2020-01-17,136.72,141.57,135.08,141.09,145.55,141.25,143.82,1178647.3748801139,1643.77,26469,748249,65.47
2020-01-20,140.6,141.47,138.18,139.05,143.25,145.5,143.38,1805202.8009529014,2509.76,18322,1526634,87.21
2020-01-21,137.26,140.12,137.26,139.73,144.0,143.4,143.19,1289681.0255035218,1790.67,7641,1095057,87.56
2020-01-22,139.29,141.33,139.15,139.83,143.9,144.1,144.36,259384.1203708478,363.09,3037,128184,50.96
2020-01-23,140.07,141.67,137.5,139.83,144.0,144.2,143.79,892967.7106644529,1245.05,10395,519825,60.03
