date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,735.0,740.0,732.55,736.85,739.35,731.15,735.35,2112415,15533.69,36769,561646,26.59
2020-01-02,738.9,740.8,730.9,734.7,735.75,736.85,735.22,5658200,41600.25,102483,3413440,60.33
2020-01-03,733.9,748.0,733.9,746.0,745.0,734.7,744.67,7882938,58701.73,105632,3682521,46.72
2020-01-06,746.1,753.8,736.5,738.85,738.5,746.0,743.51,6519403,48472.37,129992,2871332,44.04
2020-01-07,738.0,742.6,725.1,727.9,729.3,738.85,734.63,7899363,58031.2,189680,3976564,50.34
2020-01-08,724.95,729.0,708.3,718.2,718.9,727.9,717.84,8639443,62017.08,232857,3579984,41.44
2020-01-09,721.7,731.5,714.3,727.55,727.6,718.2,724.6,13521186,97974.55,161064,7560512,55.92
2020-01-10,740.45,742.9,730.5,738.15,740.0,727.55,737.69,9341405,68910.78,145267,2641897,28.28
2020-01-13,760.0,777.5,755.0,773.55,772.5,738.15,769.14,36952038,284211.29,753340,12985958,35.14
2020-01-14,769.95,776.95,767.2,775.65,775.5,773.55,772.12,11414418,88132.65,289583,5736351,50.26
2020-01-15,773.85,773.85,762.15,767.55,766.3,775.65,766.99,6047430,46382.98,96319,2874200,47.53
2020-01-16,770.7,772.5,760.25,767.0,767.2,767.55,766.35,5740586,43993.09,93520,2546218,44.35
2020-01-17,770.7,772.9,762.25,767.85,767.45,767.0,766.35,3762957,28837.44,98313,1716214,45.61
2020-01-20,771.6,774.4,762.95,768.45,768.85,767.85,767.06,3887680,29820.75,81096,1987288,51.12
2020-01-21,768.45,770.5,760.75,762.5,761.15,768.45,764.09,4448374,33989.78,83703,2831904,63.66
2020-01-22,768.45,778.0,766.0,770.2,769.8,762.5,771.58,9733935,75104.99,148501,5309541,54.55
2020-01-23,777.1,785.5,776.7,784.35,782.35,770.2,781.01,12528017,97845.66,197205,8696219,69.41
2020-01-24,775.75,786.5,773.6,782.75,783.0,784.35,779.2,7540490,58755.59,131263,3499303,46.41
2020-01-27,779.05,784.8,774.4,778.1,778.05,782.75,778.05,3741610,29111.6,102550,2126199,56.83
2020-01-28,781.0,781.8,772.0,778.0,778.0,778.1,775.99,5121009,39738.34,108248,3281703,64.08
2020-01-29,786.6,792.8,784.25,789.7,790.0,778.0,787.87,6832757,53833.35,83287,3600795,52.7
2020-01-30,789.7,789.7,778.0,780.7,780.6,789.7,781.35,3859680,30157.76,98962,2022411,52.4
2020-01-31,780.55,784.95,771.6,775.95,777.7,780.7,776.84,6092028,47325.48,72176,4123484,67.69
2020-02-03,782.0,790.95,764.5,767.4,767.1,779.5,771.38,6416745,49497.38,132708,3721975,58.0
2020-02-04,770.1,789.9,770.1,787.85,788.1,767.4,781.11,5771311,45080.2,126688,3493877,60.54
2020-02-05,781.0,786.0,774.4,784.55,784.5,787.85,779.33,6310409,49178.73,142904,3754373,59.49
2020-02-06,784.35,786.8,770.0,771.35,772.0,784.55,775.78,7341622,56955.13,133662,4417336,60.17
2020-02-07,775.95,778.85,771.0,777.3,776.0,771.35,775.8,2853344,22136.21,53815,1395947,48.92
2020-02-10,774.0,778.0,769.75,773.2,773.0,777.3,772.86,3827682,29582.64,50917,2548802,66.59
2020-02-11,779.0,779.1,769.2,773.55,775.0,773.2,773.48,4312817,33358.59,83764,2771644,64.27
2020-02-12,775.8,783.25,775.1,781.05,780.8,773.55,780.73,2948825,23022.29,80507,1455179,49.35
2020-02-13,785.0,794.0,782.2,792.25,792.5,781.05,787.51,4387430,34551.3,80876,2182796,49.75
2020-02-14,794.5,799.2,784.6,786.45,786.3,792.25,791.78,5321680,42135.74,103460,2627167,49.37
2020-02-17,790.3,793.45,783.3,789.45,788.85,786.45,789.21,2929629,23120.86,69780,1441936,49.22
2020-02-18,785.0,799.05,783.65,797.65,798.5,789.45,793.27,5083346,40324.62,103674,2672902,52.58
2020-02-19,800.0,804.85,796.15,800.45,800.4,797.65,799.62,3985192,31866.38,79345,1993471,50.02
2020-02-20,803.25,806.1,793.85,797.0,796.8,800.45,800.74,4564569,36550.4,94252,2324240,50.92
2020-02-24,800.1,811.6,792.15,795.85,795.9,797.0,804.05,6627536,53288.79,130286,3283926,49.55
2020-02-25,799.0,806.0,795.4,798.4,799.5,795.85,799.93,6996695,55969.0,114637,4262139,60.92
2020-02-26,793.95,801.45,780.5,782.75,782.25,798.4,791.65,8760569,69353.14,168481,5489084,62.66
