date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,83.97,84.5,83.83,83.97,125.85,125.55,126.12,3191236.4043817976,2683.16,13955,493903,23.22
2020-01-02,84.13,84.8,84.0,84.67,127.0,125.95,126.71,3838768.0806159596,3242.62,16315,977380,38.19
2020-01-03,84.33,85.0,84.1,84.57,127.0,127.0,126.72,13278150.86092457,11217.36,45004,4438644,50.14
2020-01-06,84.33,84.33,83.0,83.27,124.8,126.85,125.15,18947239.026380487,15808.53,50588,7171769,56.78
2020-01-07,83.53,84.97,82.73,83.03,124.8,124.9,125.62,12677533.16123342,10617.0,45411,3103256,36.72
2020-01-08,82.03,82.6,81.0,81.23,122.1,124.55,122.37,13328631.835684082,10873.29,51233,3927894,44.2
2020-01-09,83.27,83.67,81.9,83.0,124.4,121.85,124.22,13828245.585877206,11451.31,78201,3155963,34.23
2020-01-10,83.33,83.83,82.7,83.63,125.2,124.5,124.78,12566008.216995891,10453.02,35492,4231952,50.52
2020-01-13,83.93,85.07,83.53,84.63,127.0,125.45,126.8,8621071.689464156,7287.54,30970,2283613,39.73
2020-01-14,85.07,85.47,84.43,84.6,126.95,126.95,127.28,6732199.133900433,5712.34,25334,2063994,45.99
2020-01-15,84.63,84.67,83.33,83.8,125.75,126.9,125.71,7152734.4236327885,5994.66,30381,2298004,48.19
2020-01-16,84.03,84.33,82.67,82.77,124.15,125.7,124.64,10577687.211156394,8789.47,52692,3590996,50.92
2020-01-17,82.77,82.83,81.53,81.77,122.65,124.15,122.98,11573757.213121394,9489.04,44652,3927090,50.9
2020-01-20,78.63,79.8,75.8,78.33,117.65,122.65,117.58,67893677.05316147,53217.41,145893,22054065,48.72
2020-01-21,78.67,78.97,76.17,76.53,115.15,117.5,115.56,69767668.11616594,53747.85,151583,28972528,62.29
2020-01-22,77.77,77.93,74.63,75.77,114.55,114.8,114.18,107592781.70360915,81901.73,158038,35742265,49.83
2020-01-23,76.73,80.6,76.7,78.9,120.3,113.65,118.42,314893545.0532275,248599.87,235485,139345365,66.38
2020-01-24,81.0,81.1,79.4,79.77,119.6,118.35,120.25,39238472.88076356,31456.73,83739,9117973,34.86
2020-01-27,79.5,80.13,78.0,78.3,117.3,119.65,118.39,20398272.30086385,16099.18,54180,5471158,40.23
2020-01-28,78.77,79.73,77.57,78.6,117.95,117.45,118.15,31914806.042596977,25139.18,75584,9488473,44.6
2020-01-29,79.2,79.97,78.53,78.87,118.45,117.9,119.06,32001954.49902275,25400.54,50737,11320241,53.06
2020-01-30,79.93,79.97,77.47,78.1,116.85,118.3,117.99,42006991.496504255,33042.73,90420,12203197,43.58
2020-01-31,79.03,79.03,75.07,75.63,113.45,117.15,113.87,55113933.943033025,41839.31,155640,17169627,46.73
2020-02-03,73.37,74.93,71.7,72.03,108.5,108.9,109.85,37608300.69584965,27540.69,104534,10917825,43.55
2020-02-04,73.33,76.13,73.0,75.87,114.1,108.05,112.26,31528406.23579688,23595.47,91857,7305517,34.76
2020-02-05,76.57,77.23,75.93,76.47,114.7,113.8,114.9,23615962.692018654,18089.14,61028,5366860,34.09
