date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,188.38,190.77,186.96,188.87,943.0,933.45,944.56,8593275.0,16233.76,42462,248844,14.48
2020-01-02,188.8,188.8,185.41,186.08,928.5,944.35,934.73,3287655.0,6146.12,20140,186971,28.44
2020-01-03,185.6,188.7,185.51,186.28,930.0,930.4,934.26,4342850.0,8114.73,24396,165272,19.03
2020-01-06,185.4,185.41,178.02,178.89,892.95,931.4,904.07,3923670.0,7094.54,30389,287222,36.6
2020-01-07,179.4,184.3,179.4,181.48,906.25,894.45,911.6,3486795.0,6357.12,22318,137521,19.72
2020-01-08,179.8,180.52,177.26,179.23,895.9,907.4,895.01,2770350.0,4958.96,16996,114764,20.71
2020-01-09,182.07,184.12,182.0,182.73,912.1,896.15,915.18,2997000.0,5485.61,19518,142949,23.85
2020-01-10,182.4,185.48,181.73,183.45,918.05,913.65,918.09,2543885.0,4671.04,16154,109524,21.53
2020-01-13,184.0,188.56,183.21,187.83,942.0,917.25,932.38,3914925.0,7300.41,22879,230037,29.38
2020-01-14,189.0,196.74,188.41,194.83,976.95,939.15,970.16,14487235.0,28109.84,68895,486529,16.79
2020-01-15,195.6,199.2,194.77,197.08,984.0,974.15,987.39,8562850.0,16909.83,40896,304993,17.81
2020-01-16,196.96,201.67,196.95,200.73,1007.35,985.4,997.04,7607070.0,15169.08,39213,336815,22.14
2020-01-17,202.0,205.0,202.0,204.37,1022.0,1003.65,1018.44,5496735.0,11196.24,29864,269246,24.49
2020-01-20,205.44,205.64,197.61,198.67,996.0,1021.85,1000.5,4438240.0,8880.95,29265,312963,35.26
2020-01-21,198.48,198.88,195.6,196.55,982.55,993.35,986.01,2882445.0,5684.22,20689,149774,25.98
2020-01-22,198.0,201.2,197.4,199.37,996.7,982.75,996.69,2970515.0,5921.37,19521,146799,24.71
2020-01-23,199.72,200.15,197.8,199.1,995.5,996.85,995.13,1633700.0,3251.49,11651,91283,27.94
2020-01-24,200.0,202.52,198.42,200.54,1003.85,995.5,1004.37,2432850.0,4886.99,15911,132283,27.19
2020-01-27,200.38,203.49,199.0,201.52,1004.0,1002.7,1007.58,2760640.0,5563.13,18823,135966,24.63
2020-01-28,202.72,211.98,202.03,209.74,1059.9,1007.6,1034.74,6514465.0,13481.6,43765,302732,23.24
2020-01-29,214.5,225.98,212.7,223.28,1128.5,1048.7,1094.34,14390900.0,31497.02,80576,491344,17.07
2020-01-30,226.56,232.8,223.21,227.43,1138.0,1116.4,1144.32,19073065.0,43651.31,112540,718262,18.83
2020-01-31,230.42,247.0,229.21,242.06,1232.35,1137.15,1183.64,16631450.0,39371.17,93674,451636,13.58
2020-02-03,238.87,252.6,237.21,250.17,1262.0,1190.35,1234.26,14263290.0,35209.33,103768,458013,16.06
2020-02-04,258.0,287.6,257.2,282.53,1431.0,1250.85,1355.73,32973625.0,89406.71,201136,868149,13.16
2020-02-05,291.4,309.56,288.2,301.71,1511.0,1412.65,1506.7,54801510.0,165138.58,409572,1296198,11.83
2020-02-06,306.4,312.6,294.4,300.86,1499.0,1508.55,1509.66,27968115.0,84444.73,217329,921464,16.47
2020-02-07,300.0,305.6,296.4,302.7,1513.5,1504.3,1512.69,11897055.0,35993.0,88249,335285,14.09
2020-02-10,304.78,307.6,293.2,296.04,1474.5,1513.5,1497.2,14954080.0,44778.47,132180,724398,24.22
2020-02-11,299.04,301.0,275.72,281.6,1390.0,1480.2,1448.01,14445050.0,41833.27,127767,732211,25.34
2020-02-12,279.0,290.0,270.0,283.05,1428.0,1408.0,1409.02,26712510.0,75277.09,231174,650232,12.17
2020-02-13,316.7,321.96,303.07,316.07,1580.4,1415.25,1574.07,56906935.0,179150.64,407247,1709025,15.02
2020-02-14,319.8,320.78,309.72,311.48,1558.0,1580.35,1572.49,16647740.0,52356.88,187122,781452,23.47
2020-02-17,312.98,313.0,302.0,303.73,1523.85,1557.4,1529.26,7844795.0,23993.52,75102,351265,22.39
2020-02-18,303.0,329.6,297.0,327.72,1643.8,1518.65,1587.13,37932555.0,120407.44,271248,966557,12.74
2020-02-19,333.26,374.54,331.68,366.38,1869.0,1638.6,1767.34,66560220.0,235269.73,448544,1120831,8.42
2020-02-20,374.0,395.4,372.41,386.01,1912.0,1831.9,1919.09,60260010.0,231289.21,451424,1491136,12.37
2020-02-24,380.0,397.98,362.4,384.7,1917.0,1930.05,1924.22,49287130.0,189679.02,403861,1156281,11.73
2020-02-25,384.66,398.8,383.4,390.39,1959.0,1923.5,1964.16,28821120.0,113218.85,240322,640271,11.11
2020-02-26,391.8,396.74,388.0,390.33,1947.0,1951.95,1961.37,18443625.0,72349.65,150881,452935,12.28
2020-02-27,393.4,394.0,377.76,381.88,1905.3,1951.65,1921.42,17376895.0,66776.57,155090,538866,15.51
2020-02-28,368.4,373.18,346.26,348.76,1743.0,1909.4,1791.61,25451290.0,91197.57,278642,1093496,21.48
2020-03-02,362.0,374.74,327.29,344.65,1712.0,1743.8,1799.99,24522045.0,88278.79,237699,899373,18.34
2020-03-03,354.0,361.8,337.31,347.86,1747.95,1723.25,1738.47,21576015.0,75018.71,218694,524900,12.16
2020-03-04,350.4,353.0,313.08,313.08,1565.4,1739.3,1650.36,22030465.0,72716.53,209739,1263681,28.68
2020-03-05,301.4,304.99,282.22,286.17,1425.0,1565.4,1449.42,38036670.0,110261.96,382652,1397708,18.37
2020-03-06,271.87,271.87,271.87,271.87,1359.35,1430.85,1359.35,1160040.0,3153.8,25759,219302,94.52
2020-03-09,258.28,258.28,258.28,258.28,1291.4,1359.35,1291.4,675425.0,1744.49,15615,134827,99.81
