date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2021-01-29,24.9,25.8,24.35,24.8,24.8,26.0,25.08,381938573,95788.17,496815,202093235,52.91
2021-02-01,25.25,25.4,24.9,25.1,25.15,24.8,25.13,72044464,18103.82,153055,36416301,50.55
2021-02-02,25.45,25.45,24.7,24.75,24.8,25.1,24.98,36735442,9176.4,102457,23249201,63.29
2021-02-03,24.8,24.9,24.05,24.25,24.15,24.75,24.58,45816269,11261.59,105660,27243985,59.46
2021-02-04,24.25,25.8,23.85,25.35,25.3,24.25,25.08,88486029,22194.41,135657,34571420,39.07
2021-02-05,25.6,26.2,25.55,25.7,25.65,25.35,25.8,56318695,14531.81,95724,25712230,45.65
2021-02-08,25.9,25.95,25.6,25.75,25.75,25.7,25.77,28324374,7300.15,55647,13288510,46.92
2021-02-09,25.75,25.8,25.2,25.3,25.2,25.75,25.41,25243532,6414.83,59918,11932405,47.27
2021-02-10,25.4,25.8,25.0,25.4,25.35,25.3,25.4,33132159,8415.5,49630,14723994,44.44
2021-02-11,25.4,25.65,25.25,25.4,25.5,25.4,25.46,13586295,3458.8,34239,6860300,50.49
2021-02-12,25.5,25.55,25.3,25.4,25.4,25.4,25.41,15658220,3978.49,32840,8698924,55.55
2021-02-15,26.2,26.2,25.65,25.75,25.85,25.4,25.84,45629832,11791.7,91067,26254530,57.54
2021-02-16,25.9,26.0,25.8,25.9,25.85,25.75,25.87,34557518,8940.72,63357,21864550,63.27
2021-02-17,25.3,25.6,24.9,25.3,25.3,25.9,25.33,28638408,7255.44,53894,14485220,50.58
2021-02-18,25.45,25.8,25.4,25.65,25.7,25.3,25.55,21022422,5370.85,26752,10322999,49.1
2021-02-19,25.65,25.7,25.2,25.35,25.4,25.65,25.43,14542153,3697.57,36081,7516285,51.69
2021-02-22,25.3,25.4,24.95,25.0,25.0,25.35,25.09,16652770,4178.02,55606,9264893,55.64
2021-02-23,25.0,25.15,24.9,24.95,24.95,25.0,24.96,13021961,3250.13,38417,6695720,51.42
2021-02-24,24.9,25.2,24.85,24.9,24.9,24.95,24.99,10958830,2738.51,20179,5223967,47.67
2021-02-25,24.95,25.2,24.9,24.95,24.95,24.9,25.0,22761296,5690.94,33968,12304293,54.06
2021-02-26,24.85,24.95,24.5,24.65,24.65,24.95,24.67,36424500,8987.08,83875,23490265,64.49
2021-03-01,24.65,26.7,24.65,25.9,25.85,24.65,25.67,93579588,24026.07,110462,39763204,42.49
2021-03-02,26.1,26.3,25.45,25.65,25.7,25.9,25.9,48494934,12562.02,63877,20010437,41.26
2021-03-03,25.8,25.95,25.45,25.5,25.45,25.65,25.64,18806435,4821.65,30413,9628114,51.2
2021-03-04,25.25,25.7,25.25,25.4,25.45,25.5,25.47,21742960,5538.86,34054,10006646,46.02
2021-03-05,25.4,25.55,24.8,24.95,24.95,25.4,25.07,25255199,6331.48,47027,12799523,50.68
2021-03-08,25.1,25.25,24.8,24.85,24.8,24.95,24.99,16353985,4086.3,34575,8109041,49.58
2021-03-09,24.95,25.5,24.8,24.95,25.0,24.85,25.02,21380757,5350.08,35599,9770171,45.7
2021-03-10,25.0,25.1,24.85,24.85,24.9,24.95,24.96,11360743,2835.91,25673,5729920,50.44
2021-03-12,24.9,25.05,24.8,24.85,24.85,24.85,24.91,17086939,4256.03,30141,9349661,54.72
2021-03-15,24.9,24.95,24.5,24.65,24.6,24.85,24.65,17385997,4286.07,41212,8223219,47.3
2021-03-16,24.65,24.8,24.5,24.55,24.55,24.65,24.59,9649363,2372.31,26071,4506117,46.7
2021-03-17,24.55,24.6,24.1,24.15,24.2,24.55,24.32,14312130,3481.24,43269,8083091,56.48
2021-03-18,24.2,24.6,23.9,24.05,24.05,24.15,24.12,16168159,3899.44,36717,7704264,47.65
2021-03-19,24.0,24.1,23.5,23.95,23.9,24.05,23.78,15260549,3629.58,35438,6139269,40.23
2021-03-22,24.0,24.5,23.85,23.9,23.9,23.95,24.01,13817385,3317.35,27700,6117821,44.28
2021-03-23,23.9,24.1,23.75,23.8,23.8,23.9,23.89,13742805,3282.59,33537,6888643,50.13
2021-03-24,23.8,23.9,23.4,23.45,23.5,23.8,23.59,16788250,3960.68,41700,9918695,59.08
