date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,238.6,238.6,237.1,238.1,238.0,237.7,237.85,4208837.0,10010.78,38576,1848314,43.92
2020-01-02,238.2,240.95,238.1,239.85,240.3,238.1,239.71,8402979.0,20142.41,84223,5619818,66.88
2020-01-03,241.0,241.0,238.0,238.5,238.45,239.85,238.66,9284478.0,22158.53,64049,6344169,68.33
2020-01-06,237.5,238.3,235.0,235.1,235.3,238.5,236.15,7636617.0,18033.75,72977,4934625,64.62
2020-01-07,236.05,237.9,234.6,235.35,235.5,235.1,235.94,8416741.0,19858.25,66747,4781835,56.81
2020-01-08,234.0,235.8,233.25,234.2,234.4,235.35,234.46,7043211.0,16513.74,66642,3897623,55.34
2020-01-09,235.6,236.6,235.05,235.8,236.1,234.2,235.72,9452653.0,22281.77,107069,6378923,67.48
2020-01-10,237.6,238.75,236.8,238.0,238.1,235.8,237.86,9973746.0,23723.97,89471,7182804,72.02
2020-01-13,238.5,240.5,238.25,239.25,239.25,238.0,239.58,12243639.0,29333.5,83515,8262934,67.49
2020-01-14,240.25,243.8,238.3,243.25,243.1,239.25,241.86,11843444.0,28644.88,89338,7543081,63.69
2020-01-15,242.55,243.0,241.1,242.4,241.85,243.25,242.13,5476729.0,13261.0,60662,3216141,58.72
2020-01-16,242.5,243.9,240.1,240.75,240.45,242.4,241.88,9369668.0,22663.6,85618,5733970,61.2
2020-01-17,240.75,242.1,239.4,239.95,239.95,240.75,240.43,7392403.0,17773.21,97633,4578819,61.94
2020-01-20,240.05,243.25,240.05,241.9,242.3,239.95,241.96,8020816.0,19407.54,70844,4631818,57.75
2020-01-21,241.45,241.45,238.0,238.45,238.45,241.9,239.25,9571070.0,22899.06,90383,6175670,64.52
2020-01-22,239.6,239.6,237.1,238.05,238.3,238.45,238.27,7654918.0,18239.01,83042,4934815,64.47
2020-01-23,238.1,238.75,236.9,237.9,237.95,238.05,237.67,6120434.0,14546.55,69953,3537506,57.8
2020-01-24,237.4,239.1,237.0,238.15,238.25,237.9,238.21,6801874.0,16202.48,66148,3748753,55.11
2020-01-27,237.0,237.4,234.3,234.6,234.65,238.15,235.8,6837613.0,16123.15,73157,3974981,58.13
2020-01-28,234.75,235.9,230.5,230.75,231.0,234.6,232.39,14582907.0,33889.53,134277,9816226,67.31
2020-01-29,231.5,237.65,231.15,236.65,237.3,230.75,236.14,20469708.0,48337.59,136048,11399264,55.69
2020-01-30,236.95,237.0,233.0,234.05,233.7,236.65,234.92,10394149.0,24418.43,75658,6735834,64.8
2020-01-31,235.75,238.4,234.05,235.15,235.2,234.05,236.11,18455880.0,43576.77,119578,9809349,53.15
2020-02-03,215.0,216.9,205.0,207.6,208.9,219.0,209.48,79764370.0,167088.88,436227,32873094,41.21
2020-02-04,210.8,217.6,209.15,215.65,215.95,207.6,213.76,35767812.0,76455.56,182198,18731113,52.37
2020-02-05,216.3,217.5,211.5,216.45,216.05,215.65,215.2,21253607.0,45738.21,245783,9831848,46.26
2020-02-06,218.0,219.9,211.8,213.55,213.4,216.45,215.72,27388582.0,59082.0,221588,16838636,61.48
2020-02-07,213.8,215.7,212.75,213.4,213.3,213.55,214.4,17133407.0,36734.4,126285,10930975,63.8
2020-02-10,214.0,214.05,210.05,210.55,210.5,213.4,211.41,9617387.0,20332.42,212652,5487153,57.05
2020-02-11,216.5,216.95,211.8,212.6,212.5,210.55,213.79,29803784.0,63717.25,352348,16641794,55.84
2020-02-12,213.4,214.8,211.8,213.05,212.95,212.6,213.35,9928416.0,21182.2,91939,4837515,48.72
2020-02-13,213.05,213.45,211.2,211.9,212.05,213.05,212.06,9153131.0,19410.22,111421,5580976,60.97
2020-02-14,212.25,212.9,206.8,207.7,207.6,211.9,209.55,13731692.0,28774.77,119326,7932043,57.76
2020-02-17,208.0,208.65,204.0,204.8,204.25,207.7,205.88,15561953.0,32039.06,113582,11259627,72.35
2020-02-18,204.55,204.6,200.5,203.85,204.05,204.8,202.08,20934864.0,42305.24,159783,14197051,67.82
