date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,167.8,171.3,164.4,166.4,166.35,167.7,167.18,24648797,41206.82,89961,979390,3.97
2020-01-02,169.9,174.25,169.0,173.25,173.6,166.4,172.11,23256674,40026.51,97432,1470276,6.32
2020-01-03,173.35,174.6,170.0,171.6,171.8,173.25,172.49,19536532,33698.15,74883,1394340,7.14
2020-01-06,169.25,170.85,165.5,166.9,167.0,171.6,167.84,15670706,26302.33,68910,622541,3.97
2020-01-07,169.0,171.9,165.75,167.35,166.9,166.9,168.61,19605976,33057.86,95049,2363008,12.05
2020-01-08,166.45,176.4,164.05,174.7,175.75,167.35,169.95,33040895,56154.08,147836,3332916,10.09
2020-01-09,177.25,179.5,174.35,176.4,175.45,174.7,176.49,18381117,32440.28,97292,1774646,9.65
2020-01-10,177.0,179.4,174.7,176.65,176.5,176.4,177.05,18329483,32451.83,104714,1346748,7.35
2020-01-13,177.8,179.75,174.1,178.05,177.35,176.65,176.74,15771923,27875.46,60210,582322,3.69
2020-01-14,178.5,180.65,171.65,174.0,173.35,178.05,176.13,22197682,39097.75,78974,4021456,18.12
2020-01-15,172.9,180.75,171.15,180.15,180.35,174.0,177.18,28161176,49895.05,109214,3359696,11.93
2020-01-16,180.45,181.8,176.1,179.0,178.6,180.15,178.81,20938516,37440.91,99970,1816611,8.68
2020-01-17,179.5,180.9,175.8,176.95,175.85,179.0,178.85,14452871,25849.33,61624,2210533,15.29
2020-01-20,175.0,180.2,173.25,179.3,178.95,176.95,177.85,19944796,35472.75,81537,1176657,5.9
2020-01-21,177.0,186.95,176.4,185.8,184.5,179.3,182.03,30489750,55501.69,117332,4485662,14.71
2020-01-22,185.9,186.2,177.5,179.15,179.4,185.8,181.43,19443219,35275.89,77052,1729924,8.9
2020-01-23,179.4,181.2,177.5,180.0,179.45,179.15,179.62,11413774,20501.77,50926,679364,5.95
2020-01-24,179.4,189.8,178.95,188.95,189.0,180.0,185.93,19856058,36918.34,92267,2890573,14.56
2020-01-27,181.0,186.0,177.65,178.7,178.15,188.95,180.61,24954268,45070.23,108358,3867509,15.5
2020-01-28,179.8,180.85,173.2,175.5,174.8,178.7,176.14,19420336,34207.29,94087,1468664,7.56
2020-01-29,178.95,181.0,170.6,174.95,175.5,175.5,176.29,23683887,41751.85,105029,2973492,12.55
2020-01-30,176.0,181.9,172.35,175.65,175.0,174.95,176.48,33407995,58957.13,157225,3799531,11.37
2020-01-31,178.0,178.3,172.6,175.9,177.0,175.65,175.39,15207085,26671.13,80516,2222678,14.62
2020-02-03,166.0,175.95,161.7,174.85,175.4,167.15,170.3,23272332,39631.83,110069,1725124,7.41
2020-02-04,176.0,184.8,173.75,183.4,184.3,174.85,180.17,21437184,38622.9,110539,2771637,12.93
2020-02-05,183.4,192.95,181.9,190.1,192.25,183.4,185.87,20048729,37265.28,99298,1427451,7.12
2020-02-06,192.15,198.75,191.2,197.75,196.85,190.1,195.87,28812959,56435.05,139313,1987404,6.9
2020-02-07,195.5,202.25,194.8,197.8,196.95,197.75,198.42,22908839,45454.74,107868,1613369,7.04
2020-02-10,196.5,196.7,190.4,193.2,194.0,197.8,193.9,14810988,28717.89,62649,982813,6.64
2020-02-11,197.7,202.4,195.05,196.3,195.85,193.2,199.3,18730237,37329.76,81318,1299443,6.94
2020-02-12,198.7,199.25,194.0,197.0,196.8,196.3,196.58,12307478,24193.53,53573,393916,3.2
2020-02-13,196.5,197.25,192.65,193.9,192.7,197.0,194.76,8746026,17034.08,39290,514636,5.88
2020-02-14,192.9,197.65,189.4,190.5,190.05,193.9,193.46,14340696,27743.24,63735,1072646,7.48
2020-02-17,192.5,193.4,188.85,190.4,189.9,190.5,191.16,12487268,23871.27,61428,1134404,9.08
2020-02-18,188.7,189.3,181.7,185.25,185.8,190.4,184.63,14228234,26269.48,72427,1879509,13.21
2020-02-19,188.0,189.5,184.0,188.05,188.05,185.25,187.13,9801115,18340.61,51789,860374,8.78
2020-02-20,187.5,195.9,185.8,193.4,192.35,188.05,191.9,16689454,32026.78,78569,1201898,7.2
2020-02-24,190.4,190.4,172.85,174.9,175.1,193.4,180.47,19898510,35909.96,92199,2459184,12.36
2020-02-25,179.95,182.7,175.35,179.0,179.3,174.9,178.9,19983174,35750.78,108507,997280,4.99
2020-02-26,172.05,175.8,169.15,170.15,170.85,179.0,171.85,25605939,44003.52,129619,3417988,13.35
2020-02-27,170.0,170.0,164.55,168.35,169.05,170.15,166.69,21185744,35315.13,87772,4156738,19.62
2020-02-28,158.0,162.2,146.3,153.9,152.5,168.35,157.68,22939235,36171.02,97769,3229030,14.08
2020-03-02,161.1,163.95,149.45,153.35,153.85,153.9,159.87,24188438,38670.26,122691,1644022,6.8
2020-03-03,158.0,162.2,155.35,160.65,161.2,153.35,158.89,25472220,40473.95,139182,2013462,7.9
2020-03-04,161.0,162.5,148.1,154.25,154.2,160.65,153.71,24252742,37278.89,108930,841399,3.47
2020-03-05,156.8,159.8,152.8,154.4,153.4,154.25,155.63,18929214,29459.32,103670,759646,4.01
2020-03-06,140.0,149.25,140.0,146.3,146.1,154.4,146.61,17133704,25119.46,110337,2065287,12.05
2020-03-09,141.25,142.0,126.55,131.2,130.35,146.3,134.96,21051651,28411.03,77433,2717938,12.91
2020-03-11,130.6,133.15,125.0,126.9,125.8,131.2,128.21,27035595,34661.09,94634,3815363,14.11
2020-03-12,119.75,121.35,107.9,113.9,114.0,126.9,115.7,22695629,26258.33,82035,1523956,6.71
2020-03-13,103.0,130.5,99.2,121.4,120.5,113.9,114.82,25213969,28950.03,107793,3943511,15.64
2020-03-16,112.3,115.85,106.8,108.95,108.05,121.4,111.11,15440675,17156.7,80873,1371687,8.88
2020-03-17,111.0,116.8,105.45,107.2,107.05,108.95,112.39,18388456,20666.84,102139,2973257,16.17
2020-03-18,112.0,112.1,100.0,101.25,101.25,107.2,104.6,17132960,17920.71,84858,1620058,9.46
2020-03-19,95.15,100.45,91.45,93.0,94.0,101.25,96.7,18965959,18339.14,94543,3262141,17.2
2020-03-20,96.1,108.5,92.9,104.55,105.9,93.0,99.41,26516602,26359.03,106966,3390930,12.79
2020-03-23,94.1,99.5,86.0,89.0,88.2,104.55,93.55,5355785,5010.45,32995,1720605,32.13
2020-03-24,94.0,94.45,86.5,90.4,90.45,89.0,89.92,9732048,8751.52,120859,2134063,21.93
