date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,337.8,339.35,334.4,334.81,1673.15,1684.35,1679.0,7375280.0,24766.25,43248,671941,45.55
2020-01-02,336.0,336.7,332.93,334.31,1671.5,1674.05,1669.98,9260445.0,30929.52,56954,1213158,65.5
2020-01-03,334.19,334.6,329.11,331.42,1659.05,1671.55,1657.75,7970445.0,26425.96,83688,845118,53.02
2020-01-06,331.42,331.49,327.72,330.51,1653.8,1657.1,1647.07,7400435.0,24378.11,64555,726237,49.07
2020-01-07,332.21,334.95,330.08,334.17,1668.0,1652.55,1662.94,12489655.0,41539.01,62054,1276556,51.1
2020-01-08,330.94,332.29,327.6,330.97,1651.65,1670.85,1650.47,15629655.0,51592.41,108277,1366696,43.72
2020-01-09,334.7,334.75,331.74,333.01,1665.1,1654.85,1664.49,13342120.0,44415.66,64081,1798270,67.39
2020-01-10,334.82,338.4,334.24,336.94,1686.0,1665.05,1683.04,12680415.0,42683.18,97398,1225120,48.31
2020-01-13,338.4,340.9,337.11,338.22,1690.2,1684.7,1692.29,9039790.0,30595.95,48374,953751,52.75
2020-01-14,339.2,339.22,334.2,335.36,1678.8,1691.1,1676.8,10684460.0,35831.44,79735,1519525,71.11
2020-01-15,335.19,337.32,333.18,335.12,1681.6,1676.8,1675.83,12451225.0,41732.34,53526,1704202,68.44
2020-01-16,335.78,341.12,335.78,340.31,1703.05,1675.6,1693.44,16606410.0,56244.05,94314,1625315,48.94
2020-01-17,340.78,341.17,338.02,339.62,1699.0,1701.55,1699.33,11479375.0,39014.53,93648,1347057,58.67
2020-01-20,341.8,341.8,322.2,323.58,1617.0,1698.1,1645.01,40020170.0,131667.41,228321,2594865,32.42
2020-01-21,321.0,326.12,317.04,325.02,1627.35,1617.9,1608.02,28727345.0,92388.54,185564,1823235,31.73
2020-01-22,326.64,327.58,315.2,317.1,1591.0,1625.1,1593.45,27395810.0,87307.46,154814,2895931,52.85
2020-01-23,317.6,321.68,316.26,321.17,1606.9,1585.5,1597.13,17478415.0,55830.49,96078,1747356,49.99
2020-01-24,321.09,329.8,317.4,328.59,1638.05,1605.85,1623.03,21264685.0,69026.28,157612,2356586,55.41
2020-01-27,325.74,325.8,321.68,323.67,1617.0,1642.95,1617.8,9372145.0,30324.56,58316,496047,26.46
2020-01-28,324.0,327.6,322.05,325.21,1624.0,1618.35,1627.45,9905520.0,32241.53,86400,745664,37.64
2020-01-29,326.6,329.24,324.61,328.09,1639.55,1626.05,1637.68,11137465.0,36479.2,62207,1267330,56.89
2020-01-30,327.56,328.06,323.5,325.65,1627.95,1640.45,1628.36,7950780.0,25893.41,63063,709452,44.62
2020-01-31,341.93,345.8,336.63,338.35,1688.65,1628.25,1698.55,47475230.0,161278.35,253091,2929394,30.85
2020-02-03,329.12,336.16,326.8,335.25,1676.3,1647.95,1661.9,12551470.0,41718.54,112048,1186818,47.28
2020-02-04,336.81,340.56,334.03,339.66,1699.0,1676.25,1690.91,10352085.0,35008.91,93785,1060698,51.23
2020-02-05,340.4,341.49,335.42,337.95,1693.5,1698.3,1689.3,10482560.0,35416.48,97390,824176,39.31
2020-02-06,338.78,339.58,333.6,334.8,1675.75,1689.75,1679.42,12663090.0,42533.17,125534,1331171,52.56
2020-02-07,335.15,335.59,328.8,330.61,1654.95,1674.0,1653.82,11450755.0,37874.95,99398,1397345,61.02
2020-02-10,332.0,334.92,329.14,333.86,1673.0,1653.05,1657.6,6775620.0,22462.54,62012,695218,51.3
2020-02-11,336.49,337.16,333.31,335.49,1679.45,1669.3,1677.75,9573830.0,32124.94,109723,1090263,56.94
2020-02-12,336.02,344.0,335.0,342.98,1713.5,1677.45,1709.76,15052685.0,51473.07,74600,1362130,45.25
2020-02-13,342.94,342.94,336.46,337.96,1689.55,1714.9,1690.99,11234600.0,37995.28,77476,1348236,60.0
2020-02-14,339.2,340.6,332.72,336.19,1682.5,1689.8,1680.66,9460785.0,31800.68,80400,1023074,54.07
2020-02-17,337.0,339.84,334.45,338.22,1693.85,1680.95,1691.07,9063825.0,30655.21,64474,1043736,57.58
2020-02-18,336.5,339.96,335.66,338.2,1692.95,1691.1,1689.09,11095195.0,37481.48,106786,1270551,57.26
2020-02-19,348.0,348.0,339.08,340.22,1699.6,1691.0,1709.74,15842670.0,54173.76,99948,1196844,37.77
2020-02-20,339.46,339.85,335.24,337.19,1685.0,1701.1,1687.97,10499515.0,35445.68,86420,1076016,51.24
2020-02-24,334.4,336.75,332.46,335.65,1679.4,1685.95,1674.37,9630665.0,32250.59,102079,1084749,56.32
2020-02-25,335.24,337.94,333.67,335.16,1678.5,1678.25,1677.45,7677775.0,25758.09,66430,737449,48.02
2020-02-26,334.02,335.54,331.4,333.3,1673.8,1675.8,1666.52,12929475.0,43094.42,102345,1583380,61.23
