date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2022-05-17,872.0,918.95,860.0,875.25,873.0,949.0,890.62,48792877,434561.35,1388070,19115945,39.18
2022-05-18,885.55,891.0,874.1,876.35,874.75,875.25,881.94,8919761,78667.12,267592,2670371,29.94
2022-05-19,867.0,867.0,838.0,840.85,840.2,876.35,851.61,7372427,62784.21,330019,2943369,39.92
2022-05-20,848.55,856.8,825.0,826.15,825.3,840.85,836.44,7078291,59205.82,258445,2128536,30.07
2022-05-23,826.15,852.7,803.65,816.85,814.8,826.15,829.92,12444648,103280.22,318372,2019459,16.23
2022-05-24,818.0,834.7,816.85,823.1,824.8,816.85,826.16,4287864,35424.61,125350,980069,22.86
2022-05-25,831.5,841.45,814.25,820.3,814.95,823.1,830.57,4013031,33331.12,118372,1172387,29.21
2022-05-26,820.3,824.8,801.0,811.65,812.85,820.3,812.09,2796468,22709.82,111236,861111,30.79
2022-05-27,818.55,824.65,814.35,821.6,823.0,811.65,820.15,2215807,18173.01,71583,663050,29.92
2022-05-30,829.9,841.4,825.3,837.75,836.5,821.6,832.66,3133717,26093.15,102214,1072302,34.22
2022-05-31,810.0,822.0,810.0,811.3,810.85,837.75,815.91,4373090,35680.41,156207,1683405,38.49
2023-05-02,552.0,554.6,549.2,550.05,551.2,549.9,551.79,1224198,6754.98,22118,748307,61.13
2023-05-03,550.95,552.9,550.0,551.35,551.95,550.05,551.2,856689,4722.09,17710,502850,58.7
2023-05-04,552.0,566.6,549.1,552.45,551.7,551.35,554.56,4283342,23753.77,62518,2045618,47.76
2023-05-05,552.5,565.35,551.65,560.05,561.9,552.45,560.63,2503952,14037.84,43531,953896,38.1
2023-05-08,563.0,567.0,562.0,562.7,563.0,560.05,563.87,1104965,6230.55,22747,518266,46.9
2023-05-09,564.45,566.45,555.95,557.35,557.6,562.7,561.72,1015395,5703.66,24153,614817,60.55
2023-05-10,558.75,560.3,555.1,557.8,558.0,557.35,557.86,589178,3286.82,15571,311882,52.94
2023-05-11,559.95,563.7,559.0,561.0,561.55,557.8,561.21,680822,3820.83,18518,383366,56.31
2023-05-12,561.0,564.45,557.5,562.1,562.4,561.0,561.12,892781,5009.58,19360,502959,56.34
2023-05-15,564.0,573.0,561.2,567.65,567.5,562.1,569.22,2164688,12321.86,37075,1246395,57.58
2023-05-16,569.0,574.55,566.4,567.5,568.05,567.65,570.08,902155,5143.02,20925,444533,49.27
2023-05-17,568.0,570.95,565.9,570.0,570.0,567.5,568.61,862004,4901.47,18209,545070,63.23
2023-05-18,572.0,576.85,567.0,568.15,567.95,570.0,571.63,964354,5512.57,21231,539114,55.9
2023-05-19,570.0,570.05,562.1,565.0,565.35,568.15,564.94,515091,2909.95,17677,259694,50.42
2023-05-22,569.0,579.3,566.7,577.5,579.0,565.0,573.9,1506327,8644.79,31629,721796,47.92
2023-05-23,581.0,594.5,580.9,590.15,591.45,577.5,588.25,2726826,16040.61,51655,1124937,41.25
2023-05-24,594.15,604.2,592.05,593.9,593.95,590.15,597.55,2488874,14872.3,48753,1006561,40.44
2023-05-25,607.0,615.5,601.0,603.6,603.55,593.9,606.83,5187933,31482.07,76356,1346101,25.95
2023-05-26,608.6,610.2,603.1,604.3,604.0,603.6,606.5,1195590,7251.29,28048,602111,50.36
