date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2021-04-19,218.0,239.0,211.3,232.62,457.95,486.0,464.16,22102730.0,51296.54,189323,6643235,60.11
2021-04-20,234.0,256.92,228.68,251.55,501.45,465.25,489.39,11705072.0,28641.56,108274,2440878,41.71
2021-04-22,249.0,271.38,245.8,261.88,519.15,503.1,521.06,4728296.0,12318.54,67555,923883,39.08
2021-04-23,261.4,268.45,258.85,265.35,531.25,523.75,528.24,2300838.0,6076.99,39106,515415,44.8
2021-04-26,266.0,293.0,266.0,290.05,576.0,530.7,565.14,4139576.0,11697.29,59175,718552,34.72
2021-04-27,288.0,306.38,285.52,302.2,599.95,580.1,595.7,4373976.0,13027.87,45239,748834,34.24
2021-04-28,302.4,310.0,298.1,307.82,612.05,604.4,610.67,1970340.0,6016.14,27476,194307,19.72
2021-04-29,309.38,309.5,290.58,300.82,605.0,615.65,600.07,3749610.0,11250.22,18880,1203631,64.2
2021-04-30,296.0,310.95,294.05,296.85,590.0,601.65,604.49,689580.0,2084.22,9923,138297,40.11
2021-05-03,295.0,302.5,285.1,299.65,605.0,593.7,588.2,848474.0,2495.36,9572,198386,46.76
2021-05-04,300.62,304.0,291.35,298.85,590.0,599.3,597.47,587900.0,1756.28,6695,157631,53.63
2021-05-05,295.5,306.0,293.75,303.0,605.0,597.7,600.13,582008.0,1746.39,7329,133602,45.91
2021-05-06,303.0,306.12,297.77,300.98,597.15,606.0,603.92,281584.0,850.27,4732,72173,51.26
2021-05-07,301.5,319.0,301.5,315.88,629.8,601.95,619.88,2697842.0,8361.68,19689,684234,50.72
2021-05-10,315.0,379.05,314.92,345.88,688.8,631.75,690.74,3202552.0,11060.58,39174,557307,34.8
2021-05-11,342.4,351.35,337.58,345.85,691.4,691.75,692.45,938596.0,3249.65,13440,156503,33.35
2021-05-12,350.0,355.12,317.48,323.32,653.9,691.7,666.88,1409480.0,4699.75,18356,272868,38.72
2021-05-14,332.45,335.72,307.25,323.95,647.75,646.65,643.99,1291314.0,4157.99,17725,273739,42.4
2021-05-17,324.0,328.5,313.8,323.7,635.5,647.9,644.89,2173164.0,7007.27,12730,730865,67.26
2021-05-18,323.92,323.92,307.25,316.42,635.0,647.4,627.1,1331362.0,4174.48,12191,280824,42.19
2021-05-19,311.75,321.0,311.75,317.15,636.0,632.85,633.27,676842.0,2143.11,7284,169255,50.01
2021-05-20,317.15,322.58,308.02,314.27,627.95,634.3,634.47,415756.0,1318.92,5670,121630,58.51
2021-05-21,318.45,328.45,314.25,322.18,645.05,628.55,643.32,1315414.0,4231.18,13264,370130,56.28
2021-05-24,324.48,326.0,319.0,322.1,647.0,644.35,645.9,601734.0,1943.29,4355,180609,60.03
2021-05-25,321.5,325.0,314.0,316.32,628.7,644.2,638.07,872216.0,2782.68,10629,361171,82.82
2021-05-26,310.0,314.85,309.0,312.55,628.0,632.65,625.07,481392.0,1504.52,5156,178278,74.07
2021-05-27,310.08,312.5,305.0,307.48,612.0,625.1,617.67,207686.0,641.41,3800,71804,69.15
2021-05-28,308.0,321.5,307.5,317.58,630.0,614.95,634.39,832566.0,2640.87,17790,264014,63.42
2021-05-31,317.42,320.75,310.98,315.58,632.0,635.15,629.97,471108.0,1483.92,4521,134877,57.26
