date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,1308.4,1318.9,1303.0,1309.95,1310.15,1298.2,1310.91,3123998,40952.86,73190,931657,29.82
2020-01-02,1312.0,1348.0,1311.0,1345.3,1344.9,1309.95,1334.29,4335359,57846.06,135378,2189407,50.5
2020-01-03,1344.95,1344.95,1330.15,1335.05,1335.0,1345.3,1335.87,2059871,27517.28,77644,996530,48.38
2020-01-06,1331.0,1332.0,1314.1,1316.75,1315.5,1335.05,1320.73,2646905,34958.35,118803,1392864,52.62
2020-01-07,1328.0,1339.5,1313.75,1320.5,1321.15,1316.75,1325.68,2077893,27546.27,70374,845249,40.68
2020-01-08,1302.0,1308.7,1283.35,1291.55,1291.5,1320.5,1294.04,4147568,53671.15,145613,1879175,45.31
2020-01-09,1311.0,1319.9,1305.1,1316.15,1316.1,1291.55,1314.28,2067779,27176.34,98843,979208,47.36
2020-01-10,1319.0,1335.95,1319.0,1324.6,1323.85,1316.15,1327.14,2360798,31331.16,93096,1104894,46.8
2020-01-13,1329.0,1339.4,1328.7,1334.7,1334.5,1324.6,1335.0,1825244,24367.05,62542,1037004,56.81
2020-01-14,1329.8,1331.0,1315.1,1326.1,1326.0,1334.7,1323.19,2046500,27079.13,103923,993250,48.53
2020-01-15,1325.6,1336.15,1320.0,1323.6,1323.5,1326.1,1326.8,2127677,28229.96,67695,1097069,51.56
2020-01-16,1327.7,1332.9,1317.4,1319.3,1319.0,1323.6,1324.35,1773135,23482.5,76644,1032840,58.25
2020-01-17,1320.6,1325.95,1302.0,1304.2,1304.0,1319.3,1311.6,2941837,38585.23,158742,1709372,58.11
2020-01-20,1313.95,1319.9,1306.5,1309.6,1311.1,1304.2,1312.97,2542477,33381.94,112596,1476266,58.06
2020-01-21,1304.75,1313.9,1300.45,1302.35,1302.1,1309.6,1306.33,1361576,17786.66,74036,642210,47.17
2020-01-22,1311.0,1312.0,1292.0,1294.2,1294.9,1302.35,1300.14,2449753,31850.17,95993,1200261,49.0
2020-01-23,1307.0,1339.85,1306.0,1332.3,1330.45,1294.2,1329.21,10056067,133666.14,219420,5967017,59.34
2020-01-24,1332.0,1367.85,1332.0,1359.2,1352.0,1332.3,1353.21,5837319,78991.35,146118,3094867,53.02
2020-01-27,1340.0,1364.9,1340.0,1348.6,1347.0,1359.2,1354.47,2510013,33997.35,71639,1102572,43.93
2020-01-28,1350.9,1355.0,1338.0,1346.65,1345.0,1348.6,1344.91,2352852,31643.67,118120,1338450,56.89
2020-01-29,1353.1,1374.95,1352.1,1365.7,1365.05,1346.65,1366.37,3678474,50261.43,108090,1738488,47.26
2020-01-30,1365.95,1376.8,1353.0,1370.2,1365.0,1365.7,1364.75,2743506,37441.93,76783,1428482,52.07
2020-01-31,1375.95,1377.0,1360.45,1369.3,1370.0,1370.2,1370.07,3939306,53971.32,127379,2034216,51.64
2020-02-03,1290.0,1303.9,1272.0,1286.65,1287.05,1287.4,1286.44,5767353,74193.34,248556,3051281,52.91
2020-02-04,1296.0,1307.3,1287.55,1291.75,1293.0,1286.65,1297.18,3604309,46754.44,117966,2029053,56.3
2020-02-05,1297.9,1325.0,1295.0,1310.05,1311.0,1291.75,1312.9,4220104,55405.9,111767,1998826,47.36
2020-02-06,1322.9,1325.0,1309.05,1317.6,1317.0,1310.05,1317.41,2354458,31017.77,85894,1201476,51.03
2020-02-07,1313.05,1314.4,1296.0,1299.0,1298.5,1317.6,1301.73,3053804,39752.35,89067,1798671,58.9
2020-02-10,1300.0,1302.45,1273.1,1285.3,1283.0,1299.0,1283.99,3039992,39033.27,120243,1489679,49.0
2020-02-11,1292.0,1298.95,1284.0,1286.9,1286.25,1285.3,1291.89,2200796,28431.82,114602,1193438,54.23
2020-02-12,1289.1,1299.85,1280.0,1297.3,1299.0,1286.9,1290.13,2568696,33139.57,127830,1455688,56.67
2020-02-13,1299.0,1299.85,1285.0,1292.25,1291.0,1297.3,1290.74,1545536,19948.9,79219,862882,55.83
2020-02-14,1295.0,1304.95,1290.6,1295.15,1293.2,1292.25,1297.12,1780119,23090.29,79043,993513,55.81
2020-02-17,1297.0,1297.85,1277.0,1280.2,1281.5,1295.15,1285.41,2155085,27701.6,70230,1360987,63.15
