date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,1750.1,1799.0,1750.1,1782.1,1774.5,1750.5,1785.78,96053,1715.29,9530,40993,42.68
2020-01-02,1786.9,1828.0,1782.5,1821.55,1822.9,1782.1,1816.34,136403,2477.54,13369,85238,62.49
2020-01-03,1821.45,1839.0,1791.25,1812.55,1815.05,1821.55,1816.83,103417,1878.91,9558,57623,55.72
2020-01-06,1802.0,1825.0,1778.0,1819.45,1820.0,1812.55,1814.82,121078,2197.34,9958,79049,65.29
2020-01-07,1816.0,1839.9,1805.8,1833.1,1832.35,1819.45,1820.1,320013,5824.57,9277,285854,89.33
2020-01-08,1827.0,1864.0,1801.0,1809.3,1805.0,1833.1,1822.29,104102,1897.04,15066,49479,47.53
2020-01-09,1795.9,1835.65,1795.9,1816.6,1810.0,1809.3,1818.25,90617,1647.65,14553,61204,67.54
2020-01-10,1821.5,1829.95,1801.0,1820.4,1816.1,1816.6,1818.16,83728,1522.31,8689,54353,64.92
2020-01-13,1830.0,1832.4,1815.05,1826.95,1822.2,1820.4,1824.66,40504,739.06,3668,24426,60.31
2020-01-14,1830.0,1894.0,1822.05,1877.95,1878.0,1826.95,1867.87,196390,3668.31,13056,98337,50.07
2020-01-15,1889.0,2003.0,1885.0,1933.6,1925.0,1877.95,1936.96,1110275,21505.58,56853,362313,32.63
2020-01-16,1945.0,1957.5,1887.05,1901.6,1897.0,1933.6,1914.17,377999,7235.55,24447,176511,46.7
2020-01-17,1905.0,1918.0,1882.7,1902.35,1895.0,1901.6,1898.87,133212,2529.52,13703,79399,59.6
2020-01-20,1921.0,1921.0,1875.05,1895.9,1895.0,1902.35,1898.3,90779,1723.25,11186,52214,57.52
2020-01-21,1897.0,1920.0,1895.1,1908.75,1907.0,1895.9,1911.94,104946,2006.51,7099,70864,67.52
2020-01-22,1915.0,1928.0,1902.0,1924.15,1926.0,1908.75,1917.2,142099,2724.32,8696,114154,80.33
2020-01-23,1919.0,1940.0,1919.0,1935.35,1929.2,1924.15,1927.69,167063,3220.46,13095,123353,73.84
2020-01-24,1925.0,1975.0,1922.0,1960.8,1973.0,1935.35,1948.81,122603,2389.3,14334,71672,58.46
2020-01-27,1950.0,1968.5,1940.0,1948.05,1946.0,1960.8,1957.48,75736,1482.52,9487,45021,59.44
2020-01-28,1949.9,1958.9,1924.3,1948.1,1954.0,1948.05,1949.25,45498,886.87,6912,29415,64.65
2020-01-29,1955.0,1965.0,1942.3,1958.4,1951.0,1948.1,1951.21,57942,1130.57,6914,40482,69.87
2020-01-30,1952.0,1965.0,1945.0,1949.8,1951.0,1958.4,1953.81,66300,1295.37,7466,50799,76.62
2020-01-31,1951.0,1954.85,1914.0,1940.25,1935.0,1949.8,1940.27,36496,708.12,7149,18882,51.74
2020-02-01,1940.0,1984.0,1910.05,1972.9,1972.6,1940.25,1955.3,84917,1660.38,5193,54073,63.68
