date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2022-12-05,5080.0,5107.75,4970.0,4975.4,4973.35,5065.75,5000.25,286244,14312.91,22091,176737,61.74
2022-12-06,4951.0,4951.0,4800.0,4815.55,4800.5,4975.4,4844.26,529007,25626.48,65605,240891,45.54
2022-12-07,4815.4,4815.4,4672.6,4687.6,4690.0,4815.55,4708.15,622933,29328.64,67202,291115,46.73
2022-12-08,4690.0,4698.85,4550.9,4558.8,4562.0,4687.6,4593.47,705770,32419.31,68360,416031,58.95
2022-12-09,4590.0,4606.05,4393.15,4401.75,4400.95,4558.8,4467.1,720644,32191.86,86983,340107,47.19
2022-12-12,4380.0,4390.0,4281.0,4330.95,4336.0,4401.75,4329.99,671381,29070.72,77193,288848,43.02
2022-12-13,4368.0,4380.95,4310.65,4317.8,4323.0,4330.95,4330.72,640427,27735.08,63663,350962,54.8
2022-12-14,4354.95,4465.0,4350.0,4443.15,4446.0,4317.8,4434.29,881860,39104.2,84340,375515,42.58
2022-12-15,4446.0,4450.0,4316.0,4331.3,4319.0,4443.15,4375.9,476697,20859.79,56069,231713,48.61
2022-12-16,4285.0,4388.95,4229.05,4336.35,4350.0,4331.3,4312.99,728348,31413.59,73753,261102,35.85
2022-12-19,4261.0,4380.0,4261.0,4372.6,4379.0,4336.35,4334.28,435967,18896.01,57912,231720,53.15
2022-12-20,4350.0,4370.0,4295.0,4362.2,4355.0,4372.6,4332.17,217063,9403.54,27437,61271,28.23
2022-12-21,4384.05,4456.4,4375.0,4424.25,4415.0,4362.2,4427.14,644975,28553.94,71257,341530,52.95
2022-12-22,4444.0,4474.0,4350.0,4378.5,4376.0,4424.25,4394.23,334180,14684.63,38192,137965,41.28
2022-12-23,4300.0,4343.3,4225.0,4266.55,4261.0,4378.5,4282.12,429859,18407.06,62768,211714,49.25
2022-12-26,4261.0,4354.45,4242.6,4348.95,4352.0,4266.55,4322.09,248624,10745.75,33149,130988,52.69
2022-12-27,4370.7,4415.6,4355.55,4390.45,4395.0,4348.95,4387.39,245105,10753.72,32207,119030,48.56
2022-12-28,4367.0,4395.0,4306.2,4332.0,4331.55,4390.45,4341.38,312640,13572.9,36369,157443,50.36
2022-12-29,4307.1,4455.0,4280.0,4420.2,4405.3,4332.0,4389.11,1092863,47966.97,52234,671125,61.41
2022-12-30,4430.0,4469.95,4354.15,4365.4,4358.0,4420.2,4406.78,317547,13993.6,26857,102814,32.38
2023-01-02,4365.4,4385.85,4294.7,4322.1,4322.0,4365.4,4334.56,268574,11641.5,26019,111505,41.52
2023-01-03,4334.0,4364.7,4318.65,4349.15,4346.0,4322.1,4346.32,191007,8301.78,20520,82323,43.1
2023-01-04,4311.0,4322.0,4265.2,4277.95,4269.9,4349.15,4286.36,428917,18384.93,50609,191303,44.6
2023-01-05,4290.0,4299.0,4250.05,4260.2,4260.0,4277.95,4268.32,218691,9334.44,22550,91839,41.99
2023-01-06,4250.0,4279.45,4180.0,4197.6,4208.0,4260.2,4231.27,264197,11178.89,27830,112940,42.75
2023-01-09,4230.15,4327.0,4230.15,4295.25,4296.95,4197.6,4280.5,388187,16616.33,35238,179634,46.28
2023-01-10,4296.0,4298.95,4215.05,4231.6,4240.0,4295.25,4236.26,225477,9551.78,26726,110520,49.02
2023-01-11,4252.8,4299.0,4211.0,4225.5,4223.0,4231.6,4257.39,243019,10346.26,30937,98409,40.49
2023-01-12,4255.0,4295.0,4241.0,4276.15,4273.9,4225.5,4270.32,252469,10781.23,30057,126586,50.14
2023-01-13,4273.9,4293.45,4146.5,4287.45,4288.0,4276.15,4219.32,437340,18452.77,40374,104195,23.82
2023-01-16,4298.5,4309.45,4211.7,4277.0,4276.0,4287.45,4266.13,347903,14841.98,46128,106777,30.69
