date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,341.85,346.85,341.0,345.75,345.05,341.6,344.7,1119565,3859.16,12561,538665,48.11
2020-01-02,345.75,347.4,336.1,337.2,337.5,345.75,340.77,2592967,8835.96,30523,1205317,46.48
2020-01-03,335.6,336.85,331.4,334.6,334.6,337.2,333.56,2007575,6696.48,29477,843010,41.99
2020-01-06,334.0,336.0,330.55,331.75,331.1,334.6,333.34,1812816,6042.89,20466,1061525,58.56
2020-01-07,331.1,336.1,331.1,332.65,333.0,331.75,333.91,1434983,4791.51,17401,733635,51.12
2020-01-08,332.0,334.6,329.3,333.5,333.15,332.65,331.92,954815,3169.19,28500,396118,41.49
2020-01-09,334.8,336.95,332.3,333.1,333.0,333.5,334.13,1728574,5775.66,17748,1103225,63.82
2020-01-10,334.4,339.2,333.55,338.1,338.0,333.1,337.25,1879696,6339.19,21946,1333473,70.94
2020-01-13,339.0,345.0,338.4,343.45,343.4,338.1,341.73,2539404,8678.02,24428,1803317,71.01
2020-01-14,345.0,345.55,342.15,344.6,344.6,343.45,344.39,1694366,5835.17,17534,1149773,67.86
2020-01-15,345.0,346.5,342.15,345.5,344.85,344.6,344.43,1239513,4269.24,29175,825356,66.59
2020-01-16,346.5,350.7,345.1,349.15,349.0,345.5,348.69,1173218,4090.89,20275,552517,47.09
2020-01-17,349.0,353.95,348.1,349.7,348.85,349.15,350.29,1641242,5749.14,38991,905080,55.15
2020-01-20,349.7,352.0,344.15,346.1,346.6,349.7,348.02,985024,3428.09,17811,373685,37.94
2020-01-21,344.0,345.0,336.0,336.75,336.5,346.1,338.39,1786886,6046.65,34906,1025124,57.37
2020-01-22,337.7,337.9,332.3,334.65,336.0,336.75,334.69,915121,3062.79,39401,549262,60.02
2020-01-23,334.7,335.8,332.0,333.3,333.9,334.65,333.61,1760568,5873.5,61094,1309114,74.36
2020-01-24,332.85,341.4,332.85,340.55,341.0,333.3,338.07,1786647,6040.18,35363,752096,42.1
2020-01-27,340.55,343.75,336.9,338.4,338.75,340.55,340.99,1145922,3907.52,16630,415818,36.29
2020-01-28,338.95,340.55,333.8,335.1,335.2,338.4,337.53,1064496,3593.04,23415,566408,53.21
2020-01-29,336.15,347.35,336.05,344.75,345.75,335.1,344.12,2105271,7244.57,43592,837689,39.79
2020-01-30,346.9,349.7,335.1,337.7,336.5,344.75,340.1,2483374,8445.92,48235,1007951,40.59
2020-01-31,340.75,341.15,313.0,315.35,317.15,337.7,324.48,6941813,22524.8,135477,2988408,43.05
2020-02-03,305.0,311.25,304.1,306.6,307.0,304.65,307.98,2920695,8995.17,48509,1664529,56.99
2020-02-04,309.0,311.5,304.0,307.25,307.6,306.6,307.53,3344060,10284.05,128361,2157185,64.51
2020-02-05,309.1,314.85,299.2,311.6,311.0,307.25,305.87,9183894,28090.79,136471,5810577,63.27
2020-02-06,311.0,311.9,303.25,305.95,306.3,311.6,306.42,3174813,9728.3,59328,1762073,55.5
2020-02-07,306.3,315.35,304.7,311.7,310.9,305.95,312.28,3502300,10936.94,44602,1600875,45.71
2020-02-10,313.6,313.95,307.0,308.65,308.8,311.7,309.72,1685622,5220.65,31213,899142,53.34
2020-02-11,309.0,311.4,304.0,304.9,305.4,308.65,308.12,1827686,5631.53,34251,1126150,61.62
2020-02-12,305.6,310.4,304.55,305.6,305.85,304.9,306.51,2739107,8395.66,32417,1626627,59.39
2020-02-13,306.2,307.1,302.5,303.4,303.45,305.6,304.08,1574245,4786.96,22221,974069,61.88
2020-02-14,304.4,305.4,300.9,302.2,301.9,303.4,302.25,2688377,8125.7,42414,1863006,69.3
2020-02-17,303.0,303.2,296.0,296.6,296.2,302.2,298.21,2862510,8536.2,40752,1666837,58.23
2020-02-18,298.0,301.0,292.15,299.75,300.0,296.6,295.76,2608197,7713.96,32595,1558560,59.76
2020-02-19,302.85,306.95,298.25,299.85,299.5,299.75,301.3,2530762,7625.15,57131,1384900,54.72
2020-02-20,300.0,307.0,297.0,306.2,306.95,299.85,303.73,3667812,11140.37,69958,2459144,67.05
2020-02-24,307.0,308.1,302.2,304.25,302.7,306.2,306.03,2922212,8942.9,49613,1677415,57.4
2020-02-25,304.2,307.2,301.35,305.95,305.8,304.25,305.02,2500345,7626.65,44738,1614770,64.58
2020-02-26,306.8,308.25,299.9,306.15,306.3,305.95,305.86,3773560,11541.77,70838,2326812,61.66
2020-02-27,306.8,307.9,302.0,306.4,306.0,306.15,305.68,2162147,6609.22,47696,1107113,51.2
2020-02-28,301.8,303.3,295.0,298.75,300.0,306.4,298.73,4184422,12500.16,68630,2275020,54.37
2020-03-02,302.0,311.4,290.0,291.25,291.6,298.75,299.13,4185685,12520.61,67318,2107972,50.36
2020-03-03,297.5,298.1,290.5,296.1,297.35,291.25,294.88,3970650,11708.51,66446,2037008,51.3
2020-03-04,298.35,301.25,292.25,295.05,295.0,296.1,295.72,2578871,7626.15,66675,1388301,53.83
2020-03-05,295.45,300.45,292.0,293.25,292.65,295.05,296.41,1666684,4940.17,43769,744225,44.65
2020-03-06,290.0,290.0,280.5,282.55,281.0,293.25,283.5,4709414,13351.08,87103,2844644,60.4
2020-03-09,281.9,281.9,262.25,266.05,267.6,282.55,269.5,4922160,13265.23,96949,2837721,57.65
2020-03-11,266.05,276.0,265.2,269.75,270.0,266.05,271.35,3271005,8875.95,57600,1775269,54.27
2020-03-12,260.0,263.6,248.3,259.85,260.5,269.75,257.78,7679029,19794.91,84452,5378370,70.04
2020-03-13,245.85,272.25,236.05,260.65,260.5,259.85,260.62,4096772,10677.06,67226,2022854,49.38
2020-03-16,250.0,271.55,246.65,252.5,255.55,260.65,258.29,4370511,11288.8,72503,2136295,48.88
2020-03-17,252.5,257.0,245.9,249.15,250.45,252.5,251.23,3816942,9589.15,70070,2083628,54.59
2020-03-18,253.5,253.95,241.5,248.85,248.7,249.15,247.57,3570030,8838.26,69844,2161402,60.54
2020-03-19,245.0,255.25,236.5,248.3,247.0,248.85,246.34,3059325,7536.24,52010,1199038,39.19
2020-03-20,250.55,260.9,247.8,255.9,255.0,248.3,255.67,3892214,9951.18,62860,1875670,48.19
2020-03-23,238.0,251.15,234.0,240.2,241.0,255.9,242.26,2700526,6542.38,52319,1323846,49.02
2020-03-24,243.0,256.75,240.0,249.3,243.0,240.2,249.59,3671728,9164.14,88947,1772877,48.28
2020-03-25,251.8,262.5,245.5,248.15,247.75,249.3,252.45,3178877,8025.07,74309,1531462,48.18
2020-03-26,251.8,271.0,249.15,266.85,267.95,248.15,261.96,3089947,8094.29,73456,1180797,38.21
2020-03-27,271.0,277.4,251.25,253.15,254.1,266.85,260.54,3045141,7933.68,77220,1169242,38.4
2020-03-30,251.0,262.85,247.2,258.7,260.9,253.15,259.13,2096890,5433.58,62062,876975,41.82
2020-03-31,265.4,280.8,259.3,274.85,276.0,258.7,270.81,3457799,9364.18,64713,1745823,50.49
2020-04-01,277.05,284.3,262.0,265.5,262.9,274.85,272.83,2864584,7815.47,50578,1147049,40.04
2020-04-03,263.0,275.7,257.0,261.15,261.0,265.5,265.14,3664064,9714.79,86124,1211769,33.07
2020-04-07,272.8,284.95,265.6,283.85,284.6,261.15,277.28,4852945,13456.14,99493,2346362,48.35
2020-04-08,284.0,305.65,278.0,289.45,287.0,283.85,294.33,5519404,16245.33,104115,1928189,34.93
2020-04-09,296.95,302.3,287.8,296.6,293.95,289.45,296.57,4448691,13193.42,69717,1420465,31.93
