date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,7377.0,7409.95,7282.05,7311.7,7308.0,7368.6,7339.1,634725,46583.07,42182,94094,14.82
2020-01-02,7327.6,7368.0,7312.0,7329.85,7316.45,7311.7,7339.32,616838,45271.74,51801,173302,28.1
2020-01-03,7328.95,7332.0,7226.0,7254.25,7250.35,7329.85,7275.61,571967,41614.07,42037,152281,26.62
2020-01-06,7200.0,7210.0,7026.5,7042.4,7032.0,7254.25,7074.03,748516,52950.28,64186,235356,31.44
2020-01-07,7100.0,7165.6,7026.4,7073.6,7075.0,7042.4,7089.61,590500,41864.15,50872,113291,19.19
2020-01-08,7060.0,7116.65,6980.45,7035.2,7035.0,7073.6,7034.09,793313,55802.33,54674,254739,32.11
2020-01-09,7140.0,7240.0,7102.0,7227.9,7240.0,7035.2,7180.72,798184,57315.37,60422,212618,26.64
2020-01-10,7261.4,7349.9,7234.4,7330.5,7329.0,7227.9,7299.43,747847,54588.58,59339,267982,35.83
2020-01-13,7332.0,7370.0,7279.8,7352.7,7364.0,7330.5,7325.48,537399,39367.03,45690,165929,30.88
2020-01-14,7355.0,7412.4,7325.6,7386.8,7390.0,7352.7,7377.09,548522,40464.95,46069,179085,32.65
2020-01-15,7388.95,7505.0,7353.0,7482.95,7482.0,7386.8,7419.98,692726,51400.15,46714,265556,38.33
2020-01-16,7456.5,7521.0,7421.2,7462.65,7469.9,7482.95,7466.23,640207,47799.33,45686,220985,34.52
2020-01-17,7469.0,7569.9,7432.55,7520.15,7550.85,7462.65,7499.26,750738,56299.78,49650,316998,42.22
2020-01-20,7521.25,7529.5,7421.05,7449.6,7440.0,7520.15,7468.19,407828,30457.38,37148,138592,33.98
2020-01-21,7411.5,7434.65,7287.8,7302.65,7297.9,7449.6,7350.84,442561,32531.96,36589,130675,29.53
2020-01-22,7340.0,7374.95,7107.95,7135.6,7145.0,7302.65,7165.57,1048435,75126.36,88307,445035,42.45
2020-01-23,7145.4,7220.0,7123.15,7147.1,7132.95,7135.6,7163.31,589326,42215.23,43298,148780,25.25
2020-01-24,7148.8,7210.0,7111.25,7128.45,7130.0,7147.1,7154.51,645723,46198.31,50530,245191,37.97
2020-01-27,7101.5,7225.0,7061.0,7148.8,7125.0,7128.45,7163.25,573149,41056.11,47664,127650,22.27
2020-01-28,7179.95,7219.95,6963.0,6997.05,6999.0,7148.8,7076.43,1614448,114245.31,151546,334719,20.73
2020-01-29,7010.0,7116.25,6975.0,7010.3,7022.0,6997.05,7043.38,1001252,70522.01,116694,314006,31.36
2020-01-30,7020.0,7049.0,6981.0,7020.45,7020.0,7010.3,7014.3,579174,40624.97,48242,158571,27.38
2020-01-31,7035.0,7064.0,6895.55,6913.5,6927.0,7020.45,6966.75,868935,60536.51,87940,337744,38.87
2020-02-03,6780.0,7044.85,6780.0,7011.3,7010.0,6812.65,6946.13,1010531,70192.76,115802,280991,27.81
2020-02-04,7020.0,7215.0,7001.0,7199.6,7196.3,7011.3,7133.75,973311,69433.62,77101,368821,37.89
2020-02-05,7215.0,7231.6,7025.6,7040.9,7050.0,7199.6,7100.88,718489,51019.03,67964,245611,34.18
2020-02-06,7075.0,7120.35,6976.8,7021.6,7014.2,7040.9,7040.99,875714,61658.91,66469,359122,41.01
2020-02-07,7039.0,7050.0,6935.0,6971.75,6970.0,7021.6,6976.03,645814,45052.15,55241,228690,35.41
2020-02-10,6975.0,6989.1,6851.1,6892.9,6894.6,6971.75,6899.4,593773,40966.75,53020,146478,24.67
2020-02-11,6950.0,7089.0,6912.3,7033.75,7026.0,6892.9,7035.67,743160,52286.27,62908,163459,22.0
2020-02-12,7056.1,7110.0,7007.95,7043.3,7048.0,7033.75,7061.19,599364,42322.22,42309,177690,29.65
2020-02-13,7050.0,7056.0,6925.0,7005.05,6995.0,7043.3,6971.87,723169,50418.44,49754,294135,40.67
2020-02-14,7000.05,7088.95,6901.0,6913.8,6915.0,7005.05,6988.3,614859,42968.19,57126,179738,29.23
2020-02-17,6920.0,6980.0,6880.0,6906.75,6925.0,6913.8,6927.1,463548,32110.43,33826,83770,18.07
2020-02-18,6925.0,6930.0,6735.8,6781.1,6795.0,6906.75,6786.65,830678,56375.21,72639,369879,44.53
2020-02-19,6850.0,6854.95,6624.6,6756.6,6763.0,6781.1,6734.72,1033939,69632.94,98165,306845,29.68
2020-02-20,6761.0,6807.55,6720.0,6757.6,6740.1,6756.6,6772.5,682513,46223.18,57024,293356,42.98
2020-02-24,6710.0,6710.0,6439.8,6470.4,6475.0,6757.6,6552.55,1091346,71511.0,116104,432890,39.67
2020-02-25,6505.4,6510.0,6376.55,6414.55,6411.25,6470.4,6447.27,964897,62209.56,120005,349731,36.25
2020-02-26,6350.0,6368.85,6186.05,6234.85,6260.0,6414.55,6285.0,1580738,99349.32,116894,784034,49.6
2020-02-27,6230.0,6338.05,6166.8,6289.8,6291.0,6234.85,6259.71,1492657,93435.94,143056,625297,41.89
2020-02-28,6163.05,6367.35,6103.2,6283.1,6294.05,6289.8,6235.61,1468843,91591.34,117164,580678,39.53
2020-03-02,6400.95,6439.55,6250.0,6285.15,6300.0,6283.1,6332.12,1219764,77236.95,96971,413139,33.87
2020-03-03,6318.0,6422.15,6280.5,6386.05,6386.1,6285.15,6344.8,849199,53880.01,90279,272466,32.09
2020-03-04,6390.0,6424.0,6209.0,6384.35,6380.0,6386.05,6334.46,904360,57286.34,82506,331340,36.64
2020-03-05,6411.9,6464.0,6330.2,6365.95,6348.0,6384.35,6390.88,645853,41275.68,65335,132462,20.51
2020-03-06,6196.4,6480.0,6100.15,6445.95,6393.1,6365.95,6331.23,1140899,72232.92,98103,436085,38.22
