date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2015-01-01,2780.0,2828.35,2755.0,2818.3,2827.0,2783.65,,90388,252915525.6,6057,,
2015-01-02,2820.0,2862.0,2791.45,2812.75,2804.8,2818.3,,221442,627354666.9,12936,,
2015-01-05,2833.0,2833.0,2775.0,2793.6,2795.05,2812.75,,109102,306123442.95,6359,,
2015-01-06,2798.0,2826.0,2752.75,2797.45,2802.45,2793.6,,180898,505496576.25,10036,,
2015-01-07,2781.0,2830.0,2753.05,2806.7,2813.0,2797.45,,165113,461790290.3,13578,,
2015-01-08,2809.0,2853.55,2802.65,2833.45,2833.0,2806.7,,260886,738334367.45,17595,,
2015-01-09,2845.0,2873.0,2831.6,2857.1,2853.0,2833.45,,541752,1546670847.05,10001,,
2015-01-12,2950.0,3143.65,2914.0,3044.75,3037.0,2857.1,,1548562,4691021947.75,76965,,
2015-01-13,3059.0,3138.8,3056.0,3104.05,3102.2,3044.75,,562862,1747496128.35,35025,,
2015-01-14,3112.0,3135.0,3040.15,3064.45,3056.95,3104.05,,289768,893694674.8,24509,,
2015-01-15,3090.0,3090.0,3020.65,3040.15,3024.65,3064.45,,218572,668454622.55,15320,,
2015-01-16,3050.0,3238.9,3040.5,3204.25,3229.15,3040.15,,706111,2228682802.75,53051,,
2015-01-19,3221.0,3414.0,3181.0,3373.25,3392.0,3204.25,,672768,2223835792.9,40868,,
2015-01-20,3385.0,3448.0,3300.0,3365.0,3362.0,3373.25,,681552,2304415487.15,47558,,
2015-01-21,3380.0,3404.9,3321.0,3339.3,3335.25,3365.0,,280371,940599915.95,23893,,
2015-01-22,3340.1,3575.0,3340.1,3549.05,3549.1,3339.3,,940200,3274610428.2,61239,,
2015-01-23,3550.15,3585.95,3450.0,3524.95,3502.65,3549.05,,489254,1719380659.65,36739,,
2015-01-27,3564.2,3579.95,3421.25,3494.25,3485.0,3524.95,,392231,1364281284.75,35304,,
2015-01-28,3502.0,3502.0,3430.2,3464.05,3445.0,3494.25,,234062,811236185.55,17263,,
2015-01-29,3464.0,3500.05,3384.05,3497.9,3490.1,3464.05,,350673,1212974303.5,30148,,
2015-01-30,3518.0,3574.95,3425.0,3451.35,3440.0,3497.9,,354124,1243588719.9,28035,,
2015-02-02,3460.5,3525.0,3250.5,3261.8,3259.0,3451.35,,533047,1778712906.7,50411,,
2015-02-03,3284.8,3398.0,3250.0,3369.7,3381.85,3261.8,,384305,1286758960.3,30895,,
2015-02-04,3390.0,3432.35,3351.05,3376.75,3384.0,3369.7,,261763,887738968.9,19065,,
2015-02-05,3399.5,3447.05,3351.1,3390.85,3391.0,3376.75,,198985,680307075.9,13726,,
2015-02-06,3408.0,3440.0,3342.0,3370.8,3357.0,3390.85,,125672,425834140.95,11842,,
2015-02-09,3354.95,3418.4,3340.1,3383.45,3365.1,3370.8,,128631,435860063.65,9024,,
2015-02-10,3379.8,3423.8,3290.05,3313.45,3302.5,3383.45,,175426,588517954.4,17875,,
2015-02-11,3326.0,3355.85,3274.0,3306.35,3315.0,3313.45,,175628,581385024.2,13581,,
2015-02-12,3322.0,3410.0,3322.0,3379.5,3405.0,3306.35,,164738,553771633.8,14945,,
