date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2022-06-09,54.67,55.42,54.44,55.29,124.25,124.0,124.12,6529086.220912146,3601.75,23652,2031805,70.02
2022-06-10,54.67,55.38,54.27,54.53,122.55,124.4,123.5,4437378.062620828,2435.69,16864,962350,48.8
2022-06-13,53.96,54.56,52.89,53.62,121.0,122.7,120.92,11549596.200400911,6206.83,27650,2909997,56.69
2022-06-14,53.11,54.31,52.91,53.42,120.4,120.65,120.76,7607699.1422989555,4083.18,27792,1397930,41.34
2022-06-15,53.78,54.4,53.42,53.71,120.25,120.2,121.48,4254984.245014691,2297.27,12439,766349,40.52
2022-06-16,54.53,54.8,52.0,52.16,117.35,120.85,119.89,8501823.498174377,4529.99,37075,1908442,50.51
2022-06-17,52.13,52.51,51.02,51.64,116.0,117.35,116.65,9665727.0842705,5011.13,27586,2376348,55.32
2022-06-20,51.64,52.36,49.78,50.2,113.2,116.2,115.32,11586244.16375294,5938.22,30484,2240962,43.52
2022-06-21,50.67,53.42,50.58,52.78,119.15,112.95,118.09,11081117.41887981,5815.99,27449,2364920,48.02
2022-06-22,52.44,52.67,50.8,51.38,115.85,118.75,115.81,10190712.309285143,5245.36,26574,1695906,37.44
2022-06-23,51.51,53.24,51.51,53.09,119.3,115.6,118.37,11007416.492580755,5790.95,35723,1777116,36.33
2022-06-24,53.73,54.67,52.96,54.36,122.95,119.45,121.63,12102789.647207327,6542.33,32238,2072620,38.53
2022-06-27,55.11,55.69,54.64,55.04,123.6,122.3,124.4,9985883.76411374,5521.11,28413,2083877,46.95
2022-06-28,54.76,55.53,54.02,55.31,124.55,123.85,123.39,12705156.794840029,6967.48,29359,2866797,50.77
2022-06-29,54.24,55.04,53.36,54.27,121.55,124.45,121.49,11866969.633027399,6407.68,27511,1104038,20.93
2022-06-30,54.24,54.82,52.11,52.51,117.8,122.1,119.66,18205229.044766404,9682.12,41154,3977057,49.15
2022-07-01,52.04,52.44,51.4,52.31,117.85,118.15,116.67,12737111.262885554,6604.78,25707,2879705,50.87
2022-07-04,52.36,52.84,51.58,52.16,117.4,117.7,117.14,6617722.632275714,3445.45,29416,1106876,37.63
2022-07-05,52.27,52.64,50.71,51.13,114.4,117.35,116.41,12597298.652698196,6517.42,53328,2948658,52.67
2022-07-06,51.07,52.0,50.51,51.87,116.9,115.05,115.95,12730910.269086547,6560.89,39713,3002789,53.07
2022-07-07,52.11,53.67,51.62,53.22,120.0,116.7,117.91,16538070.711925153,8666.71,48088,4511024,61.37
2022-07-08,53.56,53.78,52.27,52.89,118.9,119.75,118.81,9437014.812982827,4983.22,48428,1974257,47.07
2022-07-11,52.53,54.27,52.29,54.07,121.35,119.0,120.41,8102574.897423076,4336.11,31456,1406816,39.07
2022-07-12,53.78,53.78,52.49,52.67,118.25,121.65,119.1,7267092.2329059495,3846.71,41542,1544038,47.81
