date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,506.66,518.0,506.0,513.12,2553.0,2530.05,2566.07,303145.0,1555.78,4840,19299,31.83
2020-01-02,510.0,512.89,504.23,507.04,2534.95,2565.6,2535.22,940085.0,4766.65,18162,126690,67.38
2020-01-03,507.04,516.0,506.61,513.49,2565.0,2535.2,2567.6,625645.0,3212.82,12757,48503,38.76
2020-01-06,513.49,513.49,500.22,503.97,2518.9,2567.45,2526.44,414525.0,2094.55,12714,43782,52.81
2020-01-07,504.4,515.6,504.4,507.92,2536.15,2519.85,2554.42,578670.0,2956.33,16133,62030,53.6
2020-01-08,505.0,510.8,504.76,509.94,2549.95,2539.6,2546.53,445030.0,2266.56,13109,52702,59.21
2020-01-09,512.04,514.0,507.0,511.76,2563.0,2549.7,2556.56,414765.0,2120.74,13129,52286,63.03
2020-01-10,510.4,513.49,504.2,509.76,2547.0,2558.8,2536.55,679170.0,3445.5,11853,86633,63.78
2020-01-13,512.93,513.6,495.6,505.87,2495.05,2548.8,2532.05,3977580.0,20142.89,16086,81339,10.22
2020-01-14,501.8,510.4,501.12,509.17,2550.0,2529.35,2534.27,769115.0,3898.3,18786,109809,71.39
2020-01-15,508.0,511.6,498.69,504.38,2530.0,2545.85,2531.75,736480.0,3729.16,17442,88099,59.81
2020-01-16,507.36,524.0,494.0,516.17,2550.0,2521.9,2545.87,1626790.0,8283.19,38891,191094,58.73
2020-01-17,511.0,523.0,511.0,520.09,2595.1,2580.85,2592.21,777875.0,4032.83,24906,82663,53.13
2020-01-20,521.0,524.0,513.83,518.34,2586.95,2600.45,2596.82,278655.0,1447.24,9581,28954,51.95
2020-01-21,520.0,535.0,505.01,513.58,2545.0,2591.7,2614.05,1363470.0,7128.36,29978,105277,38.61
2020-01-22,513.96,514.88,500.94,506.36,2522.0,2567.9,2532.76,1216085.0,6160.1,19347,165661,68.11
2020-01-23,507.76,520.8,506.07,518.3,2587.15,2531.8,2569.24,796495.0,4092.78,17341,85403,53.61
2020-01-24,520.79,551.49,519.52,541.61,2696.0,2591.5,2689.65,4057170.0,21824.74,44041,579380,71.4
2020-01-27,541.6,550.0,534.22,540.0,2694.25,2708.05,2716.29,1105545.0,6005.96,24745,74085,33.51
2020-01-28,540.2,561.02,540.2,553.07,2762.5,2700.0,2761.93,2280180.0,12595.37,34642,248071,54.4
2020-01-29,556.0,569.97,556.0,566.57,2844.0,2765.35,2815.64,1264205.0,7119.08,22486,127088,50.26
2020-01-30,569.0,576.0,557.0,564.91,2850.0,2832.85,2817.89,994685.0,5605.82,24749,111486,56.04
2020-01-31,568.43,587.0,565.01,569.53,2840.0,2824.55,2880.51,1228710.0,7078.62,25608,102482,41.7
2020-02-03,535.22,584.85,535.12,562.22,2775.5,2676.1,2837.8,2464880.0,13989.65,47414,220549,44.74
2020-02-04,559.96,598.62,559.96,592.35,2960.0,2811.1,2929.19,2271985.0,13310.16,48613,194720,42.85
