date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,740.95,742.47,735.61,738.95,14766.05,14785.35,14774.53,477180.0,3525.05,5858,6540,27.41
2020-01-02,742.44,742.65,734.36,736.47,14729.0,14779.05,14742.53,922320.0,6798.66,12734,26831,58.18
2020-01-03,737.5,739.75,727.8,729.68,14586.2,14729.35,14624.11,800000.0,5849.64,12777,19845,49.61
2020-01-06,727.1,727.1,713.75,720.83,14374.0,14593.6,14374.36,1302720.0,9362.88,22616,37126,57.0
2020-01-07,721.18,727.34,713.04,714.54,14319.0,14416.65,14363.53,1444740.0,10375.78,17322,43123,59.7
2020-01-08,709.58,722.5,706.02,719.56,14386.0,14290.75,14300.66,789760.0,5647.04,12492,15245,38.61
2020-01-09,724.75,733.75,722.5,732.17,14654.95,14391.25,14607.71,1114160.0,8137.66,18285,36062,64.73
2020-01-10,732.17,735.94,728.51,734.29,14655.1,14643.45,14635.02,785480.0,5747.76,11367,23823,60.66
2020-01-13,737.4,737.4,730.05,732.91,14665.0,14685.85,14666.1,539800.0,3958.38,9595,14104,52.26
2020-01-14,732.9,744.75,730.35,743.43,14860.0,14658.25,14797.85,1007560.0,7454.86,15477,24962,49.55
2020-01-15,741.4,747.5,735.94,743.01,14822.8,14868.6,14837.54,829360.0,6152.83,12078,19325,46.6
2020-01-16,742.55,769.9,742.41,767.74,15368.45,14860.2,15192.01,4064160.0,30871.38,43878,115380,56.78
2020-01-17,769.95,780.0,767.93,771.97,15428.2,15354.9,15465.34,1927980.0,14908.44,25802,41658,43.21
2020-01-20,761.51,773.97,761.51,770.86,15403.85,15439.45,15395.95,1375400.0,10587.79,20790,38833,56.47
2020-01-21,768.05,775.08,760.0,764.04,15270.25,15417.25,15337.86,1265160.0,9702.42,18689,35411,55.98
2020-01-22,768.45,779.25,765.05,777.44,15561.8,15280.75,15484.83,1112540.0,8613.75,14173,23027,41.4
2020-01-23,775.0,781.25,772.75,777.44,15550.0,15548.7,15545.99,857220.0,6663.17,12672,20099,46.89
2020-01-24,780.0,792.5,775.01,787.78,15763.0,15548.85,15716.07,1012640.0,7957.36,12966,20922,41.32
2020-01-27,785.0,792.25,778.0,783.3,15634.95,15755.5,15751.5,627240.0,4939.99,10128,11863,37.83
2020-01-28,783.2,785.5,768.34,770.83,15425.0,15666.05,15478.84,1062140.0,8220.35,20635,23208,43.7
2020-01-29,779.25,795.0,772.0,793.34,15858.3,15416.65,15746.64,1285020.0,10117.38,19226,27103,42.18
2020-01-30,790.1,790.54,773.56,776.04,15623.0,15866.75,15627.43,945040.0,7384.27,14481,23453,49.63
2020-01-31,778.0,781.86,765.52,767.97,15363.75,15520.8,15436.18,1192980.0,9207.53,18075,34594,58.0
2020-02-03,779.45,825.0,776.5,815.05,16300.0,15524.75,16236.56,4075040.0,33082.32,49666,78876,38.71
