date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,119.05,122.0,118.25,121.55,121.5,119.05,120.67,9953746,12011.43,45323,4352709,43.73
2020-01-02,121.5,122.15,120.6,121.4,121.0,121.55,121.54,8731299,10611.95,46881,5298030,60.68
2020-01-03,121.0,121.35,119.1,119.35,119.25,121.4,120.14,7392962,8881.59,41213,4745388,64.19
2020-01-06,119.0,119.15,116.5,118.9,118.9,119.35,118.16,6596841,7794.95,70828,3010615,45.64
2020-01-07,119.25,121.55,119.25,120.55,120.75,118.9,120.43,8959942,10790.1,42114,4414186,49.27
2020-01-08,119.7,120.75,117.55,119.95,120.0,120.55,119.54,6372683,7617.63,40756,2881681,45.22
2020-01-09,120.5,121.2,118.9,119.35,119.75,119.95,119.61,8309627,9938.8,49139,4893728,58.89
2020-01-10,119.95,121.8,119.05,120.3,120.25,119.35,120.89,5588344,6755.77,42061,2437765,43.62
2020-01-13,120.4,122.0,120.1,121.75,121.85,120.3,121.2,3534313,4283.54,27480,1285095,36.36
2020-01-14,121.75,124.0,121.35,123.5,123.25,121.75,122.66,8631692,10587.74,54988,4501927,52.16
2020-01-15,123.0,125.0,122.35,123.85,123.5,123.5,123.63,6537916,8082.55,51381,3427113,52.42
2020-01-16,123.4,123.4,120.95,121.45,121.0,123.85,121.74,8806007,10720.14,67006,4541704,51.58
2020-01-17,121.45,121.7,120.6,121.2,121.1,121.45,121.11,6811534,8249.58,44643,4757346,69.84
2020-01-20,121.0,121.75,117.8,118.25,118.5,121.2,119.73,10655638,12757.88,55433,6331029,59.41
2020-01-21,118.4,119.55,116.95,117.15,117.5,118.25,118.34,5150830,6095.41,30246,3125514,60.68
2020-01-22,114.95,115.75,111.5,112.15,112.5,117.15,113.05,19388739,21919.5,101026,9074985,46.81
2020-01-23,112.6,114.45,112.3,113.5,113.55,112.15,113.47,22793170,25863.49,76112,14463739,63.46
2020-01-24,114.0,116.3,113.55,114.75,115.05,113.5,115.35,9898052,11417.21,70087,5031877,50.84
2020-01-27,115.0,115.3,112.6,113.15,113.15,114.75,113.89,5597365,6374.72,35352,2473992,44.2
2020-01-28,113.75,113.75,110.9,112.05,112.05,113.15,111.89,12128081,13569.68,61178,6266869,51.67
2020-01-29,112.1,114.9,111.75,113.2,113.65,112.05,113.13,18501507,20930.36,60935,9802461,52.98
2020-01-30,113.45,114.8,112.05,113.65,113.75,113.2,113.71,18545239,21088.43,59895,7568179,40.81
2020-01-31,113.75,115.25,111.5,112.85,112.85,113.65,113.36,64518347,73140.53,150514,37623195,58.31
2020-02-03,109.45,111.65,107.2,110.25,110.45,109.3,110.21,14889516,16410.19,99083,6229276,41.84
2020-02-04,110.35,112.3,110.25,112.0,112.1,110.25,111.41,9743806,10855.7,54271,5119480,52.54
2020-02-05,111.3,112.6,110.5,111.2,111.4,112.0,111.79,10671590,11929.33,56195,5265157,49.34
2020-02-06,110.5,112.5,110.5,112.0,112.3,111.2,111.46,11852617,13211.14,84060,6277336,52.96
2020-02-07,112.4,116.25,112.3,115.6,115.6,112.0,114.92,18446803,21199.03,74772,7348449,39.84
2020-02-10,115.8,115.9,112.05,113.5,113.9,115.6,113.61,31637511,35942.85,101379,18066568,57.1
2020-02-11,114.5,117.55,114.1,116.85,116.95,113.5,116.12,20937033,24311.84,61763,13062025,62.39
2020-02-12,117.0,118.9,116.4,116.8,116.75,116.85,117.66,13679292,16094.4,63218,7228145,52.84
2020-02-13,116.8,117.1,114.7,115.15,114.8,116.8,115.47,20903696,24136.66,82142,14102479,67.46
2020-02-14,114.8,115.5,111.9,112.7,113.2,115.15,113.28,23827224,26992.04,73287,15155739,63.61
2020-02-17,113.1,113.75,109.2,110.3,110.1,112.7,110.78,22137354,24524.19,112421,13184025,59.56
2020-02-18,109.6,110.9,103.8,109.6,110.3,110.3,108.01,34458578,37217.18,93216,21563155,62.58
2020-02-19,112.3,113.75,110.4,112.05,111.95,109.6,111.88,17935374,20066.48,68809,7006205,39.06
2020-02-20,111.7,112.4,110.95,111.35,111.55,112.05,111.58,19663654,21940.24,56206,12782909,65.01
2020-02-24,110.75,110.75,108.85,109.7,109.9,111.35,109.59,11370193,12460.11,68352,5998353,52.76
2020-02-25,110.9,112.45,109.65,110.1,110.5,109.7,110.84,10775289,11943.22,38175,4729706,43.89
2020-02-26,110.0,111.55,108.25,109.1,109.55,110.1,109.82,14998071,16471.62,60231,7792474,51.96
2020-02-27,109.2,110.3,106.65,109.05,108.75,109.1,108.08,22610691,24438.02,91836,12189874,53.91
2020-02-28,106.65,110.2,105.35,106.55,106.9,109.05,107.29,25696761,27570.71,91934,13867661,53.97
2020-03-02,109.35,110.0,102.7,103.9,104.45,106.55,107.62,15614944,16805.19,80012,5248938,33.61
2020-03-03,104.65,109.95,104.3,108.9,108.65,103.9,107.01,17194661,18400.0,70184,8998000,52.33
2020-03-04,108.65,111.0,107.5,107.95,108.0,108.9,108.7,17095867,18582.79,77430,7210058,42.17
2020-03-05,108.1,109.65,107.05,107.85,107.55,107.95,108.04,11579256,12510.12,88673,6071226,52.43
2020-03-06,104.75,107.2,102.9,105.15,104.75,107.85,105.88,13533444,14329.52,81720,8517653,62.94
2020-03-09,104.0,104.4,99.55,102.9,103.75,105.15,102.24,47383260,48442.38,127274,23993738,50.64
2020-03-11,103.0,104.8,101.5,103.05,102.7,102.9,102.8,28434592,29232.1,125434,15787286,55.52
2020-03-12,99.0,100.0,93.25,94.35,94.5,103.05,95.79,47225243,45235.97,151982,26659561,56.45
2020-03-13,90.0,100.75,81.25,98.05,99.5,94.35,95.82,49533058,47462.78,143855,24918923,50.31
2020-03-16,96.0,96.0,88.25,90.8,91.9,98.05,91.96,34649741,31864.34,127274,20956877,60.48
2020-03-17,91.0,95.9,86.35,88.1,88.05,90.8,91.4,21246111,19418.88,117164,9987727,47.01
2020-03-18,89.0,90.35,74.9,80.55,82.15,88.1,82.37,88659790,73027.03,172480,50923230,57.44
