date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,94.12,95.08,93.8,94.72,118.3,117.9,118.16,5303993.75,5013.84,16263,1069444,25.2
2020-01-02,94.96,96.24,94.48,95.88,119.65,118.4,119.24,3532470.0,3369.72,17065,497395,17.6
2020-01-03,95.64,97.0,94.48,95.0,118.3,119.85,119.75,4023042.5,3854.15,12766,617958,19.2
2020-01-06,93.84,94.48,89.44,90.32,113.0,118.75,113.73,6095156.25,5545.6,21727,1763684,36.17
2020-01-07,91.2,95.04,91.2,93.56,117.0,112.9,116.31,6868918.75,6391.22,28598,1390955,25.31
2020-01-08,91.28,93.28,90.88,92.84,115.7,116.95,115.01,4670546.25,4297.44,15124,963434,25.78
2020-01-09,93.76,95.92,93.32,95.6,119.8,116.05,118.55,4195928.75,3979.58,20929,1170299,34.86
2020-01-10,96.0,98.24,95.68,97.32,122.0,119.5,121.58,5908780.0,5747.35,23597,1504558,31.83
2020-01-13,97.88,100.32,97.48,100.0,124.65,121.65,124.19,7479786.25,7431.61,36799,2260838,37.78
2020-01-14,99.96,99.96,97.8,98.2,122.65,125.0,123.16,4173391.25,4111.87,23063,1016905,30.46
2020-01-15,98.32,100.4,96.96,99.72,124.75,122.75,123.45,5571898.75,5502.73,19732,1514941,33.99
2020-01-16,99.72,100.04,97.76,98.68,122.85,124.65,123.33,2526996.25,2493.17,10788,465863,23.04
2020-01-17,98.4,98.72,97.28,97.56,122.1,123.35,122.32,2376240.0,2325.2,9141,437322,23.0
2020-01-20,93.56,93.84,89.36,89.88,112.3,121.95,114.49,20355078.75,18643.59,53495,5919000,36.35
2020-01-21,89.68,90.12,84.96,85.32,106.2,112.35,109.27,17281817.5,15106.89,49064,5015500,36.28
2020-01-22,85.48,89.52,83.08,87.08,108.5,106.65,108.44,55396931.25,48058.37,99332,21218338,47.88
2020-01-23,87.2,92.92,86.48,90.48,115.2,108.85,113.05,117047862.5,105855.5,147743,63639158,67.96
2020-01-24,92.44,94.68,91.36,93.08,116.7,113.1,116.83,17205997.5,16081.18,40431,4986628,36.23
2020-01-27,92.36,94.96,92.0,92.68,115.95,116.35,117.22,8428286.25,7903.96,30985,1782759,26.44
2020-01-28,93.04,93.92,89.52,92.8,116.3,115.85,115.38,14436988.75,13325.92,28930,4014018,34.75
2020-01-29,93.36,95.6,93.28,94.48,118.1,116.0,118.36,14457568.75,13689.66,33690,5796570,50.12
2020-01-30,94.8,96.24,93.24,95.6,119.1,118.1,118.8,13260225.0,12602.05,41018,5284561,49.82
2020-01-31,96.0,96.16,91.8,93.32,116.55,119.5,116.71,11819966.25,11036.44,37776,3953901,41.81
2020-02-03,88.36,91.68,86.68,91.16,113.8,110.2,112.23,7970361.25,7156.27,41527,2343684,36.76
2020-02-04,92.0,93.6,91.68,92.84,116.7,113.95,116.0,5882866.25,5459.1,26419,1553062,33.0
2020-02-05,93.84,99.64,93.84,98.32,122.3,116.05,121.76,17587030.0,17130.66,54354,4554014,32.37
2020-02-06,98.92,99.6,97.36,98.96,123.05,122.9,123.3,9040215.0,8917.38,27431,2527900,34.95
2020-02-07,98.36,100.8,98.08,100.28,125.15,123.7,124.85,8022180.0,8012.73,21216,2187667,34.09
2020-02-10,100.52,102.0,99.88,100.6,125.8,125.35,126.12,7633955.0,7702.1,39363,1666987,27.3
2020-02-11,101.32,102.4,99.4,100.28,125.05,125.75,126.35,5772480.0,5834.78,17691,1206762,26.13
2020-02-12,99.6,101.88,97.32,101.32,126.5,125.35,125.02,20897085.0,20899.61,45398,3377955,20.21
2020-02-13,101.2,101.76,97.68,100.84,125.8,126.65,124.92,17967361.25,17955.48,56040,5941521,41.34
2020-02-14,101.12,104.56,100.8,101.32,126.65,126.05,128.42,17472148.75,17949.54,53746,5751854,41.15
2020-02-17,101.92,104.12,100.52,101.16,126.3,126.65,127.45,9984415.0,10180.43,31999,3487882,43.67
2020-02-18,100.84,102.6,98.52,102.12,128.0,126.45,125.58,8987817.5,9029.73,45066,3070027,42.7
2020-02-19,102.8,104.48,101.8,103.68,129.7,127.65,129.11,7014566.25,7245.27,26682,1628359,29.02
2020-02-20,103.4,106.72,102.68,105.8,132.25,129.6,131.66,10927207.5,11509.39,35236,2789201,31.91
2020-02-24,105.32,106.52,103.2,103.52,129.8,132.25,131.49,7594113.75,7988.51,18970,2146799,35.34
2020-02-25,104.0,104.76,101.96,103.08,128.7,129.4,129.19,5362185.0,5542.08,14851,933481,21.76
2020-02-26,102.32,104.2,101.4,101.76,127.3,128.85,128.56,8984063.75,9239.73,20494,2552220,35.51
2020-02-27,101.96,102.28,97.76,100.08,124.6,127.2,124.66,15337908.75,15295.9,33288,5944034,48.44
2020-02-28,89.6,89.6,86.92,87.56,109.7,125.1,110.28,23459037.5,20696.87,44849,7792449,41.52
2020-03-02,88.16,91.44,88.08,89.28,112.4,109.45,112.46,14195683.75,12771.31,37195,4296109,37.83
2020-03-03,89.76,91.88,88.28,90.6,113.75,111.6,113.23,21216558.75,19219.3,34286,10319691,60.8
2020-03-04,90.6,91.68,88.84,90.84,113.5,113.25,112.9,11307250.0,10212.84,36379,4095516,45.28
2020-03-05,91.2,92.4,90.16,90.44,113.1,113.55,114.12,6124545.0,5591.38,17202,1526419,31.15
2020-03-06,87.2,89.68,86.4,88.4,110.5,113.05,110.64,9508072.5,8415.48,36005,3733037,49.08
2020-03-09,85.6,86.68,82.16,83.44,103.95,110.5,104.91,7412792.5,6221.56,29962,1833736,30.92
2020-03-11,82.4,85.0,81.6,82.24,102.65,104.3,104.17,9161998.75,7635.26,38146,2940258,40.11
