date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,694.02,706.0,693.5,702.68,1405.0,1386.9,1402.91,505046.0,3542.67,8995,88057,34.87
2020-01-02,702.5,705.5,697.75,699.52,1396.0,1405.35,1402.15,412824.0,2894.2,13354,91234,44.2
2020-01-03,697.75,701.45,695.78,698.82,1397.0,1399.05,1395.93,487864.0,3405.12,12089,125618,51.5
2020-01-06,693.68,697.45,690.98,693.85,1388.0,1397.65,1387.72,1578998.0,10956.04,23554,567320,71.86
2020-01-07,695.05,715.92,695.0,699.85,1400.0,1387.7,1411.24,1727370.0,12188.66,26743,281457,32.59
2020-01-08,696.05,703.65,694.5,701.78,1403.6,1399.7,1398.78,519582.0,3633.9,17112,103341,39.78
2020-01-09,705.28,712.72,703.55,707.2,1415.0,1403.55,1415.39,1021788.0,7231.15,16693,306096,59.91
2020-01-10,710.0,716.42,704.58,707.58,1416.7,1414.4,1421.11,5168956.0,36728.19,23210,352989,13.66
2020-01-13,709.95,717.2,707.55,712.75,1422.85,1415.15,1424.01,594534.0,4233.1,14440,117926,39.67
2020-01-14,712.75,715.85,708.5,713.6,1426.8,1425.5,1424.3,571640.0,4070.93,16790,150560,52.68
2020-01-15,713.4,719.35,707.55,716.02,1433.0,1427.2,1424.22,784918.0,5589.48,15599,218877,55.77
2020-01-16,715.62,728.0,715.02,726.32,1452.9,1432.05,1448.11,1138358.0,8242.34,24724,238114,41.83
2020-01-17,726.75,727.6,717.1,723.92,1447.1,1452.65,1442.75,979182.0,7063.59,32716,268162,54.77
2020-01-20,725.0,732.5,719.1,720.2,1442.35,1447.85,1451.51,652618.0,4736.41,14837,121970,37.38
2020-01-21,719.62,720.0,706.25,707.38,1416.0,1440.4,1421.29,470402.0,3342.89,17207,121764,51.77
2020-01-22,711.82,722.48,709.4,714.28,1429.05,1414.75,1432.29,697620.0,4995.98,19706,180386,51.71
2020-01-23,714.52,723.5,710.0,722.2,1441.5,1428.55,1432.63,417130.0,2987.96,12531,81579,39.11
2020-01-24,720.0,730.75,718.05,728.8,1457.5,1444.4,1448.87,1003996.0,7273.28,19480,306772,61.11
2020-01-27,729.1,740.85,725.5,738.35,1465.55,1457.6,1472.49,1534176.0,11295.32,21636,397937,51.88
2020-01-28,737.0,739.55,726.05,730.8,1463.0,1476.7,1468.26,612014.0,4492.97,24350,130200,42.55
2020-01-29,733.1,754.95,733.1,748.35,1508.5,1461.6,1484.5,1269956.0,9426.28,25050,274014,43.15
2020-01-30,767.5,772.5,747.5,760.42,1522.1,1496.7,1520.34,5117712.0,38903.27,80612,423882,16.57
2020-01-31,764.9,769.0,752.62,756.02,1505.7,1520.85,1521.53,1539330.0,11710.66,38391,370896,48.19
2020-02-03,742.75,787.2,742.75,781.92,1564.0,1485.5,1544.14,2304190.0,17789.97,45458,354774,30.79
2020-02-04,785.0,787.0,772.95,778.5,1557.85,1563.85,1556.07,1204662.0,9372.69,31856,276146,45.85
2020-02-05,779.32,781.0,771.05,775.48,1551.4,1557.0,1550.8,906316.0,7027.55,16297,277036,61.13
2020-02-06,775.65,779.38,761.75,775.2,1556.0,1550.95,1537.64,1468834.0,11292.66,34365,362444,49.35
2020-02-07,770.5,789.95,770.5,779.45,1553.9,1550.4,1563.84,1064264.0,8321.67,20746,125266,23.54
2020-02-10,779.45,790.9,773.5,787.98,1581.0,1558.9,1568.48,801762.0,6287.75,18284,136192,33.97
2020-02-11,793.0,799.5,787.02,791.68,1583.4,1575.95,1585.9,1106824.0,8776.54,25081,190725,34.46
2020-02-12,791.68,799.0,790.2,794.62,1593.0,1583.35,1590.43,660122.0,5249.4,17605,143609,43.51
2020-02-13,795.0,796.5,787.55,789.0,1577.0,1589.25,1580.04,491938.0,3886.4,11857,141324,57.46
2020-02-14,791.05,803.5,789.3,791.68,1581.05,1578.0,1597.03,984192.0,7858.91,24741,192202,39.06
2020-02-17,791.05,803.0,787.55,789.2,1582.9,1583.35,1590.37,723906.0,5756.38,15196,174629,48.25
2020-02-18,802.5,802.5,783.75,789.92,1580.0,1578.4,1578.91,744788.0,5879.75,19285,140919,37.84
2020-02-19,791.45,799.4,788.3,796.88,1590.1,1579.85,1588.21,460266.0,3654.98,16086,86103,37.41
2020-02-20,795.05,798.9,785.85,787.65,1574.95,1593.75,1584.93,538030.0,4263.69,18038,145876,54.23
2020-02-24,788.0,791.98,775.75,777.75,1557.8,1575.3,1567.48,584382.0,4580.04,16748,122525,41.93
