date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,107.18,110.19,107.02,109.97,195.45,190.25,193.78,13620376.888888888,14846.13,27168,3762688,49.11
2020-01-02,110.0,110.64,109.32,109.74,195.2,195.5,195.15,5673694.222222223,6227.97,26046,1098914,34.43
2020-01-03,109.27,109.58,107.58,108.56,192.95,195.1,193.03,7358270.222222223,7989.38,38139,2581533,62.37
2020-01-06,108.0,109.1,105.75,108.62,192.6,193.0,191.21,7355292.444444444,7911.03,59715,1890738,45.7
2020-01-07,108.65,109.41,107.52,107.83,191.3,193.1,192.89,14023715.555555554,15216.03,36312,5176365,65.62
2020-01-08,107.04,107.41,106.23,107.18,190.6,191.7,189.98,9451760.0,10100.57,29676,3614753,67.99
2020-01-09,107.97,108.79,107.52,108.53,192.5,190.55,192.53,7714856.888888889,8355.04,43492,2561083,59.02
2020-01-10,108.96,108.96,107.44,108.08,192.4,192.95,192.34,4118640.0,4456.03,22092,1061714,45.83
2020-01-13,108.22,109.69,107.89,109.58,195.0,192.15,193.67,27682645.333333332,30157.06,31280,13951418,89.6
2020-01-14,109.58,110.45,109.27,109.83,195.3,194.8,195.17,5994316.444444444,6580.91,35338,2167894,64.29
2020-01-15,109.91,110.14,108.51,109.27,194.3,195.25,194.08,7114592.0,7767.02,28478,2356838,58.89
2020-01-16,109.18,111.21,109.18,110.5,196.0,194.25,196.59,8552346.666666666,9457.11,31171,2417208,50.25
2020-01-17,110.22,111.29,108.93,111.04,197.3,196.45,196.38,4698387.555555555,5189.93,29672,1204134,45.56
2020-01-20,114.98,118.69,114.33,115.12,203.25,197.4,205.51,49337840.0,57033.8,162397,15162237,54.63
2020-01-21,114.55,114.92,111.94,112.84,201.05,204.65,201.51,17283914.666666668,19590.73,96666,6044830,62.18
2020-01-22,112.78,113.82,108.59,112.53,198.85,200.6,199.06,56787068.44444445,63585.1,125793,17438108,54.59
2020-01-23,110.67,116.66,109.07,113.6,197.55,200.05,201.63,226059317.33333334,256388.71,166985,89372584,70.28
2020-01-24,110.5,111.46,109.27,110.78,197.0,201.95,196.58,16151683.555555554,17859.89,72650,3236209,35.62
2020-01-27,110.48,110.5,108.17,108.56,192.45,196.95,194.24,8213921.777777777,8974.47,76355,1941608,42.02
2020-01-28,108.56,108.56,106.37,107.13,190.2,193.0,190.6,9174577.777777778,9836.42,65371,2402541,46.55
2020-01-29,107.13,109.01,106.45,108.22,193.6,190.45,191.88,17600096.0,18995.86,71608,5846163,59.05
2020-01-30,108.22,109.83,107.66,109.35,194.0,192.4,194.01,26386040.88888889,28794.83,69866,9538597,64.27
2020-01-31,109.86,109.97,104.12,105.1,187.3,194.4,187.47,63986378.666666664,67476.0,161904,18392034,51.1
2020-02-03,101.76,106.31,99.82,105.38,187.7,182.4,184.34,16329301.333333334,16931.96,62147,3240361,35.28
2020-02-04,105.95,109.86,105.75,109.32,192.7,187.35,191.59,14207384.888888888,15311.6,47585,3742211,46.83
2020-02-05,109.18,110.08,105.75,106.51,189.9,194.35,192.56,14550348.444444446,15760.37,77848,5023412,61.38
2020-02-06,106.85,108.98,106.12,108.51,192.45,189.35,192.03,9175644.444444444,9911.36,58008,2472297,47.9
2020-02-07,108.45,108.45,106.06,107.1,190.5,192.9,190.01,18058462.22222222,19301.28,78987,6187839,60.92
2020-02-10,107.27,107.49,103.92,104.96,188.1,190.4,187.86,30471818.666666668,32199.3,82901,12422696,72.48
2020-02-11,106.03,107.55,105.81,106.59,189.6,186.6,189.74,32456579.555555556,34639.81,139891,12309176,67.42
2020-02-12,106.9,107.94,106.06,106.51,189.05,189.5,189.9,16386956.444444446,17504.16,42903,6382260,69.24
2020-02-13,106.2,107.52,105.58,107.18,190.15,189.35,189.91,18581118.22222222,19849.12,50545,7404879,70.85
2020-02-14,107.16,107.66,103.16,103.56,184.9,190.55,187.03,23830636.444444444,25071.35,93433,8924205,66.58
2020-02-17,104.06,104.51,101.56,103.28,182.9,184.1,183.2,17670296.888888888,18209.66,91130,6243795,62.82
2020-02-18,102.71,104.82,101.73,104.06,185.2,183.6,183.07,30879888.0,31799.83,79557,13897783,80.01
2020-02-19,104.62,105.72,102.94,105.47,187.7,185.0,185.46,22313744.0,23278.0,61429,8720479,69.48
2020-02-20,105.47,107.27,104.57,106.45,189.85,187.5,187.7,25907664.0,27354.32,77993,11316616,77.65
2020-02-24,106.31,106.42,104.09,104.68,185.7,189.25,186.19,14921456.0,15627.24,57387,6011871,71.63
2020-02-25,104.68,105.58,104.26,104.71,186.25,186.1,186.25,17807432.888888888,18655.59,61854,7010391,69.99
2020-02-26,104.06,105.98,103.47,104.54,185.75,186.15,186.34,17113660.444444444,17938.34,48232,5539059,57.54
2020-02-27,104.12,105.58,101.98,104.88,186.8,185.85,184.32,28472053.333333332,29519.74,53137,10303917,64.34
2020-02-28,103.19,104.23,100.77,102.09,181.85,186.45,182.1,28010977.777777776,28692.15,68419,10218858,64.86
2020-03-02,103.36,105.3,102.23,103.22,183.25,181.5,184.89,19540023.111111112,20321.53,51460,6624157,60.27
2020-03-03,103.39,109.52,102.4,107.83,191.2,183.5,188.1,16039310.222222222,16970.51,36781,4677285,51.84
2020-03-04,107.27,111.38,106.06,110.84,196.35,191.7,194.52,16939249.77777778,18534.44,77004,4230953,44.4
2020-03-05,110.28,112.25,109.43,110.22,197.0,197.05,197.2,9715267.555555556,10776.59,44139,2227912,40.77
2020-03-06,107.16,108.34,105.83,107.21,191.65,195.95,191.05,14371985.777777778,15444.59,58682,5258130,65.04
2020-03-09,104.01,106.09,100.1,101.78,180.6,190.6,181.64,69609399.11111112,71122.64,168813,26188644,66.88
2020-03-11,100.97,103.44,99.7,102.04,180.4,180.95,180.97,42604611.55555556,43369.25,106763,16105694,67.2
2020-03-12,99.11,100.07,92.67,93.43,165.6,181.4,170.77,58420423.11111111,56117.5,141595,21573190,65.65
2020-03-13,91.58,97.09,84.09,94.44,169.0,166.1,166.54,44617552.0,41798.03,178521,15415522,61.42
2020-03-16,91.35,91.63,87.19,88.85,158.25,167.9,157.3,39669262.222222224,35099.71,80171,12871551,57.68
2020-03-17,88.06,95.82,87.61,91.12,161.15,157.95,164.9,35461112.88888889,32892.28,98486,12028808,60.3
2020-03-18,92.25,92.76,68.71,81.08,154.6,162.0,146.37,119909091.55555557,98724.84,125525,41215537,61.11
2020-03-19,81.79,85.44,78.81,82.77,147.45,144.15,147.95,44039799.11111111,36650.86,181433,12377421,49.96
2020-03-20,83.39,91.04,83.39,88.45,154.7,147.15,156.95,131485971.55555557,116082.94,229475,55806012,75.45
2020-03-23,79.62,87.67,79.62,86.06,153.25,157.25,150.76,39665630.222222224,33638.28,86833,12740811,57.1
2020-03-24,85.53,88.42,81.79,82.86,148.8,153.0,151.77,42303395.55555556,36115.35,137499,16073896,67.55
2020-03-25,83.53,88.28,83.45,84.52,149.8,147.3,151.88,23309690.666666668,19914.03,75865,7255372,55.34
2020-03-26,84.71,90.96,82.83,89.07,160.3,150.25,155.27,25329127.11111111,22121.59,85004,7893874,55.4
2020-03-27,89.21,93.52,88.12,90.0,160.0,158.35,161.14,28883756.444444444,26180.32,131687,10867134,66.89
2020-03-30,87.19,89.94,86.09,87.55,155.15,160.0,155.52,22364343.111111112,19564.56,96217,7293551,57.98
2020-03-31,89.1,91.01,87.98,89.49,158.8,155.65,158.68,24838538.666666668,22170.82,146428,8826845,63.18
2020-04-01,89.44,91.1,86.15,86.96,156.0,159.1,156.66,14182120.888888888,12497.82,66828,5121053,64.19
2020-04-03,86.93,90.25,85.36,87.86,156.45,154.6,157.33,21066833.77777778,18643.75,94229,7133447,60.2
2020-04-07,90.56,91.07,87.98,88.88,157.55,156.2,158.14,24742017.777777776,22008.37,77258,8772501,63.03
2020-04-08,88.82,91.52,87.33,89.07,157.5,158.0,158.96,21481274.666666668,19207.45,67470,5968174,49.39
2020-04-09,90.51,93.77,89.07,92.5,164.45,158.35,162.18,15607834.666666666,14238.65,47107,3899158,44.41
2020-04-13,92.25,92.76,88.45,89.97,160.45,164.45,160.62,14901280.0,13462.71,63147,3884123,51.76
2020-04-15,90.82,92.19,89.13,89.75,159.4,159.95,161.19,25250568.88888889,22895.05,104254,9063745,63.81
2020-04-16,88.99,93.77,88.59,91.91,162.5,159.55,163.79,31150769.777777776,28700.61,86146,9764722,55.73
2020-04-17,94.3,97.45,92.39,94.36,167.8,163.4,169.43,18536348.444444444,17665.82,65663,4310273,41.34
2020-04-20,95.18,95.18,91.21,93.09,165.7,167.75,164.41,24177048.88888889,22359.12,121054,8947808,65.79
2020-04-21,92.25,93.38,91.21,91.49,162.2,165.5,163.55,13915895.111111112,12801.83,62008,4705633,60.12
2020-04-22,90.0,91.55,88.09,91.24,162.15,162.65,159.87,19702483.555555556,17717.54,106178,7107858,64.14
2020-04-23,90.84,91.07,88.65,88.88,158.15,162.2,159.41,32128757.333333332,28808.44,80734,13435815,74.34
2020-04-24,88.31,90.06,87.61,89.52,158.85,158.0,158.75,33134296.88888889,29587.57,73949,13629735,73.13
2020-04-27,90.84,90.84,88.68,89.78,159.55,159.15,159.25,9762003.555555556,8744.78,46399,2721731,49.57
2020-04-28,90.03,90.22,88.2,88.42,157.6,159.6,157.87,26134743.11111111,23207.53,65090,11211984,76.27
2020-04-29,89.72,90.34,87.75,88.9,157.95,157.2,158.47,14509354.666666666,12933.5,75614,4643755,56.9
2020-04-30,89.78,91.94,88.42,91.15,162.9,158.05,161.11,18703319.111111112,16949.4,71609,5383179,51.17
2020-05-04,90.51,90.84,88.65,89.47,159.2,162.05,158.78,12598389.333333334,11251.86,45488,4235704,59.77
2020-05-05,90.82,93.29,90.11,92.05,163.65,159.05,163.67,18305550.22222222,16852.54,64290,3881526,37.7
2020-05-06,91.63,93.74,91.52,93.04,165.6,163.65,165.29,12853777.777777778,11950.98,59075,3334368,46.12
2020-05-07,92.05,92.81,90.56,90.98,161.2,165.4,162.11,8561365.333333334,7806.93,36293,2634565,54.71
2020-05-08,91.46,91.46,88.93,89.44,158.65,161.75,159.49,30898775.11111111,27719.61,58498,11631531,66.92
2020-05-11,89.61,91.35,89.07,89.32,158.8,159.0,160.06,9453424.0,8511.39,51990,2715259,51.06
2020-05-12,89.16,92.81,88.71,91.86,164.4,158.8,160.45,19987813.333333332,18039.5,74240,5487715,48.81
2020-05-13,96.44,96.69,91.15,93.74,166.3,163.3,167.48,27175824.0,25601.85,108625,8823750,57.72
