date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,107.48,108.22,106.16,107.96,143.8,143.1,143.33,2890349.3333333335,3107.01,8670,606363,27.97
2020-01-02,107.96,109.43,107.62,109.09,145.7,143.95,144.86,3444722.6666666665,3742.51,11728,773087,29.92
2020-01-03,108.75,109.46,106.72,107.25,143.1,145.45,144.23,3914476.0,4234.5,15960,874809,29.8
2020-01-06,106.5,107.59,103.39,104.18,138.7,143.0,139.85,3722916.0,3904.95,12937,507776,18.19
2020-01-07,105.07,107.93,104.02,105.56,140.65,138.9,141.16,5335773.333333333,5649.07,17097,691093,17.27
2020-01-08,104.32,105.38,102.52,103.95,138.7,140.75,138.36,3418026.6666666665,3546.87,14637,535151,20.88
2020-01-09,104.89,107.29,104.89,106.84,142.65,138.6,141.95,3309452.0,3523.23,18648,808027,32.55
2020-01-10,107.25,108.49,106.09,106.69,142.8,142.45,143.35,4769208.0,5127.67,23095,1142606,31.94
2020-01-13,107.29,108.3,106.2,107.55,143.5,142.25,143.42,5338916.0,5742.97,26692,1353142,33.79
2020-01-14,108.0,108.26,106.24,106.69,142.0,143.4,142.54,4207445.333333333,4497.87,25306,1334659,42.3
2020-01-15,106.5,107.25,104.21,106.8,142.3,142.25,141.03,6015736.0,6363.12,35684,1286648,28.52
2020-01-16,106.84,107.62,104.51,105.79,141.1,142.4,140.95,4434098.666666667,4687.55,26063,1294919,38.94
2020-01-17,105.64,106.5,104.51,105.75,140.3,141.05,140.7,3268230.6666666665,3448.85,10455,929433,37.92
2020-01-20,105.6,105.6,102.52,102.9,137.15,141.0,138.39,4389937.333333333,4556.42,18670,708826,21.53
2020-01-21,102.0,103.5,100.54,100.8,134.3,137.2,135.57,4125210.6666666665,4194.55,24692,856611,27.69
2020-01-22,101.55,102.15,97.28,101.7,135.6,134.4,133.73,9429809.333333334,9458.06,34523,2235458,31.61
2020-01-23,101.85,104.85,101.25,104.18,139.2,135.6,138.43,5985386.666666667,6214.05,38984,1387046,30.9
2020-01-24,104.25,106.88,103.57,106.09,142.0,138.9,140.72,5654260.0,5967.45,27888,1712356,40.38
2020-01-27,105.64,109.65,105.45,108.07,143.75,141.45,144.37,7087981.333333333,7674.91,35730,1406714,26.46
2020-01-28,108.15,109.65,106.05,108.71,144.6,144.1,144.52,6845188.0,7419.47,35077,1601155,31.19
2020-01-29,108.9,110.93,108.71,110.29,147.6,144.95,146.83,6727885.333333333,7408.95,34480,1525815,30.24
2020-01-30,110.7,111.6,109.24,111.0,148.0,147.05,147.49,6855936.0,7584.11,31201,1582198,30.77
2020-01-31,111.75,111.98,106.76,107.78,143.5,148.0,144.47,9384174.666666666,10167.7,38528,2926293,41.58
2020-02-03,104.36,105.68,102.07,103.35,138.05,139.45,137.88,6234290.666666667,6447.11,41920,1547779,33.1
2020-02-04,103.72,107.1,103.72,106.69,142.35,137.8,140.49,5918053.333333333,6235.51,32813,1495435,33.69
2020-02-05,110.55,115.12,107.4,113.21,151.0,142.25,148.61,29261334.666666668,32614.1,100219,6308306,28.74
2020-02-06,114.34,115.09,112.57,114.52,152.45,150.95,151.94,13756842.666666666,15676.96,68703,4966800,48.14
2020-02-07,115.12,116.62,113.48,116.29,155.35,152.7,154.15,8511052.0,9839.84,30612,2200420,34.47
2020-02-10,117.0,117.38,113.7,115.39,154.9,155.05,154.19,15533206.666666666,17963.04,47763,4881355,41.9
2020-02-11,107.51,109.12,105.94,106.43,141.85,153.85,142.84,13928954.666666666,14922.37,38386,3107676,29.75
2020-02-12,106.09,107.06,103.91,106.43,141.75,141.9,140.7,11201810.666666666,11820.35,42750,3759383,44.75
2020-02-13,106.16,106.72,104.93,105.52,140.75,141.9,140.9,3975770.6666666665,4201.53,16740,1125069,37.73
2020-02-14,105.75,107.89,104.25,104.74,139.1,140.7,141.7,5602588.0,5954.27,26078,1104967,26.3
2020-02-17,104.89,105.98,103.28,103.57,137.9,139.65,139.39,3362370.6666666665,3515.08,13123,789647,31.31
2020-02-18,103.28,103.28,100.57,102.71,137.2,138.1,135.96,4285136.0,4369.7,17436,931714,28.99
2020-02-19,103.01,104.06,102.22,102.9,137.1,136.95,137.5,2678910.6666666665,2762.65,11020,571901,28.46
2020-02-20,102.68,106.05,102.19,104.96,140.2,137.2,139.65,4946008.0,5180.38,23226,1590438,42.87
2020-02-24,103.76,105.79,101.93,102.15,136.2,139.95,138.64,4457902.666666667,4635.28,17037,1430744,42.79
2020-02-25,102.38,102.75,99.98,100.39,133.55,136.2,134.61,3532992.0,3566.7,14068,664522,25.08
2020-02-26,99.38,100.31,96.98,97.31,129.3,133.85,131.51,5176909.333333333,5106.07,18776,1612877,41.54
