date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,751.87,756.38,745.68,747.71,1511.8,1514.05,1515.23,12926120.269329,97010.63,122265,1523290,23.79
2020-01-02,748.9,763.24,748.9,760.44,1534.1,1509.6,1530.86,16346616.731105076,123947.1,151727,3386321,41.82
2020-01-03,759.3,763.59,754.35,761.36,1536.0,1535.3,1532.73,19368869.68635487,147042.83,149003,5288843,55.13
2020-01-06,752.86,756.78,741.97,743.7,1499.9,1537.15,1512.57,22631192.901343618,169549.37,225138,6398638,57.08
2020-01-07,752.37,760.05,749.64,755.14,1526.95,1501.5,1523.12,15398978.407244021,116170.96,180713,3049916,39.99
2020-01-08,750.39,760.02,747.91,749.47,1514.0,1524.6,1518.24,14812208.63912135,111386.44,169662,2863686,39.03
2020-01-09,762.08,767.72,758.44,766.73,1549.5,1513.15,1541.76,13829066.938553013,105604.32,154953,2657056,38.79
2020-01-10,768.66,771.66,762.6,766.56,1546.85,1548.0,1549.42,11517521.527139843,88389.54,136340,2546462,44.64
2020-01-13,765.27,772.03,761.98,764.6,1539.85,1547.65,1548.94,16874632.802010883,129461.47,143022,5030540,60.19
2020-01-14,762.77,767.72,753.78,757.52,1529.1,1543.7,1533.76,14598657.392919514,110902.63,173502,3796096,52.5
2020-01-15,760.71,762.72,752.0,754.77,1524.1,1529.4,1526.75,14599878.862519054,110405.51,212172,3990113,55.18
2020-01-16,757.32,764.43,756.83,761.73,1538.7,1523.85,1535.41,11858676.976812268,90185.08,164724,2552659,43.46
2020-01-17,769.46,785.03,769.31,783.08,1581.0,1537.9,1573.0,27194774.936655194,211879.07,279304,5551881,41.22
2020-01-20,796.95,796.95,756.03,758.98,1532.2,1581.0,1557.85,30039809.814154916,231791.01,338270,5239886,35.22
2020-01-21,757.12,765.67,753.85,759.75,1535.0,1532.35,1535.68,17465664.59050484,132848.92,233395,3328773,38.48
2020-01-22,764.75,766.11,758.36,759.48,1535.25,1533.9,1538.16,9527957.521123348,72589.54,143828,2043807,43.31
2020-01-23,761.04,763.74,753.21,756.26,1529.6,1533.35,1528.79,10381659.785384763,78611.87,149239,2364600,45.99
2020-01-24,756.33,760.96,752.15,753.63,1524.05,1526.85,1525.74,13502050.251865013,102035.95,152146,3325568,49.73
2020-01-27,750.34,755.07,745.43,746.2,1508.0,1521.55,1513.43,12356889.189489305,92628.15,130826,2671210,43.64
2020-01-28,747.22,747.91,724.93,728.97,1473.5,1506.55,1485.82,22643246.080697753,166639.89,271852,6064582,54.07
2020-01-29,730.1,740.18,725.15,732.98,1480.0,1471.75,1479.34,22841071.66291477,167361.73,254760,4513527,39.9
2020-01-30,732.56,732.9,713.24,715.1,1443.0,1479.85,1452.4,20677675.371740647,148751.17,231136,4854357,47.4
2020-01-31,719.68,719.8,696.99,699.2,1410.0,1443.75,1425.75,32074525.797236048,226503.75,330774,8885318,55.93
2020-02-03,678.52,693.4,675.13,686.25,1386.0,1383.35,1380.77,28347434.409101464,193868.93,370104,6963618,49.6
2020-02-04,693.43,709.52,692.34,706.5,1427.5,1385.5,1419.31,23429333.441011094,164705.99,286666,5299061,45.66
2020-02-05,710.71,719.58,708.43,717.45,1446.3,1426.4,1442.46,17049743.087592494,121813.51,242039,3774342,44.69
2020-02-06,720.22,726.61,713.29,722.06,1455.0,1448.5,1452.93,14342102.340981819,103212.04,163247,2877846,40.51
2020-02-07,718.69,719.36,707.44,710.09,1432.0,1457.8,1437.06,11269098.838089662,80211.39,134128,2493746,44.68
2020-02-10,707.3,715.96,698.6,711.06,1442.2,1433.65,1424.41,13976501.347654475,98606.59,143055,3096467,44.73
2020-02-11,716.9,726.22,715.74,719.55,1454.5,1435.6,1457.22,12921825.94562946,93265.5,224142,2779570,43.43
2020-02-12,721.24,730.5,720.67,728.25,1473.15,1452.75,1465.86,12491476.968736434,90693.81,192511,3063711,49.52
2020-02-13,731.94,731.94,724.43,730.15,1470.45,1470.3,1470.71,12521099.120743785,91209.66,116464,2969412,47.88
2020-02-14,731.69,743.68,719.73,736.82,1485.85,1474.15,1483.41,19593291.002513602,143959.62,229509,3144368,32.4
2020-02-17,737.51,746.0,730.23,732.18,1478.5,1487.6,1487.62,12136643.078507183,89426.11,150631,2236062,37.2
2020-02-18,731.02,731.02,721.86,726.81,1466.9,1478.25,1465.63,10270366.743723564,74556.03,142911,2468083,48.52
2020-02-19,732.73,746.15,730.62,744.84,1504.5,1467.4,1497.34,12999905.10897326,96412.69,249278,2453851,38.11
2020-02-20,741.47,746.92,734.93,736.0,1487.0,1503.8,1495.83,15591558.736536074,115516.7,176470,4689093,60.72
2020-02-24,727.97,731.57,713.02,715.69,1447.1,1485.95,1462.78,19724700.941843916,142910.05,237165,6097347,62.41
2020-02-25,718.89,718.89,698.38,701.55,1420.0,1444.95,1432.47,25608683.538425818,181695.72,281387,8329207,65.67
2020-02-26,698.38,699.54,687.16,689.46,1389.5,1416.4,1399.83,27101807.976903122,187908.09,268512,8145083,60.68
2020-02-27,687.48,690.36,678.07,686.62,1380.45,1392.0,1381.33,23125750.800012115,158221.76,240043,6101634,53.27
2020-02-28,671.09,672.13,656.28,658.09,1327.0,1386.25,1338.96,36288442.47483873,240662.01,373466,9944010,55.32
2020-03-02,671.19,678.07,644.44,651.9,1322.0,1328.65,1343.4,27228947.820030082,181179.91,274282,7208383,53.45
2020-03-03,658.61,670.59,654.79,665.12,1346.35,1316.15,1339.28,25289082.484529734,167755.19,275521,6009681,47.98
2020-03-04,669.65,670.54,647.81,663.56,1349.0,1342.85,1331.24,20403149.5745046,134532.13,297606,4158028,41.15
2020-03-05,669.75,672.6,646.87,649.42,1309.9,1339.7,1327.07,28161080.54633004,185103.67,319378,6943317,49.78
2020-03-06,629.04,638.03,614.72,629.53,1269.85,1311.15,1271.62,31136507.808320127,196109.75,389652,9634796,62.47
2020-03-09,614.2,614.67,542.36,551.84,1104.5,1271.0,1143.56,81399961.6397977,461059.53,846382,19195053,47.61
2020-03-11,548.8,583.69,548.8,571.36,1152.0,1114.15,1157.92,54991625.362150595,315389.88,490124,12424367,45.61
