date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,965.0,980.0,961.6,976.4,975.75,961.6,971.17,349251,3391.83,12529,143439,41.07
2020-01-02,975.7,975.7,966.0,969.35,969.75,976.4,969.21,335765,3254.27,19727,211012,62.85
2020-01-03,970.0,982.8,969.0,975.1,975.1,969.35,975.03,451217,4399.49,30280,274008,60.73
2020-01-06,966.1,1003.1,958.0,983.1,985.0,975.1,982.87,895840,8804.9,47128,457122,51.03
2020-01-07,990.0,1003.0,980.0,984.9,984.95,983.1,990.02,570304,5646.14,41261,351822,61.69
2020-01-08,978.0,992.3,975.2,987.75,986.0,984.9,984.01,368547,3626.55,30370,225954,61.31
2020-01-09,996.8,998.0,979.75,988.5,989.0,987.75,988.93,614382,6075.79,38413,399816,65.08
2020-01-10,989.0,997.0,983.3,989.0,987.4,988.5,989.79,351231,3476.44,21548,244535,69.62
2020-01-13,993.0,997.95,980.0,989.85,989.8,989.0,988.07,332236,3282.74,22764,176541,53.14
2020-01-14,993.0,994.0,984.0,987.8,989.0,989.85,988.77,369532,3653.83,34353,274530,74.29
2020-01-15,988.0,1002.0,981.0,998.15,998.0,987.8,993.05,533340,5296.31,26025,380132,71.27
2020-01-16,1000.0,1003.0,992.0,999.9,1000.0,998.15,998.87,465355,4648.29,34429,331661,71.27
2020-01-17,999.8,1009.8,985.25,996.35,993.1,999.9,995.75,372188,3706.08,25450,221837,59.6
2020-01-20,1000.0,1001.0,975.5,981.5,980.0,996.35,986.71,341082,3365.5,27166,236758,69.41
2020-01-21,980.0,987.0,970.2,972.75,972.75,981.5,974.27,355550,3464.02,35107,234617,65.99
2020-01-22,980.0,992.6,972.0,981.7,980.0,972.75,982.82,1299987,12776.59,51797,660495,50.81
2020-01-23,985.4,1004.0,980.2,985.95,986.5,981.7,990.81,1151390,11408.09,36265,735138,63.85
2020-01-24,986.0,1020.0,977.0,999.8,999.5,985.95,1000.36,1388247,13887.42,55074,662190,47.7
2020-01-27,999.8,1014.7,987.35,992.15,991.0,999.8,1002.88,740311,7424.42,25400,393915,53.21
2020-01-28,993.0,1007.0,975.75,987.85,985.0,992.15,996.14,578382,5761.51,36769,354377,61.27
2020-01-29,992.0,1012.15,988.0,1007.8,1012.0,987.85,1001.99,538017,5390.88,36392,280155,52.07
