date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,686.3,690.6,685.06,687.91,3441.0,3436.1,3439.71,532860.0,3665.77,4662,15352,14.41
2020-01-02,688.2,693.9,687.0,692.66,3458.2,3439.55,3456.5,762515.0,5271.26,7288,26664,17.48
2020-01-03,691.64,695.17,687.06,690.53,3470.0,3463.3,3448.8,609280.0,4202.57,5751,12306,10.1
2020-01-06,690.0,690.0,676.81,681.74,3404.15,3452.65,3411.9,749325.0,5113.24,7576,10899,7.27
2020-01-07,683.1,689.8,677.62,683.54,3412.0,3408.7,3415.8,769295.0,5255.51,9188,30994,20.14
2020-01-08,677.6,698.51,676.2,693.11,3465.45,3417.7,3436.14,995530.0,6841.55,14381,39029,19.6
2020-01-09,694.98,703.2,691.64,699.23,3500.0,3465.55,3494.85,1325260.0,9263.17,13175,26788,10.11
2020-01-10,703.6,703.6,696.0,699.04,3500.0,3496.15,3495.93,951355.0,6651.74,11048,45092,23.7
2020-01-13,700.4,708.72,700.25,708.02,3540.0,3495.2,3533.4,1099235.0,7768.07,10771,51337,23.35
2020-01-14,704.24,712.49,704.24,708.3,3539.2,3540.1,3543.21,705350.0,4998.41,6703,34783,24.66
2020-01-15,704.0,716.1,704.0,714.33,3570.5,3541.5,3553.37,666315.0,4735.33,7701,28951,21.72
2020-01-16,712.4,719.36,712.01,714.98,3579.0,3571.65,3580.54,521905.0,3737.4,6106,16393,15.7
2020-01-17,715.78,731.0,714.2,724.54,3636.8,3574.9,3620.82,974630.0,7057.92,12721,31996,16.41
2020-01-20,727.0,728.97,720.4,723.23,3615.0,3622.7,3620.08,420230.0,3042.54,6760,13347,15.88
2020-01-21,723.0,729.4,720.42,721.92,3613.0,3616.15,3621.86,470245.0,3406.32,6886,13903,14.78
2020-01-22,725.8,727.72,720.18,722.08,3606.15,3609.6,3622.2,456595.0,3307.76,9687,19816,21.7
2020-01-23,722.2,732.6,721.48,727.36,3641.1,3610.4,3642.61,822140.0,5989.47,15206,28440,17.3
2020-01-24,725.04,745.35,725.04,732.07,3664.15,3636.8,3686.26,1464915.0,10800.12,19519,47171,16.1
2020-01-27,730.0,742.51,729.17,734.72,3686.85,3660.35,3684.04,764240.0,5630.99,10000,22288,14.58
2020-01-28,737.94,757.0,736.66,752.97,3780.95,3673.6,3737.37,1537685.0,11493.79,20129,58253,18.94
2020-01-29,756.19,760.77,750.2,753.26,3751.0,3764.85,3777.93,1419640.0,10726.59,24568,75414,26.56
2020-01-30,753.9,764.8,748.35,760.45,3816.0,3766.3,3774.86,768170.0,5799.46,8404,26118,17.0
2020-01-31,763.2,772.2,754.4,756.81,3776.0,3802.25,3821.44,1572660.0,12019.66,21987,54388,17.29
2020-02-03,737.63,762.81,737.63,757.88,3800.0,3688.15,3753.67,1189275.0,8928.29,17865,29617,12.45
2020-02-04,769.99,780.0,728.26,748.18,3768.0,3789.4,3737.82,5338865.0,39911.39,62364,209769,19.65
2020-02-05,760.0,799.55,755.0,797.41,3980.55,3740.9,3919.48,5149255.0,40364.84,69190,211764,20.56
2020-02-06,798.0,811.0,795.41,801.72,4011.1,3987.05,4018.52,3154720.0,25354.64,43983,191557,30.36
2020-02-07,799.82,824.8,796.93,821.98,4122.0,4008.6,4076.74,2106415.0,17174.61,31417,69740,16.55
2020-02-10,824.4,834.7,818.0,826.86,4128.75,4109.9,4137.06,2542210.0,21034.53,30990,93815,18.45
2020-02-11,830.6,839.01,821.2,831.75,4165.0,4134.3,4147.05,1318975.0,10939.7,16839,28667,10.87
2020-02-12,832.8,836.73,827.82,832.71,4167.0,4158.75,4161.13,801775.0,6672.58,10651,21942,13.68
2020-02-13,832.0,834.0,824.04,829.83,4154.8,4163.55,4146.49,962810.0,7984.56,9983,34619,17.98
2020-02-14,830.0,846.0,829.83,838.59,4190.0,4149.15,4198.66,1395295.0,11716.75,15586,24104,8.64
2020-02-17,840.2,843.4,828.2,830.43,4157.2,4192.95,4177.96,849260.0,7096.35,12837,29596,17.42
2020-02-18,831.44,834.96,824.49,832.76,4165.0,4152.15,4155.92,1226355.0,10193.27,11096,79216,32.3
2020-02-19,833.0,836.0,828.76,832.43,4162.0,4163.8,4161.66,732710.0,6098.58,9219,41642,28.42
2020-02-20,834.0,852.0,831.0,833.36,4161.0,4162.15,4207.85,1589730.0,13378.69,23229,49538,15.58
2020-02-24,827.11,832.0,810.01,812.42,4065.95,4166.8,4101.15,953070.0,7817.36,12410,43061,22.59
2020-02-25,813.9,827.63,806.59,823.95,4117.0,4062.1,4089.8,1236165.0,10111.35,13508,43909,17.76
2020-02-26,821.6,833.1,819.83,825.02,4127.3,4119.75,4133.63,1044725.0,8637.01,13176,41281,19.76
2020-02-27,824.96,834.29,818.2,828.74,4145.75,4125.1,4123.52,834235.0,6879.98,10996,31275,18.74
2020-02-28,815.2,819.79,769.21,778.76,3935.0,4143.7,3938.52,2509525.0,19767.61,29543,143519,28.59
2020-03-02,800.0,803.8,777.09,781.48,3915.1,3893.8,3971.72,1396940.0,11096.5,16751,49344,17.66
2020-03-03,788.8,801.18,775.0,799.39,3995.0,3907.4,3945.39,1145930.0,9042.28,13331,42413,18.51
2020-03-04,794.42,803.19,777.98,791.35,3976.1,3996.95,3938.06,1282720.0,10102.86,17991,68952,26.88
2020-03-05,795.6,801.86,782.61,786.18,3931.0,3956.75,3948.8,1059880.0,8370.51,12991,79703,37.6
2020-03-06,770.0,783.54,748.03,777.47,3904.0,3930.9,3817.47,2443515.0,18656.11,30528,125774,25.74
2020-03-09,768.0,769.19,737.61,745.34,3722.0,3887.35,3748.55,1594700.0,11955.63,28173,65799,20.63
2020-03-11,733.02,750.94,728.0,743.64,3723.95,3726.7,3715.33,1474185.0,10954.17,28344,68701,23.3
2020-03-12,719.6,725.94,665.52,674.31,3382.45,3718.2,3440.86,2608900.0,17953.72,34373,158045,30.29
2020-03-13,613.0,718.23,580.07,711.5,3556.6,3371.55,3433.11,1558775.0,10702.88,32185,88050,28.24
2020-03-16,699.61,699.61,625.02,629.59,3140.95,3557.5,3261.49,1534365.0,10008.62,30596,83324,27.15
