date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,432.95,436.45,431.25,434.3,433.7,432.55,434.19,2321850,10081.34,26860,535495,23.06
2020-01-02,434.0,442.6,432.0,434.95,434.65,434.3,436.67,4555670,19893.31,55381,1473154,32.34
2020-01-03,434.65,450.4,433.05,444.6,443.15,434.95,444.26,9457180,42014.74,140147,2419437,25.58
2020-01-06,440.9,444.7,435.1,439.95,439.0,444.6,439.9,4794923,21092.77,54273,1170220,24.41
2020-01-07,441.4,448.0,437.55,446.4,447.05,439.95,443.49,4504083,19975.0,63835,1419164,31.51
2020-01-08,442.95,446.5,439.0,440.1,439.1,446.4,441.78,3881918,17149.47,61787,1589497,40.95
2020-01-09,442.7,444.85,439.0,439.85,439.95,440.1,441.6,3934566,17375.06,52598,1855620,47.16
2020-01-10,440.1,449.0,440.0,443.6,444.75,439.85,445.53,4334013,19309.32,50131,862079,19.89
2020-01-13,447.0,453.65,442.55,444.6,444.8,443.6,447.4,4823348,21579.44,105783,1247523,25.86
2020-01-14,447.0,449.5,444.4,446.0,446.6,444.6,446.99,2708589,12107.09,38098,779995,28.8
2020-01-15,447.6,450.7,443.65,449.05,448.5,446.0,447.29,3054107,13660.77,47457,1198618,39.25
2020-01-16,452.25,456.35,447.4,449.05,448.2,449.05,451.34,4416809,19934.7,62319,996699,22.57
2020-01-17,448.2,456.25,446.0,454.6,454.75,449.05,451.53,3216737,14524.67,49212,805184,25.03
2020-01-20,454.2,456.2,446.15,449.45,449.3,454.6,450.14,2824739,12715.34,37371,676054,23.93
2020-01-21,448.0,451.75,446.0,447.4,448.0,449.45,448.84,2573651,11551.68,64119,943823,36.67
2020-01-22,448.4,453.85,445.35,446.3,447.0,447.4,449.22,3412716,15330.74,52067,1467113,42.99
2020-01-23,447.2,452.2,445.0,449.85,450.0,446.3,449.65,1875787,8434.52,33288,591225,31.52
2020-01-24,450.0,452.85,446.8,447.8,447.4,449.85,450.39,2153164,9697.54,51893,592641,27.52
2020-01-27,447.0,451.75,442.2,448.4,448.75,447.8,447.56,3530914,15802.92,68219,1241630,35.16
2020-01-28,448.25,462.5,448.05,452.9,452.9,448.4,457.01,9487290,43357.77,123740,2912794,30.7
2020-01-29,454.85,456.75,449.45,450.1,450.45,452.9,452.84,3103817,14055.26,52139,981819,31.63
2020-01-30,451.5,453.75,440.3,442.1,441.95,450.1,443.15,3486193,15449.2,53746,1295651,37.17
2020-01-31,442.6,445.4,432.65,434.3,435.5,442.1,437.61,3757229,16442.09,61041,1553410,41.34
2020-02-03,423.8,428.9,414.0,417.55,417.3,422.8,419.66,4032780,16924.04,59911,1237089,30.68
2020-02-04,416.95,426.9,412.85,425.65,423.95,417.55,421.27,4848610,20425.9,73352,902311,18.61
2020-02-05,429.5,431.4,421.9,426.25,427.5,425.65,426.39,3826307,16315.06,46001,1075226,28.1
2020-02-06,428.2,438.0,424.0,430.65,428.8,426.25,429.78,7745520,33288.85,90969,2586044,33.39
2020-02-07,432.0,441.75,423.2,430.8,430.35,430.65,434.3,7402556,32149.34,82235,1626411,21.97
2020-02-10,428.55,432.75,418.3,420.3,419.95,430.8,422.73,3638523,15381.13,47171,1150389,31.62
2020-02-11,422.0,424.7,416.8,418.55,419.0,420.3,420.29,4683072,19682.31,52542,1885064,40.25
2020-02-12,418.8,421.3,414.0,414.6,414.6,418.55,416.65,4439987,18499.16,47834,2155826,48.55
2020-02-13,414.6,420.1,412.0,418.95,418.65,414.6,417.18,3924569,16372.7,62025,1239331,31.58
2020-02-14,420.0,424.75,416.5,418.55,417.6,418.95,420.9,2862205,12047.08,41695,597121,20.86
2020-02-17,416.2,418.5,407.3,408.4,407.65,418.55,412.46,2625157,10827.71,41610,798134,30.4
2020-02-18,407.0,410.85,399.05,408.65,406.1,408.4,404.78,4187206,16949.04,58541,1271500,30.37
