date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-02-27,359.63,361.16,355.83,358.84,363.0,365.65,362.83,1850469.210497275,6631.72,25087,956756,52.35
2020-02-28,353.56,353.56,337.36,341.9,348.8,363.3,346.51,4550512.643727037,15574.23,36885,3022910,67.26
2020-03-02,346.74,350.89,329.5,334.64,338.0,346.15,348.01,3884863.468806538,13353.81,48165,2115419,55.13
2020-03-03,336.42,353.31,336.42,350.94,357.65,338.8,351.15,4256411.9697526535,14762.7,76287,2077781,49.42
2020-03-04,351.83,353.21,334.84,344.91,348.8,355.3,346.99,2360872.430833341,8091.52,49946,1102198,47.27
2020-03-05,349.41,352.72,342.74,344.22,347.15,349.2,351.97,1913574.9597812342,6652.53,52394,911685,48.24
2020-03-06,335.83,342.64,330.05,340.27,342.4,348.5,343.0,4525358.830360333,15331.55,63442,2999896,67.11
2020-03-09,333.85,336.67,315.23,326.05,325.95,344.5,331.66,5723681.639487994,18749.85,47319,2380543,42.11
2020-03-11,322.84,333.6,321.01,323.82,327.15,330.1,331.09,3519071.642555656,11508.13,28129,2377438,68.4
2020-03-12,316.07,316.07,293.55,299.72,305.85,327.85,305.13,5472212.35103364,16492.2,76325,2952471,54.62
2020-03-13,270.19,323.78,254.83,320.27,326.05,303.45,307.89,7520938.562734693,22871.97,67999,4591456,61.81
2020-03-16,301.55,310.44,292.96,296.61,305.0,324.25,304.79,3741092.391287841,11262.65,98388,1816079,49.15
2020-03-17,301.26,304.91,278.54,280.37,285.0,300.3,291.94,3348980.432773156,9657.04,86334,1817649,54.95
2020-03-18,281.5,285.06,258.78,264.17,268.2,283.85,270.24,4088925.7413262622,10914.22,80378,2273910,56.3
2020-03-19,254.83,262.24,229.4,247.67,248.05,267.45,249.1,6398477.103398423,15743.22,115205,2800328,44.31
2020-03-20,243.97,270.04,241.5,260.96,265.0,250.75,260.04,3956262.0289291632,10161.71,52348,1434751,36.72
2020-03-23,237.05,244.86,222.24,223.72,225.05,264.2,236.48,2959286.1561389174,6912.08,55578,1641482,56.16
2020-03-24,246.09,252.96,211.08,245.99,254.45,226.5,239.63,6129949.388644387,14508.9,73889,3219188,53.17
2020-03-25,245.05,278.98,243.87,273.75,279.5,249.05,269.68,4013695.1351745375,10691.33,84168,1916967,48.35
