date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,47.3,47.65,46.48,46.78,467.8,472.05,469.79,121005300.0,56847.09,80242,545190,4.51
2020-01-02,47.2,48.78,47.2,48.49,487.8,467.75,480.88,216749610.0,104230.6,188842,3261715,15.05
2020-01-03,48.3,48.62,47.94,48.37,483.75,484.85,482.61,129568630.0,62530.74,124603,1647867,12.72
2020-01-06,48.0,48.0,47.06,47.32,473.3,483.7,474.95,96016080.0,45602.45,93838,934226,9.73
2020-01-07,47.55,48.46,47.36,47.61,475.2,473.25,479.39,131957880.0,63258.95,116893,1341699,10.17
2020-01-08,47.16,47.82,46.7,47.53,476.5,476.1,472.2,133048410.0,62825.34,122527,1465911,11.02
2020-01-09,48.5,48.6,47.91,48.32,481.4,475.25,482.84,101311520.0,48917.67,104492,2144585,21.17
2020-01-10,48.55,49.39,48.0,48.62,487.35,483.15,487.68,159276340.0,77676.27,171547,2563481,16.09
2020-01-13,49.11,49.7,48.78,49.58,495.25,486.2,492.65,109427500.0,53909.19,98957,1399986,12.79
2020-01-14,49.64,50.6,49.58,49.86,498.55,495.75,500.71,156608220.0,78415.41,139782,2659967,16.98
2020-01-15,49.19,50.36,48.92,50.21,501.45,498.6,497.68,121179480.0,60308.0,99986,1114270,9.2
2020-01-16,50.2,50.4,49.21,49.44,493.8,502.1,494.96,104383690.0,51666.07,92004,2174070,20.83
2020-01-17,49.33,49.89,49.19,49.53,494.4,494.4,495.76,56824600.0,28171.22,57841,522158,9.19
2020-01-20,49.7,49.98,48.92,49.06,490.9,495.25,492.91,72918780.0,35942.31,83357,1828516,25.08
2020-01-21,48.78,48.78,47.35,47.62,474.5,490.65,481.02,113158030.0,54431.6,123037,2759455,24.39
2020-01-22,47.86,47.99,47.32,47.5,474.15,476.15,476.56,76621710.0,36515.2,87905,2088645,27.26
2020-01-23,47.59,48.18,47.32,48.03,479.95,475.05,478.99,72000200.0,34487.6,90210,1600590,22.23
2020-01-24,48.03,48.51,47.64,48.34,484.65,480.25,482.42,74811300.0,36090.61,98666,2703368,36.14
2020-01-27,47.78,47.78,46.01,46.24,460.55,483.4,466.71,129631190.0,60500.4,135612,3353039,25.87
2020-01-28,46.0,46.2,44.2,44.62,448.9,462.45,451.55,180152830.0,81348.4,174202,5369192,29.8
2020-01-29,45.28,45.97,44.96,45.22,450.45,446.25,454.69,110818340.0,50388.52,107296,2050087,18.5
2020-01-30,45.19,45.44,44.14,44.86,448.2,452.2,447.37,146520160.0,65548.33,131714,3326007,22.7
2020-01-31,45.3,45.42,43.64,43.87,438.5,448.55,444.51,107387270.0,47735.21,105534,2393283,22.29
2020-02-03,41.8,43.9,41.66,43.6,438.7,423.8,427.35,162371260.0,69388.96,158028,2633667,16.22
2020-02-04,44.2,45.34,43.34,45.19,452.45,436.05,446.32,133362630.0,59521.88,126255,2421433,18.16
2020-02-05,45.22,47.97,44.8,47.5,477.9,451.9,462.61,160567650.0,74280.94,167240,4073896,25.37
2020-02-06,47.8,48.72,47.16,47.76,476.8,475.05,481.07,166660740.0,80175.5,170741,3096564,18.58
2020-02-07,47.57,47.97,46.89,47.1,470.25,477.6,473.15,116499090.0,55121.86,146151,1511735,12.98
2020-02-10,46.03,46.32,44.0,44.38,443.15,471.0,447.71,267960480.0,119968.14,249715,4263368,15.91
2020-02-11,44.84,45.77,44.27,44.41,445.0,443.8,451.05,168243710.0,75886.14,150061,1731791,10.29
2020-02-12,45.0,45.45,44.26,44.8,448.35,444.1,448.06,117858580.0,52807.97,120023,1297394,11.01
2020-02-13,44.88,45.17,43.94,44.12,440.0,447.95,443.43,99652210.0,44188.99,92151,1609772,16.15
2020-02-14,44.1,44.56,43.34,43.46,434.5,441.25,440.3,94848170.0,41761.86,91279,764532,8.06
2020-02-17,43.55,44.09,43.3,43.68,437.95,434.55,437.28,97247650.0,42524.83,90008,1308987,13.46
2020-02-18,43.4,43.52,42.13,43.14,432.65,436.85,426.78,115024230.0,49089.56,120480,1834680,15.95
2020-02-19,43.64,43.85,42.82,43.32,433.0,431.4,433.2,84651090.0,36670.58,83669,755469,8.92
2020-02-20,42.9,44.77,42.8,44.36,443.45,433.2,440.98,129802370.0,57239.7,110855,2162933,16.66
2020-02-24,43.49,43.49,41.34,41.54,415.7,443.55,423.97,175231420.0,74293.34,154878,3857604,22.01
2020-02-25,41.9,42.56,41.44,42.13,421.8,415.45,420.39,145581760.0,61200.92,148263,1938041,13.31
2020-02-26,41.13,41.94,41.13,41.63,416.5,421.3,415.83,142707060.0,59342.5,146854,2843425,19.92
2020-02-27,41.49,41.59,40.71,41.28,413.0,416.3,411.13,102263790.0,42043.95,123126,894347,8.75
2020-02-28,39.87,39.9,37.5,38.18,381.0,412.8,383.59,245328330.0,94104.52,209662,4565398,18.61
2020-03-02,39.37,39.4,35.8,36.4,364.0,381.75,379.84,202207720.0,76805.64,149142,4553567,22.52
2020-03-03,37.35,39.1,37.01,38.76,388.3,364.05,378.36,186489330.0,70560.3,170252,2082900,11.17
2020-03-04,38.81,38.99,36.51,37.71,375.95,387.55,373.75,229371480.0,85727.06,191616,4119106,17.96
2020-03-05,38.4,38.78,37.43,37.58,374.95,377.15,380.39,146284680.0,55644.89,121582,1448143,9.9
2020-03-06,35.7,35.83,34.66,35.15,351.55,375.75,352.64,148481880.0,52359.97,131450,3756482,25.3
2020-03-09,33.75,33.77,31.98,32.23,323.0,351.5,327.36,204238260.0,66858.69,205411,6978505,34.17
2020-03-11,32.4,32.61,29.61,29.98,297.3,322.3,308.09,286937090.0,88403.29,251678,7444397,25.94
2020-03-12,27.5,29.18,26.72,28.74,291.45,299.75,281.42,437677630.0,123172.69,314421,16470991,37.63
2020-03-13,27.0,33.21,25.54,32.67,329.2,287.45,301.74,338423100.0,102114.21,270225,11719040,34.63
2020-03-16,30.4,31.76,28.71,28.96,291.75,326.7,302.1,236064520.0,71314.88,291120,5593343,23.69
2020-03-17,30.0,30.76,28.05,28.28,282.0,289.6,294.47,206546030.0,60822.03,241973,2576109,12.47
2020-03-18,29.0,29.32,27.57,28.09,282.0,282.75,281.66,187726750.0,52874.35,193555,4217265,22.46
2020-03-19,26.9,28.45,26.05,27.18,272.0,280.85,274.42,187232570.0,51380.58,198240,4010754,21.42
2020-03-20,27.97,30.5,27.42,29.78,296.0,271.85,287.26,173078820.0,49718.27,176547,2621367,15.15
2020-03-23,26.8,27.8,25.36,27.12,272.05,297.75,264.63,121006840.0,32021.97,149907,4198002,34.69
2020-03-24,27.7,28.56,25.86,27.19,271.9,271.15,270.13,129288770.0,34925.19,160998,3122445,24.15
2020-03-25,26.7,29.5,26.7,28.68,288.95,271.9,280.08,94428340.0,26447.76,140205,1899479,20.12
2020-03-26,29.0,29.55,28.01,28.44,281.05,286.8,288.53,114938370.0,33163.57,139566,2377340,20.68
2020-03-27,29.1,29.52,27.42,27.72,276.0,284.45,282.47,111841390.0,31591.62,123864,2170827,19.41
2020-03-30,26.7,27.08,25.08,25.4,255.0,277.25,260.0,158537610.0,41220.28,218642,4884324,30.81
2020-03-31,26.22,27.24,25.97,26.96,270.0,254.05,266.48,157874110.0,42070.57,185680,2447570,15.5
2020-04-01,26.6,26.8,25.81,26.64,266.65,269.6,262.61,119650310.0,31421.5,142931,2597795,21.71
2020-04-03,26.77,26.89,25.1,25.38,254.35,266.35,255.68,125280300.0,32031.61,174595,2888719,23.06
2020-04-07,26.61,27.77,26.12,27.62,275.5,253.75,270.13,159568730.0,43104.67,166420,3547144,22.23
2020-04-08,27.1,29.29,26.66,27.48,273.3,276.2,281.88,204351560.0,57602.22,215435,3610220,17.67
2020-04-09,28.05,28.96,27.76,28.49,284.0,274.75,283.63,138557880.0,39299.56,150361,2188735,15.8
2020-04-13,28.5,29.2,27.39,28.26,282.4,284.85,281.08,155105980.0,43597.67,169856,1878249,13.11
2020-04-15,28.74,29.56,28.19,28.52,286.0,282.55,289.28,209919430.0,60725.28,216185,2753884,13.12
2020-04-16,27.6,29.19,27.6,28.89,290.55,285.15,285.74,172488060.0,49287.2,159950,1959116,11.36
2020-04-17,29.75,29.97,28.55,29.34,292.3,288.9,291.36,174928840.0,50967.7,156395,2467218,14.1
2020-04-20,29.48,29.5,28.51,28.64,286.5,293.35,289.28,119613550.0,34601.43,129180,2251787,18.83
2020-04-21,28.01,28.1,26.33,26.6,266.1,286.4,266.6,169254170.0,45123.18,286180,4798495,28.35
2020-04-22,26.61,26.99,25.92,26.84,269.0,265.95,265.46,147898570.0,39260.76,158776,1567965,10.6
2020-04-23,27.0,27.9,26.9,27.03,270.35,268.35,274.31,154681220.0,42431.26,182297,2184467,14.12
2020-04-24,26.63,27.39,26.44,26.76,268.75,270.3,269.75,123838460.0,33405.57,120833,1265666,10.22
2020-04-27,27.4,27.69,27.05,27.16,271.95,267.55,273.4,124108120.0,33931.63,154370,2121092,17.09
2020-04-28,27.39,27.54,26.96,27.36,273.7,271.65,272.5,85481340.0,23293.81,77655,1153564,13.49
2020-04-29,27.3,28.62,27.12,28.26,282.45,273.55,281.77,198766960.0,56006.8,215401,3291156,16.56
2020-04-30,29.0,30.45,28.87,29.83,297.55,282.65,297.28,236360820.0,70265.87,239510,4821416,20.4
2020-05-04,28.5,28.62,27.01,27.36,272.7,298.3,273.71,128921580.0,35287.26,167867,4087314,31.7
2020-05-05,27.9,28.24,27.1,27.26,274.0,273.6,276.85,121823550.0,33727.23,120197,967339,7.94
2020-05-06,27.41,28.04,27.2,27.78,278.3,272.65,276.95,95077310.0,26331.68,95963,1364638,14.35
2020-05-07,27.54,28.29,27.46,27.59,276.15,277.75,278.44,89584110.0,24943.64,103931,1435027,16.02
2020-05-08,28.28,28.4,27.2,27.29,272.9,275.85,277.06,98782130.0,27368.16,108729,1706862,17.28
2020-05-11,27.56,28.3,27.5,27.62,276.65,272.9,279.07,109074080.0,30439.83,129049,1670883,15.32
2020-05-12,27.33,27.68,26.45,27.4,275.25,276.2,269.35,150403340.0,40510.62,154012,2090062,13.9
2020-05-13,28.75,28.8,27.35,27.66,278.0,273.95,280.93,147237480.0,41362.88,144455,2756610,18.72
2020-05-14,27.2,27.52,26.73,26.86,268.75,276.55,270.4,107969590.0,29195.11,125086,3096218,28.68
2020-05-15,27.0,27.68,26.88,27.34,273.15,268.55,273.69,149914580.0,41029.96,140643,1560691,10.41
2020-05-18,27.41,27.62,26.24,26.66,267.0,273.45,267.1,116160800.0,31026.09,126742,1741263,14.99
2020-05-19,27.2,28.04,26.75,27.2,272.1,266.6,275.1,168971730.0,46484.59,160617,2906574,17.2
2020-05-20,27.2,28.4,27.01,28.32,283.8,272.0,279.95,144236570.0,40379.17,135400,3479379,24.12
2020-05-21,28.39,28.62,27.85,28.37,283.55,283.2,282.78,130358810.0,36862.5,119568,2202407,16.89
2020-05-22,27.9,28.02,27.33,27.44,275.0,283.7,276.22,106569110.0,29435.99,104788,1811193,17.0
2020-05-26,27.75,28.44,27.7,28.04,281.15,274.45,281.72,121087400.0,34112.79,119897,2068622,17.08
2020-05-27,28.22,29.04,27.9,28.8,289.0,280.45,283.2,140075620.0,39669.58,133263,3577549,25.54
2020-05-28,29.19,29.86,28.94,29.55,293.9,287.95,293.9,166024620.0,48795.14,153571,2560661,15.42
2020-05-29,29.21,29.69,28.79,29.52,294.05,295.5,292.09,131280270.0,38345.29,117534,2619554,19.95
2020-06-01,30.2,31.78,30.2,31.52,315.1,295.2,313.98,243846330.0,76562.44,222950,3523247,14.45
2020-06-02,31.8,32.34,31.46,31.94,318.7,315.2,319.08,165632670.0,52849.47,147289,2295809,13.86
2020-06-03,32.54,32.63,31.51,31.74,317.2,319.4,321.66,103871360.0,33411.1,107042,1977960,19.04
2020-06-04,31.69,32.26,31.46,32.0,319.95,317.4,319.18,112513310.0,35912.22,106014,1530080,13.6
2020-06-05,32.58,34.36,32.51,33.9,339.7,319.95,337.14,309184950.0,104239.83,262033,5973240,19.32
2020-06-08,34.77,35.08,32.74,33.36,334.5,338.95,338.85,164818090.0,55848.4,156820,3152079,19.12
2020-06-09,33.6,34.4,32.89,33.22,330.0,333.6,337.22,149268620.0,50336.88,172156,2531818,16.96
2020-06-10,33.11,33.15,32.2,32.4,324.8,332.2,325.32,172188930.0,56015.93,175572,4601771,26.73
