date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,2168.0,2183.9,2154.0,2167.6,2170.0,2161.7,2170.54,1354908,29408.82,44438,164490,12.14
2020-01-02,2179.95,2179.95,2149.2,2157.65,2157.0,2167.6,2158.63,2380752,51391.56,99242,1204079,50.58
2020-01-03,2164.0,2223.0,2164.0,2200.65,2201.0,2157.65,2199.26,4655761,102392.06,123516,1833823,39.39
2020-01-06,2205.0,2225.95,2187.9,2200.45,2201.35,2200.65,2204.89,3023209,66658.55,135360,1000021,33.08
2020-01-07,2200.5,2214.65,2183.8,2205.85,2205.0,2200.45,2203.53,2429317,53530.64,95018,966753,39.8
2020-01-08,2205.0,2260.0,2202.05,2255.25,2253.35,2205.85,2240.22,5197454,116434.24,172815,2288411,44.03
2020-01-09,2248.75,2251.95,2210.0,2214.35,2220.0,2255.25,2223.77,3734173,83039.24,134309,1805834,48.36
2020-01-10,2228.0,2234.0,2208.0,2213.55,2213.0,2214.35,2219.51,1915807,42521.5,102938,767417,40.06
2020-01-13,2217.85,2218.95,2184.7,2190.35,2193.0,2213.55,2197.65,2843893,62498.73,113645,1486327,52.26
2020-01-14,2195.0,2229.8,2195.0,2206.9,2210.0,2190.35,2212.56,2948452,65236.22,132106,1276382,43.29
2020-01-15,2213.0,2231.0,2194.2,2226.9,2225.05,2206.9,2212.65,2620681,57986.45,114594,1513859,57.77
2020-01-16,2226.95,2249.0,2215.0,2238.8,2240.0,2226.9,2235.81,3117214,69694.83,113056,1736185,55.7
2020-01-17,2240.75,2253.55,2213.0,2219.1,2220.0,2238.8,2232.37,3281059,73245.5,123528,1603410,48.87
2020-01-20,2194.9,2242.2,2156.2,2170.35,2174.0,2219.1,2182.48,5817599,126967.98,216725,2321286,39.9
2020-01-21,2169.95,2186.55,2158.05,2171.05,2172.35,2170.35,2170.95,1902980,41312.69,115866,865491,45.48
2020-01-22,2181.0,2210.0,2173.7,2206.9,2209.8,2171.05,2198.89,1773686,39001.38,109240,782190,44.1
2020-01-23,2209.8,2217.75,2183.7,2190.95,2188.0,2206.9,2200.81,2069866,45553.83,110107,1214278,58.66
2020-01-24,2190.95,2190.95,2170.0,2183.4,2185.0,2190.95,2179.72,1319430,28759.88,55949,607438,46.04
2020-01-27,2189.7,2193.45,2165.0,2169.25,2168.3,2183.4,2172.99,1549101,33661.88,62160,771303,49.79
2020-01-28,2174.0,2187.8,2152.0,2183.75,2183.8,2169.25,2169.48,1743024,37814.54,79762,906541,52.01
2020-01-29,2185.0,2186.95,2150.0,2154.6,2154.0,2183.75,2164.12,2306761,49921.16,88479,1307797,56.69
2020-01-30,2160.0,2165.0,2125.0,2137.85,2134.65,2154.6,2140.26,2098567,44914.87,88883,1056509,50.34
2020-01-31,2139.4,2144.35,2071.6,2079.05,2082.4,2137.85,2098.15,3287223,68970.92,131558,2194449,66.76
2020-02-03,2152.0,2194.7,2093.2,2102.5,2110.0,2164.85,2136.37,4728073,101009.13,194574,2519349,53.28
2020-02-04,2129.0,2136.7,2086.6,2107.75,2111.95,2102.5,2111.28,3509339,74092.07,130941,1569247,44.72
2020-02-05,2115.0,2156.7,2104.3,2146.55,2147.5,2107.75,2136.16,2439322,52107.92,132082,1373557,56.31
2020-02-06,2145.0,2174.2,2115.5,2128.35,2129.45,2146.55,2146.02,2640065,56656.3,97158,1284341,48.65
2020-02-07,2139.0,2151.0,2119.0,2136.55,2138.0,2128.35,2131.41,2083442,44406.66,73200,1151799,55.28
2020-02-10,2140.9,2167.0,2119.0,2161.95,2153.1,2136.55,2149.9,2383032,51232.71,88969,1298489,54.49
2020-02-11,2163.0,2174.8,2147.6,2153.4,2152.7,2161.95,2157.68,1335820,28822.67,76595,606633,45.41
2020-02-12,2151.1,2185.0,2150.0,2170.75,2173.1,2153.4,2173.56,1620407,35220.58,98406,791500,48.85
2020-02-13,2172.95,2197.0,2171.0,2191.95,2191.0,2170.75,2186.71,1645948,35992.06,73525,886163,53.84
2020-02-14,2188.0,2212.0,2171.0,2184.2,2183.0,2191.95,2190.86,1500115,32865.48,117257,662963,44.19
2020-02-17,2196.95,2217.0,2190.2,2203.25,2202.05,2184.2,2204.55,1774724,39124.63,81968,868712,48.95
2020-02-18,2199.95,2221.0,2186.05,2215.75,2215.0,2203.25,2208.09,2486223,54897.92,98311,1511442,60.79
2020-02-19,2215.75,2230.0,2190.5,2196.35,2194.1,2215.75,2209.81,1760463,38902.85,77338,1061209,60.28
2020-02-20,2204.5,2214.4,2151.25,2156.8,2157.0,2196.35,2189.19,2317278,50729.73,121407,1447215,62.45
2020-02-24,2156.0,2178.95,2106.7,2115.35,2112.0,2156.8,2152.36,3092877,66569.83,120347,1871186,60.5
2020-02-25,2115.5,2176.65,2111.0,2156.15,2163.0,2115.35,2148.89,2674567,57473.61,116295,1382198,51.68
2020-02-26,2154.0,2163.9,2112.95,2123.6,2122.0,2156.15,2137.17,2686842,57422.51,155115,1586103,59.03
2020-02-27,2119.95,2119.95,2086.2,2105.5,2097.0,2123.6,2101.98,2349001,49375.5,112336,1244106,52.96
2020-02-28,2068.0,2069.5,1990.0,2000.15,2010.0,2105.5,2026.81,4298076,87113.96,229475,2304792,53.62
2020-03-02,2035.0,2053.95,1985.7,2001.3,2000.0,2000.15,2035.99,2667076,54301.29,118184,1243997,46.64
2020-03-03,2020.0,2060.0,2012.0,2036.2,2041.0,2001.3,2033.79,2757585,56083.39,139234,1397749,50.69
2020-03-04,2056.0,2094.45,2025.0,2083.2,2082.1,2036.2,2059.4,3237002,66662.8,131156,1497508,46.26
2020-03-05,2085.7,2147.75,2084.05,2125.05,2129.0,2083.2,2121.54,3937056,83526.24,193693,2287407,58.1
2020-03-06,2098.0,2123.65,2071.6,2116.45,2115.4,2125.05,2097.98,2595027,54443.09,130651,1250756,48.2
2020-03-09,2075.0,2079.9,1935.0,1972.35,1981.0,2116.45,1989.28,4940982,98290.12,227592,2739821,55.45
2020-03-11,1933.0,1987.3,1920.0,1953.7,1952.75,1972.35,1959.39,6796752,133174.85,213057,4563612,67.14
2020-03-12,1904.0,1908.4,1758.35,1769.85,1772.9,1953.7,1815.1,8728972,158439.99,252037,5822556,66.7
2020-03-13,1687.9,1820.0,1506.05,1806.3,1820.0,1769.85,1736.57,8029725,139441.92,280631,4008094,49.92
2020-03-16,1755.0,1842.25,1675.85,1696.4,1684.5,1806.3,1760.08,7844420,138067.9,380004,4974137,63.41
2020-03-17,1730.0,1731.0,1623.15,1658.0,1632.0,1696.4,1687.98,5713269,96439.08,224133,3892439,68.13
2020-03-18,1676.8,1713.55,1627.75,1654.4,1670.0,1658.0,1667.41,7259111,121038.89,276794,4565294,62.89
2020-03-19,1559.7,1685.45,1546.75,1636.35,1636.0,1654.4,1622.31,5135162,83308.41,248319,2515229,48.98
2020-03-20,1630.0,1869.0,1627.0,1797.45,1792.95,1636.35,1787.53,8547645,152791.38,361688,3868118,45.25
2020-03-23,1620.0,1750.0,1617.75,1669.7,1631.0,1797.45,1687.63,7003558,118193.98,190709,4237215,60.5
2020-03-24,1653.05,1770.0,1632.85,1703.15,1699.95,1669.7,1716.94,6354209,109098.1,309791,3520631,55.41
2020-03-25,1700.0,1810.0,1680.0,1750.3,1732.0,1703.15,1735.21,2765527,47987.7,200205,1152908,41.69
2020-03-26,1831.6,1832.05,1722.55,1790.95,1785.0,1750.3,1783.59,4556071,81261.72,251428,2650292,58.17
2020-03-27,1820.0,1850.0,1750.4,1824.5,1850.0,1790.95,1796.8,4331310,77825.1,217336,2319309,53.55
2020-03-30,1766.0,1905.0,1763.55,1778.5,1781.7,1824.5,1813.46,8513608,154390.75,277606,5214886,61.25
2020-03-31,1837.4,1855.0,1780.0,1826.1,1819.0,1778.5,1824.45,3927593,71657.07,190774,1752624,44.62
2020-04-01,1825.9,1834.75,1702.0,1708.75,1714.0,1826.1,1763.66,4941898,87158.12,221364,2619484,53.01
2020-04-03,1740.0,1740.0,1650.0,1654.2,1659.0,1708.75,1688.3,5735529,96833.17,244588,2453808,42.78
2020-04-07,1710.0,1785.85,1705.0,1775.2,1765.85,1654.2,1747.2,5427965,94837.5,232534,3020094,55.64
2020-04-08,1760.0,1806.0,1701.0,1705.45,1708.0,1775.2,1736.76,6285616,109165.85,276600,2533692,40.31
2020-04-09,1750.45,1778.8,1731.2,1766.15,1761.0,1705.45,1759.13,5307649,93368.69,184889,2682616,50.54
2020-04-13,1761.0,1787.0,1746.0,1759.25,1761.6,1766.15,1761.05,2990478,52663.82,105582,1150161,42.73
2020-04-15,1785.0,1812.0,1727.8,1735.15,1735.0,1759.25,1774.09,4761401,84471.77,196087,2136320,44.87
2020-04-16,1709.95,1764.9,1675.05,1716.05,1720.5,1735.15,1720.54,6245583,107457.56,284814,2110034,33.78
2020-04-17,1800.0,1851.95,1753.0,1806.2,1810.0,1716.05,1815.31,9895825,179640.26,363192,3217550,32.51
2020-04-20,1830.0,1830.0,1802.5,1818.65,1818.6,1806.2,1815.63,3244293,58904.36,136285,1407671,43.39
2020-04-21,1765.0,1794.6,1727.7,1737.65,1737.75,1818.65,1749.84,5122606,89637.44,190349,2457408,47.97
2020-04-22,1737.65,1790.0,1719.15,1769.5,1773.0,1737.65,1754.72,3829839,67202.8,180947,1518445,39.65
2020-04-23,1780.0,1900.0,1760.85,1878.25,1867.1,1769.5,1844.03,5934424,109432.35,257398,2087199,35.17
2020-04-24,1840.7,1851.95,1807.8,1818.55,1821.0,1878.25,1825.54,2987150,54531.69,142967,1103567,36.94
2020-04-27,1832.3,1875.0,1825.0,1836.6,1834.0,1818.55,1853.6,3374747,62554.22,140822,1333349,39.51
2020-04-28,1865.0,1868.0,1832.6,1859.05,1865.0,1836.6,1851.06,2678512,49580.95,117278,1119539,41.8
2020-04-29,1874.0,1912.55,1850.05,1905.65,1903.0,1859.05,1882.9,4241579,79864.9,158389,1705279,40.2
2020-04-30,1980.0,2032.0,1942.2,2014.45,2019.55,1905.65,1989.49,5915950,117697.07,241064,2636626,44.57
2020-05-04,1966.0,1966.0,1913.65,1930.45,1930.5,2014.45,1939.3,3729409,72324.42,165528,1752041,46.98
2020-05-05,1955.1,1977.0,1927.0,1932.75,1932.75,1930.45,1952.86,2905541,56741.17,147469,1095381,37.7
2020-05-06,1939.8,1953.7,1893.6,1903.6,1908.5,1932.75,1920.77,3517432,67561.8,172517,1154410,32.82
2020-05-07,1910.0,1934.45,1883.35,1891.65,1895.95,1903.6,1909.43,3166784,60467.65,154795,941078,29.72
2020-05-08,1939.1,1939.5,1886.25,1893.4,1897.0,1891.65,1902.14,2686536,51101.7,122431,858746,31.96
2020-05-11,1909.0,1951.4,1909.0,1935.3,1936.0,1893.4,1939.47,2449846,47514.15,120116,738177,30.13
2020-05-12,1933.4,1956.5,1910.25,1949.5,1948.0,1935.3,1941.23,3256630,63218.67,177881,992103,30.46
2020-05-13,1994.0,1994.0,1925.65,1949.65,1944.5,1949.5,1946.67,2656665,51716.5,127103,938030,35.31
2020-05-14,1910.0,1923.1,1891.1,1902.35,1902.0,1949.65,1905.48,2263204,43124.81,111897,931246,41.15
2020-05-15,1916.0,1917.4,1865.2,1892.9,1903.0,1902.35,1884.25,3173682,59800.03,157447,1312065,41.34
2020-05-18,1907.0,1952.95,1872.1,1945.6,1940.05,1892.9,1921.1,3727896,71616.67,158352,1140903,30.6
2020-05-19,1903.0,1966.45,1903.0,1948.65,1948.1,1945.6,1945.9,3198699,62243.61,148060,1142215,35.71
2020-05-20,1950.0,1962.9,1931.7,1953.6,1953.55,1948.65,1946.92,2778505,54095.15,130438,1398276,50.32
2020-05-21,1946.0,1998.0,1941.15,1991.2,1990.1,1953.6,1977.64,3400925,67258.02,125723,1818084,53.46
2020-05-22,1977.1,2032.0,1961.25,2020.35,2015.15,1991.2,2005.12,3663422,73455.95,129277,1423498,38.86
2020-05-26,2015.0,2024.0,1925.0,1943.0,1948.95,2020.35,1969.21,4575512,90101.42,170636,2223882,48.6
2020-05-27,1959.0,2010.0,1941.25,2005.3,2008.0,1943.0,1975.64,3482185,68795.4,131846,1174548,33.73
2020-05-28,1988.5,2014.0,1971.3,2004.3,2006.25,2005.3,1988.53,3475788,69117.22,149827,1346787,38.75
2020-05-29,1982.0,2002.65,1962.4,1972.35,1980.9,2004.3,1977.79,7237765,143147.67,180576,4581484,63.3
2020-06-01,1990.0,2060.0,1981.1,2045.25,2038.0,1972.35,2033.41,3747850,76209.14,146513,1266772,33.8
2020-06-02,2060.2,2081.0,2040.05,2047.15,2049.95,2045.25,2057.96,2443886,50294.14,116685,897807,36.74
2020-06-03,2051.85,2063.75,2020.0,2046.15,2048.0,2047.15,2038.22,3699799,75409.9,154423,1958989,52.95
2020-06-04,2046.75,2100.0,2046.75,2091.55,2094.95,2046.15,2075.82,4048593,84041.4,147400,1525655,37.68
2020-06-05,2091.6,2098.0,2040.3,2048.25,2053.0,2091.55,2054.59,3573299,73416.57,143792,1171097,32.77
2020-06-08,2078.25,2095.0,2062.1,2071.75,2070.0,2048.25,2078.75,2957841,61486.12,108037,918772,31.06
2020-06-09,2063.1,2095.5,2060.25,2072.05,2075.0,2071.75,2079.22,2910152,60508.54,150567,1285171,44.16
2020-06-10,2077.05,2132.0,2073.5,2108.75,2109.0,2072.05,2108.53,5168494,108979.27,187675,1657664,32.07
2020-06-11,2100.0,2105.0,2061.8,2067.65,2069.0,2108.75,2077.3,2269569,47145.85,100095,687131,30.28
2020-06-12,2011.2,2049.2,2011.0,2039.5,2037.6,2067.65,2026.47,2842757,57607.76,130558,1139648,40.09
2020-06-15,2039.1,2059.0,2000.95,2029.9,2036.2,2039.5,2027.78,2399028,48647.07,97163,621670,25.91
2020-06-16,2065.0,2073.95,2031.0,2045.8,2041.8,2029.9,2051.87,2146528,44043.88,89213,753988,35.13
2020-06-17,2046.0,2058.85,2026.55,2047.8,2048.0,2045.8,2042.73,2703546,55226.1,92658,1286034,47.57
2020-06-18,2045.0,2059.2,2025.2,2038.1,2036.2,2047.8,2039.63,1944471,39660.07,77874,625354,32.16
2020-06-19,2042.0,2090.0,2032.0,2044.6,2043.65,2038.1,2050.29,5681784,116493.01,152183,3384227,59.56
2020-06-22,2050.0,2052.25,2019.15,2027.95,2032.0,2044.6,2033.74,3196138,65001.16,109018,1382233,43.25
2020-06-23,2027.0,2044.0,2010.0,2035.3,2039.0,2027.95,2027.43,4206122,85276.24,136481,1733275,41.21
2020-06-24,2034.0,2064.25,2031.6,2042.2,2042.0,2035.3,2052.03,2560951,52551.43,125500,907215,35.42
2020-06-25,2035.0,2060.0,2009.25,2016.1,2015.4,2042.2,2033.26,3044089,61894.26,127554,1367041,44.91
2020-06-26,2025.0,2132.0,2019.95,2118.85,2115.2,2016.1,2095.55,6300912,132038.74,237429,1985173,31.51
2020-06-29,2108.0,2127.6,2091.3,2101.65,2103.45,2118.85,2104.79,3076344,64750.66,109993,1159263,37.68
2020-06-30,2100.0,2111.9,2075.05,2082.15,2085.05,2101.65,2091.7,3071877,64254.59,121691,1277270,41.58
2020-07-01,2079.7,2113.95,2079.5,2092.05,2095.0,2082.15,2100.06,2503466,52574.4,103067,829392,33.13
2020-07-02,2102.0,2165.0,2098.0,2157.15,2159.0,2092.05,2143.79,3758709,80578.66,140145,1413974,37.62
2020-07-03,2163.65,2205.0,2160.25,2199.65,2195.0,2157.15,2188.8,4185215,91605.81,130448,1461405,34.92
2020-07-06,2205.0,2269.9,2205.0,2263.2,2261.0,2199.65,2247.63,5190366,116660.33,161168,2379673,45.85
2020-07-07,2275.0,2302.7,2232.15,2269.9,2269.9,2263.2,2263.92,5630081,127460.72,206374,1863660,33.1
2020-07-08,2270.0,2274.4,2207.6,2218.9,2219.0,2269.9,2240.93,2793674,62604.26,130484,1098745,39.33
2020-07-09,2229.0,2244.5,2191.05,2204.35,2212.5,2218.9,2209.06,3443998,76080.15,133367,846325,24.57
2020-07-10,2205.25,2249.85,2176.0,2222.35,2221.1,2204.35,2210.93,9610327,212477.35,292369,1433298,14.91
2020-07-13,2220.0,2244.95,2210.0,2220.0,2222.25,2222.35,2225.83,2963525,65963.02,100495,938363,31.66
2020-07-14,2210.0,2239.0,2165.0,2171.95,2175.0,2220.0,2199.6,2976749,65476.68,117480,1212619,40.74
2020-07-15,2185.0,2260.0,2181.1,2233.9,2231.1,2171.95,2228.76,5569322,124126.86,201144,1964036,35.27
2020-07-16,2244.0,2333.0,2220.1,2234.75,2233.0,2233.9,2275.23,8582120,195262.8,279321,3128877,36.46
2020-07-17,2237.0,2243.9,2190.05,2200.75,2207.9,2234.75,2204.05,4509143,99383.6,183317,1875874,41.6
2020-07-20,2201.0,2226.9,2190.8,2207.9,2214.0,2200.75,2205.5,2952719,65122.21,99805,901482,30.53
2020-07-21,2230.0,2238.65,2201.15,2225.05,2224.55,2207.9,2220.42,2665386,59182.77,128640,1177304,44.17
2020-07-22,2231.0,2231.0,2184.2,2190.95,2190.0,2225.05,2199.54,2861698,62944.22,108851,1542274,53.89
2020-07-23,2190.95,2190.95,2163.0,2171.2,2174.2,2190.95,2175.33,2265791,49288.36,100469,1015290,44.81
