date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,927.45,930.0,920.02,921.85,1845.35,1849.05,1849.19,44954.0,415.64,1775,5133,22.84
2020-01-02,922.02,936.0,922.02,932.82,1869.5,1843.7,1860.31,173060.0,1609.73,4092,18400,21.26
2020-01-03,935.0,959.9,930.52,950.05,1895.0,1865.65,1895.85,1008842.0,9563.06,18306,110983,22.0
2020-01-06,952.5,953.05,928.48,943.1,1884.0,1900.1,1881.75,330866.0,3113.04,11054,54721,33.08
2020-01-07,942.75,955.0,932.95,936.38,1866.35,1886.2,1880.72,266930.0,2510.1,7002,37315,27.96
2020-01-08,932.5,943.78,926.8,933.18,1866.3,1872.75,1870.24,224722.0,2101.42,6713,25905,23.06
2020-01-09,936.0,948.15,933.05,939.4,1879.0,1866.35,1881.05,196244.0,1845.72,10975,33881,34.53
2020-01-10,950.6,956.0,940.0,949.52,1900.0,1878.8,1897.49,377616.0,3582.62,7405,37047,19.62
2020-01-13,953.5,954.25,944.0,949.7,1900.0,1899.05,1897.69,258008.0,2448.1,9569,76648,59.42
2020-01-14,950.0,954.0,940.65,942.65,1884.9,1899.4,1892.13,99086.0,937.42,5653,17181,34.68
2020-01-15,942.55,951.15,935.12,949.1,1899.0,1885.3,1889.96,218450.0,2064.31,8508,36226,33.17
2020-01-16,953.0,983.98,951.5,962.2,1930.0,1898.2,1932.31,1110982.0,10733.78,23634,153585,27.65
2020-01-17,968.2,1014.0,964.35,1003.18,2000.0,1924.4,1990.69,2238044.0,22276.31,45879,186870,16.7
2020-01-20,1003.18,1036.82,992.78,1013.85,2023.1,2006.35,2037.64,1779728.0,18132.22,38450,110600,12.43
2020-01-21,1012.5,1028.42,996.0,1010.08,2017.85,2027.7,2032.51,1040806.0,10577.25,22271,154986,29.78
2020-01-22,1015.0,1022.48,996.05,1000.48,1997.0,2020.15,2023.55,832380.0,8421.83,15111,183183,44.01
2020-01-23,1001.98,1017.78,1000.5,1010.25,2029.9,2000.95,2019.85,352494.0,3559.93,11103,41293,23.43
2020-01-24,1014.5,1031.0,1012.5,1018.48,2037.35,2020.5,2047.64,539668.0,5525.22,19193,66915,24.8
2020-01-27,1018.48,1027.97,1002.75,1013.58,2022.0,2036.95,2032.66,487088.0,4950.43,16719,61789,25.37
2020-01-28,1000.0,1000.0,950.3,958.2,1905.05,2027.15,1929.38,3587828.0,34611.37,63482,653692,36.44
2020-01-29,953.5,978.15,953.5,968.75,1935.0,1916.4,1939.65,713352.0,6918.25,22112,93859,26.31
2020-01-30,974.0,977.98,961.25,968.15,1940.0,1937.5,1942.56,1627536.0,15807.91,9818,655653,80.57
2020-01-31,974.5,976.08,960.5,965.55,1929.9,1936.3,1932.85,335526.0,3242.6,7585,56211,33.51
2020-02-03,953.45,958.8,943.9,953.05,1907.7,1907.45,1904.45,212296.0,2021.54,11714,49657,46.78
